"Date","HUM","Price"
2004-02-06,11,22.44
2004-02-13,12,21.67
2004-02-20,11,21.61
2004-02-27,12,21.92
2004-03-05,14,21.99
2004-03-12,10,20.83
2004-03-19,16,21.03
2004-03-26,12,19.36
2004-04-02,15,18.93
2004-04-16,16,18.1
2004-04-23,17,19.01
2004-04-30,16,16.29
2004-05-07,15,15.84
2004-05-14,14,16.65
2004-05-21,16,15.83
2004-05-28,26,17.07
2004-06-04,32,16.56
2004-06-18,22,16.4
2004-06-25,20,16.62
2004-07-02,19,16.16
2004-07-09,18,15.75
2004-07-16,22,17.34
2004-07-23,22,17.05
2004-07-30,19,18.11
2004-08-06,17,17.77
2004-08-13,16,18.67
2004-08-20,16,18.85
2004-08-27,16,18.99
2004-09-03,15,19.27
2004-09-10,16,19.5
2004-09-17,16,19.45
2004-09-24,15,19.21
2004-10-01,15,20.4
2004-10-08,12,19.59
2004-10-15,13,19.11
2004-10-22,13,18.11
2004-10-29,13,19.15
2004-11-05,14,22.4
2004-11-12,11,23
2004-11-19,12,23.27
2004-11-26,13,24.19
2004-12-03,14,26.42
2004-12-10,13,28.29
2004-12-17,12,29.75
2004-12-31,14,29.69
2005-01-07,13,29.42
2005-01-14,14,33.26
2005-01-21,13,32.86
2005-01-28,13,33.61
2005-02-04,13,34.65
2005-02-11,15,33.42
2005-02-18,14,33.36
2005-02-25,12,33.33
2005-03-04,13,34.86
2005-03-11,13,33.75
2005-03-18,13,31.93
2005-04-01,15,32.57
2005-04-08,12,34.09
2005-04-15,13,32.34
2005-04-22,13,30.96
2005-04-29,14,34.65
2005-05-06,15,35.08
2005-05-13,13,34.69
2005-05-20,15,36.3
2005-05-27,17,36.89
2005-06-03,14,37.78
2005-06-10,14,38.15
2005-06-17,12,39.42
2005-06-24,14,37.75
2005-07-01,14,39.35
2005-07-08,12,41.75
2005-07-15,12,41.03
2005-07-22,14,38.91
2005-07-29,14,39.85
2005-08-05,14,42.04
2005-08-12,13,45.76
2005-08-19,13,46.12
2005-08-26,14,46.86
2005-09-02,12,47.83
2005-09-09,12,50.03
2005-09-16,11,49.12
2005-09-23,13,47.8
2005-09-30,12,47.88
2005-10-07,14,45.56
2005-10-14,13,44.88
2005-10-21,13,45.93
2005-10-28,12,43.92
2005-11-04,12,42.97
2005-11-11,13,44.08
2005-11-18,12,45.04
2005-11-25,12,46.63
2005-12-02,13,48.13
2005-12-09,13,49.33
2005-12-16,13,47.17
2005-12-23,14,55.17
2005-12-30,15,54.33
2006-01-06,14,57.08
2006-01-13,13,56.53
2006-01-20,14,55.18
2006-01-27,13,56.05
2006-02-03,13,54.9
2006-02-10,14,50.85
2006-02-17,14,53.66
2006-02-24,12,53.2
2006-03-03,13,50.86
2006-03-10,13,50.29
2006-03-17,13,51.71
2006-03-24,12,52.1
2006-03-31,13,52.65
2006-04-07,14,49.83
2006-04-21,15,49.59
2006-04-28,15,45.18
2006-05-05,13,41.8
2006-05-12,13,44.92
2006-05-19,13,47.8
2006-05-26,12,49.8
2006-06-02,13,51.55
2006-06-09,13,51.86
2006-06-16,13,50.31
2006-06-23,11,52.58
2006-06-30,11,53.7
2006-07-07,10,55.28
2006-07-14,11,55.83
2006-07-21,12,55.41
2006-07-28,12,51.54
2006-08-04,12,58.1
2006-08-11,12,57.67
2006-08-18,12,60
2006-08-25,13,60.93
2006-09-01,12,61.44
2006-09-08,12,61.46
2006-09-15,12,66.06
2006-09-22,12,65.45
2006-09-29,11,66.09
2006-10-06,11,66.15
2006-10-13,12,63.8
2006-10-20,11,66.5
2006-10-27,11,65.7
2006-11-03,12,56.79
2006-11-10,10,52
2006-11-17,13,53.37
2006-11-24,12,52.65
2006-12-01,12,53.41
2006-12-08,12,56.47
2006-12-15,12,55.11
2006-12-22,13,55.19
2006-12-29,13,55.31
2007-01-05,12,52.98
2007-01-12,12,54.52
2007-01-19,12,54.49
2007-01-26,12,53.46
2007-02-02,13,57.32
2007-02-09,13,59.62
2007-02-16,12,62.23
2007-02-23,14,60.86
2007-03-02,13,59.71
2007-03-09,14,59.05
2007-03-16,13,58.23
2007-03-23,13,60.49
2007-03-30,13,58.02
2007-04-13,13,62.79
2007-04-20,12,63.03
2007-04-27,14,64.93
2007-05-04,12,64.47
2007-05-11,13,64.4
2007-05-18,12,64.86
2007-05-25,13,63.47
2007-06-01,13,63
2007-06-08,14,63.11
2007-06-15,13,60.19
2007-06-22,14,60.99
2007-06-29,13,60.91
2007-07-06,13,63.18
2007-07-13,14,61.08
2007-07-20,15,66.87
2007-07-27,15,64.81
2007-08-03,14,65.1
2007-08-10,15,62.33
2007-08-17,14,62.08
2007-08-24,14,65.97
2007-08-31,13,64.09
2007-09-07,14,63.58
2007-09-14,13,65.79
2007-09-21,15,67.15
2007-09-28,13,69.88
2007-10-05,14,71.28
2007-10-12,15,72.63
2007-10-19,14,73.05
2007-10-26,14,75.56
2007-11-02,14,72.23
