"Date","UNH","Price"
2004-02-06,56,59.62
2004-02-13,64,59.67
2004-02-20,59,61.04
2004-02-27,49,62
2004-03-05,51,63.17
2004-03-12,58,61.82
2004-03-19,50,63.47
2004-03-26,59,62.07
2004-04-02,58,65.12
2004-04-16,46,65.41
2004-04-23,69,65.95
2004-04-30,47,61.48
2004-05-07,62,60.53
2004-05-14,52,62.52
2004-05-21,57,63.2
2004-05-28,60,65.25
2004-06-04,56,64.95
2004-06-18,41,64
2004-06-25,43,61.73
2004-07-02,32,60.95
2004-07-09,48,60.25
2004-07-16,28,65.64
2004-07-23,33,62.9
2004-07-30,34,62.9
2004-08-06,42,61.35
2004-08-13,53,64.9
2004-08-20,48,65.57
2004-08-27,56,65.64
2004-09-03,58,67.04
2004-09-10,58,68.87
2004-09-17,71,69.82
2004-09-24,70,71.33
2004-10-01,60,73.76
2004-10-08,59,73.4
2004-10-15,82,73.35
2004-10-22,72,69.86
2004-10-29,65,72.4
2004-11-05,55,79.48
2004-11-12,62,81.5
2004-11-19,81,81.72
2004-11-26,71,83.88
2004-12-03,87,82.31
2004-12-10,71,84.77
2004-12-17,55,85.36
2004-12-31,48,88.03
2005-01-07,67,87.23
2005-01-14,49,89.56
2005-01-21,68,88.85
2005-01-28,50,88.15
2005-02-04,64,91.77
2005-02-11,69,87.75
2005-02-18,60,89.05
2005-02-25,60,91.39
2005-03-04,52,93.29
2005-03-11,63,90.28
2005-03-18,60,91.25
2005-04-01,64,95.83
2005-04-08,78,98.4
2005-04-15,54,93.27
2005-04-22,61,91.26
2005-04-29,54,94.51
2005-05-06,65,98.41
2005-05-13,53,95.37
2005-05-20,51,96.5
2005-05-27,50,97.77
2005-06-03,60,50.6
2005-06-10,40,50.79
2005-06-17,45,51.85
2005-06-24,51,51.3
2005-07-01,45,52.81
2005-07-08,48,53.05
2005-07-15,48,50.82
2005-07-22,57,50.8
2005-07-29,55,52.3
2005-08-05,47,52.06
2005-08-12,59,52.09
2005-08-19,66,51.18
2005-08-26,62,50.45
2005-09-02,90,52.53
2005-09-09,64,54.51
2005-09-16,89,54.05
2005-09-23,75,55
2005-09-30,71,56.2
2005-10-07,70,56.37
2005-10-14,82,56.43
2005-10-21,73,57.14
2005-10-28,81,56.73
2005-11-04,78,58.02
2005-11-11,70,59.65
2005-11-18,70,60.96
2005-11-25,83,60.16
2005-12-02,100,61.97
2005-12-09,80,63.67
2005-12-16,73,63.14
2005-12-23,70,63.65
2005-12-30,67,62.14
2006-01-06,69,62.9
2006-01-13,81,60.94
2006-01-20,63,59.48
2006-01-27,84,58.54
2006-02-03,94,59.62
2006-02-10,68,58.6
2006-02-17,64,58
2006-02-24,76,58.89
2006-03-03,75,56.6
2006-03-10,71,56.17
2006-03-17,58,56.69
2006-03-24,71,55.78
2006-03-31,79,55.86
2006-04-07,66,53.69
2006-04-21,79,49.57
2006-04-28,79,49.74
2006-05-05,75,46.39
2006-05-12,83,45.84
2006-05-19,72,44.42
2006-05-26,62,43.12
2006-06-02,53,46.98
2006-06-09,51,45.77
2006-06-16,49,44.29
2006-06-23,55,45.23
2006-06-30,52,44.78
2006-07-07,44,45.39
2006-07-14,51,47.55
2006-07-21,60,50
2006-07-28,60,47.85
2006-08-04,55,48.56
2006-08-11,61,47.57
2006-08-18,53,49.5
2006-08-25,70,50.88
2006-09-01,79,51.8
2006-09-08,73,50.9
2006-09-15,89,52.21
2006-09-22,78,48.97
2006-09-29,84,49.2
2006-10-06,82,51.5
2006-10-13,79,48.75
2006-10-20,86,50.7
2006-10-27,77,49.41
2006-11-03,88,47.83
2006-11-10,81,46.11
2006-11-17,67,47.25
2006-11-24,57,46.71
2006-12-01,86,48.83
2006-12-08,63,49.91
2006-12-15,59,50.09
2006-12-22,61,53.45
2006-12-29,43,53.73
2007-01-05,74,52.55
2007-01-12,60,55.1
2007-01-19,60,53.2
2007-01-26,70,51.54
2007-02-02,79,52.91
2007-02-09,64,50.88
2007-02-16,73,53.95
2007-02-23,70,53.03
2007-03-02,60,54.18
2007-03-09,73,53
2007-03-16,65,53.13
2007-03-23,68,56.51
2007-03-30,62,52.97
2007-04-13,68,52.95
2007-04-20,55,53.2
2007-04-27,66,53.15
2007-05-04,70,53.57
2007-05-11,52,53.59
2007-05-18,51,53.47
2007-05-25,51,54.41
2007-06-01,36,55.21
2007-06-08,38,53.67
2007-06-15,42,52.9
2007-06-22,33,51.3
2007-06-29,41,51.14
2007-07-06,35,53.02
