"Date","CELG","Price"
2004-03-12,100,44.4
2004-03-19,41,47.26
2004-03-26,40,46.47
2004-04-02,40,51
2004-04-16,40,52.41
2004-04-23,40,56.94
2004-04-30,40,51.6
2004-05-07,41,52.98
2004-05-14,31,56.97
2004-05-21,20,54.42
2004-05-28,75,57
2005-01-07,29,27.23
2005-01-14,19,29.85
2005-03-11,14,32.8
2005-03-18,11,33.05
2005-04-01,14,33.76
2005-04-08,14,36.42
2005-04-15,15,37.07
2005-04-22,14,40.1
2005-04-29,14,37.91
2005-05-06,24,37.23
2005-05-13,18,37
2005-05-20,18,39.42
2005-05-27,17,41.2
2005-06-03,17,40.09
2005-06-10,19,39.95
2005-06-17,21,42.1
2005-06-24,13,40.69
2005-07-01,16,41.79
2005-07-08,19,42.42
2005-07-15,12,47.25
2005-07-22,12,48.16
2005-07-29,14,47.85
2005-08-05,17,47.51
2005-08-12,15,46.94
2005-08-19,15,45.96
2005-08-26,25,48.88
2005-09-02,18,51.35
2005-09-09,13,50.64
2005-09-16,37,55.52
2005-09-23,20,53
2005-09-30,15,54.32
2005-10-07,17,49.52
2005-10-14,15,51.7
2005-10-21,10,51.64
2005-10-28,20,53.82
2005-11-04,12,59.69
2005-11-11,14,58.9
2005-11-18,16,61.75
2005-11-25,25,62.43
2005-12-02,20,60
2005-12-09,20,61.34
2005-12-16,16,58.19
2005-12-23,22,58.6
2005-12-30,25,64.8
2006-01-06,30,68.83
2006-01-13,31,66.64
2006-01-20,23,67.27
2006-01-27,13,70.71
2006-02-03,18,69.89
2006-02-10,17,69.66
2006-02-17,15,70.3
2006-02-24,15,73.98
2006-03-03,24,40.11
2006-03-10,16,38.95
2006-03-17,18,42.04
2006-03-24,21,41.93
2006-03-31,18,44.22
2006-04-07,20,37.87
2006-04-21,22,37.8
2006-04-28,21,42.16
2006-05-05,27,42.61
2006-05-12,24,40.61
2006-05-19,20,39.3
2006-05-26,15,41.46
2006-06-02,16,43.98
2006-06-09,23,43.35
2006-06-16,14,43.5
2006-06-23,15,45.91
2006-06-30,29,47.43
2006-07-07,28,48.25
2006-07-14,23,45.08
2006-07-21,26,45.98
2006-07-28,18,46.97
2006-08-04,21,45.94
2006-08-11,20,43
2006-08-18,20,43.41
2006-08-25,23,42.61
2006-09-01,14,42.76
2006-09-08,15,41.28
2006-09-15,18,41.18
2006-09-22,14,42
2006-09-29,14,43.3
2006-10-06,18,45.79
2006-10-13,17,46.18
2006-10-20,23,45.61
2006-10-27,23,50.33
2006-11-03,21,51.65
2006-11-10,22,55
2006-11-17,19,56.27
2006-11-24,21,55.15
2006-12-01,18,56.27
2006-12-08,16,55.81
2006-12-15,20,58.51
2006-12-22,12,57.7
2006-12-29,20,57.53
2007-01-05,17,57.58
2007-01-12,23,55.88
2007-01-19,13,54.98
2007-01-26,18,53.96
2007-02-02,22,55.41
2007-02-09,22,55.33
2007-02-16,17,53.44
2007-02-23,12,56.28
2007-03-02,23,51.3
2007-03-09,19,51.16
2007-03-16,22,52.02
2007-03-23,15,55.02
2007-03-30,19,52.46
2007-04-13,21,57.98
2007-04-20,19,60.27
2007-04-27,20,61.92
2007-05-04,19,63.03
2007-05-11,18,64.2
2007-05-18,18,64.54
2007-05-25,24,62.45
2007-06-01,21,61.8
2007-06-08,23,58.47
2007-06-15,28,60.08
2007-06-22,19,56.4
2007-06-29,23,57.33
2007-07-06,23,58.08
2007-07-13,24,59.2
2007-07-20,17,58.44
2007-07-27,24,61.13
2007-08-03,27,59.46
2007-08-10,27,59.57
2007-08-17,26,59.27
2007-08-24,29,59.8
2007-08-31,25,64.21
2007-09-07,16,65.07
2007-09-14,21,69.01
2007-09-21,24,70.63
2007-09-28,24,71.31
2007-10-05,24,72.71
2007-10-12,24,74
2007-10-19,19,69.96
2007-10-26,30,66.86
2007-11-02,24,64.94
2007-11-09,28,62.89
2007-11-16,25,64.9
2007-11-23,28,62.35
2007-11-30,25,61.55
2007-12-07,29,57.36
2007-12-14,42,50.41
2007-12-21,29,48
2007-12-28,22,47
2008-01-04,30,49.65
2008-01-11,35,54.27
2008-01-18,23,54.75
2008-01-25,25,51.47
2008-02-01,23,59.7
2008-02-08,19,58.37
2008-02-15,26,55.71
2008-02-22,22,54.26
2008-02-29,29,56.41
2008-03-07,32,56.76
2008-03-14,28,56.3
2008-03-28,27,59.44
2008-04-04,22,64.31
2008-04-11,24,62.66
2008-04-18,24,64.45
2008-04-25,21,63.11
2008-05-02,24,64.36
2008-05-09,24,62.49
2008-05-16,25,61.09
2008-05-23,13,58.86
2008-05-30,23,60.86
2008-06-06,32,61.39
2008-06-13,27,60.27
