"Date","ESRX","Price"
2006-10-27,90,64.97
2007-04-27,64,95.57
2008-01-11,57,71.35
2008-02-29,61,59.1
2008-03-07,52,58.51
2008-03-14,52,56.43
2008-03-28,44,63.51
2008-04-04,49,66.96
2008-04-11,55,63.95
2008-04-18,60,68.76
2008-04-25,66,73.71
2008-05-02,71,69.59
2008-05-09,48,70.79
2008-10-10,41,54.57
2009-03-13,32,48.27
2009-03-20,37,46.5
2009-03-27,43,43.89
2009-04-03,48,48.63
2009-04-17,59,59.75
2009-04-24,55,58.45
2009-05-01,55,63.37
2009-05-08,32,61.29
2009-05-15,33,58.67
2009-05-22,33,59.53
2009-05-29,34,64.05
2009-06-05,34,63.34
2009-09-18,29,78.93
2009-09-25,32,77.03
2009-10-02,34,75.92
2009-10-09,37,79.44
2009-10-16,39,81.35
2009-10-23,30,80.7
2009-10-30,52,79.92
2009-11-06,30,85.3
2009-12-18,43,84.38
2010-02-26,53,96.01
2010-03-05,29,99.45
2010-03-12,29,98.94
2010-03-19,29,100.73
2010-03-26,29,100.62
2010-04-09,26,103.31
2010-04-16,25,100.78
2010-04-23,25,104.19
2010-04-30,25,100.13
2010-05-07,26,97.15
2010-05-14,27,101.69
2010-05-21,28,100.59
2010-05-28,40,100.6
2010-06-04,53,99.13
2010-06-11,65,52.67
2010-06-18,33,52.02
2010-06-25,27,49.63
2010-07-02,27,45.6
2010-07-09,27,46.95
2010-07-16,31,46.94
2010-07-23,36,43.07
2010-07-30,48,45.18
2010-08-06,43,46.35
2010-08-13,33,45.93
2010-08-20,26,45.36
2010-08-27,24,44.72
2010-09-03,24,44.08
2010-09-10,24,45.68
2010-09-17,24,46.37
2010-09-24,24,49.6
2010-10-01,23,48.83
2010-10-08,26,48.3
2010-10-15,29,48.37
2010-10-22,32,49
2010-10-29,35,48.52
2010-11-05,35,52.77
2010-11-12,27,52.22
2010-11-19,25,53.38
2011-02-18,20,56.77
2011-02-25,21,55.43
2011-03-04,22,56.15
2011-03-11,22,52.5
2011-03-18,23,52.11
2011-03-25,24,54.5
2011-04-01,21,56.17
2011-04-08,21,56.15
2011-04-15,29,55.44
2011-04-29,46,56.74
2011-05-06,18,57.93
2011-05-13,21,59.92
2011-05-20,23,59.98
2011-05-27,26,58.48
2011-06-03,28,56.73
2011-07-15,22,51.96
2011-07-22,64,57.3
2011-07-29,27,54.26
2011-08-05,20,49.57
2011-08-12,20,46.69
2011-08-19,19,44.89
2011-08-26,19,45.39
2011-09-02,23,45.34
2011-09-09,26,43.67
2011-09-16,30,41.29
2011-09-23,16,38.71
2011-09-30,16,37.07
2011-10-07,39,39.46
2011-10-14,28,40.18
2011-10-21,24,39.14
2011-10-28,39,46.7
2011-11-04,26,45.21
2011-11-11,18,47.68
2011-11-18,20,43.97
2011-11-25,16,42.15
2011-12-02,30,46.61
2011-12-09,20,45.99
2011-12-16,19,43.52
2011-12-23,19,45.25
2011-12-30,19,44.69
2012-01-06,19,49.39
2012-01-13,34,49.15
2012-01-20,23,51.9
2012-01-27,29,51.44
2012-02-03,28,52.08
2012-02-10,38,50.17
2012-02-17,27,52.18
