"Date","STJ","Price"
2004-02-06,25,74.29
2004-02-13,28,74
2004-02-20,38,73.65
2004-02-27,26,72.65
2004-03-05,61,76.5
2004-03-12,43,74.85
2004-03-19,42,73.71
2004-03-26,47,71.61
2004-04-02,36,72.25
2004-04-16,36,76.27
2004-04-23,33,78.36
2004-04-30,32,76.26
2004-05-07,46,75.85
2004-05-14,43,74.74
2004-05-21,33,74.78
2004-05-28,39,76.26
2004-06-04,47,76.9
2004-06-18,38,76.95
2004-06-25,33,75
2004-07-02,30,73.92
2004-07-09,28,72.6
2004-07-16,28,71.99
2004-07-23,30,66.75
2004-07-30,26,68.13
2004-08-06,32,63.49
2004-08-13,30,64.7
2004-08-20,43,68.36
2004-08-27,43,67.6
2004-09-03,39,69.1
2004-09-10,30,71.68
2004-09-17,33,70.73
2004-09-24,43,73.43
2004-10-01,36,74.98
2004-10-08,34,72.63
2004-10-15,32,76.9
2004-10-22,39,73.95
2004-10-29,39,76.57
2004-11-05,27,76.41
2004-11-12,40,77.5
2004-11-19,40,74.87
2004-11-26,41,38.66
2004-12-03,34,40.64
2004-12-10,32,40.9
2004-12-17,25,40.98
2004-12-31,21,41.93
2005-01-07,17,39.02
2005-01-14,18,38.65
2005-01-21,19,37.48
2005-01-28,23,39.24
2005-02-04,25,39.55
2005-02-11,23,40.4
2005-02-18,33,39.61
2005-02-25,35,39.97
2005-03-04,39,39
2005-03-11,43,37.66
2005-03-18,41,36.82
2005-04-01,39,35.06
2005-04-08,38,36.44
2005-04-15,41,36.16
2005-04-22,33,40
2005-04-29,40,39.03
2005-05-06,48,38.5
2005-05-13,40,38.44
2005-05-20,44,40.12
2005-05-27,32,40.35
2005-06-03,45,40.8
2005-06-10,42,39.59
2005-06-17,47,40
2005-06-24,42,42.2
2005-07-01,37,44
2005-07-08,35,44.53
2005-07-15,40,42.9
2005-07-22,28,46.62
2005-07-29,32,47.41
2005-08-05,35,46.4
2005-08-12,35,45.32
2005-08-19,45,43.49
2005-08-26,39,44.3
2005-09-02,43,46.52
2005-09-09,32,47.49
2005-09-16,41,46.45
2005-09-23,45,46.08
2005-09-30,44,46.8
2005-10-07,43,45.92
2005-10-14,32,45.76
2005-10-21,50,48.01
2005-10-28,43,47.18
2005-11-04,41,49.52
2005-11-11,42,50.91
2005-11-18,36,50.91
2005-11-25,44,49.15
2005-12-02,38,48.27
2005-12-09,34,51.32
2005-12-16,37,51.76
2005-12-23,29,50.62
2005-12-30,16,50.2
2006-01-06,25,52.99
2006-01-13,28,53.53
2006-01-20,30,52.6
2006-01-27,35,49.66
2006-02-03,39,46.99
2006-02-10,44,48.97
2006-02-17,37,48.62
2006-02-24,42,46.7
2006-03-03,33,45.4
2006-03-10,42,46.51
2006-03-17,51,45.05
2006-03-24,50,43.85
2006-03-31,48,41
2006-04-07,45,37.02
2006-04-21,44,38.46
2006-04-28,42,39.48
2006-05-05,43,38.87
2006-05-12,45,38
2006-05-19,46,35.38
2006-05-26,53,34.76
2006-06-02,57,34.5
2006-06-09,50,32.88
2006-06-16,38,34.41
2006-06-23,43,33.06
2006-06-30,44,32.42
2006-07-07,38,33.6
2006-07-14,37,32.25
2006-07-21,40,33.37
2006-07-28,40,37.41
2006-08-04,44,33.63
2006-08-11,53,33.68
2006-08-18,50,37.04
2006-08-25,49,36.13
2006-09-01,56,36.3
2006-09-08,45,37.33
2006-09-15,58,36.93
2006-09-22,41,35.6
2006-09-29,51,35.29
2006-10-06,45,38.43
2006-10-13,38,37.17
2006-10-20,47,34.88
2006-10-27,48,34.09
2006-11-03,48,33.63
2006-11-10,48,33.31
2006-11-17,40,35.88
2006-11-24,51,37.54
2006-12-01,48,36.86
2006-12-08,40,38.42
2006-12-15,37,37.55
2006-12-22,28,37.35
2006-12-29,21,36.56
2007-01-05,25,35
2007-01-12,32,38.58
2007-01-19,30,39.1
2007-01-26,36,40.77
2007-02-02,32,41.62
2007-02-09,35,42.01
2007-02-16,37,41.84
2007-02-23,30,40.49
2007-03-02,44,39.5
2007-03-09,47,39.88
2007-03-16,48,37.59
2007-03-23,52,39.13
2007-03-30,51,37.61
2007-04-13,58,40.24
2007-04-20,52,43.16
2007-04-27,55,43.77
2007-05-04,48,44.03
2007-05-11,54,44.11
2007-05-18,61,43.06
2007-05-25,61,43.27
2007-06-01,61,42.58
2007-06-08,50,42.31
2007-06-15,48,43.99
2007-06-22,47,42.37
2007-06-29,56,41.49
2007-07-06,53,42.69
2007-07-13,44,42.09
2007-07-20,43,44.99
2007-07-27,40,42.34
2007-08-03,47,45.05
2007-08-10,52,45.15
2007-08-17,60,43.6
2007-08-24,65,44.11
2007-08-31,67,43.57
2007-09-07,57,43.48
2007-09-14,64,45.89
2007-09-21,63,45.27
2007-09-28,62,44.07
2007-10-05,61,44.52
2007-10-12,49,45.22
2007-10-19,57,40.78
2007-10-26,54,39.9
2007-11-02,53,40.78
2007-11-09,58,39.02
2007-11-16,48,38.97
2007-11-23,65,38.95
2007-11-30,60,39.75
2007-12-07,50,39.8
2007-12-14,52,42.11
2007-12-21,42,41.2
2007-12-28,23,41.07
2008-01-04,26,38.95
2008-01-11,43,43.07
2008-01-18,40,39.99
2008-01-25,43,40.86
2008-02-01,46,41.39
2008-02-08,30,41.87
2008-02-15,52,43.11
2008-02-22,58,43.29
2008-02-29,63,42.98
2008-03-07,66,41.7
2008-03-14,62,41.28
2008-03-28,66,43.31
2008-04-04,69,45.22
2008-04-11,62,43.42
2008-04-18,63,45.04
2008-04-25,60,44.46
2008-05-02,59,42.99
2008-05-09,66,40.93
2008-05-16,77,40.64
2008-05-23,60,41.03
2008-05-30,78,40.75
2008-06-06,70,41
2008-06-13,74,41.66
2008-06-20,69,40.34
2008-06-27,69,40.54
2008-07-11,61,42.01
2008-07-18,72,47.05
2008-07-25,82,46.66
2008-08-01,73,46.56
2008-08-08,92,47.97
2008-08-15,85,46.16
2008-08-22,94,46.7
2008-08-29,97,45.83
2008-09-05,93,44.31
2008-09-12,85,43.05
2008-09-19,81,44.37
2008-09-26,92,43.7
2008-10-03,94,42.65
2008-10-10,75,32.52
2008-10-17,75,37.03
2008-10-24,76,34.14
2008-10-31,86,38.03
2008-11-07,73,35.82
2008-11-14,77,32.92
2008-11-21,73,27.64
2008-11-28,75,28.03
2008-12-05,67,31.03
2008-12-12,56,31.34
2008-12-19,61,32.74
2008-12-26,28,32.16
2009-01-02,21,34.27
2009-01-09,46,32.25
2009-01-16,50,30.7
2009-01-23,54,31.02
2009-01-30,57,36.37
2009-02-06,61,37.15
2009-02-13,67,38.28
2009-02-20,72,36.67
2009-02-27,48,33.16
2009-03-06,70,32.37
2009-03-13,79,36.67
2009-03-20,78,36.21
2009-03-27,85,37.71
2009-04-03,84,35.07
2009-04-17,79,36.2
2009-04-24,68,34.72
2009-05-01,72,33.17
2009-05-08,77,36.45
2009-05-15,85,37.11
2009-05-22,83,36.72
2009-05-29,86,39.02
2009-06-05,79,40.45
2009-06-12,67,37.85
2009-06-19,78,40.02
2009-06-26,77,41.67
2009-07-10,69,38.62
2009-07-17,70,38.96
2009-07-24,65,38.33
2009-07-31,70,37.71
2009-08-07,78,37.35
2009-08-14,89,38.09
2009-08-21,89,37.79
2009-08-28,91,38.85
2009-09-04,89,39.4
2009-09-11,80,39.01
2009-09-18,89,38.45
2009-09-25,85,39.22
2009-10-02,86,37.98
2009-10-09,79,34.1
2009-10-16,70,33.83
2009-10-23,78,34.4
2009-10-30,79,34.08
2009-11-06,70,34.79
2009-11-13,82,34.18
2009-11-20,74,34.32
2009-11-27,80,36.41
2009-12-04,77,36.8
2009-12-11,64,38.33
2009-12-18,63,36.8
2010-01-08,43,39.38
2010-01-15,51,38.39
2010-01-22,58,38.03
