"Date","CAH","Price"
2004-02-06,23,64.52
2004-02-13,23,65.4
2004-02-20,26,64.78
2004-02-27,20,65.23
2004-03-05,21,67.36
2004-03-12,21,66.75
2004-03-19,21,65.21
2004-03-26,38,67.35
2004-04-02,30,69.9
2004-04-16,40,71.15
2004-04-23,22,71.83
2004-04-30,27,73.25
2004-05-07,19,75.54
2004-05-14,30,73.44
2004-05-21,29,66.7
2004-05-28,37,67.71
2004-06-04,17,68.38
2004-06-18,20,68.36
2004-06-25,21,68.95
2004-07-02,24,51.76
2004-07-09,37,48.94
2004-07-16,35,50.45
2004-07-23,27,50.89
2004-07-30,19,44.5
2004-08-06,23,44.01
2004-08-13,31,42.33
2004-08-20,35,44.53
2004-08-27,43,45.79
2004-09-03,30,47.35
2004-09-10,20,45.85
2004-09-17,28,47.88
2004-09-24,29,45.74
2004-10-01,30,44.21
2004-10-08,26,42.53
2004-10-15,37,41.05
2004-10-22,30,38.49
2004-10-29,36,46.75
2004-11-05,36,47.35
2004-11-12,20,51.94
2004-11-19,25,51.24
2004-11-26,31,51.77
2004-12-03,33,53.14
2004-12-10,25,56.76
2004-12-17,26,57.75
2004-12-31,20,58.15
2005-01-07,29,56.12
2005-01-14,15,54.43
2005-01-21,23,54.32
2005-01-28,30,55.55
2005-02-04,33,58.18
2005-02-11,16,57.23
2005-02-18,25,58.35
2005-02-25,30,59.5
2005-03-04,36,58
2005-03-11,22,56.98
2005-03-18,17,56.12
2005-04-01,30,54.68
2005-04-08,37,55.53
2005-04-15,36,55.15
2005-04-22,28,54.48
2005-04-29,34,55.57
2005-05-06,32,55.91
2005-05-13,34,57.53
2005-05-20,32,58.91
2005-05-27,25,57.8
2005-06-03,26,57.48
2005-06-10,28,57.03
2005-06-17,19,59.53
2005-06-24,23,60.51
2005-07-01,33,58.17
2005-07-08,20,58.4
2005-07-15,39,57.79
2005-07-22,37,57.89
2005-07-29,24,59.58
2005-08-05,30,59.22
2005-08-12,22,59.27
2005-08-19,37,58.83
2005-08-26,26,57.89
2005-09-02,44,58.88
2005-09-09,39,59.82
2005-09-16,31,63.37
2005-09-23,31,61.95
2005-09-30,35,63.44
2005-10-07,39,63.55
2005-10-14,35,63.48
2005-10-21,28,64.06
2005-10-28,35,62.65
2005-11-04,26,61.51
2005-11-11,20,61.22
2005-11-18,29,61.14
2005-11-25,34,63.52
2005-12-02,36,64.55
2005-12-09,28,67.05
2005-12-16,34,68.84
2005-12-23,37,69.24
2005-12-30,40,68.75
2006-01-06,30,69.29
2006-01-13,29,69.67
2006-01-20,34,67.91
2006-01-27,34,73.45
2006-02-03,34,71.35
2006-02-10,45,69.76
2006-02-17,40,71.75
2006-02-24,41,72.39
2006-03-03,50,72.1
2006-03-10,36,72.53
2006-03-17,39,74.95
2006-03-24,34,74.49
2006-03-31,35,74.52
2006-04-07,33,71.62
2006-04-21,33,67.47
2006-04-28,44,67.35
2006-05-05,33,68.19
2006-05-12,38,66.46
2006-05-19,37,67.6
2006-05-26,36,66.98
2006-06-02,44,67.52
2006-06-09,36,66.9
2006-06-16,37,66.34
2006-06-23,43,62.83
2006-06-30,32,64.33
2006-07-07,30,63.66
2006-07-14,23,62.8
2006-07-21,32,66.26
2006-07-28,33,67.84
2006-08-04,25,66.85
2006-08-11,34,66.53
2006-08-18,31,67.41
2006-08-25,38,67.32
2006-09-01,27,68.02
2006-09-08,33,68.27
2006-09-15,35,69.54
2006-09-22,39,66.85
2006-09-29,28,65.74
2006-10-06,31,64.02
2006-10-13,33,64.85
2006-10-20,33,65.69
2006-10-27,33,64.47
2006-11-03,29,63.26
2006-11-10,33,62.05
2006-11-17,36,62.67
2006-11-24,30,62.21
2006-12-01,38,65.49
2006-12-08,22,66.06
2006-12-15,31,64.95
2006-12-22,35,64.2
