"Date","AGN","Price"
2004-02-06,41,86.65
2004-02-13,51,87.26
2004-02-20,61,86.4
2004-02-27,41,87.54
2004-03-05,68,89.33
2004-03-12,40,86.97
2004-03-19,40,85.46
2004-03-26,51,83.22
2004-04-02,61,84.9
2004-04-16,76,88.52
2004-04-23,42,90.35
2004-04-30,53,88.05
2004-05-07,66,86.62
2004-05-14,34,87.41
2004-05-21,56,86.51
2004-05-28,79,88.9
2004-06-04,61,90.3
2004-06-18,54,91.42
2004-06-25,35,90.06
2004-07-02,70,88.58
2004-07-09,61,85.18
2004-07-16,67,75.29
2004-07-23,38,72.19
2004-07-30,50,75.64
2004-08-06,61,71.22
2004-08-13,45,70.96
2004-08-20,45,72.79
2004-08-27,36,74.6
2004-09-03,65,75.65
2004-09-10,77,73.9
2004-09-17,42,77.08
2004-09-24,42,77.89
2004-10-01,44,73.44
2004-10-08,39,69
2004-10-15,57,70.07
2004-10-22,61,67.67
2004-10-29,56,71.56
2004-11-05,63,76.9
2004-11-12,50,79.43
2004-11-19,55,77.37
2004-11-26,46,79.02
2004-12-03,65,78.05
2004-12-10,60,78.1
2004-12-17,50,80.08
2004-12-31,83,81.07
2005-01-07,49,79.03
2005-01-14,43,79.78
2005-01-21,50,77.76
2005-01-28,47,76.31
2005-02-04,49,78.15
2005-02-11,53,73.35
2005-02-18,34,74.79
2005-02-25,51,75.45
2005-03-04,47,75.17
2005-03-11,70,73.09
2005-03-18,47,71.71
2005-04-01,62,69.47
2005-04-08,52,70.62
2005-04-15,73,72.18
2005-04-22,44,71.89
2005-04-29,48,70.39
2005-05-06,52,74.08
2005-05-13,48,76.58
2005-05-20,58,77.91
2005-05-27,64,77.5
2005-06-03,46,83.13
2005-06-10,44,81.75
2005-06-17,60,84.64
2005-06-24,69,85.45
2005-07-01,41,84.62
2005-07-08,59,86.15
2005-07-15,53,86.54
2005-07-22,39,86.21
2005-07-29,54,89.37
2005-08-05,45,89.67
2005-08-12,44,92.13
2005-08-19,58,93.27
2005-08-26,63,92.83
2005-09-02,46,91.33
2005-09-09,70,95.1
2005-09-16,58,94.35
2005-09-23,60,91.58
2005-09-30,51,91.62
2005-10-07,65,88.78
2005-10-14,65,87.41
2005-10-21,56,86.33
2005-10-28,43,88.57
2005-11-04,62,100.99
2005-11-11,51,100.28
2005-11-18,50,100.25
2005-11-25,48,99.39
2005-12-02,62,100.4
2005-12-09,37,108.79
2005-12-16,44,108.54
2005-12-23,50,109.06
2005-12-30,64,107.96
