"Date","BCR","Price"
2004-02-06,19,92.9
2004-02-13,18,94.82
2004-02-20,24,92.9
2004-02-27,24,94.39
2004-03-05,30,94.66
2004-03-12,19,94.01
2004-03-19,18,94.44
2004-03-26,19,93.48
2004-04-02,28,98.25
2004-04-16,22,99
2004-04-23,20,110.11
2004-04-30,30,106.27
2004-05-07,25,106.5
2004-05-14,31,108.07
2004-05-21,24,109.47
2004-05-28,25,112.17
2004-06-04,29,56.65
2004-06-18,23,57.46
2004-06-25,23,54.75
2004-07-02,24,55.93
2004-07-09,24,54.73
2004-07-16,28,54.11
2004-07-23,29,54.76
2004-07-30,24,55.2
2004-08-06,28,51.75
2004-08-13,23,51.59
2004-08-20,22,54.92
2004-08-27,33,55.27
2004-09-03,39,56.81
2004-09-10,37,56.76
2004-09-17,45,56.82
2004-09-24,28,56.25
2004-10-01,28,56.25
2004-10-08,26,52.92
2004-10-15,27,53.11
2004-10-22,25,55.19
2004-10-29,30,56.8
2004-11-05,28,58.6
2004-11-12,31,59.7
2004-11-19,30,59.45
2004-11-26,28,60.01
2004-12-03,33,59.5
2004-12-10,29,60.59
2004-12-17,27,63.9
2004-12-31,30,63.98
2005-01-07,36,63.73
2005-01-14,33,65.61
2005-01-21,34,66.25
2005-01-28,33,66.44
2005-02-04,31,69.92
2005-02-11,31,69.16
2005-02-18,44,67.65
2005-02-25,30,67.76
2005-03-04,43,66.39
2005-03-11,32,64.87
2005-03-18,39,67.83
2005-04-01,39,68.14
2005-04-08,29,69.9
2005-04-15,44,68.85
2005-04-22,47,70.49
2005-04-29,32,71.17
2005-05-06,29,72.17
2005-05-13,39,70
2005-05-20,38,70.35
2005-05-27,37,68.47
2005-06-03,34,67.93
2005-06-10,31,68.51
2005-06-17,38,69.96
2005-06-24,36,65.41
2005-07-01,31,66.4
2005-07-08,40,67.71
2005-07-15,34,67.08
2005-07-22,33,66.32
2005-07-29,36,66.79
2005-08-05,33,63.55
2005-08-12,38,65.49
2005-08-19,31,65.22
2005-08-26,34,63.63
2005-09-02,36,65.26
2005-09-09,36,67.24
2005-09-16,54,67.5
2005-09-23,36,66.59
2005-09-30,35,66.03
2005-10-07,35,65.65
2005-10-14,34,64.76
2005-10-21,32,63.62
2005-10-28,39,61.9
2005-11-04,34,62.97
2005-11-11,30,63.32
2005-11-18,32,64.34
2005-11-25,40,64.89
2005-12-02,37,67.34
2005-12-09,36,69.4
2005-12-16,36,66.91
2005-12-23,47,67.5
2005-12-30,32,65.92
2006-01-06,31,67.6
2006-01-13,39,66.71
2006-01-20,37,64.02
2006-01-27,38,63.5
2006-02-03,39,61.92
2006-02-10,38,63.05
2006-02-17,37,64.81
2006-02-24,47,66.1
2006-03-03,43,69.67
2006-03-10,35,69.01
2006-03-17,41,69.5
2006-03-24,40,68.61
2006-03-31,38,67.81
2006-04-07,43,68.05
2006-04-21,38,73.3
2006-04-28,40,74.46
2006-05-05,44,74.73
2006-05-12,44,75.98
2006-05-19,40,72.76
2006-05-26,46,73.69
2006-06-02,46,73.99
2006-06-09,44,73.68
2006-06-16,42,71.47
2006-06-23,40,72.04
2006-06-30,40,73.26
2006-07-07,40,74.17
2006-07-14,42,72.98
2006-07-21,39,68.69
2006-07-28,37,71.55
2006-08-04,40,71.13
2006-08-11,42,70.98
2006-08-18,45,73.31
2006-08-25,42,73.04
2006-09-01,43,75.69
2006-09-08,48,75.44
2006-09-15,62,76.2
2006-09-22,44,75.2
2006-09-29,33,75
2006-10-06,40,75.82
2006-10-13,41,76.39
2006-10-20,45,83.06
2006-10-27,44,81.81
2006-11-03,43,81.21
2006-11-10,41,81.05
2006-11-17,47,82.75
2006-11-24,44,82.34
2006-12-01,38,82.49
2006-12-08,43,84.74
2006-12-15,45,83.81
2006-12-22,47,83.55
2006-12-29,44,82.97
2007-01-05,42,82.35
2007-01-12,44,82.61
2007-01-19,49,83.45
2007-01-26,48,81.1
2007-02-02,50,81.5
2007-02-09,46,81.51
2007-02-16,48,81.95
2007-02-23,48,82.41
2007-03-02,51,78.44
2007-03-09,47,79.01
2007-03-16,54,79.23
2007-03-23,58,80.27
2007-03-30,56,79.51
2007-04-13,44,81.44
2007-04-20,50,83.16
2007-04-27,47,84
2007-05-04,46,82.43
2007-05-11,50,82.35
2007-05-18,55,83.02
2007-05-25,49,84.17
2007-06-01,50,84.46
2007-06-08,55,84.63
2007-06-15,55,84.84
2007-06-22,50,82.07
2007-06-29,57,82.63
2007-07-06,62,83.5
2007-07-13,56,84.39
2007-07-20,56,81.04
2007-07-27,49,79
2007-08-03,51,78.41
2007-08-10,50,81.23
2007-08-17,52,80.6
2007-08-24,49,82.6
2007-08-31,53,83.39
2007-09-07,63,83.3
2007-09-14,68,85.17
2007-09-21,57,86.35
2007-09-28,55,88.19
2007-10-05,49,87.73
2007-10-12,52,87
2007-10-19,52,85.83
2007-10-26,51,82.04
2007-11-02,56,80.96
2007-11-09,51,83.55
2007-11-16,55,84.87
2007-11-23,59,83.58
2007-11-30,87,84.53
2007-12-07,62,85.11
2007-12-14,61,83.5
2007-12-21,63,93.7
2007-12-28,47,95.05
2008-01-04,41,90.7
2008-01-11,59,96.53
2008-01-18,59,96.68
2008-01-25,59,91.65
2008-02-01,63,96.92
2008-02-08,61,95.71
2008-02-15,62,96.47
2008-02-22,55,96.09
2008-02-29,53,94.79
2008-03-07,57,92.85
2008-03-14,59,95.95
