"Date","WAT","Price"
2004-02-06,64,38.47
2004-02-13,63,38.13
2004-02-20,67,37.53
2004-02-27,55,36.94
2004-03-05,63,38.89
2004-03-12,61,37.36
2004-03-19,66,38.86
2004-03-26,60,39.15
2004-04-02,57,41.47
2004-04-16,53,40
2004-04-23,65,39.7
2004-04-30,53,43.15
2004-05-07,52,42.9
2004-05-14,62,43.97
2004-05-21,54,45.8
2004-05-28,64,46.08
2004-06-04,64,45.5
2004-06-18,59,44.13
2004-06-25,49,46.25
2004-07-02,42,46.7
2004-07-09,40,46.55
2004-07-16,38,48.2
2004-07-23,34,45.71
2004-07-30,35,43.88
2004-08-06,38,39.78
2004-08-13,40,40.46
2004-08-20,41,42.95
2004-08-27,43,43.31
2004-09-03,52,44.15
2004-09-10,61,44.9
2004-09-17,71,45.86
2004-09-24,77,44.86
2004-10-01,78,44.53
2004-10-08,84,42.99
2004-10-15,77,42.31
2004-10-22,66,40.75
2004-10-29,71,41.29
2004-11-05,72,44.11
2004-11-12,68,45.63
2004-11-19,76,45.94
2004-11-26,81,47.15
2004-12-03,77,47.4
2004-12-10,79,47.15
2004-12-17,78,46.9
2004-12-31,51,46.79
2005-01-07,61,45.67
2005-01-14,85,48.66
2005-01-21,85,47.69
2005-01-28,80,48.36
2005-02-04,76,50.57
2005-02-11,71,50.13
2005-02-18,78,48.6
2005-02-25,80,49.4
2005-03-04,78,49.91
2005-03-11,79,48.51
2005-03-18,79,46.77
2005-04-01,74,35.84
2005-04-08,73,36.01
2005-04-15,79,34.65
2005-04-22,77,36.69
2005-04-29,74,39.63
2005-05-06,60,40.29
2005-05-13,74,39.35
2005-05-20,78,38.5
2005-05-27,80,38.81
2005-06-03,92,38.4
2005-06-10,81,38.03
2005-06-17,72,39.61
2005-06-24,62,39.45
2005-07-01,58,37.22
2005-07-08,48,38.99
2005-07-15,46,39.51
2005-07-22,44,41.4
2005-07-29,47,45.28
2005-08-05,47,44.14
2005-08-12,49,44.52
2005-08-19,47,44.6
2005-08-26,52,44.94
2005-09-02,57,45.58
2005-09-09,72,46.28
2005-09-16,80,43
2005-09-23,85,42.6
2005-09-30,81,41.6
2005-10-07,83,42.47
2005-10-14,82,36.58
2005-10-21,70,36.2
2005-10-28,78,35.43
2005-11-04,84,38.38
2005-11-11,79,40.37
2005-11-18,86,40.05
2005-11-25,86,40.16
2005-12-02,80,38.99
2005-12-09,80,38.95
2005-12-16,79,38.6
2005-12-23,74,38.08
2005-12-30,57,37.8
2006-01-06,68,37.35
2006-01-13,82,38.8
2006-01-20,85,38.1
2006-01-27,82,41.9
2006-02-03,81,40.83
2006-02-10,80,40.82
2006-02-17,80,42.31
2006-02-24,70,43.75
2006-03-03,72,42.55
2006-03-10,84,41.77
2006-03-17,81,44.39
2006-03-24,78,43.43
2006-03-31,74,43.15
2006-04-07,72,43.38
2006-04-21,70,43.39
2006-04-28,70,45.32
2006-05-05,61,45.57
2006-05-12,70,44.23
2006-05-19,76,43.1
2006-05-26,68,42.18
2006-06-02,75,43.11
2006-06-09,65,43
2006-06-16,68,42.49
2006-06-23,64,42.65
2006-06-30,52,44.4
2006-07-07,48,44.12
2006-07-14,47,41.75
2006-07-21,43,41.87
2006-07-28,44,40.59
2006-08-04,47,41.07
2006-08-11,48,40.86
2006-08-18,48,42.87
2006-08-25,51,42.33
2006-09-01,53,43.06
2006-09-08,62,42.75
2006-09-15,67,44.54
2006-09-22,70,43.99
2006-09-29,72,45.28
2006-10-06,76,45.15
2006-10-13,72,45.26
2006-10-20,66,46.44
2006-10-27,64,49.43
2006-11-03,70,49.45
2006-11-10,68,51.38
2006-11-17,68,50.86
2006-11-24,74,50.47
2006-12-01,70,49.39
2006-12-08,71,50.37
2006-12-15,67,50.06
2006-12-22,63,49.05
2006-12-29,50,48.97
2007-01-05,55,48.67
2007-01-12,70,54.71
2007-01-19,69,54.96
2007-01-26,70,56.07
2007-02-02,68,56.26
2007-02-09,65,56.21
2007-02-16,67,58
2007-02-23,60,56.03
2007-03-02,63,55.02
2007-03-09,70,54.5
2007-03-16,66,56.1
2007-03-23,68,58.24
2007-03-30,66,58
2007-04-13,58,60.04
2007-04-20,62,59.98
2007-04-27,59,59.86
2007-05-04,49,60.11
2007-05-11,67,60.31
2007-05-18,63,61.38
2007-05-25,68,60.64
2007-06-01,69,60.08
2007-06-08,69,60.3
2007-06-15,68,61.03
2007-06-22,65,59.13
2007-06-29,57,59.36
2007-07-06,55,61
2007-07-13,50,61.58
2007-07-20,49,61.3
2007-07-27,45,59.08
2007-08-03,44,60.77
2007-08-10,47,62.53
2007-08-17,52,61.58
2007-08-24,51,62.92
2007-08-31,53,61.57
2007-09-07,59,62.86
2007-09-14,68,65.55
2007-09-21,71,67.36
2007-09-28,69,66.92
2007-10-05,70,67.51
2007-10-12,70,66.69
2007-10-19,64,67.39
2007-10-26,59,75.63
2007-11-02,71,75.28
2007-11-09,70,74.35
2007-11-16,71,76.57
2007-11-23,70,77.35
2007-11-30,67,78.04
2007-12-07,66,79.22
2007-12-14,66,80.07
2007-12-21,63,77.86
2007-12-28,55,79.43
2008-01-04,60,77.51
2008-01-11,75,78.7
2008-01-18,72,73.23
2008-01-25,67,57.07
2008-02-01,69,60.62
2008-02-08,66,60.16
2008-02-15,70,60.37
2008-02-22,71,60.07
2008-02-29,63,59.61
2008-03-07,69,59.1
2008-03-14,68,57.55
2008-03-28,65,55.72
2008-04-04,63,56.38
2008-04-11,68,56.63
2008-04-18,67,54.77
2008-04-25,64,58.47
2008-05-02,52,62.34
2008-05-09,55,63.41
2008-05-16,64,64.38
2008-05-23,69,63.2
2008-05-30,70,61.52
2008-06-06,67,61.33
2008-06-13,65,62.29
2008-06-20,65,62.94
2008-06-27,61,65.17
2008-07-11,59,65.19
2008-07-18,57,62.7
2008-07-25,54,67.31
2008-08-01,54,66.95
2008-08-08,57,69.18
2008-08-15,60,70.19
2008-08-22,63,68.91
2008-08-29,64,68.25
2008-09-05,72,64.02
2008-09-12,74,62.28
2008-09-19,76,57.65
2008-09-26,80,59.65
2008-10-03,78,54.06
2008-10-10,81,45.69
2008-10-17,73,45.87
2008-10-24,72,41.58
2008-10-31,78,43.8
2008-11-07,76,43.01
2008-11-14,77,39.14
2008-11-21,78,36.85
2008-11-28,79,41.23
2008-12-05,80,40.46
2008-12-12,78,37.21
2008-12-19,73,36.88
2008-12-26,71,36.1
2009-01-02,74,38.09
2009-01-09,83,35.67
2009-01-16,84,38.67
2009-01-23,85,36.51
2009-01-30,81,36.17
2009-02-06,83,41.76
2009-02-13,82,40.91
2009-02-20,81,37.36
2009-02-27,80,35.22
2009-03-06,87,33.24
2009-03-13,87,31.62
2009-03-20,84,31.99
2009-03-27,90,37.31
2009-04-03,83,39.1
2009-04-17,88,39.46
2009-04-24,83,37.52
2009-05-01,75,44.46
2009-05-08,86,44.45
2009-05-15,87,43.48
2009-05-22,84,43.19
2009-05-29,88,43.32
2009-06-05,89,46.69
2009-06-12,92,48.34
2009-06-19,93,49.07
2009-06-26,88,50.98
2009-07-10,84,48.94
2009-07-17,82,50.28
2009-07-24,82,51.86
2009-07-31,79,50.25
2009-08-07,80,51.28
2009-08-14,86,51.31
2009-08-21,87,51.8
2009-08-28,92,50.96
2009-09-04,96,50.76
2009-09-11,95,54.61
2009-09-18,97,55.32
2009-09-25,97,54.77
2009-10-02,92,53.9
2009-10-09,96,57.75
2009-10-16,97,57.47
2009-10-23,87,56.99
2009-10-30,95,57.43
2009-11-06,97,59.23
2009-11-13,94,60.72
2009-11-20,98,59.04
2009-11-27,96,59.02
2009-12-04,88,59.43
2009-12-11,90,61.21
2009-12-18,85,60.22
2010-01-08,94,61.21
2010-01-15,94,60.76
2010-01-22,95,59.49
2010-01-29,89,56.98
2010-02-05,93,57.47
2010-02-12,96,58.26
2010-02-19,96,58.78
2010-02-26,94,59.66
2010-03-05,100,64.21
2010-03-12,99,64.84
2010-03-19,96,65.06
2010-03-26,92,66.79
2010-04-09,91,69.23
2010-04-16,87,70.48
2010-04-23,86,70.03
2010-04-30,84,71.99
2010-05-07,82,66.11
2010-05-14,86,68.18
2010-05-21,85,65.5
2010-05-28,89,68.44
2010-06-04,86,66.54
2010-06-11,94,68.91
2010-06-18,84,71.71
2010-06-25,81,69.15
2010-07-02,78,63.11
2010-07-09,75,64.4
2010-07-16,75,63.02
2010-07-23,76,64.59
2010-07-30,78,64.16
2010-08-06,77,66.42
2010-08-13,79,62.39
2010-08-20,84,62.68
2010-08-27,80,62.15
2010-09-03,78,64.78
2010-09-10,86,65.97
2010-09-17,88,68.93
2010-09-24,86,71.49
2010-10-01,85,70.89
2010-10-08,83,70.79
2010-10-15,85,72.06
2010-10-22,82,72.53
2010-10-29,82,74.13
2010-11-05,85,77.88
2010-11-12,82,76.45
2010-11-19,82,78.73
2010-11-26,82,78.01
2010-12-03,75,79.4
2010-12-10,78,80.33
2010-12-17,76,80.17
2010-12-31,73,77.71
2011-01-07,82,75.21
2011-01-14,81,76.44
2011-01-21,79,76.25
2011-01-28,82,76.06
2011-02-04,78,75.37
2011-02-11,80,79.87
2011-02-18,78,83.38
2011-02-25,78,82.44
2011-03-04,79,87
2011-03-11,74,85.37
2011-03-18,78,83.57
2011-03-25,76,85.5
2011-04-01,77,87.93
2011-04-08,76,87.65
2011-04-15,74,87.81
2011-04-29,73,98
2011-05-06,69,96.87
2011-05-13,74,97.7
2011-05-20,75,98.73
2011-05-27,78,97.8
2011-06-03,71,94.01
2011-06-10,75,92.25
2011-06-17,76,92.09
2011-06-24,75,91.48
2011-07-01,69,97.63
2011-07-08,67,98.55
2011-07-15,68,93.69
2011-07-22,66,98.06
2011-07-29,65,87.89
2011-08-05,64,78.01
2011-08-12,66,78.89
2011-08-19,64,72.38
