"Date","FDO","Price"
2004-10-08,73,26.35
2004-10-15,78,26.58
2004-10-22,83,27.22
2004-10-29,88,29.55
2005-06-24,61,26.06
2005-07-01,61,26.43
2005-07-08,61,25.61
2005-07-15,61,25.33
2005-07-22,55,25.53
2005-09-02,46,19.96
2005-09-09,49,21.38
2005-09-16,51,21.24
2005-09-23,53,19.78
2005-09-30,43,19.87
2005-10-07,43,20.76
2005-10-14,42,21.63
2005-10-21,50,21.96
2005-10-28,57,21.51
2005-11-04,43,23.43
2005-11-11,43,24.02
2005-11-18,43,23.24
2005-11-25,42,23.11
2005-12-02,42,23.09
2005-12-09,50,22.32
2005-12-16,39,22.95
2005-12-23,42,25.13
2005-12-30,45,24.79
2006-01-06,48,24.39
2006-01-13,39,24.66
2006-01-20,39,24.1
2006-01-27,39,24.23
2006-02-03,42,23.74
2006-02-10,41,24.02
2006-02-17,34,25.21
2006-02-24,38,25.51
2006-03-03,43,25.81
2006-03-10,49,25.51
2006-03-17,49,26.42
2006-03-24,63,27.01
2006-03-31,77,26.6
2006-04-07,55,26.1
2006-04-21,40,25.4
2006-04-28,39,25
2006-05-05,43,26.1
2006-05-12,35,26.72
2006-05-19,50,26
2006-05-26,45,25.37
2006-06-02,36,24.69
2006-06-09,35,23.98
2006-06-16,50,24.41
2006-06-23,65,24.46
2006-06-30,47,24.43
2006-07-07,47,23.22
2006-07-14,39,21.75
2006-07-21,39,22.07
2006-07-28,39,22.48
2006-08-04,32,23.58
2006-08-11,35,23.15
2006-08-18,45,24.63
2006-08-25,48,23.58
2006-09-01,40,26.29
2006-09-08,29,26.75
2006-09-15,46,28.9
2006-09-22,50,28.03
2006-09-29,58,29.24
2006-10-06,39,29.2
2006-10-13,44,29.75
2006-10-20,37,30.01
2006-10-27,34,29.81
2006-11-03,56,27.66
2006-11-10,33,27.67
2006-11-17,50,28.45
2006-11-24,39,28.43
2006-12-01,39,28
2006-12-08,47,28.58
2006-12-15,55,28.97
2006-12-22,29,29.76
2006-12-29,38,29.33
2007-01-05,39,28.95
2007-01-12,37,30.3
2007-01-19,52,32.13
2007-01-26,51,31.18
2007-02-02,36,32.5
2007-02-09,35,31.2
2007-02-16,45,31.01
2007-02-23,37,30.14
2007-03-02,53,28.72
2007-03-09,57,28.78
2007-03-16,44,28.94
2007-03-23,47,29.7
2007-03-30,65,29.62
2007-04-13,45,30.73
2007-04-20,63,31.96
2007-04-27,55,31.86
2007-05-04,55,32.63
2007-05-11,66,33.16
2007-05-18,64,33.51
2007-05-25,53,33.38
2007-06-01,47,33.86
2007-06-08,80,34.34
2007-06-15,71,35.06
2007-06-22,69,34.11
2007-06-29,44,34.32
2007-07-06,36,34.6
2007-07-13,57,34.8
2007-07-20,60,34.52
2007-07-27,39,30.24
2007-08-03,45,28.26
2007-08-10,57,26.11
2007-08-17,60,27
2007-08-24,58,28.15
2007-08-31,63,29.28
2007-09-07,56,28
2007-09-14,84,28.59
2007-09-21,58,27.13
2007-09-28,50,26.56
2007-10-05,60,27.29
2007-10-12,53,27.41
2007-10-19,58,24.56
2007-10-26,53,25.34
2007-11-02,52,23.61
2007-11-09,51,22.53
2007-11-16,57,22.13
2007-11-23,58,22.82
2007-11-30,59,23.55
2007-12-07,47,20.3
2007-12-14,60,18.53
2007-12-21,48,19.48
2007-12-28,45,18.99
2008-01-04,52,17
2008-01-11,54,15.9
2008-01-18,49,17.69
2008-01-25,46,18.23
2008-02-01,68,21.65
2008-02-08,59,19.66
2008-02-15,71,19.77
2008-02-22,59,20.04
2008-02-29,59,19.15
2008-03-07,61,18.8
2008-03-14,52,18.52
2008-03-28,53,19.12
2008-04-04,63,20.38
2008-04-11,51,19.18
2008-04-18,87,20.51
2008-04-25,61,21.65
2008-05-02,49,22.08
2008-05-09,62,21.56
2008-05-16,61,21.65
2008-05-23,67,19.5
2008-05-30,60,21.4
2008-06-06,62,22.2
2008-06-13,43,21.59
2008-06-20,60,19.4
2008-06-27,76,19.42
2008-07-11,64,22.57
2008-07-18,59,23.81
2008-07-25,66,22.74
2008-08-01,56,24.06
2008-08-08,61,24.92
2008-08-15,66,25.37
2008-08-22,65,24.56
2008-08-29,57,24.92
2008-09-05,47,27.17
2008-09-12,77,27.27
2008-09-19,62,27.93
2008-09-26,59,26.95
2008-10-03,61,24.55
2008-10-10,78,22.3
2008-10-17,90,24.66
2008-10-24,61,25.05
2008-10-31,69,26.91
2008-11-07,50,26.36
2008-11-14,73,26.67
2008-11-21,73,25.38
2008-11-28,64,27.78
2008-12-05,63,25.09
2008-12-12,57,24.51
2008-12-19,40,25.32
2008-12-26,55,24.75
2009-01-02,44,25.99
2009-01-09,61,27.5
2009-01-16,60,28.4
2009-01-23,56,27.45
2009-01-30,64,27.77
2009-02-06,72,26.92
2009-02-13,54,26.61
2009-02-20,56,27.02
2009-02-27,58,27.44
2009-03-06,60,30.36
2009-03-13,71,31.52
2009-03-20,67,30.86
2009-03-27,67,33.63
2009-04-03,79,31.9
2009-04-17,57,32.82
2009-04-24,57,32.79
2009-05-01,62,32.14
2009-05-08,65,30.32
2009-05-15,51,30.29
2009-05-22,64,29.9
2009-05-29,67,30.27
2009-06-05,60,30.86
2009-06-12,51,29.49
2009-06-19,50,29.02
2009-06-26,85,28.9
2009-07-10,56,30.18
2009-07-17,58,30.73
2009-07-24,52,31.11
2009-07-31,59,31.42
2009-08-07,52,31.41
2009-08-14,53,29.35
2009-08-21,66,29.72
2009-08-28,48,30.68
2009-09-04,66,28.76
2009-09-11,72,27.27
2009-09-18,53,26.42
2009-09-25,59,26.32
2009-10-02,63,26.63
2009-10-09,73,28.64
2009-10-16,48,28.36
2009-10-23,40,29.17
2009-10-30,66,28.3
2009-11-06,52,28.59
2009-11-13,53,29.63
2009-11-20,60,30.38
2009-11-27,50,31.02
2009-12-04,55,28.28
2009-12-11,57,28.2
2009-12-18,48,28.29
2010-01-08,58,30.14
2010-01-15,50,30.61
2010-01-22,58,30.36
2010-01-29,56,30.88
2010-02-05,47,31.06
2010-02-12,51,31.63
2010-02-19,59,32.48
2010-02-26,63,32.99
2010-03-05,54,35.47
2010-03-12,58,35.38
