"Date","LB","Price"
2004-02-06,36,19.19
2004-02-13,31,18.96
2004-02-20,37,19.75
2004-02-27,32,19.75
2004-03-05,32,19.44
2004-03-12,33,19.21
2004-03-19,35,19.42
2004-03-26,30,19.6
2004-04-02,31,20.24
2004-04-16,38,20.14
2004-04-23,38,21.07
2004-04-30,37,20.64
2004-05-07,30,20
2004-05-14,31,19.88
2004-05-21,36,19.3
2004-05-28,30,19.3
2004-06-04,36,19.17
2004-06-18,35,18.73
2004-06-25,33,18.77
2004-07-02,35,18.81
2004-07-09,34,19.72
2004-07-16,34,19.57
2004-07-23,36,19.56
2004-07-30,35,20.44
2004-08-06,38,19.08
2004-08-13,42,18.89
2004-08-20,38,19.99
2004-08-27,38,20.2
2004-09-03,34,20.79
2004-09-10,37,21.01
2004-09-17,38,21.81
2004-09-24,31,21.91
2004-10-01,36,21.83
2004-10-08,36,22.78
2004-10-15,31,23.04
2004-10-22,39,23.87
2004-10-29,32,24.78
2004-11-05,31,25.58
2004-11-12,37,27.28
2004-11-19,37,26.5
2004-11-26,39,25.78
2004-12-03,34,24.08
2004-12-10,39,23.36
2004-12-17,35,24.01
2004-12-31,33,23.02
2005-01-07,36,22.49
2005-01-14,40,22.55
2005-01-21,43,22.96
2005-01-28,43,23.23
2005-02-04,42,24.31
2005-02-11,39,24.25
2005-02-18,37,23.96
2005-02-25,41,23.43
2005-03-04,41,24.45
2005-03-11,38,25.07
2005-03-18,36,24.36
2005-04-01,35,24.11
2005-04-08,32,23.56
2005-04-15,36,22.52
2005-04-22,38,21.97
2005-04-29,36,21.69
2005-05-06,39,20.96
2005-05-13,34,20.43
2005-05-20,35,20.89
2005-05-27,36,20.45
2005-06-03,36,21.23
2005-06-10,35,21.6
2005-06-17,37,21.82
2005-06-24,36,21.21
2005-07-01,43,21.38
2005-07-08,37,22.88
2005-07-15,41,22.4
2005-07-22,43,23.7
2005-07-29,41,24.38
2005-08-05,39,24.26
2005-08-12,37,24.24
2005-08-19,40,22.15
2005-08-26,36,21.68
2005-09-02,38,20.79
2005-09-09,39,21.03
2005-09-16,40,20.34
2005-09-23,40,20.18
2005-09-30,41,20.43
2005-10-07,38,19.93
2005-10-14,40,19.65
2005-10-21,42,19.14
2005-10-28,38,19.32
2005-11-04,38,20.68
2005-11-11,38,21.35
2005-11-18,40,21.65
2005-11-25,43,22.47
2005-12-02,40,22.66
2005-12-09,39,22.85
2005-12-16,43,22.9
2005-12-23,42,22.41
2005-12-30,38,22.35
2006-01-06,36,22.84
2006-01-13,40,22.84
2006-01-20,39,22.38
2006-01-27,42,23.02
2006-02-03,40,23.16
2006-02-10,40,23.59
2006-02-17,38,23.55
2006-02-24,45,23.93
2006-03-03,40,23.23
2006-03-10,42,23.54
2006-03-17,40,24.23
2006-03-24,38,24.66
2006-03-31,38,24.46
2006-04-07,41,24.74
2006-04-21,37,24.8
2006-04-28,41,25.64
2006-05-05,40,26.65
2006-05-12,40,25.78
2006-05-19,39,27.87
2006-05-26,37,26.83
2006-06-02,40,27.31
2006-06-09,36,26.72
2006-06-16,37,25.8
2006-06-23,38,25.49
2006-06-30,37,25.59
2006-07-07,33,25.28
2006-07-14,40,23.93
2006-07-21,40,23.92
2006-07-28,43,25.01
2006-08-04,37,25.92
2006-08-11,36,25.79
2006-08-18,38,26.04
2006-08-25,35,24.78
2006-09-01,39,25.97
2006-09-08,41,25.8
2006-09-15,39,27.04
2006-09-22,40,27.06
2006-09-29,37,26.49
2006-10-06,40,27.87
2006-10-13,39,28.77
2006-10-20,38,28.59
2006-10-27,38,29.23
2006-11-03,40,29.7
2006-11-10,39,32.1
2006-11-17,40,30.8
2006-11-24,41,31.38
2006-12-01,36,30.58
2006-12-08,37,30.75
2006-12-15,39,30.45
2006-12-22,38,29.72
2006-12-29,37,28.94
2007-01-05,38,27.33
2007-01-12,41,28.62
2007-01-19,41,28.39
2007-01-26,39,27.62
2007-02-02,44,28.56
2007-02-09,38,28.5
2007-02-16,38,29.22
2007-02-23,38,29.51
2007-03-02,40,26.33
2007-03-09,41,26.08
2007-03-16,38,25.7
2007-03-23,38,26.73
2007-03-30,37,26.06
2007-04-13,38,25.8
2007-04-20,40,26.86
2007-04-27,39,28.45
2007-05-04,38,28.53
2007-05-11,39,27.67
2007-05-18,41,26.21
2007-05-25,37,26.25
2007-06-01,43,26.93
2007-06-08,40,26.4
2007-06-15,38,26.23
2007-06-22,42,27.5
2007-06-29,39,27.45
2007-07-06,37,28.99
2007-07-13,39,27.46
2007-07-20,40,26.99
2007-07-27,39,24.1
2007-08-03,38,22.81
2007-08-10,39,23.25
2007-08-17,40,22.06
2007-08-24,43,23.45
2007-08-31,43,23.16
2007-09-07,41,21.48
2007-09-14,42,22.98
2007-09-21,43,23.1
2007-09-28,45,22.89
2007-10-05,42,22.63
2007-10-12,41,22.09
2007-10-19,44,21.39
2007-10-26,40,21.73
2007-11-02,42,21.42
2007-11-09,39,18.66
2007-11-16,42,18.37
2007-11-23,54,18.79
2007-11-30,49,20.08
2007-12-07,47,20.81
2007-12-14,44,18.69
2007-12-21,43,18.36
2007-12-28,42,18.85
2008-01-04,41,16.51
2008-01-11,45,15.05
2008-01-18,46,15.93
2008-01-25,44,17.07
2008-02-01,44,19.33
2008-02-08,44,18.08
2008-02-15,43,17.55
2008-02-22,44,17.59
2008-02-29,42,15.25
2008-03-07,43,14.51
2008-03-14,44,16.01
2008-03-28,42,16.8
2008-04-04,45,18.18
2008-04-11,42,17.31
2008-04-18,43,18.32
2008-04-25,43,19.37
2008-05-02,42,18.66
2008-05-09,44,17.95
2008-05-16,44,19.2
2008-05-23,42,18.61
2008-05-30,39,19.38
2008-06-06,43,17.76
2008-06-13,43,18.67
2008-06-20,42,18.21
2008-06-27,45,16.81
2008-07-11,42,14.99
2008-07-18,43,16.38
2008-07-25,42,16.37
2008-08-01,46,16.11
2008-08-08,43,18.53
2008-08-15,47,18.7
