"Date","KSS","Price"
2004-02-06,66,48.64
2004-02-13,70,48.65
2004-02-20,55,49.9
2004-02-27,98,51.5
2004-03-05,91,52.86
2004-03-12,91,52
2004-03-19,67,48.7
2004-03-26,82,48.45
2004-04-02,70,46.97
2004-04-16,55,43
2004-04-23,61,43.03
2004-04-30,67,41.79
2004-05-07,51,41.68
2004-05-14,44,43.57
2004-05-21,58,44.79
2004-05-28,70,47.56
2004-06-04,70,47.45
2004-06-18,60,45.45
2004-06-25,41,43.2
2004-07-02,79,41.81
2004-07-09,50,43.75
2004-07-16,52,41.55
2004-07-23,56,43.25
2004-07-30,70,45.76
2004-08-06,86,45.13
2004-08-13,50,46.1
2004-08-20,65,48.1
2004-08-27,55,49.25
2004-09-03,80,50.46
2004-09-10,63,50.58
2004-09-17,44,49.48
2004-09-24,78,49.43
2004-10-01,71,48.75
2004-10-08,56,49.72
2004-10-15,62,49.09
2004-10-22,62,52.29
2004-10-29,54,50.76
2004-11-05,65,51.94
2004-11-12,52,52.04
2004-11-19,44,48.02
2004-11-26,55,48.95
2004-12-03,59,47.65
2004-12-10,81,46.67
2004-12-17,79,45.8
2004-12-31,50,49.17
2005-01-07,59,46.8
2005-01-14,57,48.32
2005-01-21,68,46.18
2005-01-28,67,45.62
2005-02-04,68,47.05
2005-02-11,61,47.68
2005-02-18,59,46.63
2005-02-25,80,47.8
2005-03-04,62,53.3
2005-03-11,73,52.96
2005-03-18,60,51.03
2005-04-01,47,50.97
2005-04-08,58,51.26
2005-04-15,63,49.85
2005-04-22,71,48.58
2005-04-29,56,47.6
2005-05-06,53,47.87
2005-05-13,69,47.58
2005-05-20,53,49.15
2005-05-27,71,48.67
2005-06-03,59,51.75
2005-06-10,63,56.73
2005-06-17,83,56.44
2005-06-24,100,55.43
2005-07-01,52,55.77
2005-07-08,50,58.23
2005-07-15,54,57.43
2005-07-22,61,56.95
2005-07-29,61,56.35
2005-08-05,58,54.31
2005-08-12,68,56
2005-08-19,48,55.42
2005-08-26,64,54.85
2005-09-02,72,51.2
2005-09-09,52,52.75
2005-09-16,61,52.55
2005-09-23,63,49
2005-09-30,61,50.18
2005-10-07,59,48.08
2005-10-14,53,47.6
2005-10-21,54,47.16
2005-10-28,47,45.59
2005-11-04,54,48.88
2005-11-11,67,50.68
2005-11-18,63,49.23
2005-11-25,59,49.2
2005-12-02,56,46.96
2005-12-09,62,46
2005-12-16,62,45.68
2005-12-23,58,48.7
2005-12-30,45,48.6
2006-01-06,62,44.5
2006-01-13,64,45.97
2006-01-20,79,43.62
2006-01-27,56,44.2
2006-02-03,74,45.24
2006-02-10,65,45.13
2006-02-17,67,46.01
2006-02-24,69,46.86
2006-03-03,69,48.8
2006-03-10,69,50.79
2006-03-17,66,52.99
2006-03-24,59,50.82
2006-03-31,57,53.01
2006-04-07,56,53.4
2006-04-21,55,54.36
2006-04-28,61,55.84
2006-05-05,56,57.49
2006-05-12,67,56.65
2006-05-19,60,57.76
2006-05-26,57,54.13
2006-06-02,60,54.33
2006-06-09,54,54.46
2006-06-16,61,57.5
2006-06-23,58,57.82
2006-06-30,55,59.12
2006-07-07,51,58.68
2006-07-14,56,54.9
2006-07-21,50,54.08
2006-07-28,54,55.21
2006-08-04,53,58.79
2006-08-11,55,60.76
2006-08-18,54,61.73
2006-08-25,54,60.3
2006-09-01,57,63.45
2006-09-08,53,65.09
2006-09-15,47,66.85
2006-09-22,55,66.14
2006-09-29,66,64.92
2006-10-06,57,67.63
2006-10-13,77,70.48
2006-10-20,71,70.85
2006-10-27,71,72.23
2006-11-03,70,69.88
2006-11-10,60,73.69
2006-11-17,71,73.27
2006-11-24,72,71.05
2006-12-01,78,69.09
2006-12-08,63,71.03
2006-12-15,71,70.71
2006-12-22,66,69.82
2006-12-29,73,68.43
2007-01-05,54,66.8
2007-01-12,54,68.25
2007-01-19,54,69.53
2007-01-26,74,68.95
2007-02-02,61,73.15
2007-02-09,64,72.47
2007-02-16,62,73.82
2007-02-23,68,72.6
2007-03-02,70,71.26
2007-03-09,80,72.82
2007-03-16,60,71.96
2007-03-23,69,75.43
2007-03-30,64,76.61
2007-04-13,54,77.24
2007-04-20,55,78.89
2007-04-27,67,76.34
2007-05-04,58,73.98
2007-05-11,69,72.6
2007-05-18,66,75.03
2007-05-25,64,73.57
2007-06-01,57,76.1
2007-06-08,75,72.41
2007-06-15,65,71.43
2007-06-22,57,70.26
2007-06-29,67,71.03
2007-07-06,57,70.46
2007-07-13,68,68.68
2007-07-20,66,65.32
2007-07-27,66,61.89
2007-08-03,64,57.32
2007-08-10,69,58.18
2007-08-17,56,62.88
2007-08-24,67,58.92
2007-08-31,71,59.3
2007-09-07,74,53.94
2007-09-14,72,56.87
2007-09-21,69,60.27
2007-09-28,57,57.33
2007-10-05,64,61.17
2007-10-12,60,60.62
2007-10-19,69,54.87
2007-10-26,68,56.46
2007-11-02,80,52.81
2007-11-09,71,47.58
2007-11-16,81,49.68
2007-11-23,81,48.72
2007-11-30,83,49.28
2007-12-07,71,52.17
2007-12-14,74,46.69
2007-12-21,67,46.16
2007-12-28,63,45.21
2008-01-04,51,40.9
2008-01-11,89,38.33
2008-01-18,94,40
2008-01-25,71,41.84
2008-02-01,73,45.93
2008-02-08,78,44.67
2008-02-15,70,44.7
2008-02-22,77,45.05
2008-02-29,69,44.44
2008-03-07,74,42.83
2008-03-14,69,41.36
2008-03-28,64,42.33
2008-04-04,63,44.82
2008-04-11,82,42.61
2008-04-18,55,45.79
2008-04-25,62,50.65
2008-05-02,57,50.11
2008-05-09,63,47.74
2008-05-16,60,49.27
2008-05-23,69,43.22
2008-05-30,66,44.8
2008-06-06,66,44.36
2008-06-13,68,45.57
2008-06-20,78,43.39
2008-06-27,58,41.38
2008-07-11,57,39.11
2008-07-18,52,42.94
2008-07-25,46,42.68
2008-08-01,57,42.11
2008-08-08,56,46.87
2008-08-15,57,51.79
2008-08-22,56,49.8
2008-08-29,62,49.17
2008-09-05,62,51.04
2008-09-12,69,51.19
2008-09-19,66,49.98
2008-09-26,58,49.13
2008-10-03,69,41.47
2008-10-10,68,31.71
2008-10-17,61,30.49
2008-10-24,67,27.36
2008-10-31,67,35.13
2008-11-07,75,34.21
2008-11-14,80,29.09
2008-11-21,78,26.15
2008-11-28,71,32.66
2008-12-05,61,35.62
2008-12-12,66,35.35
2008-12-19,69,35.68
2008-12-26,67,33.36
2009-01-02,47,37.56
2009-01-09,68,37.29
2009-01-16,77,38.15
2009-01-23,68,38.1
2009-01-30,56,36.71
2009-02-06,72,38.48
2009-02-13,70,36.13
2009-02-20,72,34.84
2009-02-27,78,35.14
2009-03-06,66,34.5
2009-03-13,64,38.22
2009-03-20,59,40.48
2009-03-27,67,43.14
2009-04-03,62,45.31
2009-04-17,52,44.78
2009-04-24,57,45.43
2009-05-01,54,42.56
2009-05-08,56,43.9
2009-05-15,63,41.33
2009-05-22,62,40.94
2009-05-29,51,42.47
2009-06-05,60,45.97
2009-06-12,59,46.59
2009-06-19,56,43.74
2009-06-26,53,44.1
2009-07-10,49,42.72
2009-07-17,45,46.26
2009-07-24,56,49.1
2009-07-31,46,48.55
2009-08-07,48,53.51
2009-08-14,50,51.73
2009-08-21,52,52.36
2009-08-28,54,52.55
2009-09-04,61,54.58
2009-09-11,57,55.18
2009-09-18,60,55.01
2009-09-25,59,54.37
2009-10-02,52,54.86
2009-10-09,63,60.03
2009-10-16,63,59.68
2009-10-23,59,59.19
2009-10-30,60,57.22
2009-11-06,55,56.68
2009-11-13,62,55.52
2009-11-20,63,53.96
2009-11-27,54,54.45
2009-12-04,63,53.7
2009-12-11,57,55.6
2009-12-18,61,53.39
2010-01-08,53,52.83
2010-01-15,63,51.51
2010-01-22,60,50.45
2010-01-29,54,50.37
2010-02-05,62,49.32
2010-02-12,58,49.83
2010-02-19,59,51.74
2010-02-26,57,53.82
2010-03-05,66,54.7
2010-03-12,52,53.67
2010-03-19,54,55.26
2010-03-26,59,56.18
2010-04-09,60,56.84
2010-04-16,53,57.14
2010-04-23,60,58.48
2010-04-30,52,54.99
2010-05-07,56,53.68
2010-05-14,63,53.45
2010-05-21,58,51.77
2010-05-28,58,50.75
2010-06-04,58,50.08
2010-06-11,56,51.66
2010-06-18,57,52.7
2010-06-25,51,49.52
2010-07-02,40,48.28
2010-07-09,53,48.02
2010-07-16,47,46.42
2010-07-23,48,48.54
2010-07-30,50,47.69
2010-08-06,54,48.63
2010-08-13,50,44.99
2010-08-20,55,46.32
2010-08-27,53,47.21
2010-09-03,55,49.56
2010-09-10,57,48.66
2010-09-17,59,50.9
2010-09-24,56,52.31
2010-10-01,58,52.64
2010-10-08,55,53.76
2010-10-15,58,53.17
2010-10-22,49,52.89
2010-10-29,56,51.22
2010-11-05,62,53.3
2010-11-12,60,51.42
2010-11-19,58,55.01
2010-11-26,57,57.34
2010-12-03,62,55.01
2010-12-10,55,53.64
2010-12-17,51,53.8
2010-12-31,45,54.34
2011-01-07,52,51.9
2011-01-14,55,51.51
2011-01-21,58,51.75
2011-01-28,58,51.2
2011-02-04,55,51.18
2011-02-11,65,52.75
2011-02-18,57,53.42
2011-02-25,58,53.34
2011-03-04,55,54.08
2011-03-11,58,54.46
2011-03-18,55,52.77
2011-03-25,50,53.5
2011-04-01,47,54.04
2011-04-08,53,54.2
2011-04-15,50,53.27
2011-04-29,50,52.71
2011-05-06,49,52.22
2011-05-13,50,55.17
2011-05-20,51,54.66
2011-05-27,54,53.62
2011-06-03,49,50.67
2011-06-10,48,49.76
2011-06-17,52,50.13
2011-06-24,44,49.45
2011-07-01,44,51.79
2011-07-08,46,55.18
2011-07-15,42,55.75
2011-07-22,41,57
2011-07-29,42,54.71
2011-08-05,44,47.3
2011-08-12,49,47.54
2011-08-19,49,45.12
2011-08-26,48,46.9
2011-09-02,45,43.93
2011-09-09,52,42.6
2011-09-16,49,47.5
2011-09-23,51,46.18
2011-09-30,57,49.1
2011-10-07,55,50.17
2011-10-14,57,50.45
2011-10-21,60,54.19
2011-10-28,64,53.07
2011-11-04,51,56.08
2011-11-11,52,56.52
2011-11-18,53,55.34
2011-11-25,50,51.81
2011-12-02,59,50.51
2011-12-09,57,50.9
2011-12-16,63,48.82
2011-12-23,53,49.97
2011-12-30,50,49.35
2012-01-06,48,46.51
2012-01-13,57,46.97
2012-01-20,58,47.37
2012-01-27,49,46.69
2012-02-03,57,49.07
2012-02-10,58,49.88
2012-02-17,53,51.8
2012-02-24,59,49.44
2012-03-02,61,48.4
2012-03-09,58,50.24
2012-03-16,53,50.37
2012-03-23,50,48.1
2012-03-30,54,50.03
2012-04-13,51,49.59
2012-04-20,51,50.46
2012-04-27,51,50.8
2012-05-04,52,50.05
2012-05-11,56,48.18
2012-05-18,52,47.19
2012-05-25,48,50.49
2012-06-01,49,44.7
2012-06-08,48,45.08
2012-06-15,45,44.54
2012-06-22,48,43.32
2012-06-29,49,45.49
2012-07-06,45,47.75
2012-07-13,42,47.61
2012-07-20,43,48.76
2012-07-27,43,49.27
2012-08-03,46,51.11
2012-08-10,48,51
2012-08-17,49,51.96
2012-08-24,48,52.5
2012-08-31,48,52.2
2012-09-07,52,52.53
2012-09-14,54,53.4
2012-09-21,52,52.82
2012-09-28,49,51.22
2012-10-05,47,51
2012-10-12,48,51.42
2012-10-19,52,52.93
2012-10-26,57,52.34
2012-11-02,51,54.55
2012-11-09,57,51.66
2012-11-16,61,51.03
2012-11-23,53,52.25
2012-11-30,61,44.65
2012-12-07,56,44.09
2012-12-14,50,43.8
2012-12-21,46,43.35
2012-12-28,40,42.28
2013-01-04,47,42.23
2013-01-11,50,42.02
2013-01-18,55,43.83
2013-01-25,54,45.25
2013-02-01,63,46.01
2013-02-08,60,46.01
2013-02-15,52,46.34
2013-02-22,51,46.19
2013-03-01,55,46.17
2013-03-08,53,46.66
2013-03-15,50,49.32
2013-03-22,53,46.32
2013-04-05,49,48.16
2013-04-12,52,48.42
2013-04-19,53,47.44
2013-04-26,48,48.28
2013-05-03,47,48.31
2013-05-10,53,48.9
2013-05-17,50,51.58
2013-05-24,54,51.91
2013-05-31,44,51.41
2013-06-07,44,51.96
2013-06-14,44,52.15
2013-06-21,43,50.59
2013-06-28,46,50.51
2013-07-05,40,52.75
2013-07-12,43,53.49
2013-07-19,40,52.86
2013-07-26,39,53.39
2013-08-02,45,53.56
2013-08-09,41,50.69
2013-08-16,48,52.27
2013-08-23,46,51
2013-08-30,38,51.31
2013-09-06,45,52.39
2013-09-13,47,51.24
2013-09-20,48,52.6
2013-09-27,45,52.03
2013-10-04,50,52.51
2013-10-11,46,51.45
2013-10-18,49,53.93
2013-10-25,51,54.74
2013-11-01,53,56.85
2013-11-08,53,57.03
2013-11-15,57,53.95
2013-11-22,51,55.15
2013-11-29,52,55.28
2013-12-06,57,54.7
2013-12-13,56,54.08
2013-12-20,50,54.95
2013-12-27,43,55.94
2014-01-03,39,56.86
2014-01-10,46,56.99
2014-01-17,51,52.93
2014-01-24,47,50.22
2014-01-31,49,50.63
2014-02-07,57,51.19
2014-02-14,52,51.27
2014-02-21,51,51.89
2014-02-28,53,56.19
2014-03-07,55,55.45
2014-03-14,47,54.92
2014-03-21,52,55.79
2014-03-28,48,57
2014-04-04,55,57.66
2014-04-11,48,53.53
2014-04-25,50,54.68
