"Date","TWC","Price"
2007-01-12,29,42.5
2007-01-19,29,42.9
2007-01-26,27,42
2007-02-02,28,42.25
2007-02-09,27,41.25
2007-02-16,35,41.65
2007-02-23,26,41
2007-03-02,29,37.6
2007-03-09,26,36.8
2007-03-16,24,37.65
2007-03-23,28,38.2
2007-03-30,26,37.47
2007-04-13,26,39.32
2007-04-20,30,38.55
2007-04-27,29,36.52
2007-05-04,30,37.78
2007-05-11,28,37.07
2007-05-18,26,37.9
2007-05-25,27,38.55
2007-06-01,30,38.68
2007-06-08,30,38.13
2007-06-15,27,38.61
2007-06-22,27,39.5
2007-06-29,31,39.17
2007-07-06,31,40.27
2007-07-13,33,40.13
2007-07-20,32,41.55
2007-07-27,28,39.02
2007-08-03,29,35.72
2007-08-10,29,34.6
2007-08-17,36,33.73
2007-08-24,35,35.22
2007-08-31,28,36.7
2007-09-07,26,35.37
2007-09-14,30,34.74
2007-09-21,31,31.57
2007-09-28,27,32.8
2007-10-05,26,33.31
2007-10-12,26,33.03
2007-10-19,28,32.66
2007-10-26,30,29.52
2007-11-02,29,27.11
2007-11-09,25,25.25
2007-11-16,21,25.74
2007-11-23,24,24.66
2007-11-30,29,26.03
2007-12-07,29,26.13
2007-12-14,37,26.23
2007-12-21,30,26.58
2007-12-28,29,27.29
2008-01-04,33,25.06
2008-01-11,26,24.16
2008-01-18,29,25.3
2008-01-25,29,24.97
2008-02-01,33,25.75
2008-02-08,30,24.1
2008-02-15,30,26.87
2008-02-22,32,27.32
2008-02-29,26,27.3
2008-03-07,29,26.67
2008-03-14,26,25.39
2008-03-28,25,24.98
2008-04-04,33,27.32
2008-04-11,30,26.53
2008-04-18,29,27.34
2008-04-25,30,26.65
2008-05-02,33,29.44
2008-05-09,30,29.67
2008-05-16,29,30.51
2008-05-23,30,30.32
2008-05-30,28,29.9
2008-06-06,31,29.07
2008-06-13,33,29.54
2008-06-20,30,26.64
2008-06-27,31,26.18
2008-07-11,32,25.82
2008-07-18,31,27.91
2008-07-25,31,26.34
2008-08-01,33,28.85
2008-08-08,37,28.34
2008-08-15,33,27.54
2008-08-22,35,26.67
2008-08-29,43,26.75
2008-09-05,42,26.97
2008-09-12,45,27.43
2008-09-19,30,25.78
2008-09-26,26,25.24
2008-10-03,27,22.46
2008-10-10,27,19.57
2008-10-17,28,19.81
2008-10-24,26,18.3
2008-10-31,25,19.58
2008-11-07,26,19.09
2008-11-14,25,18.87
2008-11-21,26,17.36
2008-11-28,24,20.3
2008-12-05,30,20.8
2008-12-12,30,19.76
2008-12-19,37,19.91
2008-12-26,36,20.56
2009-01-02,38,22.22
2009-01-09,36,20.56
2009-01-16,34,18.77
2009-01-23,32,18.24
2009-01-30,37,18.63
2009-02-06,30,19.16
2009-02-13,30,18.14
2009-02-20,33,17.62
2009-02-27,30,18.23
2009-03-06,37,18.06
2009-03-13,30,25.52
2009-03-20,27,25.6
2009-03-27,33,26.32
2009-04-03,38,26.3
2009-04-17,35,28.92
2009-04-24,31,27.27
2009-05-01,34,33.56
2009-05-08,34,35.82
2009-05-15,38,31.01
2009-05-22,32,32.28
2009-05-29,33,30.79
2009-06-05,34,32
2009-06-12,33,31.03
2009-06-19,32,30.32
2009-06-26,32,31.12
2009-07-10,35,29.11
