"Date","AMZN","Price"
2004-07-30,15,38.92
2005-01-07,11,42.32
2005-01-14,14,44.55
2005-01-21,17,41.16
2005-01-28,20,42.22
2005-02-04,22,35.72
2005-04-01,9,34.01
2005-04-08,11,34.6
2005-04-15,13,33.02
2005-04-22,15,33.04
2005-04-29,17,32.36
2005-05-06,12,34.52
2005-05-13,9,33.9
2005-05-20,9,35.5
2005-05-27,10,35.5
2005-06-03,9,35.59
2005-06-10,9,34.95
2005-06-17,9,35.31
2005-06-24,9,35.02
2005-07-01,10,32.91
2005-07-08,10,34.74
2005-07-15,10,37.15
2005-07-22,9,37.95
2005-07-29,28,45.15
2005-08-05,10,45.27
2005-08-12,15,44.2
2005-08-19,11,43.72
2005-08-26,10,42.37
2005-09-02,10,41.51
2005-09-09,10,42.95
2005-09-16,11,42.8
2005-09-23,13,42.19
2005-09-30,9,45.3
2005-10-07,11,43.72
2005-10-14,11,43.79
2005-10-21,12,45.95
2005-10-28,33,38.95
2005-11-04,15,41.09
2005-11-11,13,42.68
2005-11-18,30,47.98
2005-11-25,21,48.06
2005-12-02,22,49.06
2005-12-09,10,48.74
2005-12-16,11,49.21
2005-12-23,10,49.22
2005-12-30,19,47.15
2006-01-06,11,47.87
2006-01-13,18,44.4
2006-01-20,15,43.92
2006-01-27,15,45.22
2006-02-03,39,38.33
2006-02-10,22,38.52
2006-02-17,25,39.19
2006-02-24,14,38.35
2006-03-03,10,37.21
2006-03-10,13,36.22
2006-03-17,14,35.99
2006-03-24,13,35.47
2006-03-31,8,36.53
2006-04-07,7,37.09
2006-04-21,11,36.03
2006-04-28,19,35.21
2006-05-05,12,35.04
2006-05-12,14,32.73
2006-05-19,9,33.94
2006-05-26,12,36.07
2006-06-02,11,34.76
2006-06-09,6,33.78
2006-06-16,11,35.09
2006-06-23,11,36.55
2006-06-30,12,38.68
2006-07-07,12,36.11
2006-07-14,10,32.92
2006-07-21,13,33.19
2006-07-28,59,27.17
2006-08-04,19,27.29
2006-08-11,14,26.07
2006-08-18,13,29.12
2006-08-25,12,28.03
2006-09-01,17,31.76
2006-09-08,22,30.51
2006-09-15,15,32.52
2006-09-22,19,30.84
2006-09-29,17,32.12
2006-10-06,8,32.59
2006-10-13,14,33.32
2006-10-20,14,32.57
2006-10-27,36,38.24
2006-11-03,13,37.46
2006-11-10,14,39.26
2006-11-17,19,42.55
2006-11-24,13,42.41
2006-12-01,18,39.41
2006-12-08,12,38.46
2006-12-15,14,40.01
2006-12-22,14,40.24
2006-12-29,21,39.46
2007-01-05,11,38.37
2007-01-12,14,38.2
2007-01-19,9,37.02
2007-01-26,9,36.85
2007-02-02,26,37.39
2007-02-09,18,38.72
2007-02-16,9,40.33
2007-02-23,12,40.78
2007-03-02,11,37.69
2007-03-09,10,38.84
