"Date","HOG","Price"
2004-02-06,89,52.34
2004-02-13,23,53.21
2004-02-20,25,53.95
2004-02-27,21,53.12
2004-03-05,23,53.65
2004-03-12,28,51.96
2004-03-19,27,52.22
2004-03-26,27,51.25
2004-04-02,26,52.84
2004-04-16,27,58
2004-04-23,24,58.07
2004-04-30,29,56.32
2004-05-07,28,54.83
2004-05-14,28,54.95
2004-05-21,30,56.43
2004-05-28,30,57.49
2004-06-04,28,57.16
2004-06-18,29,61.87
2004-06-25,25,61.33
2004-07-02,28,61.06
2004-07-09,31,60.93
2004-07-16,30,62.7
2004-07-23,30,59.75
2004-07-30,36,59.87
2004-08-06,31,56.8
2004-08-13,29,58.42
2004-08-20,28,60.82
2004-08-27,27,60.78
2004-09-03,26,62.32
2004-09-10,27,62.32
2004-09-17,23,60.4
2004-09-24,22,59.39
2004-10-01,24,59.71
2004-10-08,26,59.41
2004-10-15,27,57.86
2004-10-22,24,55.55
2004-10-29,21,57.57
2004-11-05,21,59.64
2004-11-12,23,58.85
2004-11-19,25,56.03
2004-11-26,25,57.7
2004-12-03,27,59.19
2004-12-10,24,60.68
2004-12-17,23,58.85
2004-12-31,27,60.75
2005-01-07,24,59.54
2005-01-14,25,59
2005-01-21,27,58.41
2005-01-28,28,59.48
2005-02-04,100,61.27
2005-02-11,28,61.37
2005-02-18,26,61.26
2005-02-25,24,62.1
2005-03-04,25,61.7
2005-03-11,24,60.4
2005-03-18,24,60.56
2005-04-01,28,56.78
2005-04-08,22,57.27
2005-04-15,25,45.8
2005-04-22,26,46.71
2005-04-29,24,47.02
2005-05-06,24,48.85
2005-05-13,26,46.9
2005-05-20,27,50
2005-05-27,25,49.89
2005-06-03,26,48.4
2005-06-10,29,49.25
2005-06-17,27,49.63
2005-06-24,28,50.86
2005-07-01,26,49.78
2005-07-08,26,49.74
2005-07-15,26,53.62
2005-07-22,26,53.45
2005-07-29,24,53.19
2005-08-05,29,51.41
2005-08-12,25,52.11
2005-08-19,29,51.13
2005-08-26,27,49.17
2005-09-02,25,48.8
2005-09-09,24,49.92
2005-09-16,26,51.7
2005-09-23,26,48.73
2005-09-30,25,48.44
2005-10-07,25,45.04
2005-10-14,26,49.2
2005-10-21,25,49.48
2005-10-28,24,48.72
2005-11-04,23,50.97
2005-11-11,24,53.39
2005-11-18,23,53.54
2005-11-25,24,55.1
2005-12-02,24,53.9
2005-12-09,27,51.32
2005-12-16,26,52.53
2005-12-23,26,51.83
2005-12-30,24,51.49
2006-01-06,26,52.15
2006-01-13,30,52.86
2006-01-20,26,53.1
2006-01-27,28,54.64
2006-02-03,93,52.45
2006-02-10,29,51.75
2006-02-17,24,52.03
2006-02-24,25,52.52
2006-03-03,27,51.27
2006-03-10,26,50.77
2006-03-17,24,48.9
2006-03-24,24,51.07
2006-03-31,23,51.88
2006-04-07,26,52.45
2006-04-21,28,51.35
2006-04-28,24,50.84
2006-05-05,28,50.82
2006-05-12,28,49.58
2006-05-19,26,49.68
2006-05-26,29,50.81
2006-06-02,26,50.61
2006-06-09,27,49.07
2006-06-16,26,53.05
2006-06-23,25,52.64
2006-06-30,26,54.89
2006-07-07,24,54.3
2006-07-14,26,51.37
2006-07-21,27,52.9
2006-07-28,28,56.64
2006-08-04,27,57.19
2006-08-11,25,56.9
2006-08-18,27,59.45
2006-08-25,26,57.76
2006-09-01,28,59.14
2006-09-08,23,59.4
2006-09-15,26,61
2006-09-22,24,61.18
2006-09-29,25,62.75
2006-10-06,25,64.16
2006-10-13,26,63.81
2006-10-20,24,67.29
2006-10-27,23,67.62
2006-11-03,25,67.67
2006-11-10,25,71
2006-11-17,24,73.34
2006-11-24,25,74.93
2006-12-01,24,73.23
2006-12-08,26,71
2006-12-15,24,69.51
2006-12-22,27,70.2
2006-12-29,27,70.47
2007-01-05,33,69.53
2007-01-12,31,72.8
2007-01-19,27,71.6
2007-01-26,30,70.89
2007-02-02,84,70.1
2007-02-09,33,67.8
2007-02-16,29,68.04
2007-02-23,30,69.01
2007-03-02,28,63.77
2007-03-09,30,63.37
2007-03-16,27,60.78
2007-03-23,26,61.2
2007-03-30,25,58.75
2007-04-13,27,61.15
2007-04-20,26,64.82
2007-04-27,28,64.26
2007-05-04,28,63.29
2007-05-11,26,64.96
2007-05-18,26,62.9
2007-05-25,35,62.14
2007-06-01,90,62.22
2007-06-08,38,60.44
2007-06-15,30,60.81
2007-06-22,27,62.55
2007-06-29,28,59.61
2007-07-06,28,60.98
2007-07-13,27,62.48
2007-07-20,28,58.21
2007-07-27,27,56.4
2007-08-03,27,55.2
2007-08-10,26,57.2
2007-08-17,24,55.62
2007-08-24,26,54.32
2007-08-31,27,53.79
2007-09-07,24,49.09
2007-09-14,24,46.5
2007-09-21,23,48.05
2007-09-28,24,46.21
2007-10-05,24,49.66
2007-10-12,22,50.09
2007-10-19,23,48.3
2007-10-26,24,49.76
2007-11-02,23,49.46
2007-11-09,24,48.16
2007-11-16,23,47.88
2007-11-23,26,46.53
2007-11-30,28,48.02
2007-12-07,28,48.99
2007-12-14,23,44.96
2007-12-21,23,47.34
2007-12-28,26,47.15
2008-01-04,30,42.38
2008-01-11,26,39.84
2008-01-18,25,37
2008-01-25,28,37.96
2008-02-01,53,40.95
2008-02-08,39,36.96
2008-02-15,25,37.68
2008-02-22,24,38.42
2008-02-29,25,37.16
2008-03-07,24,35.05
2008-03-14,23,35.41
2008-03-28,24,37.93
2008-04-04,23,39.22
2008-04-11,24,37.06
2008-04-18,25,37.76
2008-04-25,26,39.35
2008-05-02,25,39.04
2008-05-09,28,38.05
2008-05-16,26,39.95
2008-05-23,27,37.94
2008-05-30,26,41.57
2008-06-06,25,39.79
2008-06-13,27,38.93
2008-06-20,27,37.24
2008-06-27,26,36.63
2008-07-11,25,33.33
2008-07-18,27,37.45
2008-07-25,25,37.14
