"Date","HOT","Price"
2004-02-06,46,38.2
2004-02-13,45,38.65
2004-02-20,46,38.64
2004-02-27,47,39.01
2004-03-05,46,39.85
2004-03-12,49,38
2004-03-19,47,38.16
2004-03-26,49,39.88
2004-04-02,47,42.22
2004-04-16,47,40.8
2004-04-23,47,41.5
2004-04-30,46,39.79
2004-05-07,47,40.57
2004-05-14,46,39.27
2004-05-21,47,40.81
2004-05-28,46,42.18
2004-06-04,48,42.43
2004-06-18,50,44.18
2004-06-25,49,43.95
2004-07-02,48,45.16
2004-07-09,49,44.34
2004-07-16,48,46.05
2004-07-23,48,44.52
2004-07-30,48,45
2004-08-06,49,42.01
2004-08-13,48,40.56
2004-08-20,48,43.19
2004-08-27,49,44.15
2004-09-03,48,45.09
2004-09-10,47,44.05
2004-09-17,46,45.7
2004-09-24,45,45.95
2004-10-01,47,47.29
2004-10-08,47,47.8
2004-10-15,47,46.92
2004-10-22,47,47.76
2004-10-29,46,47.73
2004-11-05,46,49.5
2004-11-12,50,50.94
2004-11-19,48,49.34
2004-11-26,48,52.05
2004-12-03,49,53.62
2004-12-10,50,54.82
2004-12-17,51,57.8
2004-12-31,54,58.4
2005-01-07,49,57.64
2005-01-14,48,57.98
2005-01-21,47,57.5
2005-01-28,52,58.05
2005-02-04,49,60.55
2005-02-11,50,59
2005-02-18,47,58.5
2005-02-25,47,57.6
2005-03-04,48,59.5
2005-03-11,48,59.1
2005-03-18,48,59.34
2005-04-01,49,59.4
2005-04-08,49,59.77
2005-04-15,46,56.4
2005-04-22,48,56.2
2005-04-29,48,54.34
2005-05-06,52,53.66
2005-05-13,48,51.75
2005-05-20,50,54.34
2005-05-27,51,55.49
2005-06-03,49,57.75
2005-06-10,51,57.88
2005-06-17,51,58.62
2005-06-24,52,57.91
2005-07-01,51,59.62
2005-07-08,49,61.45
2005-07-15,58,62.17
2005-07-22,62,63.49
2005-07-29,57,63.32
2005-08-05,53,61.1
2005-08-12,53,60.61
2005-08-19,53,60.28
2005-08-26,50,59.26
2005-09-02,50,57.48
2005-09-09,48,59.87
2005-09-16,48,58.49
2005-09-23,49,56.6
2005-09-30,48,57.17
2005-10-07,48,59.05
2005-10-14,49,57.3
2005-10-21,47,57.67
2005-10-28,49,57.4
2005-11-04,48,58.59
2005-11-11,48,59.26
2005-11-18,49,59.24
2005-11-25,50,61.92
2005-12-02,49,63.86
2005-12-09,51,64.27
2005-12-16,50,63.89
2005-12-23,53,63.76
2005-12-30,52,63.86
2006-01-06,49,64.05
2006-01-13,47,63.8
2006-01-20,47,62.68
2006-01-27,48,62.99
2006-02-03,48,59.76
2006-02-10,47,62.29
2006-02-17,47,63.65
2006-02-24,48,63.65
2006-03-03,48,63.61
2006-03-10,46,64.55
2006-03-17,47,67.02
2006-03-24,45,66.62
2006-03-31,46,67.73
2006-04-07,49,68.08
2006-04-21,53,54.32
2006-04-28,51,57.38
2006-05-05,55,61.21
2006-05-12,58,60.61
2006-05-19,53,60.68
2006-05-26,53,62.27
2006-06-02,54,62.52
2006-06-09,55,59.85
2006-06-16,54,56.57
2006-06-23,54,58.01
2006-06-30,53,60.34
2006-07-07,54,59.3
2006-07-14,54,55.54
2006-07-21,55,54.3
2006-07-28,54,52.54
2006-08-04,52,54.94
2006-08-11,52,50.19
2006-08-18,53,53.06
2006-08-25,51,50.92
2006-09-01,50,54.06
2006-09-08,49,57.91
2006-09-15,49,59.69
2006-09-22,49,57.82
2006-09-29,49,57.19
2006-10-06,49,60.38
2006-10-13,49,59.96
2006-10-20,49,61.93
2006-10-27,49,59.47
2006-11-03,49,58.3
2006-11-10,49,61.48
2006-11-17,49,61.78
2006-11-24,50,65.38
2006-12-01,50,63.82
2006-12-08,51,64.57
2006-12-15,51,63.48
2006-12-22,53,62.72
2006-12-29,55,62.5
2007-01-05,53,60.9
2007-01-12,49,63.09
2007-01-19,49,63.69
2007-01-26,49,60.86
2007-02-02,51,66.18
2007-02-09,50,66.96
2007-02-16,54,68.83
2007-02-23,52,67.8
2007-03-02,51,64.49
2007-03-09,51,65.67
2007-03-16,52,62.99
2007-03-23,50,65.43
2007-03-30,51,64.85
2007-04-13,52,67.78
2007-04-20,52,69.14
2007-04-27,52,69.02
2007-05-04,54,70.91
2007-05-11,52,69.6
2007-05-18,52,69.2
2007-05-25,54,67.36
2007-06-01,53,73.71
2007-06-08,57,70.36
2007-06-15,54,71.66
2007-06-22,54,70.32
2007-06-29,56,67.07
2007-07-06,58,74.46
2007-07-13,58,75.09
2007-07-20,58,72.78
2007-07-27,56,63.33
2007-08-03,56,60.33
2007-08-10,57,56.17
2007-08-17,55,55.47
2007-08-24,53,62.15
2007-08-31,54,61.12
2007-09-07,50,56.31
2007-09-14,50,56.99
2007-09-21,50,58.75
2007-09-28,50,60.75
2007-10-05,51,60.27
2007-10-12,50,60.66
2007-10-19,50,58.47
2007-10-26,51,55.55
2007-11-02,53,55.79
2007-11-09,53,51.82
2007-11-16,52,51.93
2007-11-23,53,53.5
2007-11-30,54,53.68
2007-12-07,54,53.7
2007-12-14,55,46.62
2007-12-21,58,45.66
2007-12-28,62,43.35
2008-01-04,60,39.93
2008-01-11,54,39.45
2008-01-18,53,38.97
2008-01-25,53,42.53
2008-02-01,53,46.71
2008-02-08,54,45.48
2008-02-15,53,48.05
2008-02-22,54,49.74
2008-02-29,53,47.33
2008-03-07,51,48.98
2008-03-14,52,50.7
2008-03-28,51,51.49
2008-04-04,52,52.22
2008-04-11,50,49.13
2008-04-18,52,50.38
2008-04-25,53,53.16
2008-05-02,55,54.3
2008-05-09,53,52.13
2008-05-16,54,53.01
2008-05-23,55,48.81
2008-05-30,55,48.4
2008-06-06,72,45.99
2008-06-13,54,46.8
2008-06-20,54,44.44
2008-06-27,55,40.26
2008-07-11,58,34.16
2008-07-18,57,37.61
2008-07-25,56,35
2008-08-01,57,35.61
2008-08-08,57,39.8
2008-08-15,57,40.71
2008-08-22,56,36.7
2008-08-29,54,36.25
2008-09-05,51,36.93
2008-09-12,52,38.7
2008-09-19,51,36.47
2008-09-26,53,30.27
2008-10-03,53,24.59
2008-10-10,53,21.03
2008-10-17,57,21.25
2008-10-24,54,19.29
2008-10-31,53,22.54
2008-11-07,56,18.94
2008-11-14,56,14.99
2008-11-21,57,12.2
2008-11-28,55,16.86
2008-12-05,56,16.05
2008-12-12,60,15.51
2008-12-19,59,17.54
2008-12-26,62,17.09
2009-01-02,64,20.8
2009-01-09,56,21.42
2009-01-16,57,17.34
2009-01-23,56,16.17
2009-01-30,57,15.12
2009-02-06,58,15.31
2009-02-13,55,12.63
2009-02-20,57,11.57
2009-02-27,55,11.59
2009-03-06,56,9.52
2009-03-13,54,12.27
2009-03-20,57,11.64
2009-03-27,56,13.91
2009-04-03,58,16.08
2009-04-17,60,17.97
2009-04-24,59,20.82
2009-05-01,58,19.6
2009-05-08,60,22.08
2009-05-15,60,19.85
2009-05-22,58,21.61
2009-05-29,59,24.47
2009-06-05,60,25.14
2009-06-12,60,24.42
2009-06-19,59,22.65
2009-06-26,58,22.59
2009-07-10,61,19.75
2009-07-17,61,20.65
2009-07-24,63,22.92
2009-07-31,64,23.61
2009-08-07,62,29.68
2009-08-14,62,28.44
2009-08-21,61,30.35
2009-08-28,58,30.57
2009-09-04,57,28.57
2009-09-11,56,30.85
2009-09-18,57,34.09
2009-09-25,58,31.48
2009-10-02,59,29.7
2009-10-09,60,33.26
2009-10-16,58,35.38
2009-10-23,59,33
2009-10-30,59,29.06
2009-11-06,58,31.09
2009-11-13,59,33.58
2009-11-20,61,32.05
2009-11-27,62,31.6
2009-12-04,62,33.44
2009-12-11,64,34
2009-12-18,64,36.55
2010-01-08,63,37.62
2010-01-15,62,38.93
2010-01-22,61,35.95
2010-01-29,62,33.32
2010-02-05,62,36.75
2010-02-12,64,36.95
2010-02-19,63,38.06
2010-02-26,65,38.7
2010-03-05,63,41.38
2010-03-12,64,42.33
2010-03-19,62,42.57
2010-03-26,66,46.21
2010-04-09,69,50
2010-04-16,70,48.29
2010-04-23,67,53.95
2010-04-30,68,54.51
2010-05-07,68,46.99
2010-05-14,68,48.13
2010-05-21,68,45.31
2010-05-28,70,46.25
2010-06-04,69,44.07
2010-06-11,70,46.95
2010-06-18,70,48.29
2010-06-25,72,45.64
2010-07-02,73,40.88
2010-07-09,81,44.95
2010-07-16,78,43.17
2010-07-23,77,47.68
2010-07-30,77,48.45
2010-08-06,77,49.49
2010-08-13,74,46.72
2010-08-20,76,47.15
2010-08-27,72,47.45
2010-09-03,73,50.67
2010-09-10,73,50.67
2010-09-17,72,51.94
2010-09-24,71,52.56
2010-10-01,71,52.76
2010-10-08,69,55.01
2010-10-15,72,55.18
2010-10-22,71,56.96
2010-10-29,73,54.14
2010-11-05,72,59.29
2010-11-12,72,56.35
2010-11-19,78,56.66
2010-11-26,76,57.77
2010-12-03,76,58.84
2010-12-10,77,61.23
2010-12-17,77,59.75
2010-12-31,82,60.78
2011-01-07,78,61.29
2011-01-14,73,62.89
2011-01-21,73,62
2011-01-28,73,58.44
2011-02-04,70,61.71
2011-02-11,71,65.01
2011-02-18,70,65.09
2011-02-25,69,61.55
2011-03-04,69,58.98
2011-03-11,70,57.84
2011-03-18,68,57.81
2011-03-25,69,58.74
2011-04-01,70,57.77
2011-04-08,73,56.43
2011-04-15,71,57.48
2011-04-29,75,59.57
2011-05-06,72,58.71
2011-05-13,74,58.14
2011-05-20,74,59.21
2011-05-27,76,60.48
2011-06-03,77,58.03
2011-06-10,76,54.98
2011-06-17,77,51.88
2011-06-24,79,53.25
2011-07-01,77,58.18
2011-07-08,79,58.13
2011-07-15,81,55.86
2011-07-22,81,57.87
2011-07-29,83,54.96
2011-08-05,78,46.84
2011-08-12,77,43.78
2011-08-19,80,38.43
2011-08-26,78,41.26
2011-09-02,81,42.04
2011-09-09,80,39.62
2011-09-16,80,45.46
2011-09-23,79,39.72
2011-09-30,80,38.82
2011-10-07,78,40.93
2011-10-14,76,47.32
2011-10-21,79,48.23
2011-10-28,77,51.98
2011-11-04,76,50.63
2011-11-11,78,50.24
2011-11-18,76,49.08
2011-11-25,76,43.41
2011-12-02,79,48.43
2011-12-09,77,48.37
2011-12-16,78,45.42
2011-12-23,80,48.75
2011-12-30,83,47.97
2012-01-06,79,50.42
2012-01-13,77,51.31
2012-01-20,75,53.55
2012-01-27,77,54.36
2012-02-03,75,56.72
2012-02-10,77,55.67
2012-02-17,76,55.06
2012-02-24,75,54.99
2012-03-02,75,54.19
2012-03-09,78,54.89
2012-03-16,77,56.03
2012-03-23,77,57.56
2012-03-30,80,56.41
2012-04-13,81,56.08
2012-04-20,79,57.61
2012-04-27,79,60.19
2012-05-04,82,57.54
2012-05-11,80,56.69
2012-05-18,79,50.46
2012-05-25,82,53.38
2012-06-01,82,49.13
2012-06-08,84,52.09
2012-06-15,83,51.27
2012-06-22,84,52.33
2012-06-29,83,53.04
2012-07-06,84,53.44
2012-07-13,84,50.62
2012-07-20,82,51.91
2012-07-27,80,54.03
2012-08-03,84,55.71
2012-08-10,83,54.22
2012-08-17,83,55.01
2012-08-24,84,54.41
2012-08-31,84,55.13
2012-09-07,84,57.86
2012-09-14,81,60.7
2012-09-21,79,58.87
2012-09-28,79,57.96
2012-10-05,81,57.26
2012-10-12,76,56.27
2012-10-19,79,55.72
2012-10-26,78,51.95
2012-11-02,81,51.57
2012-11-09,79,51.75
2012-11-16,80,51.52
2012-11-23,82,53.47
2012-11-30,80,53.96
2012-12-07,80,54.3
2012-12-14,84,54.04
2012-12-21,83,57.63
2012-12-28,94,56.14
2013-01-04,94,60.38
2013-01-11,81,59.56
2013-01-18,80,60.02
2013-01-25,81,60.89
2013-02-01,80,61.87
2013-02-08,81,62.81
2013-02-15,78,62.26
2013-02-22,78,60.05
2013-03-01,81,60.51
2013-03-08,80,62.56
2013-03-15,83,63.32
2013-03-22,81,60.78
2013-04-05,85,60.14
2013-04-12,82,63.86
2013-04-19,82,61.23
2013-04-26,82,62.09
2013-05-03,84,65.21
2013-05-10,86,67.88
2013-05-17,84,67.49
2013-05-24,86,68.45
2013-05-31,86,68.3
2013-06-07,87,69.17
2013-06-14,89,66.36
2013-06-21,85,62.49
2013-06-28,88,63.19
2013-07-05,91,65.4
2013-07-12,87,66.75
2013-07-19,90,66.15
2013-07-26,87,65.94
2013-08-02,86,68.23
2013-08-09,89,66.65
2013-08-16,93,64.46
2013-08-23,89,65.67
2013-08-30,88,63.94
2013-09-06,85,65.74
2013-09-13,83,68.08
2013-09-20,82,67.64
2013-09-27,85,66.99
2013-10-04,86,66.98
2013-10-11,84,67.49
2013-10-18,87,70.61
2013-10-25,83,74.56
2013-11-01,85,74.63
2013-11-08,86,74.44
2013-11-15,87,74.92
2013-11-22,88,74
2013-11-29,90,74.48
2013-12-06,89,73.98
2013-12-13,92,74.2
2013-12-20,91,78.9
2013-12-27,97,79.03
2014-01-03,100,78.58
2014-01-10,92,78.75
2014-01-17,92,78.87
2014-01-24,91,76.61
2014-01-31,87,74.71
2014-02-07,89,76.47
2014-02-14,90,78.62
2014-02-21,88,80.1
2014-02-28,86,82.46
2014-03-07,89,80.66
2014-03-14,88,78.08
2014-03-21,92,78.23
2014-03-28,87,78.45
2014-04-04,89,78.5
2014-04-11,90,75.15
2014-04-25,91,75
