"Date","CBS","Price"
2005-12-09,38,25.63
2005-12-16,38,25.3
2005-12-23,32,25.5
2005-12-30,26,25.5
2006-01-06,30,27.23
2006-01-13,29,25.48
2006-01-20,27,24.98
2006-01-27,30,26.8
2006-02-03,31,25.66
2006-02-10,29,25.46
2006-02-17,27,25.85
2006-02-24,26,24.53
2006-03-03,31,23.98
2006-03-10,30,23.95
2006-03-17,83,24.62
2006-03-24,48,25.03
2006-03-31,33,23.98
2006-04-07,38,25.14
2006-04-21,28,24.81
2006-04-28,28,25.47
2006-05-05,30,26.38
2006-05-12,28,25.66
2006-05-19,34,25.21
2006-05-26,26,26.2
2006-06-02,30,26.43
2006-06-09,23,25.75
2006-06-16,24,25.99
2006-06-23,28,26.5
2006-06-30,26,27.05
2006-07-07,26,27.39
2006-07-14,29,26.52
2006-07-21,29,26.23
2006-07-28,27,27.25
2006-08-04,27,25.8
2006-08-11,29,26.37
2006-08-18,34,27.52
2006-08-25,35,28.46
2006-09-01,41,28.86
2006-09-08,57,28.46
2006-09-15,50,28.58
2006-09-22,47,28.23
2006-09-29,39,28.17
2006-10-06,43,28.47
2006-10-13,42,28.15
2006-10-20,37,27.93
2006-10-27,35,28.97
2006-11-03,36,28.51
2006-11-10,43,29.87
2006-11-17,35,29.8
2006-11-24,34,30.29
2006-12-01,35,29.75
2006-12-08,36,30.93
2006-12-15,33,31.99
2006-12-22,35,31.19
2006-12-29,31,31.18
2007-01-05,31,30.89
2007-01-12,29,31.62
2007-01-19,30,31.51
2007-01-26,30,30.62
2007-02-02,30,31.35
2007-02-09,43,31.68
2007-02-16,33,31.81
2007-02-23,28,31.32
2007-03-02,29,29.54
2007-03-09,31,30.67
2007-03-16,80,30.21
2007-03-23,47,30.46
2007-03-30,33,30.59
2007-04-13,34,31.45
2007-04-20,34,31.71
2007-04-27,28,32.04
2007-05-04,29,32
2007-05-11,29,31.78
2007-05-18,37,32.55
2007-05-25,28,33.65
2007-06-01,24,33.48
2007-06-08,26,33.01
2007-06-15,23,33.23
2007-06-22,23,32.43
2007-06-29,24,33.32
2007-07-06,23,34.68
2007-07-13,28,34.55
2007-07-20,27,34.73
2007-07-27,27,32.7
2007-08-03,28,31.57
2007-08-10,29,30.62
2007-08-17,31,30.25
2007-08-24,31,31.79
2007-08-31,35,31.51
2007-09-07,38,30.95
2007-09-14,43,30.65
2007-09-21,43,31.59
2007-09-28,43,31.5
2007-10-05,40,30.43
2007-10-12,36,29.89
2007-10-19,36,28.7
2007-10-26,39,29
2007-11-02,41,27.67
2007-11-09,38,26.74
2007-11-16,35,27.18
2007-11-23,40,26.58
2007-11-30,41,27.43
2007-12-07,42,27.15
2007-12-14,34,26.15
2007-12-21,35,26.4
2007-12-28,28,27.21
2008-01-04,30,25.01
2008-01-11,29,24.1
2008-01-18,30,23.09
2008-01-25,29,23.88
2008-02-01,28,25.51
2008-02-08,31,24.58
2008-02-15,35,25.38
2008-02-22,32,24.76
2008-02-29,29,22.82
2008-03-07,31,21.99
2008-03-14,32,21.57
2008-03-28,49,21.94
2008-04-04,38,22.29
2008-04-11,37,21.4
2008-04-18,30,22.27
2008-04-25,30,22.25
2008-05-02,31,24.33
2008-05-09,28,24.4
2008-05-16,32,23.42
2008-05-23,28,22.7
2008-05-30,26,21.58
