"Date","ROST","Price"
2004-02-06,36,30.21
2004-02-13,55,30.1
2004-02-20,62,30.67
2004-02-27,52,32.05
2004-03-05,51,29.83
2004-03-12,47,28.98
2004-03-19,55,29.04
2004-03-26,75,29.6
2004-04-02,50,30.7
2004-04-16,55,30.99
2004-04-23,61,31.46
2004-04-30,47,30.45
2004-05-07,49,27.83
2004-05-14,38,26.6
2004-05-21,59,24.86
2004-05-28,46,26.19
2004-06-04,56,24.93
2004-06-18,45,26.92
2004-06-25,64,27.98
2004-07-02,56,25.98
2004-07-09,63,24.4
2004-07-16,52,22.79
2004-07-23,58,22.57
2004-07-30,56,23.15
2004-08-06,45,22.4
2004-08-13,55,23.27
2004-08-20,44,22.41
2004-08-27,52,21.25
2004-09-03,51,23.44
2004-09-10,47,23.66
2004-09-17,53,23.19
2004-09-24,49,23.32
2004-10-01,57,23.5
2004-10-08,52,23.42
2004-10-15,45,23.06
2004-10-22,50,23.17
2004-10-29,53,26.27
2004-11-05,50,27.25
2004-11-12,70,27.99
2004-11-19,62,27.24
2004-11-26,67,27.97
2004-12-03,63,27.05
2004-12-10,32,27.12
2004-12-17,46,27.47
2004-12-31,62,28.87
2005-01-07,48,28.6
2005-01-14,55,28.83
2005-01-21,59,28.6
2005-01-28,34,27.88
2005-02-04,38,29
2005-02-11,44,27.78
2005-02-18,47,27.5
2005-02-25,44,27.97
2005-03-04,57,30.41
2005-03-11,53,29.44
2005-03-18,56,27.96
2005-04-01,53,28.1
2005-04-08,59,28.45
2005-04-15,51,27.55
2005-04-22,61,27.28
2005-04-29,44,26.72
2005-05-06,55,26.29
2005-05-13,63,25.42
2005-05-20,47,27.7
2005-05-27,40,28.41
2005-06-03,60,29.36
2005-06-10,53,29.61
2005-06-17,55,29.66
2005-06-24,62,28.52
2005-07-01,39,28.69
2005-07-08,46,27.64
2005-07-15,47,27.26
2005-07-22,43,26.73
2005-07-29,54,26.5
2005-08-05,39,26.06
2005-08-12,54,26.8
2005-08-19,48,24.83
2005-08-26,39,24.77
2005-09-02,40,24.44
2005-09-09,42,24.84
2005-09-16,48,24.28
2005-09-23,47,22.94
2005-09-30,49,23.7
2005-10-07,52,25.82
2005-10-14,62,25.7
2005-10-21,50,25.98
2005-10-28,63,25.88
2005-11-04,47,25.8
2005-11-11,54,26.08
2005-11-18,50,25.82
2005-11-25,51,26.99
2005-12-02,50,28
2005-12-09,45,27.46
2005-12-16,53,28.26
2005-12-23,51,29.62
2005-12-30,44,28.9
2006-01-06,45,29.41
2006-01-13,46,30.5
2006-01-20,47,29.06
2006-01-27,52,29.3
2006-02-03,44,27.18
2006-02-10,52,27.34
2006-02-17,40,27.21
2006-02-24,45,28.1
2006-03-03,43,28.36
2006-03-10,43,27.85
2006-03-17,50,27.46
2006-03-24,44,28.93
2006-03-31,37,29.19
2006-04-07,48,30.18
2006-04-21,53,29.58
2006-04-28,54,30.64
2006-05-05,57,29.75
2006-05-12,52,28.51
2006-05-19,51,27.59
2006-05-26,45,27.88
2006-06-02,45,28.38
2006-06-09,46,27.1
2006-06-16,45,27.3
2006-06-23,51,27.23
2006-06-30,48,28.05
2006-07-07,51,25.64
2006-07-14,51,24.54
2006-07-21,46,24.46
2006-07-28,52,24.91
2006-08-04,49,23.25
2006-08-11,49,22.99
2006-08-18,46,23.86
2006-08-25,50,23.69
2006-09-01,46,24.91
2006-09-08,50,24.97
2006-09-15,42,25.96
2006-09-22,56,25.5
2006-09-29,49,25.41
2006-10-06,48,28.52
2006-10-13,48,30.36
2006-10-20,51,29.77
2006-10-27,56,29.64
2006-11-03,50,30.77
2006-11-10,100,31.38
2006-11-17,50,30.41
2006-11-24,47,29.97
2006-12-01,45,30.31
2006-12-08,56,30.19
2006-12-15,50,30.61
2006-12-22,62,29.65
2006-12-29,57,29.3
2007-01-05,97,31.41
2007-01-12,66,33.29
2007-01-19,53,32.35
2007-01-26,45,32
