"Date","TYC","Price"
2004-02-06,9,27.99
2004-02-13,9,28.92
2004-02-20,13,27.99
2004-02-27,8,28.57
2004-03-05,7,29.96
2004-03-12,9,28.5
2004-03-19,9,27.95
2004-03-26,19,27.42
2004-04-02,8,29.22
2004-04-16,13,28.66
2004-04-23,9,29.57
2004-04-30,9,27.45
2004-05-07,8,28.18
2004-05-14,6,28.32
2004-05-21,13,29.41
2004-05-28,10,30.79
2004-06-04,12,31.1
2004-06-18,11,31.91
2004-06-25,8,32.45
2004-07-02,12,32.43
2004-07-09,11,32.4
2004-07-16,12,31.65
2004-07-23,11,30.6
2004-07-30,8,31
2004-08-06,9,30.22
2004-08-13,25,29.98
2004-08-20,49,31.29
2004-08-27,59,31.84
2004-09-03,13,31.56
2004-09-10,11,30.5
2004-09-17,11,30.7
2004-09-24,16,30.21
2004-10-01,12,31.47
2004-10-08,15,30.64
2004-10-15,14,30.52
2004-10-22,16,29.93
2004-10-29,13,31.15
2004-11-05,13,33.35
2004-11-12,19,34.47
2004-11-19,11,33.71
2004-11-26,11,33.86
2004-12-03,11,34.48
2004-12-10,7,34.31
2004-12-17,10,34.85
2004-12-31,7,35.74
2005-01-07,9,36
2005-01-14,9,35.58
2005-01-21,11,35.25
2005-01-28,8,36
2005-02-04,11,34.16
2005-02-11,19,34.22
2005-02-18,13,33.61
2005-02-25,12,33.75
2005-03-04,15,35.62
2005-03-11,12,35.37
2005-03-18,12,34.65
2005-04-01,13,33.45
2005-04-08,14,33.89
2005-04-15,15,31.33
2005-04-22,14,32.25
2005-04-29,14,31.31
2005-05-06,14,29.17
2005-05-13,15,28.91
2005-05-20,14,29.81
2005-05-27,17,29.04
2005-06-03,17,28.65
2005-06-10,18,30.35
2005-06-17,18,31
2005-06-24,23,29.93
2005-07-01,30,29.11
2005-07-08,13,30.04
2005-07-15,17,30.16
2005-07-22,15,30.6
2005-07-29,15,30.47
2005-08-05,20,27
2005-08-12,17,28.39
2005-08-19,20,28.65
2005-08-26,18,27.86
2005-09-02,20,27.83
2005-09-09,23,28.73
2005-09-16,19,29.86
2005-09-23,28,28.93
2005-09-30,19,27.85
2005-10-07,22,27.35
2005-10-14,17,26.41
2005-10-21,19,25.91
2005-10-28,16,26.75
2005-11-04,14,26.93
2005-11-11,24,26.73
2005-11-18,28,28.85
2005-11-25,18,28.84
2005-12-02,18,29.32
2005-12-09,16,28.37
2005-12-16,27,28.38
2005-12-23,14,29.37
2005-12-30,12,28.86
2006-01-06,14,29.98
2006-01-13,17,27.12
2006-01-20,17,26.47
2006-01-27,15,26.46
2006-02-03,20,25.02
2006-02-10,21,25.46
2006-02-17,18,25.85
2006-02-24,18,25.77
2006-03-03,34,25.75
2006-03-10,17,26.19
2006-03-17,18,26.83
2006-03-24,16,27.33
2006-03-31,27,26.88
2006-04-07,25,26.08
2006-04-21,23,26.65
2006-04-28,22,26.35
2006-05-05,24,28.5
2006-05-12,22,27.28
2006-05-19,25,27.18
2006-05-26,19,27.46
2006-06-02,32,27.5
2006-06-09,49,26.69
2006-06-16,54,26.87
2006-06-23,33,26.78
2006-06-30,34,27.5
2006-07-07,20,27.37
2006-07-14,17,25.86
2006-07-21,18,25.23
2006-07-28,20,26.23
2006-08-04,21,25.65
2006-08-11,24,25.51
2006-08-18,27,26.42
2006-08-25,26,26.09
2006-09-01,38,26.38
2006-09-08,24,26.21
2006-09-15,21,26.51
2006-09-22,32,27.06
2006-09-29,22,27.99
2006-10-06,20,27.93
2006-10-13,33,29.13
2006-10-20,22,29.36
2006-10-27,19,29.18
2006-11-03,27,28.96
2006-11-10,27,29.64
2006-11-17,25,30.15
2006-11-24,22,30.15
2006-12-01,43,30.19
2006-12-08,25,29.99
2006-12-15,49,30.34
2006-12-22,17,30.87
2006-12-29,20,30.4
2007-01-05,20,30.35
2007-01-12,18,31.62
2007-01-19,21,30.74
2007-01-26,23,30.94
2007-02-02,25,33
2007-02-09,29,31.48
2007-02-16,28,32.05
2007-02-23,29,31.4
2007-03-02,27,30.07
2007-03-09,27,30.68
2007-03-16,25,30.88
2007-03-23,26,32.08
2007-03-30,28,31.55
2007-04-13,28,32.55
2007-04-20,38,32.34
2007-04-27,28,32.64
2007-05-04,28,32.81
2007-05-11,25,32.53
2007-05-18,23,32.28
2007-05-25,23,33.15
2007-06-01,29,33.7
2007-06-08,33,33.8
2007-06-15,28,34.32
2007-06-22,26,34.21
2007-06-29,37,33.79
2007-07-06,35,53.17
2007-07-13,36,51.34
2007-07-20,34,49.46
2007-07-27,26,47.76
2007-08-03,25,47.62
2007-08-10,29,43.6
2007-08-17,28,41.66
2007-08-24,31,44.26
2007-08-31,44,44.16
2007-09-07,26,43.57
2007-09-14,35,43.69
2007-09-21,24,44.5
2007-09-28,23,44.34
2007-10-05,33,46.66
2007-10-12,29,45.3
2007-10-19,20,41.84
2007-10-26,15,42.37
2007-11-02,17,41.34
2007-11-09,20,40.14
2007-11-16,20,38.73
2007-11-23,22,39.83
2007-11-30,24,40.13
2007-12-07,19,41
2007-12-14,19,41.64
2007-12-21,15,40.66
2007-12-28,15,40.1
2008-01-04,14,38.07
2008-01-11,15,36.01
2008-01-18,18,34.07
2008-01-25,17,37.3
2008-02-01,17,39.66
2008-02-08,25,40.1
2008-02-15,24,40.18
2008-02-22,24,40.05
2008-02-29,26,40.06
2008-03-07,24,41.61
2008-03-14,23,40.18
2008-03-28,25,44.57
2008-04-04,20,45.46
2008-04-11,22,44.28
2008-04-18,22,47.41
2008-04-25,22,46.83
2008-05-02,23,45.65
2008-05-09,29,44.17
2008-05-16,24,46.12
2008-05-23,24,45.03
2008-05-30,23,45.19
2008-06-06,22,44.01
2008-06-13,23,43.33
2008-06-20,20,43.18
2008-06-27,25,40.08
2008-07-11,15,39.71
2008-07-18,19,41.29
2008-07-25,22,40.71
2008-08-01,25,43.16
2008-08-08,59,44.13
2008-08-15,77,44.85
2008-08-22,100,43.36
2008-08-29,30,42.88
2008-09-05,26,41.05
2008-09-12,22,40.88
2008-09-19,42,41.05
2008-09-26,34,36.37
2008-10-03,30,32.2
2008-10-10,27,26.19
2008-10-17,30,26.31
2008-10-24,34,22.85
2008-10-31,46,25.28
2008-11-07,28,25.1
2008-11-14,25,20.5
2008-11-21,52,17.74
2008-11-28,27,20.9
2008-12-05,29,22.43
2008-12-12,22,20.72
2008-12-19,32,21.38
2008-12-26,23,20.89
2009-01-02,19,22.74
2009-01-09,19,23.6
2009-01-16,23,23.18
2009-01-23,21,21
2009-01-30,25,21.02
