"Date","LMT","Price"
2004-02-06,35,49.39
2004-02-13,23,49.4
2004-02-20,32,48.5
2004-02-27,30,46.28
2004-03-05,40,45.05
2004-03-12,31,44.48
2004-03-19,31,44.1
2004-03-26,27,45.81
2004-04-02,26,46.69
2004-04-16,27,47
2004-04-23,32,46.21
2004-04-30,20,47.7
2004-05-07,25,48.57
2004-05-14,27,47.43
2004-05-21,25,46.86
2004-05-28,28,49.54
2004-06-04,34,49.3
2004-06-18,30,50.68
2004-06-25,32,51.97
2004-07-02,28,51.57
2004-07-09,21,53.99
2004-07-16,42,54.7
2004-07-23,34,53.22
2004-07-30,29,52.99
2004-08-06,30,52.76
2004-08-13,30,52.98
2004-08-20,26,54.26
2004-08-27,26,53.4
2004-09-03,31,54.71
2004-09-10,33,54.23
2004-09-17,35,54.67
2004-09-24,45,54.36
2004-10-01,44,56.32
2004-10-08,22,55.42
2004-10-15,39,53.85
2004-10-22,33,53.53
2004-10-29,31,55.09
2004-11-05,25,56.85
2004-11-12,29,58.56
2004-11-19,21,58.35
2004-11-26,26,59.54
2004-12-03,37,61.62
2004-12-10,35,59.45
2004-12-17,31,58.93
2004-12-31,32,55.55
2005-01-07,45,54.77
2005-01-14,38,56
2005-01-21,25,54.75
2005-01-28,33,56.38
2005-02-04,29,57.65
2005-02-11,26,59.69
2005-02-18,25,59.19
2005-02-25,38,59.81
2005-03-04,31,59.94
2005-03-11,37,59.49
2005-03-18,37,60.55
2005-04-01,29,61.16
2005-04-08,36,61.32
2005-04-15,32,59.31
2005-04-22,41,58.8
2005-04-29,41,60.95
2005-05-06,40,63.03
2005-05-13,40,64.02
2005-05-20,28,64.54
2005-05-27,31,65.4
2005-06-03,41,65.06
2005-06-10,32,65.15
2005-06-17,38,64.66
2005-06-24,36,63.51
2005-07-01,53,64.55
2005-07-08,38,62.5
2005-07-15,31,61.75
2005-07-22,34,62
2005-07-29,40,62.4
2005-08-05,36,62.83
2005-08-12,49,62.45
2005-08-19,46,62.46
2005-08-26,40,61.76
2005-09-02,33,61.58
2005-09-09,45,62.75
2005-09-16,42,62.38
2005-09-23,41,61.29
2005-09-30,22,61.04
2005-10-07,37,60.33
2005-10-14,31,60.72
2005-10-21,36,60.8
2005-10-28,40,61.32
2005-11-04,33,59.16
2005-11-11,30,59.39
2005-11-18,35,59.96
2005-11-25,42,60.65
2005-12-02,44,61.63
2005-12-09,39,62.92
2005-12-16,55,63.81
2005-12-23,42,63.56
2005-12-30,41,63.63
2006-01-06,29,65.47
2006-01-13,43,65.79
2006-01-20,48,64.88
2006-01-27,42,66.18
2006-02-03,44,68.92
2006-02-10,47,71.37
2006-02-17,45,72.84
2006-02-24,35,74.58
2006-03-03,48,73.5
2006-03-10,47,74.33
2006-03-17,40,75.95
2006-03-24,41,75.99
2006-03-31,49,75.13
2006-04-07,45,73.81
2006-04-21,46,77.04
2006-04-28,44,75.9
2006-05-05,35,76.39
2006-05-12,48,74.62
2006-05-19,34,74.33
2006-05-26,49,72.33
2006-06-02,43,73.12
2006-06-09,44,72.06
2006-06-16,40,71.32
2006-06-23,48,71.31
2006-06-30,42,71.74
2006-07-07,41,73.22
2006-07-14,47,75.3
2006-07-21,39,75.63
