"Date","CHRW","Price"
2005-10-14,76,62.37
2005-10-21,73,30.66
2006-01-13,66,36.54
2006-01-20,64,36.83
2006-01-27,64,40.44
2006-03-10,59,44.85
2006-03-17,100,45.29
2006-04-28,64,44.35
2006-06-09,58,43.59
2006-06-16,59,46.6
2006-06-23,70,48.76
2006-06-30,59,53.3
2006-07-07,59,51.91
2006-07-14,59,46.5
2006-07-21,59,44.52
2006-09-01,58,46.04
2006-09-08,53,43.23
2006-09-15,55,45.52
2006-09-22,57,43.41
2006-09-29,60,44.58
2006-10-06,53,44.11
2006-10-13,53,43.11
2006-10-20,53,43.46
2006-10-27,52,42.76
2006-11-03,52,41.21
2006-11-10,55,41.61
2007-01-12,54,44.6
2007-01-19,62,44.53
2007-01-26,54,42.94
2007-02-02,73,52.89
2007-02-09,60,51.79
2007-02-16,48,52.71
2007-02-23,70,53.91
2007-03-02,96,49.97
2007-03-09,46,48.62
2007-03-16,46,47.48
2007-03-23,46,49.37
2007-03-30,39,48.05
2007-04-13,49,49.83
2007-04-20,54,51.85
2007-04-27,45,55.21
2007-05-04,47,55.31
2007-05-11,48,53.6
2007-05-18,49,52.36
2007-05-25,35,51.09
2007-06-01,35,54.28
2007-06-08,35,52.4
2007-06-15,38,54.76
2007-06-22,38,53.32
2007-06-29,38,52.52
2007-07-06,36,52
2007-07-13,50,52.28
2007-09-07,39,48.15
2007-09-14,46,51.75
2007-09-21,53,53.95
2007-09-28,34,54.29
2007-10-05,34,54.25
2007-10-12,37,53.72
2007-10-19,40,51.76
2007-10-26,42,50.54
2007-11-02,45,47.44
2007-11-09,32,46
2007-11-16,49,46.62
2007-11-23,32,46.89
2007-11-30,56,51.55
2007-12-07,36,53.88
2007-12-14,36,51.52
2007-12-21,33,54
2007-12-28,34,54.02
2008-01-04,35,49.97
2008-01-11,36,47.45
2008-01-18,43,48.56
2008-01-25,51,49.62
2008-02-01,58,56.27
2008-02-08,57,54.06
2008-02-15,26,53.83
2008-02-22,39,52.46
2008-02-29,36,50.77
2008-03-07,41,51.99
2008-03-14,46,52.66
2008-03-28,41,54.59
2008-04-04,30,58.95
2008-04-11,30,57.39
2008-04-18,35,60.21
2008-04-25,41,62.32
2008-05-02,57,65.46
2008-05-09,38,63.92
2008-05-16,30,64.15
2008-05-23,39,62.38
2008-05-30,24,64.5
2008-06-06,24,61.07
2008-06-13,44,60.15
2008-06-20,63,58.88
2008-06-27,56,55.26
2008-07-11,51,54.65
2008-07-18,63,57.1
2008-07-25,75,49.81
2008-08-01,43,47.8
2008-08-08,36,51.98
2008-08-15,26,51.88
2008-08-22,30,51.28
2008-08-29,30,52.11
2008-09-05,30,49.85
2008-09-12,32,55.53
2008-09-19,59,56.29
2008-09-26,52,52.19
2008-10-03,70,46.76
2008-10-10,53,41.39
2008-10-17,48,40.65
2008-10-24,58,44.16
2008-10-31,52,51.78
2008-11-07,40,51.76
2008-11-14,38,50.78
2008-11-21,46,48.14
2008-11-28,37,51.08
2008-12-05,37,48.39
2008-12-12,32,49.16
2008-12-19,36,51.78
2008-12-26,28,51.9
2009-01-02,28,55.85
2009-01-09,51,49.29
2009-01-16,28,47.24
2009-01-23,45,43.79
2009-01-30,42,45.98
2009-02-06,37,50
2009-02-13,37,47.3
2009-02-20,33,44.72
2009-02-27,27,41.38
2009-03-06,27,38.06
2009-03-13,51,42.72
2009-03-20,38,43.82
2009-03-27,22,46.3
2009-04-03,48,48.32
2009-04-17,27,49.71
2009-04-24,41,53.35
2009-05-01,36,52.81
2009-05-08,34,52.51
2009-05-15,48,50.73
2009-05-22,40,48.59
2009-05-29,24,50.82
2009-06-05,31,52.5
2009-06-12,25,52.42
2009-06-19,23,50.46
2009-06-26,23,51.86
2009-07-10,30,50.86
2009-07-17,24,52.6
2009-07-24,35,53.97
2009-07-31,21,54.53
2009-08-07,26,54.77
2009-08-14,32,54.77
2009-08-21,39,57.57
2009-08-28,30,56.76
2009-09-04,22,57.09
2009-09-11,33,58.72
2009-09-18,32,58.69
2009-09-25,19,57.57
2009-10-02,27,56.27
2009-10-09,29,58.41
2009-10-16,31,60.92
2009-10-23,32,57.24
2009-10-30,29,55.11
2009-11-06,49,56.5
2009-11-13,34,57.16
2009-11-20,31,57.2
2009-11-27,21,55.83
2009-12-04,25,57.83
2009-12-11,25,58.1
