"Date","SRCL","Price"
2008-05-09,81,51.81
2008-06-27,89,50.82
2008-10-10,71,49.22
2008-11-21,73,55.19
2009-02-13,67,46.87
2009-05-15,100,52.09
2009-09-25,64,47.46
2009-10-02,85,47.73
2009-10-09,58,48.35
2009-10-16,58,52.24
2009-10-23,67,53.17
2009-10-30,61,52.37
2009-11-06,50,54.3
2009-11-13,50,54.39
2009-11-20,56,54.1
2009-11-27,62,54.13
2009-12-04,54,56.91
2009-12-11,57,57.24
2009-12-18,61,55.16
2010-01-08,64,55.34
2010-01-15,51,54.81
2010-01-22,51,54.8
2010-01-29,51,52.91
2010-02-05,51,52
2010-02-12,46,51.36
2010-02-19,59,54.3
2010-02-26,72,55.18
2010-03-05,74,55.35
2010-03-12,68,54.49
2010-03-19,100,55.61
2010-03-26,58,54.5
2010-04-09,62,54.58
2010-04-16,45,55.66
2010-04-23,63,57
2010-04-30,79,58.9
2010-05-07,46,55.53
2010-05-14,89,56.7
2010-07-09,45,65.54
2010-07-16,47,64.57
2010-07-23,50,64.77
2010-07-30,52,63
2010-08-06,54,64.26
2010-08-13,47,64.76
2010-08-20,47,65.92
2010-08-27,47,66.04
2010-09-03,51,66.53
2010-09-10,55,69
2010-09-17,55,69.97
2010-09-24,55,69.86
2010-10-01,55,70.73
2010-10-08,51,71.65
2010-10-15,51,71.9
2010-10-22,62,72.21
2010-10-29,62,71.74
2010-11-05,46,72.39
2010-11-12,38,71.24
2010-11-19,38,72.5
2010-11-26,49,72.69
2010-12-03,59,77.12
2010-12-10,41,78.59
2010-12-17,42,78.91
2010-12-31,46,80.92
2011-01-07,48,77.74
2011-01-14,50,78.13
2011-01-21,64,79.2
2011-01-28,78,78.44
2011-02-04,43,83.63
2011-02-11,42,84.28
2011-02-18,69,87.38
2011-02-25,38,85.86
2011-03-04,38,85.9
2011-03-11,41,86.87
2011-03-18,43,85.23
2011-03-25,44,88.82
2011-04-01,62,91.03
2011-04-08,70,89.7
2011-04-15,38,91.93
2011-04-29,36,91.28
2011-05-06,38,90.3
2011-05-13,72,93.02
2011-05-20,61,91.61
2011-05-27,62,88.34
2011-06-03,52,85.69
2011-06-10,57,84.9
2011-06-17,41,86.41
2011-06-24,79,85.61
2011-07-01,82,91.22
2011-07-08,66,92.91
2011-07-15,35,90.91
2011-07-22,48,92.19
2011-07-29,61,82.12
2011-08-05,51,78.81
2011-08-12,44,79.91
2011-08-19,34,79.96
2011-08-26,49,84.34
2011-09-02,35,82.83
2011-09-09,59,80.18
2011-09-16,56,83.92
2011-09-23,40,80.35
2011-09-30,47,80.72
2011-10-07,55,80.56
2011-10-14,62,84.82
2011-10-21,61,84.04
2011-10-28,64,84.34
2011-11-04,75,81.09
2011-11-11,48,79.74
2011-11-18,77,77.87
2011-11-25,30,77.07
2011-12-02,32,79.67
2011-12-09,52,79.18
2011-12-16,30,76.51
2011-12-23,30,78.21
2011-12-30,36,77.92
2012-01-06,41,77.45
2012-01-13,53,84.06
2012-01-20,63,84.3
2012-01-27,55,83.5
2012-02-03,70,86.9
2012-02-10,71,84.53
2012-02-17,54,88.05
2012-02-24,51,89.23
2012-03-02,52,85.94
2012-03-09,50,87.75
2012-03-16,40,86.88
2012-03-23,43,84.66
2012-03-30,49,83.64
2012-04-13,45,86.1
2012-04-20,37,87.91
2012-04-27,32,87.64
2012-05-04,30,84.62
2012-05-11,27,83.24
2012-05-18,58,81.37
2012-05-25,54,86.31
2012-06-01,40,85.76
2012-06-08,29,87.54
2012-06-15,39,87.77
2012-06-22,37,88.47
2012-06-29,42,91.67
2012-07-06,35,92.47
2012-07-13,42,92.82
2012-07-20,42,93.34
2012-07-27,59,94.52
2012-08-03,41,91.84
2012-08-10,51,89.82
2012-08-17,60,91.47
2012-08-24,60,91.26
2012-08-31,57,91.52
2012-09-07,73,93.6
2012-09-14,43,93.17
2012-09-21,84,91.6
2012-09-28,63,90.48
2012-10-05,65,91.76
2012-10-12,52,89.99
2012-10-19,62,91.87
2012-10-26,51,94.57
2012-11-02,64,94.77
2012-11-09,55,92.41
2012-11-16,57,90.07
2012-11-23,29,92.16
2012-11-30,33,93.47
2012-12-07,30,94.26
2012-12-14,23,93.26
2012-12-21,43,91.66
2012-12-28,32,91.9
2013-01-04,45,95.24
2013-01-11,27,94.85
2013-01-18,61,95
2013-01-25,36,94.5
2013-02-01,35,95.19
2013-02-08,57,96.8
2013-02-15,62,97.12
2013-02-22,51,96.09
2013-03-01,26,95.54
2013-03-08,45,98.49
2013-03-15,64,102.04
2013-03-22,55,104.24
2013-04-05,37,104.13
2013-04-12,58,109.2
2013-04-19,41,107.67
2013-04-26,45,108.58
2013-05-03,48,109.03
2013-05-10,41,110.65
2013-05-17,43,113.01
2013-05-24,38,111.49
2013-05-31,24,109.76
2013-06-07,36,108.45
2013-06-14,41,106.41
2013-06-21,41,107.51
2013-06-28,36,110.43
2013-07-05,40,112.43
2013-07-12,41,117.31
2013-07-19,70,117.93
2013-07-26,42,116.77
2013-08-02,48,117.19
2013-08-09,28,117
2013-08-16,51,114.54
2013-08-23,32,115.92
2013-08-30,36,112.56
2013-09-06,25,112.48
2013-09-13,47,114.59
2013-09-20,43,116.4
2013-09-27,45,115.67
2013-10-04,61,115.83
2013-10-11,47,116.88
2013-10-18,53,118.69
2013-10-25,36,116.85
2013-11-01,43,116.68
2013-11-08,49,116.57
2013-11-15,40,119.12
2013-11-22,51,119.82
2013-11-29,51,117.48
2013-12-06,41,117.35
2013-12-13,52,114.58
2013-12-20,26,113.69
2013-12-27,31,115.57
2014-01-03,30,115.05
2014-01-10,56,115.42
2014-01-17,59,120.09
2014-01-24,62,116.36
2014-01-31,71,117.06
2014-02-07,58,116.33
2014-02-14,54,116.87
2014-02-21,48,114.65
2014-02-28,54,114
2014-03-07,49,117.7
2014-03-14,39,115.09
2014-03-21,54,114.37
2014-03-28,39,111.99
2014-04-04,43,112.58
2014-04-11,41,109.33
2014-04-25,46,113.96
