"Date","PCAR","Price"
2005-12-09,76,72.33
2006-03-31,64,70.48
2006-10-27,68,59.42
2007-03-02,51,68.4
2007-03-09,58,71.2
2007-03-16,65,72.33
2007-03-23,72,75.17
2007-03-30,77,73.4
2007-04-13,87,73.62
2007-04-20,92,76.21
2007-04-27,97,86.28
2007-05-04,50,86.84
2007-05-11,50,87.85
2007-05-18,46,86.4
2007-07-27,50,81.16
2007-08-03,50,80.66
2007-08-10,50,82.16
2007-08-17,50,77.51
2007-08-24,36,83.41
2007-08-31,36,85.55
2007-09-07,36,81.54
2007-09-14,35,84.95
2007-09-21,35,89.97
2007-09-28,34,85.25
2007-10-05,37,88.33
2007-10-12,40,56
2007-10-19,43,49.38
2007-10-26,35,54.86
2007-11-02,53,55.03
2007-11-09,46,48.17
2007-11-16,46,47.07
2008-01-18,62,44.47
2008-01-25,47,46.7
2008-03-14,36,45.47
2008-03-28,39,44.15
2008-04-04,39,48.26
2008-04-11,41,44.68
2008-04-18,44,48.67
2008-04-25,39,46.74
2008-05-02,40,50.13
2008-05-09,41,47.52
2008-05-16,41,49.57
2008-05-23,27,50.14
2008-05-30,38,53.39
2008-06-06,43,49.65
2008-06-13,33,48.1
2008-06-20,31,44.9
2008-06-27,31,42.38
2008-07-11,45,40.86
2008-07-18,51,43.26
2008-07-25,34,41.64
2008-08-01,36,41.46
2008-08-08,41,42.78
2008-08-15,46,44.81
2008-08-22,33,43.34
2008-08-29,40,43.06
2008-09-05,25,41.88
2008-09-12,25,43.03
2008-09-19,53,43.95
2008-09-26,32,39
2008-10-03,37,32.55
2008-10-10,53,28.77
2008-10-17,34,28.95
2008-10-24,28,23.21
2008-10-31,42,29.24
2008-11-07,34,26.63
2008-11-14,40,28.11
2008-11-21,46,24.29
2008-11-28,32,27.87
2008-12-05,32,27.8
2008-12-12,40,27
2008-12-19,33,28.34
2008-12-26,27,27.27
2009-01-02,27,30.88
2009-01-09,27,30.13
2009-01-16,24,27.88
2009-01-23,24,25.81
2009-01-30,33,26.39
2009-02-06,32,30.81
2009-02-13,32,29.54
2009-02-20,36,26.73
2009-02-27,29,25.07
2009-03-06,29,21.07
2009-03-13,41,23.49
2009-03-20,27,25.24
2009-03-27,41,26.59
2009-04-03,22,30.26
2009-04-17,36,33.86
2009-04-24,27,34.93
2009-05-01,50,34.5
2009-05-08,22,33.59
2009-05-15,22,28.88
2009-05-22,34,28.27
2009-05-29,22,29.85
2009-06-05,24,34.2
2009-06-12,26,33.27
2009-06-19,28,31.42
2009-06-26,28,31.54
2009-07-10,33,29.5
2009-07-17,41,31.95
2009-07-24,33,34.59
2009-07-31,33,34.65
2009-08-07,25,36.08
2009-08-14,21,35.19
2009-08-21,43,37.18
2009-08-28,24,36.71
2009-09-04,19,36.42
2009-09-11,19,38.55
2009-09-18,33,39.63
2009-09-25,24,37.1
2009-10-02,18,35.58
2009-10-09,18,37.21
2009-10-16,32,37.63
2009-10-23,32,39.06
2009-10-30,37,37.41
2009-11-06,29,38.68
2009-11-13,29,38.96
2009-11-20,17,38.49
2009-11-27,30,37.21
2009-12-04,33,36.4
2009-12-11,29,36.15
2009-12-18,33,36.04
2010-01-08,27,38.31
2010-01-15,28,38
2010-01-22,21,36.16
2010-01-29,19,36.03
2010-02-05,19,34.16
2010-02-12,22,35.55
2010-02-19,17,35.95
2010-02-26,17,35.35
2010-03-05,23,39.21
2010-03-12,28,41.35
2010-03-19,16,42.25
2010-03-26,16,43.67
2010-04-09,19,45.44
2010-04-16,22,45.89
2010-04-23,28,48.04
2010-04-30,27,46.52
2010-05-07,27,41.58
2010-05-14,31,44.1
2010-05-21,21,40.1
2010-05-28,21,41
2010-06-04,25,39.86
2010-06-11,21,42.17
2010-06-18,21,43.65
2010-06-25,18,43.16
2010-07-02,33,39.34
2010-07-09,30,41.84
2010-07-16,29,41.99
2010-07-23,31,46.17
2010-07-30,18,45.82
2010-08-06,22,45.46
2010-08-13,18,42.07
2010-08-20,37,42.18
2010-08-27,25,42.09
2010-09-03,43,45.3
2010-09-10,32,44.93
2010-09-17,32,45.5
2010-09-24,35,47.69
2010-10-01,30,48.28
2010-10-08,22,50.25
2010-10-15,26,50.47
2010-10-22,40,50.77
2010-10-29,32,51.26
2010-11-05,25,55.25
2010-11-12,28,52.82
2010-11-19,21,54.14
2010-11-26,30,54.68
2010-12-03,26,56.26
2010-12-10,26,56.71
2010-12-17,34,56.5
2010-12-31,34,57.34
2011-01-07,27,56.73
2011-01-14,27,56.38
2011-01-21,24,55.1
2011-01-28,29,54.82
2011-02-04,35,50.6
2011-02-11,36,52.52
2011-02-18,27,52.65
2011-02-25,30,50.12
2011-03-04,30,49.2
2011-03-11,39,48.77
2011-03-18,32,48.46
2011-03-25,25,49.86
2011-04-01,39,53.44
2011-04-08,33,51.28
2011-04-15,30,51.43
2011-04-29,33,53.11
2011-05-06,32,53.01
2011-05-13,31,51.67
2011-05-20,29,50.55
2011-05-27,25,49.45
2011-06-03,34,47.37
2011-06-10,31,45.77
2011-06-17,19,47.67
2011-06-24,26,48.46
2011-07-01,21,52.05
2011-07-08,30,52.25
2011-07-15,25,49.28
2011-07-22,26,50.22
2011-07-29,33,42.81
2011-08-05,29,39.2
2011-08-12,52,36.84
2011-08-19,22,34.02
2011-08-26,26,35.8
2011-09-02,26,35.67
2011-09-09,33,35.38
2011-09-16,24,38.1
2011-09-23,29,34.06
2011-09-30,25,33.82
2011-10-07,33,36.18
2011-10-14,24,39.84
2011-10-21,25,40.76
2011-10-28,35,44.19
2011-11-04,28,43.56
2011-11-11,38,42.66
2011-11-18,34,39.16
2011-11-25,23,37.28
2011-12-02,26,40.34
2011-12-09,25,40.1
2011-12-16,28,36.22
2011-12-23,37,37.98
2011-12-30,21,37.47
2012-01-06,27,40.14
2012-01-13,33,42.44
2012-01-20,32,43.9
2012-01-27,27,44.59
2012-02-03,40,44.25
2012-02-10,27,43.27
2012-02-17,28,46.18
2012-02-24,30,45.84
2012-03-02,33,44.91
2012-03-09,28,45.85
2012-03-16,35,47.37
2012-03-23,31,46.45
2012-03-30,23,46.83
2012-04-13,37,42.75
2012-04-20,40,42.22
2012-04-27,31,43.73
2012-05-04,32,41.08
2012-05-11,35,39.36
2012-05-18,37,37.59
2012-05-25,28,38.35
2012-06-01,33,36.49
2012-06-08,40,38.62
2012-06-15,37,39.4
2012-06-22,34,38.45
2012-06-29,37,39.19
2012-07-06,32,37.76
2012-07-13,23,37.22
2012-07-20,41,37.22
2012-07-27,32,40.8
2012-08-03,45,39.72
