"Date","PNR","Price"
2004-02-06,2,53.4
2004-02-13,3,51.37
2004-02-20,3,52.51
2004-02-27,3,54.01
2004-03-05,3,54.69
2004-03-12,3,52.16
2004-03-19,3,54.75
2004-03-26,2,57
2004-04-02,3,59.2
2004-04-16,5,58.16
2004-04-23,7,58.29
2004-04-30,7,59.59
2004-05-07,7,57.64
2004-05-14,4,58.25
2004-05-21,4,59.76
2004-05-28,8,61.28
2004-06-04,6,63.08
2004-06-18,4,31.68
2004-06-25,5,32.72
2004-07-02,2,32.95
2004-07-09,3,32.2
2004-07-16,2,32.8
2004-07-23,2,31.55
2004-07-30,3,31.32
2004-08-06,2,31.01
2004-08-13,3,30.9
2004-08-20,4,33.13
2004-08-27,4,33.02
2004-09-03,4,34.7
2004-09-10,3,34.18
2004-09-17,3,34.55
2004-09-24,3,33.97
2004-10-01,3,35.03
2004-10-08,3,34.63
2004-10-15,5,35.07
2004-10-22,4,34.55
2004-10-29,5,37.38
2004-11-05,6,38.52
2004-11-12,5,38.25
2004-11-19,5,38.98
2004-11-26,6,39.96
2004-12-03,5,40.8
2004-12-10,4,41.75
2004-12-17,5,42.85
2004-12-31,5,43.56
2005-01-07,4,41.03
2005-01-14,4,42.27
2005-01-21,4,42.96
2005-01-28,4,43.35
2005-02-04,4,41.89
2005-02-11,4,42.02
2005-02-18,4,41.85
2005-02-25,4,41.28
2005-03-04,3,42.19
2005-03-11,5,41.07
2005-03-18,4,39.33
2005-04-01,4,39.14
2005-04-08,5,39.83
2005-04-15,5,37.74
2005-04-22,6,38.11
2005-04-29,7,39.78
2005-05-06,7,41.26
2005-05-13,8,43.67
2005-05-20,9,43.6
2005-05-27,7,43.93
2005-06-03,8,43.75
2005-06-10,7,42.63
2005-06-17,7,44.88
2005-06-24,6,41.84
2005-07-01,5,42.62
2005-07-08,4,43.6
2005-07-15,5,44.06
2005-07-22,4,45.17
2005-07-29,3,40.17
2005-08-05,3,39.55
2005-08-12,5,39.72
2005-08-19,5,38.64
2005-08-26,5,37.98
2005-09-02,4,38.85
2005-09-09,5,39.5
2005-09-16,4,38.88
2005-09-23,5,37
2005-09-30,5,36.5
2005-10-07,7,34.52
2005-10-14,7,35.04
2005-10-21,7,35.48
2005-10-28,12,31.33
2005-11-04,5,34.15
2005-11-11,6,35.3
2005-11-18,5,37.4
2005-11-25,5,38.22
2005-12-02,5,37.46
2005-12-09,6,36.75
2005-12-16,8,36.43
2005-12-23,8,34.81
2005-12-30,7,34.52
2006-01-06,7,36.65
2006-01-13,7,36.7
2006-01-20,6,36.73
2006-01-27,6,38.39
2006-02-03,6,36.94
2006-02-10,6,38.23
2006-02-17,6,38.74
2006-02-24,6,40
2006-03-03,5,41.69
2006-03-10,6,40.74
2006-03-17,6,40.6
2006-03-24,7,41.09
2006-03-31,7,40.75
2006-04-07,9,39.9
2006-04-21,10,40.93
2006-04-28,10,38.28
2006-05-05,10,38.16
2006-05-12,12,36.25
2006-05-19,10,34.84
2006-05-26,12,34.21
2006-06-02,10,34.2
2006-06-09,9,32.95
2006-06-16,8,32.78
2006-06-23,7,33.42
2006-06-30,6,34.19
2006-07-07,6,33.57
2006-07-14,5,31.78
2006-07-21,5,30.3
2006-07-28,5,28.49
2006-08-04,5,29.38
2006-08-11,6,28.66
2006-08-18,5,29.67
2006-08-25,5,29.33
2006-09-01,5,29.88
2006-09-08,5,29
2006-09-15,5,28.55
2006-09-22,6,28.49
2006-09-29,8,26.19
2006-10-06,8,28.26
2006-10-13,9,29.51
2006-10-20,10,30.08
2006-10-27,8,31.29
2006-11-03,6,32.02
2006-11-10,5,32.59
2006-11-17,5,32.84
2006-11-24,6,33.3
2006-12-01,6,31.76
2006-12-08,8,32.85
2006-12-15,11,31.65
2006-12-22,13,31.05
2006-12-29,11,31.4
2007-01-05,8,30.15
2007-01-12,8,30.15
2007-01-19,7,30.29
2007-01-26,9,29.93
2007-02-02,7,31.52
2007-02-09,8,31.2
2007-02-16,7,32.78
2007-02-23,8,32.83
2007-03-02,7,31.01
2007-03-09,7,30.13
2007-03-16,7,29.5
2007-03-23,7,30.63
2007-03-30,8,31.16
2007-04-13,10,30.83
2007-04-20,12,31.24
2007-04-27,13,32.41
2007-05-04,11,33.28
2007-05-11,10,34.02
2007-05-18,10,34.99
2007-05-25,11,36.02
2007-06-01,11,37.26
2007-06-08,10,36.5
2007-06-15,10,38.06
2007-06-22,9,38.44
2007-06-29,9,38.57
2007-07-06,8,38.57
2007-07-13,8,38.94
2007-07-20,7,38.43
2007-07-27,6,36.26
2007-08-03,5,36.78
2007-08-10,6,37.38
2007-08-17,6,34.94
2007-08-24,8,35.77
2007-08-31,7,37.13
2007-09-07,6,35.46
2007-09-14,7,33.35
2007-09-21,6,32.08
2007-09-28,8,33.18
2007-10-05,8,33.78
2007-10-12,10,33.69
2007-10-19,11,32.95
2007-10-26,10,34.57
2007-11-02,13,35.91
2007-11-09,12,35.38
2007-11-16,11,33.56
2007-11-23,11,33.36
2007-11-30,11,33.92
2007-12-07,11,35.05
2007-12-14,11,34.48
2007-12-21,13,35.65
2007-12-28,13,35.08
2008-01-04,10,32.97
2008-01-11,10,30.78
2008-01-18,10,27.78
2008-01-25,9,29.82
2008-02-01,8,32.23
2008-02-08,9,33.63
2008-02-15,11,33.65
2008-02-22,11,33.49
2008-02-29,9,32.62
2008-03-07,10,31
2008-03-14,12,31.34
2008-03-28,11,31.48
2008-04-04,14,34.27
2008-04-11,15,32.61
2008-04-18,17,36.35
2008-04-25,18,36.59
2008-05-02,17,37.7
2008-05-09,18,36.73
2008-05-16,17,37.25
2008-05-23,17,35.73
2008-05-30,16,37.43
2008-06-06,16,36.32
2008-06-13,14,34.21
