"Date","MMM","Price"
2004-02-06,47,79.81
2004-02-13,54,79.68
2004-02-20,45,79.7
2004-02-27,34,78.02
2004-03-05,47,78.66
2004-03-12,42,76.22
2004-03-19,33,79.76
2004-03-26,46,79.98
2004-04-02,40,81.78
2004-04-16,43,83.73
2004-04-23,48,87.9
2004-04-30,41,86.48
2004-05-07,41,84.43
2004-05-14,46,83.81
2004-05-21,38,82.92
2004-05-28,43,84.56
2004-06-04,52,84.86
2004-06-18,40,87.09
2004-06-25,42,88.66
2004-07-02,42,87.5
2004-07-09,41,87.65
2004-07-16,37,87.84
2004-07-23,38,82.62
2004-07-30,42,82.36
2004-08-06,47,79.87
2004-08-13,42,77.66
2004-08-20,40,80.27
2004-08-27,49,81.48
2004-09-03,43,83.94
2004-09-10,46,84.69
2004-09-17,37,82.32
2004-09-24,40,78.68
2004-10-01,35,79.69
2004-10-08,40,79.26
2004-10-15,34,77.98
2004-10-22,37,75.88
2004-10-29,39,77.57
2004-11-05,38,81.4
2004-11-12,43,82.68
2004-11-19,38,80.95
2004-11-26,37,80.16
2004-12-03,36,81.08
2004-12-10,39,78.8
2004-12-17,34,80.62
2004-12-31,40,82.07
2005-01-07,36,82.3
2005-01-14,42,83.97
2005-01-21,43,81.27
2005-01-28,45,83.25
2005-02-04,45,84.08
2005-02-11,44,84.04
2005-02-18,42,85.55
2005-02-25,44,84.6
2005-03-04,39,86.46
2005-03-11,37,85.63
2005-03-18,40,86.16
2005-04-01,36,85.12
2005-04-08,41,84.55
2005-04-15,41,80.86
2005-04-22,43,77.06
2005-04-29,45,76.47
2005-05-06,45,77.33
2005-05-13,37,75.61
2005-05-20,44,77.06
2005-05-27,43,76.98
2005-06-03,42,76
2005-06-10,43,75.79
2005-06-17,42,76.92
2005-06-24,46,75.48
2005-07-01,43,73
2005-07-08,45,75
2005-07-15,39,75.45
2005-07-22,42,74.71
2005-07-29,36,75
2005-08-05,43,72.99
2005-08-12,34,71.94
2005-08-19,36,72.07
2005-08-26,45,70.99
2005-09-02,46,71.5
2005-09-09,44,73.52
2005-09-16,42,73.35
2005-09-23,47,72.55
2005-09-30,45,73.36
2005-10-07,45,71.73
2005-10-14,42,70.72
2005-10-21,42,74.89
2005-10-28,41,76.24
2005-11-04,45,75.13
2005-11-11,44,77.55
2005-11-18,38,78.16
2005-11-25,39,78.32
2005-12-02,37,79.4
2005-12-09,40,77.86
2005-12-16,43,77.09
2005-12-23,40,78.6
2005-12-30,35,77.5
2006-01-06,38,78.63
2006-01-13,37,77.5
2006-01-20,36,75.24
2006-01-27,43,72.65
2006-02-03,39,71.1
2006-02-10,42,72.61
2006-02-17,43,73.77
2006-02-24,45,73.91
2006-03-03,37,72.88
2006-03-10,39,72.32
2006-03-17,38,74.79
2006-03-24,40,76.8
2006-03-31,37,75.69
2006-04-07,42,81.03
2006-04-21,44,85.06
2006-04-28,49,85.43
2006-05-05,42,87.3
2006-05-12,46,86.57
2006-05-19,44,84.31
2006-05-26,41,83.87
2006-06-02,44,84.78
2006-06-09,40,80.57
2006-06-16,49,80.51
2006-06-23,42,79.92
2006-06-30,42,80.77
2006-07-07,41,74.1
2006-07-14,42,71.22
2006-07-21,40,70.72
2006-07-28,40,70.52
2006-08-04,41,69.45
2006-08-11,41,68.53
2006-08-18,43,71.21
2006-08-25,41,69.92
2006-09-01,43,71.72
2006-09-08,38,71.51
2006-09-15,41,74.14
2006-09-22,41,73.07
2006-09-29,41,74.42
2006-10-06,43,75.95
2006-10-13,38,75.4
2006-10-20,38,78.47
2006-10-27,39,78.95
2006-11-03,37,78.58
2006-11-10,37,79.19
2006-11-17,38,81.4
2006-11-24,40,81.15
2006-12-01,37,79.98
2006-12-08,39,78.56
2006-12-15,36,78.31
2006-12-22,37,78.35
2006-12-29,39,77.93
2007-01-05,32,77.42
2007-01-12,39,79.36
2007-01-19,37,79.25
2007-01-26,38,78.69
2007-02-02,39,73.87
2007-02-09,36,74.54
2007-02-16,37,76.84
2007-02-23,40,76.21
2007-03-02,35,73.01
2007-03-09,37,74.73
2007-03-16,37,75.28
2007-03-23,38,77.97
2007-03-30,38,76.43
2007-04-13,37,76.72
2007-04-20,49,77.75
2007-04-27,45,81.55
2007-05-04,42,84.21
2007-05-11,40,85.55
2007-05-18,41,86.9
2007-05-25,44,87.35
2007-06-01,42,88.43
2007-06-08,44,85.94
2007-06-15,40,87.67
2007-06-22,36,86.43
2007-06-29,44,86.79
2007-07-06,42,88.11
2007-07-13,38,90.22
2007-07-20,37,90.21
2007-07-27,42,90.05
2007-08-03,39,87.56
2007-08-10,44,85.97
2007-08-17,40,87.83
2007-08-24,37,89.15
2007-08-31,40,90.99
2007-09-07,34,88.92
2007-09-14,39,89.02
2007-09-21,39,91.68
2007-09-28,39,93.58
2007-10-05,38,95.85
2007-10-12,39,94.17
2007-10-19,40,86.62
2007-10-26,38,86.13
2007-11-02,42,84.89
2007-11-09,37,79.51
2007-11-16,38,81.57
2007-11-23,39,82.75
2007-11-30,38,83.26
2007-12-07,40,86.19
2007-12-14,41,85.93
2007-12-21,37,86.05
2007-12-28,38,85.09
2008-01-04,36,81.76
2008-01-11,37,77.58
2008-01-18,40,74.91
2008-01-25,40,75.51
2008-02-01,37,81.21
