"Date","UTX","Price"
2004-04-23,71,88.93
2004-04-30,74,86.26
2004-05-07,77,85.18
2004-05-14,80,83.25
2004-05-21,84,81.56
2004-05-28,79,84.61
2004-06-04,79,85.75
2004-06-18,73,89.95
2004-06-25,75,89.25
2004-07-02,78,89.49
2004-12-17,56,103.9
2005-01-28,50,102
2005-02-04,50,101.72
2005-02-11,51,101.4
2005-02-18,51,100.91
2005-02-25,52,101.02
2005-03-04,65,100.74
2005-03-11,58,101.36
2005-03-18,58,103.75
2005-04-01,58,100.94
2005-04-08,59,100.81
2005-04-15,60,97.55
2005-04-22,61,101.56
2005-04-29,55,101.72
2005-05-06,77,102.03
2005-05-13,80,101.1
2005-05-20,45,105.15
2005-05-27,60,107.88
2005-06-03,46,106.25
2005-06-10,57,104.93
2005-06-17,90,53.14
2005-06-24,65,52.12
2005-07-01,61,51.38
2005-07-08,61,51.54
2005-07-15,70,51.71
2005-07-22,71,51.14
2005-07-29,73,50.7
2005-08-05,45,49.37
2005-08-12,45,51.78
2005-08-19,45,51.74
2005-08-26,71,50.29
2005-09-02,55,50.6
2005-09-09,55,51.44
2005-09-16,55,51.38
2005-09-23,53,51.7
2005-09-30,46,51.84
2005-10-07,42,50.15
2005-10-14,42,51.63
2005-10-21,41,50.91
2005-10-28,38,51.38
2005-11-04,38,51.63
2005-11-11,39,53.45
2005-11-18,40,53.54
2005-11-25,41,54.31
2005-12-02,49,54.99
2005-12-09,51,55.42
2005-12-16,53,58.03
2005-12-23,55,57.28
2005-12-30,53,55.91
2006-01-06,37,56.16
2006-01-13,37,55.66
2006-01-20,42,55.01
2006-01-27,59,58.75
2006-02-03,58,57.18
2006-02-10,41,57.13
2006-02-17,46,58
2006-02-24,31,58.89
2006-03-03,59,57.86
2006-03-10,45,57.82
2006-03-17,41,58.8
2006-03-24,41,59.28
2006-03-31,38,57.97
2006-04-07,53,57.62
2006-04-21,52,64.22
2006-04-28,67,62.81
2006-05-05,40,64.91
2006-05-12,41,64.9
2006-05-19,49,62.7
2006-05-26,38,62.6
2006-06-02,40,63.03
2006-06-09,41,60.05
2006-06-16,39,61.75
2006-06-23,51,62.28
2006-06-30,41,63.42
2006-07-07,40,63.1
2006-07-14,56,58.81
2006-07-21,91,59.96
2006-07-28,84,62.15
2006-08-04,73,62.57
2006-08-11,81,60.15
2006-08-18,64,61.84
2006-08-25,47,60.67
2006-09-01,38,63.26
2006-09-08,46,63.34
2006-09-15,55,64.61
2006-09-22,28,62.3
2006-09-29,51,63.35
2006-10-06,51,65.41
2006-10-13,58,66.5
2006-10-20,75,65.02
2006-10-27,68,64.94
2006-11-03,39,63.97
2006-11-10,33,65.06
2006-11-17,62,66.09
2006-11-24,31,65.99
2006-12-01,47,63.86
2006-12-08,43,64.72
2006-12-15,55,62.45
2006-12-22,37,62.56
2006-12-29,52,62.52
2007-01-05,55,62.68
2007-01-12,49,64.42
2007-01-19,50,65.18
2007-01-26,50,66.04
2007-02-02,54,68
2007-02-09,58,67.58
2007-02-16,78,68.68
2007-02-23,38,67.55
2007-03-02,61,64.35
2007-03-09,48,64.5
2007-03-16,30,64.6
2007-03-23,65,66.73
2007-03-30,24,65
2007-04-13,56,65.05
2007-04-20,64,67.48
2007-04-27,50,67.69
2007-05-04,41,68
2007-05-11,41,68.39
2007-05-18,57,69.19
2007-05-25,55,68.62
2007-06-01,43,70.78
2007-06-08,30,70.23
2007-06-15,55,72.01
2007-06-22,31,71.38
2007-06-29,44,70.93
2007-07-06,46,72.6
2007-07-13,52,75
2007-07-20,100,76.03
2007-07-27,57,73.29
2007-08-03,49,73.93
2007-08-10,61,73.08
2007-08-17,55,73.82
2007-08-24,46,74.33
2007-08-31,44,74.63
2007-09-07,39,73.79
2007-09-14,36,76.14
2007-09-21,64,79.43
2007-09-28,38,80.48
2007-10-05,44,80.84
2007-10-12,56,80.32
2007-10-19,62,76
2007-10-26,53,75.44
2007-11-02,40,75.65
2007-11-09,40,73.51
2007-11-16,48,74.3
2007-11-23,37,73.46
2007-11-30,45,74.77
2007-12-07,47,78.07
2007-12-14,36,76.69
2007-12-21,47,77.83
2007-12-28,33,76.87
2008-01-04,35,75.02
2008-01-11,34,71.68
2008-01-18,57,68.05
2008-01-25,74,72.75
2008-02-01,43,74.12
2008-02-08,34,71.35
2008-02-15,42,71.53
2008-02-22,68,72.23
2008-02-29,51,70.51
2008-03-07,57,67.49
2008-03-14,43,67.71
2008-03-28,51,68.55
2008-04-04,43,71.73
2008-04-11,48,69.53
2008-04-18,63,72.51
2008-04-25,27,72.68
2008-05-02,36,75.1
2008-05-09,48,73.13
2008-05-16,48,73.96
2008-05-23,44,70.01
2008-05-30,36,71.04
2008-06-06,51,67.01
2008-06-13,54,68.56
2008-06-20,35,68.8
2008-06-27,49,61.15
2008-07-11,50,60.69
2008-07-18,69,64.09
2008-07-25,47,65.23
2008-08-01,49,63.56
2008-08-08,48,66.86
2008-08-15,32,66.8
2008-08-22,37,65.98
2008-08-29,28,65.59
2008-09-05,38,64.08
2008-09-12,37,64.46
2008-09-19,40,64.3
2008-09-26,46,60.86
2008-10-03,55,54.86
2008-10-10,80,47.63
2008-10-17,69,50.71
2008-10-24,72,47.31
2008-10-31,64,54.96
2008-11-07,46,51.81
2008-11-14,63,50.23
2008-11-21,35,46.67
2008-11-28,32,48.53
2008-12-05,37,49.01
2008-12-12,46,48.82
2008-12-19,44,51.37
2008-12-26,43,51.13
2009-01-02,41,54.95
2009-01-09,44,52.7
2009-01-16,51,51.1
2009-01-23,37,47.41
