"Date","BTU","Price"
2004-02-06,40,37.09
2004-02-13,35,39.73
2004-02-20,37,40.51
2004-02-27,40,42.8
2004-03-05,35,48.76
2004-03-12,34,46.32
2004-03-19,41,45.34
2004-03-26,42,44.45
2004-04-02,41,48.25
2004-04-16,47,48.56
2004-04-23,50,49.27
2004-04-30,48,46.89
2004-05-07,55,45.71
2004-05-14,59,44.68
2004-05-21,62,46.34
2004-05-28,62,49.74
2004-06-04,56,48.7
2004-06-18,58,52.09
2004-06-25,52,55.57
2004-07-02,55,55.8
2004-07-09,51,55.09
2004-07-16,46,57.55
2004-07-23,54,54.93
2004-07-30,43,56.18
2004-08-06,45,51.23
2004-08-13,41,51.98
2004-08-20,43,53.84
2004-08-27,36,54.6
2004-09-03,39,55.01
2004-09-10,40,54.1
2004-09-17,30,55.2
2004-09-24,39,58.75
2004-10-01,39,59.65
2004-10-08,37,60.65
2004-10-15,36,60.78
2004-10-22,44,65.77
2004-10-29,37,63.78
2004-11-05,35,65.27
2004-11-12,40,68.46
2004-11-19,38,74.56
2004-11-26,28,83.91
2004-12-03,35,79.15
2004-12-10,40,76.09
2004-12-17,33,81.43
2004-12-31,24,80.91
2005-01-07,42,74.12
2005-01-14,35,80.62
2005-01-21,39,82.35
2005-01-28,39,81.99
2005-02-04,34,87.74
2005-02-11,33,88.4
2005-02-18,38,93.87
2005-02-25,34,97.77
2005-03-04,36,98.72
2005-03-11,32,95.41
2005-03-18,37,98.45
2005-04-01,39,47.45
2005-04-08,40,45.65
2005-04-15,37,39.36
2005-04-22,46,44.61
2005-04-29,40,43.77
2005-05-06,44,47.62
2005-05-13,41,42.92
2005-05-20,41,43.95
2005-05-27,50,46.94
2005-06-03,49,49.93
2005-06-10,93,52.71
2005-06-17,85,55.77
2005-06-24,68,51.24
2005-07-01,85,53.19
2005-07-08,56,55.72
2005-07-15,67,55.93
2005-07-22,70,65.36
2005-07-29,59,65.74
2005-08-05,53,65.23
2005-08-12,50,68.73
2005-08-19,43,65.22
2005-08-26,37,64.72
2005-09-02,40,70.27
2005-09-09,36,74.05
2005-09-16,45,79.5
2005-09-23,41,80.83
2005-09-30,40,84.35
2005-10-07,47,74.65
2005-10-14,52,77.78
2005-10-21,43,74.03
2005-10-28,46,76.74
2005-11-04,35,81.36
2005-11-11,36,76.03
2005-11-18,43,73.94
2005-11-25,38,79.4
2005-12-02,40,78.9
2005-12-09,44,81.18
2005-12-16,37,81.9
2005-12-23,33,83.41
2005-12-30,32,82.42
2006-01-06,33,88.04
2006-01-13,41,87.49
2006-01-20,42,89.25
2006-01-27,40,94.55
2006-02-03,41,102.36
2006-02-10,40,89.65
2006-02-17,42,92.25
2006-02-24,39,50.75
2006-03-03,40,51.14
2006-03-10,39,46.21
2006-03-17,37,47.27
2006-03-24,37,49.03
2006-03-31,42,50.41
2006-04-07,44,52.11
2006-04-21,46,63.17
2006-04-28,44,63.86
2006-05-05,57,69.89
2006-05-12,52,68.99
2006-05-19,47,56.12
2006-05-26,58,61
2006-06-02,79,64.93
2006-06-09,58,52.25
2006-06-16,59,52.38
2006-06-23,66,50.78
2006-06-30,74,55.75
2006-07-07,71,57.01
2006-07-14,57,54.28
2006-07-21,100,44.7
2006-07-28,94,46.05
2006-08-04,76,49.05
2006-08-11,48,46.19
2006-08-18,44,47.36
2006-08-25,43,46.4
2006-09-01,39,44.7
2006-09-08,39,38.63
2006-09-15,42,37.31
2006-09-22,39,34.95
2006-09-29,38,36.78
2006-10-06,39,38.55
2006-10-13,36,41.2
2006-10-20,38,41.75
2006-10-27,40,43.01
2006-11-03,37,41.98
