"Date","MRO","Price"
2004-02-06,58,32.26
2004-02-13,57,33.49
2004-02-20,56,33.89
2004-02-27,67,35.14
2004-03-05,65,35.32
2004-03-12,74,34.52
2004-03-19,50,33.97
2004-03-26,53,31.5
2004-04-02,55,32.76
2004-04-16,52,34.41
2004-04-23,50,34.08
2004-04-30,67,33.56
2004-05-07,38,33.67
2004-05-14,50,33.59
2004-05-21,40,32.48
2004-05-28,43,33.34
2004-06-04,64,33.16
2004-06-18,64,36.64
2004-06-25,33,37.42
2004-07-02,44,38
2004-07-09,48,37.14
2004-07-16,48,37.59
2004-07-23,55,36.85
2004-07-30,64,37.67
2004-08-06,63,35.17
2004-08-13,63,35.16
2004-08-20,47,34.38
2004-08-27,69,35.59
2004-09-03,45,36.9
2004-09-10,53,37.44
2004-09-17,49,38.7
2004-09-24,50,40.52
2004-10-01,57,41.96
2004-10-08,43,41.24
2004-10-15,49,40.2
2004-10-22,58,40.3
2004-10-29,47,38.11
2004-11-05,45,38.42
2004-11-12,53,38.21
2004-11-19,51,38.36
2004-11-26,39,39.85
2004-12-03,51,37.51
2004-12-10,46,36.67
2004-12-17,49,37.32
2004-12-31,27,37.61
2005-01-07,45,36.81
2005-01-14,40,38.3
2005-01-21,59,38.06
2005-01-28,48,38.36
2005-02-04,37,40.5
2005-02-11,49,42.69
2005-02-18,49,44.53
2005-02-25,58,46.63
2005-03-04,50,48.76
2005-03-11,46,45.93
2005-03-18,50,46.94
2005-04-01,42,48.25
2005-04-08,50,47.75
2005-04-15,55,44
2005-04-22,54,47.94
2005-04-29,42,46.57
2005-05-06,58,48.32
2005-05-13,53,45.34
2005-05-20,43,46.22
2005-05-27,43,48.9
2005-06-03,54,49.99
2005-06-10,39,51.94
2005-06-17,49,54.94
2005-06-24,51,54.78
2005-07-01,45,55.54
2005-07-08,31,56.13
2005-07-15,45,55.23
2005-07-22,51,57.4
2005-07-29,46,58.36
2005-08-05,59,59.96
2005-08-12,88,63.41
2005-08-19,52,60.2
2005-08-26,43,59.2
2005-09-02,46,65.07
2005-09-09,50,67.75
2005-09-16,45,68
2005-09-23,56,68.57
2005-09-30,51,68.93
2005-10-07,34,62.35
2005-10-14,61,59.75
2005-10-21,56,57.32
2005-10-28,43,59.94
2005-11-04,41,60.93
2005-11-11,43,57.25
2005-11-18,40,59.02
2005-11-25,47,61
2005-12-02,43,60.79
2005-12-09,41,61.71
2005-12-16,48,61.79
2005-12-23,42,62.16
2005-12-30,33,60.97
2006-01-06,43,66.69
2006-01-13,38,71.32
2006-01-20,36,72.62
2006-01-27,42,75.04
2006-02-03,54,71.61
2006-02-10,44,66.43
2006-02-17,51,71.13
2006-02-24,53,72.21
2006-03-03,49,72.34
2006-03-10,90,69.5
2006-03-17,75,76.36
2006-03-24,68,77.3
2006-03-31,59,76.17
2006-04-07,54,78.1
2006-04-21,61,86.04
2006-04-28,44,79.36
2006-05-05,59,81.25
2006-05-12,50,78.36
2006-05-19,46,75.5
2006-05-26,41,76
2006-06-02,38,78.39
2006-06-09,53,73.37
2006-06-16,47,74.55
2006-06-23,48,76.72
2006-06-30,52,83.3
2006-07-07,42,85.73
2006-07-14,40,87.86
2006-07-21,53,84.13
2006-07-28,59,89.35
2006-08-04,100,87.2
2006-08-11,75,89.35
2006-08-18,66,87.21
2006-08-25,70,92.13
2006-09-01,46,84.99
2006-09-08,49,77.25
2006-09-15,50,73.21
2006-09-22,44,71.2
2006-09-29,51,76.9
2006-10-06,66,76.86
2006-10-13,52,83.13
2006-10-20,50,86.63
2006-10-27,42,86.35
2006-11-03,56,88.53
2006-11-10,49,88.49
2006-11-17,55,88.99
2006-11-24,39,91.29
2006-12-01,42,95.65
2006-12-08,58,93.73
2006-12-15,51,95.5
2006-12-22,51,90.77
2006-12-29,45,92.5
2007-01-05,45,85.92
2007-01-12,50,86.77
2007-01-19,48,87.17
2007-01-26,46,88.82
2007-02-02,49,89.62
2007-02-09,48,91.13
2007-02-16,50,91.03
2007-02-23,48,92.59
2007-03-02,47,89.24
2007-03-09,48,94.73
2007-03-16,49,93.29
2007-03-23,51,101.12
2007-03-30,58,98.83
2007-04-13,49,101.99
2007-04-20,50,100.55
2007-04-27,50,102.8
2007-05-04,39,104.41
2007-05-11,49,107.39
2007-05-18,51,114.52
2007-05-25,35,119.6
2007-06-01,43,126.76
2007-06-08,46,125.45
2007-06-15,39,132.51
2007-06-22,53,62.12
2007-06-29,45,59.96
2007-07-06,48,63.59
2007-07-13,48,65.04
2007-07-20,57,61.26
2007-07-27,51,55.15
2007-08-03,48,49.81
2007-08-10,45,51.86
2007-08-17,41,53.44
2007-08-24,48,53.73
2007-08-31,45,53.89
2007-09-07,36,54.51
2007-09-14,38,55.9
2007-09-21,44,58.25
2007-09-28,41,57.02
2007-10-05,43,58.46
2007-10-12,38,58.34
2007-10-19,41,58.11
2007-10-26,39,60.74
2007-11-02,50,59.68
2007-11-09,39,59.69
2007-11-16,42,57.51
2007-11-23,41,56.37
2007-11-30,42,55.9
2007-12-07,38,59.23
2007-12-14,37,58.32
2007-12-21,35,61.41
2007-12-28,31,62.38
2008-01-04,33,59.57
2008-01-11,39,54.5
2008-01-18,41,47.49
2008-01-25,37,49.02
2008-02-01,37,49.09
2008-02-08,44,49.38
2008-02-15,37,50.85
2008-02-22,43,51.55
2008-02-29,38,53.16
2008-03-07,52,51.46
2008-03-14,45,50.67
2008-03-28,44,46.46
2008-04-04,48,48.8
2008-04-11,44,44.92
2008-04-18,42,48.79
2008-04-25,45,46.4
2008-05-02,48,50.8
2008-05-09,43,52.56
2008-05-16,44,55.05
2008-05-23,39,51.79
2008-05-30,50,51.39
2008-06-06,44,49.52
2008-06-13,43,51.39
2008-06-20,39,50.74
2008-06-27,43,51.22
2008-07-11,47,46.58
2008-07-18,43,43.38
2008-07-25,41,42.56
2008-08-01,42,47.81
2008-08-08,44,45.99
2008-08-15,36,44.85
2008-08-22,40,44.97
2008-08-29,45,45.07
2008-09-05,37,43.62
2008-09-12,45,46.04
2008-09-19,37,43.34
2008-09-26,51,40.83
2008-10-03,41,35.58
2008-10-10,40,25.56
2008-10-17,46,25.95
2008-10-24,43,23.56
2008-10-31,42,29.1
2008-11-07,39,28.6
2008-11-14,40,26.69
2008-11-21,34,22.52
2008-11-28,37,26.18
2008-12-05,40,22.31
2008-12-12,37,24.92
2008-12-19,40,25.95
2008-12-26,31,24.77
2009-01-02,28,28.98
2009-01-09,32,28.86
2009-01-16,35,28.46
2009-01-23,45,29.03
2009-01-30,40,27.23
2009-02-06,43,27.15
2009-02-13,39,27
2009-02-20,38,23.75
2009-02-27,38,23.27
2009-03-06,41,20.92
2009-03-13,39,23.63
2009-03-20,41,24.28
2009-03-27,38,27.31
2009-04-03,44,29.07
2009-04-17,42,30.02
2009-04-24,40,31.08
2009-05-01,33,30.84
2009-05-08,36,32.56
2009-05-15,39,28.63
2009-05-22,33,29.43
2009-05-29,36,31.88
2009-06-05,31,31.7
2009-06-12,40,32.42
2009-06-19,34,30.64
2009-06-26,30,29.52
2009-07-10,39,28.33
2009-07-17,34,30.26
2009-07-24,36,32.15
2009-07-31,34,32.25
2009-08-07,38,30.65
2009-08-14,30,31.02
2009-08-21,32,31.84
2009-08-28,35,31.51
2009-09-04,39,30.74
2009-09-11,36,32.25
2009-09-18,33,33.53
2009-09-25,38,31.64
2009-10-02,32,30.48
2009-10-09,33,32.32
2009-10-16,35,34.88
2009-10-23,31,34.01
2009-10-30,34,31.97
2009-11-06,34,33.68
2009-11-13,35,34.65
2009-11-20,30,33.02
2009-11-27,27,32.63
2009-12-04,34,31.63
2009-12-11,29,31.3
2009-12-18,32,30.91
2010-01-08,32,32.7
2010-01-15,34,31.64
2010-01-22,36,30.58
2010-01-29,31,29.81
2010-02-05,37,28.46
2010-02-12,34,28.61
2010-02-19,32,29.97
2010-02-26,32,28.95
2010-03-05,34,30.61
2010-03-12,34,31.48
2010-03-19,37,31.98
2010-03-26,39,30.84
2010-04-09,32,32.19
2010-04-16,37,32.02
2010-04-23,36,33.08
2010-04-30,34,32.15
2010-05-07,31,30.44
2010-05-14,29,31.29
2010-05-21,34,31.42
2010-05-28,29,31.09
2010-06-04,28,30.7
2010-06-11,27,32.37
2010-06-18,29,33.79
2010-06-25,27,32.75
2010-07-02,30,30.83
2010-07-09,28,32.08
2010-07-16,32,31.7
2010-07-23,32,32.88
2010-07-30,32,33.45
2010-08-06,34,34.39
2010-08-13,29,32.76
2010-08-20,27,31.52
2010-08-27,34,30.94
2010-09-03,27,32.16
2010-09-10,32,32.32
2010-09-17,32,31.61
2010-09-24,34,32.21
2010-10-01,33,33.81
2010-10-08,27,35.48
2010-10-15,28,35.75
2010-10-22,28,35.61
2010-10-29,30,35.57
2010-11-05,34,33.92
2010-11-12,33,33.74
2010-11-19,32,34.27
2010-11-26,24,33.48
2010-12-03,29,35.11
2010-12-10,28,35.15
2010-12-17,30,35.21
2010-12-31,23,37.03
2011-01-07,33,38.63
2011-01-14,37,42.59
2011-01-21,38,42.04
2011-01-28,34,44.76
2011-02-04,35,45.86
2011-02-11,35,46.48
2011-02-18,36,49.51
2011-02-25,33,48.62
2011-03-04,34,51.66
2011-03-11,36,50.17
2011-03-18,35,49.65
2011-03-25,40,51.7
2011-04-01,37,53.55
2011-04-08,40,52.76
2011-04-15,40,51.33
2011-04-29,34,54.04
2011-05-06,33,49.57
2011-05-13,32,51.1
2011-05-20,31,51.2
2011-05-27,33,53.37
2011-06-03,33,51.8
2011-06-10,32,50.25
2011-06-17,30,50.59
2011-06-24,36,49.55
2011-07-01,39,32.95
2011-07-08,37,32.67
2011-07-15,35,31.68
2011-07-22,32,32.01
2011-07-29,34,30.97
2011-08-05,40,26.12
2011-08-12,35,26.65
2011-08-19,35,25.17
2011-08-26,33,25.89
2011-09-02,32,25.78
2011-09-09,30,24.82
2011-09-16,32,25.33
2011-09-23,34,22.06
2011-09-30,31,21.58
2011-10-07,37,22.53
2011-10-14,30,24.55
2011-10-21,30,25.81
2011-10-28,31,27.97
2011-11-04,33,27.03
2011-11-11,30,28.33
2011-11-18,31,26.13
2011-11-25,30,24.66
2011-12-02,30,27.77
2011-12-09,31,28.33
2011-12-16,28,27.38
2011-12-23,30,29.22
2011-12-30,25,29.27
2012-01-06,31,30.69
2012-01-13,31,30.47
2012-01-20,31,32.04
2012-01-27,31,31.24
2012-02-03,33,32.3
2012-02-10,33,33.15
2012-02-17,32,33.77
2012-02-24,33,35.01
2012-03-02,33,33.52
2012-03-09,33,33.34
2012-03-16,32,34.61
2012-03-23,37,32.46
2012-03-30,36,31.7
2012-04-13,29,29.7
2012-04-20,29,29.47
2012-04-27,29,29.71
2012-05-04,28,26.8
2012-05-11,31,26.18
2012-05-18,30,24.13
2012-05-25,26,25.29
2012-06-01,28,23.89
2012-06-08,28,25.03
2012-06-15,29,24.87
2012-06-22,31,23.74
2012-06-29,28,25.57
2012-07-06,32,24.96
2012-07-13,29,24.87
2012-07-20,31,26.54
2012-07-27,28,27.03
2012-08-03,27,26.72
2012-08-10,41,27.9
2012-08-17,30,27.1
2012-08-24,30,27.84
2012-08-31,29,27.82
2012-09-07,29,28.61
2012-09-14,34,31.09
2012-09-21,32,30.78
2012-09-28,32,29.57
2012-10-05,33,29.54
2012-10-12,30,29.38
2012-10-19,29,30.59
2012-10-26,29,29.91
2012-11-02,28,29.95
2012-11-09,30,30.44
2012-11-16,27,30.86
2012-11-23,25,31.93
2012-11-30,29,30.85
2012-12-07,28,30.92
2012-12-14,28,30.82
2012-12-21,29,31.05
2012-12-28,22,29.81
2013-01-04,24,32.01
2013-01-11,29,32.15
2013-01-18,28,33.08
2013-01-25,31,33.78
2013-02-01,32,34.21
2013-02-08,31,34.53
2013-02-15,32,34.66
2013-02-22,28,34.71
