"Date","APC","Price"
2004-02-06,89,50.1
2004-02-13,81,51.51
2004-02-20,82,51.18
2004-02-27,79,51.25
2004-03-05,82,52.6
2004-03-12,64,50.98
2004-03-19,85,52.61
2004-03-26,80,50.85
2004-04-02,73,51.35
2004-04-16,83,56.29
2004-04-23,75,54.22
2004-04-30,77,53.58
2004-05-07,82,54.95
2004-05-14,82,55.19
2004-05-21,81,53.28
2004-05-28,80,54.52
2004-06-04,79,55.84
2004-06-18,86,58.06
2004-06-25,82,57.83
2004-07-02,88,59.07
2004-07-09,87,60.26
2004-07-16,100,60.79
2004-07-23,94,58.7
2004-07-30,83,59.79
2004-08-06,87,56.41
2004-08-13,81,57.03
2004-08-20,93,58.39
2004-08-27,79,58.58
2004-09-03,78,60.5
2004-09-10,90,61.69
2004-09-17,83,62.66
2004-09-24,80,65.06
2004-10-01,73,67.31
2004-10-08,71,69.06
2004-10-15,81,68.46
2004-10-22,79,70.11
2004-10-29,76,67.45
2004-11-05,69,68.1
2004-11-12,74,67.42
2004-11-19,82,68.45
2004-11-26,71,70.11
2004-12-03,79,67.26
2004-12-10,77,65.74
2004-12-17,78,66.22
2004-12-31,62,64.81
2005-01-07,73,61.4
2005-01-14,75,64.43
2005-01-21,72,63.9
2005-01-28,74,65.59
2005-02-04,73,66.2
2005-02-11,73,68.69
2005-02-18,66,70.25
2005-02-25,67,77.73
2005-03-04,72,81.37
2005-03-11,71,77.51
2005-03-18,64,77.33
2005-04-01,63,78.2
2005-04-08,62,76.26
2005-04-15,69,71.66
2005-04-22,68,73.81
2005-04-29,67,73.04
2005-05-06,66,73.89
2005-05-13,68,69.15
2005-05-20,67,72.29
2005-05-27,71,76.09
2005-06-03,74,76.17
2005-06-10,78,77.35
2005-06-17,74,82.51
2005-06-24,79,82.53
2005-07-01,80,84.66
2005-07-08,79,88.42
2005-07-15,82,86.2
2005-07-22,79,88.31
2005-07-29,83,88.35
2005-08-05,83,85.84
2005-08-12,85,89.39
2005-08-19,87,88.12
2005-08-26,75,86.95
2005-09-02,71,91.75
2005-09-09,78,94.54
2005-09-16,75,93.53
2005-09-23,71,93.93
2005-09-30,73,95.75
2005-10-07,66,89.88
2005-10-14,73,89.73
2005-10-21,70,86.24
2005-10-28,75,90.69
2005-11-04,64,89.3
2005-11-11,67,86.14
2005-11-18,67,87.97
2005-11-25,69,91.35
2005-12-02,72,93.49
2005-12-09,64,97
2005-12-16,70,95.82
2005-12-23,63,94.65
2005-12-30,56,94.75
2006-01-06,63,98.89
2006-01-13,67,102.45
2006-01-20,70,106.85
2006-01-27,62,107.14
2006-02-03,64,103.7
2006-02-10,65,98.62
2006-02-17,62,101.07
2006-02-24,67,102.09
2006-03-03,62,102.07
2006-03-10,63,95.01
2006-03-17,64,99.91
2006-03-24,64,100.55
2006-03-31,64,101.01
2006-04-07,64,102.15
2006-04-21,62,113.24
2006-04-28,60,104.82
2006-05-05,54,106.54
2006-05-12,59,102.67
2006-05-19,64,99.44
2006-05-26,60,99.22
2006-06-02,63,50.43
2006-06-09,64,47.58
2006-06-16,68,48.22
2006-06-23,67,44.9
