"Date","NOV","Price"
2004-02-06,2,25.27
2004-02-13,2,26.98
2004-02-20,2,28.19
2004-02-27,2,29.71
2004-03-05,2,30.26
2004-03-12,2,28.53
2004-03-19,2,28.47
2004-03-26,2,26.99
2004-04-02,2,28.1
2004-04-16,2,30.04
2004-04-23,2,29.77
2004-04-30,2,27.92
2004-05-07,2,26.75
2004-05-14,2,26.41
2004-05-21,1,25.9
2004-05-28,2,27.68
2004-06-04,2,27.01
2004-06-18,1,30.51
2004-06-25,1,30.47
2004-07-02,2,31.96
2004-07-09,2,32.37
2004-07-16,1,34.15
2004-07-23,2,32.08
2004-07-30,2,33.45
2004-08-06,2,29.62
2004-08-13,2,29.75
2004-08-20,2,29.62
2004-08-27,2,30.2
2004-09-03,3,31.4
2004-09-10,3,31.6
2004-09-17,4,32.31
2004-09-24,4,33.21
2004-10-01,4,33.82
2004-10-08,5,34.8
2004-10-15,6,32.85
2004-10-22,7,34
2004-10-29,12,33.71
2004-11-05,40,33.16
2004-11-12,35,34.22
2004-11-19,32,34.39
2004-11-26,26,36.99
2004-12-03,16,34.06
2004-12-10,6,33.88
2004-12-17,4,35.64
2004-12-31,3,35.29
2005-01-07,3,33.23
2005-01-14,3,35.96
2005-01-21,3,35.97
2005-01-28,3,36.5
2005-02-04,2,38.45
2005-02-11,2,40.69
2005-02-18,2,41.85
2005-02-25,2,44.72
2005-03-04,2,47.34
2005-03-11,2,48.85
2005-03-18,2,49.32
2005-04-01,2,47.05
2005-04-08,2,45.31
2005-04-15,2,41.22
2005-04-22,2,42.82
2005-04-29,2,39.74
2005-05-06,2,43.48
2005-05-13,2,41.11
2005-05-20,2,42.2
2005-05-27,2,44.39
2005-06-03,2,45.13
2005-06-10,2,46.15
2005-06-17,2,48.52
2005-06-24,2,46.85
2005-07-01,2,47.8
2005-07-08,2,47.44
2005-07-15,2,46.89
2005-07-22,2,51.47
2005-07-29,3,52.35
2005-08-05,3,57
2005-08-12,3,60.07
2005-08-19,2,58.32
2005-08-26,3,58.32
2005-09-02,3,63.1
2005-09-09,3,65.25
2005-09-16,3,63.79
2005-09-23,4,63.4
2005-09-30,5,65.8
2005-10-07,5,59.24
2005-10-14,6,56.35
2005-10-21,8,57.75
2005-10-28,11,61.77
2005-11-04,34,61
2005-11-11,42,55.8
2005-11-18,34,59.04
2005-11-25,31,62.53
2005-12-02,17,62.04
2005-12-09,6,65.7
2005-12-16,4,63.57
2005-12-23,3,63.77
2005-12-30,3,62.7
2006-01-06,3,70.64
2006-01-13,3,69.8
2006-01-20,2,73.33
2006-01-27,3,72.52
2006-02-03,2,73.44
2006-02-10,2,63.8
2006-02-17,2,64.3
2006-02-24,2,63.79
2006-03-03,3,62.74
2006-03-10,2,57.3
2006-03-17,2,60.01
2006-03-24,2,62.68
2006-03-31,2,64.12
2006-04-07,2,63.26
2006-04-21,2,71.12
2006-04-28,2,68.97
2006-05-05,2,71.42
2006-05-12,2,67.02
2006-05-19,2,62.55
2006-05-26,2,65.36
2006-06-02,2,68.94
2006-06-09,2,62.18
2006-06-16,2,60.94
2006-06-23,2,59.97
2006-06-30,2,63.32
2006-07-07,2,60.2
2006-07-14,2,62.09
2006-07-21,2,58.02
2006-07-28,2,65.49
2006-08-04,2,65.1
2006-08-11,3,64.8
2006-08-18,2,66.27
2006-08-25,3,67.94
2006-09-01,3,67.02
2006-09-08,3,62.16
2006-09-15,4,59.16
2006-09-22,4,56.33
2006-09-29,4,58.55
2006-10-06,6,54.66
2006-10-13,7,56.74
2006-10-20,8,58.39
2006-10-27,12,59.87
2006-11-03,31,61.02
2006-11-10,47,61.19
2006-11-17,36,60.3
2006-11-24,31,61.99
2006-12-01,23,67.35
2006-12-08,7,66.4
2006-12-15,4,67.03
2006-12-22,3,62.26
2006-12-29,3,61.18
2007-01-05,3,56.35
2007-01-12,3,56.04
2007-01-19,3,58.2
2007-01-26,3,58.48
2007-02-02,2,60.61
2007-02-09,3,66.54
2007-02-16,2,67.79
2007-02-23,2,69.85
2007-03-02,2,68.56
2007-03-09,2,72.6
2007-03-16,2,72.91
2007-03-23,2,77.36
2007-03-30,2,77.79
2007-04-13,2,83.17
2007-04-20,2,79.26
2007-04-27,2,86.65
2007-05-04,2,88.04
2007-05-11,2,91.71
2007-05-18,2,94.28
2007-05-25,2,91.75
2007-06-01,2,95.74
2007-06-08,2,96.35
2007-06-15,2,107.07
2007-06-22,2,108.93
2007-06-29,2,104.24
2007-07-06,2,110.11
2007-07-13,2,111.85
2007-07-20,2,117.7
2007-07-27,2,118.04
2007-08-03,3,109.79
2007-08-10,3,116.34
2007-08-17,3,108.65
2007-08-24,3,121
2007-08-31,3,128
2007-09-07,4,129.89
2007-09-14,4,133.61
2007-09-21,5,144.62
2007-09-28,5,144.5
2007-10-05,6,76.74
2007-10-12,8,78.41
2007-10-19,9,69.81
2007-10-26,12,72.5
2007-11-02,34,73.99
2007-11-09,51,71.13
2007-11-16,45,64.44
2007-11-23,45,68.06
2007-11-30,35,68.15
2007-12-07,10,73.52
2007-12-14,5,77.37
2007-12-21,5,72.78
2007-12-28,4,74.37
2008-01-04,4,74.31
2008-01-11,4,69.83
2008-01-18,3,59.55
2008-01-25,4,63.57
2008-02-01,4,62.69
2008-02-08,3,57.27
2008-02-15,3,62.04
2008-02-22,3,64.85
2008-02-29,3,62.3
2008-03-07,3,59.96
2008-03-14,3,60.17
2008-03-28,3,56.75
2008-04-04,3,66.24
2008-04-11,3,67.48
2008-04-18,3,74.05
2008-04-25,3,73.19
2008-05-02,3,67.2
2008-05-09,3,77.41
2008-05-16,3,79
2008-05-23,3,81.35
2008-05-30,3,83.32
2008-06-06,3,83.57
2008-06-13,3,83.16
2008-06-20,3,84.49
2008-06-27,3,88.41
2008-07-11,3,83.12
2008-07-18,3,78.95
2008-07-25,3,74.74
2008-08-01,3,79.47
2008-08-08,3,70.52
2008-08-15,4,68.46
2008-08-22,4,76
2008-08-29,4,73.73
2008-09-05,4,61.86
2008-09-12,5,58.48
2008-09-19,5,60.09
2008-09-26,6,54.57
2008-10-03,7,41.25
2008-10-10,8,23.42
2008-10-17,11,25.58
2008-10-24,14,25.5
2008-10-31,28,29.89
2008-11-07,86,27.95
2008-11-14,70,25.81
2008-11-21,64,21.52
2008-11-28,58,28.29
2008-12-05,23,20.86
2008-12-12,9,25.2
2008-12-19,6,23.47
2008-12-26,5,23.17
