"Date","OXY","Price"
2004-02-06,48,43.56
2004-02-13,39,44.7
2004-02-20,38,44.36
2004-02-27,58,44.4
2004-03-05,31,46.11
2004-03-12,49,45.15
2004-03-19,51,46.3
2004-03-26,36,43.5
2004-04-02,46,45.96
2004-04-16,50,48.61
2004-04-23,40,48.05
2004-04-30,42,47.2
2004-05-07,39,47.29
2004-05-14,32,46.27
2004-05-21,44,44.75
2004-05-28,45,44.2
2004-06-04,39,44.21
2004-06-18,42,48.24
2004-06-25,39,48.56
2004-07-02,38,48.29
2004-07-09,37,48.96
2004-07-16,46,50.47
2004-07-23,36,49.06
2004-07-30,53,49.27
2004-08-06,42,47.95
2004-08-13,47,50.11
2004-08-20,40,50.6
2004-08-27,40,50.89
2004-09-03,42,53.34
2004-09-10,50,52.6
2004-09-17,54,54.69
2004-09-24,39,54.95
2004-10-01,41,56.5
2004-10-08,41,58.19
2004-10-15,47,56.3
2004-10-22,33,57.77
2004-10-29,34,55.83
2004-11-05,42,58
2004-11-12,35,57.91
2004-11-19,38,58.43
2004-11-26,32,60.31
2004-12-03,41,56.75
2004-12-10,51,55.3
2004-12-17,39,56.9
2004-12-31,47,58.36
2005-01-07,38,55.75
2005-01-14,42,58.13
2005-01-21,38,57.63
2005-01-28,44,57.51
2005-02-04,39,59.94
2005-02-11,40,65.13
2005-02-18,46,67.87
2005-02-25,39,71.36
2005-03-04,38,73.65
2005-03-11,45,71.3
2005-03-18,42,74.02
2005-04-01,39,73.64
2005-04-08,39,72.22
2005-04-15,44,65.5
2005-04-22,37,71.47
2005-04-29,47,69
2005-05-06,51,70.45
2005-05-13,45,66.25
2005-05-20,46,68.04
2005-05-27,30,73.52
2005-06-03,40,75.42
2005-06-10,42,76.01
2005-06-17,44,80.13
2005-06-24,44,78.96
2005-07-01,45,79.66
2005-07-08,43,81
2005-07-15,44,78.8
2005-07-22,50,82.9
2005-07-29,46,82.28
2005-08-05,49,81.37
2005-08-12,51,83.68
2005-08-19,38,79.23
2005-08-26,39,78.17
2005-09-02,47,84.37
2005-09-09,53,86.94
2005-09-16,47,86.55
2005-09-23,48,85.93
2005-09-30,41,85.43
2005-10-07,45,77.59
2005-10-14,43,72.73
2005-10-21,49,71.14
2005-10-28,45,76.9
2005-11-04,41,78.8
2005-11-11,45,74.02
2005-11-18,44,75.05
2005-11-25,43,79.96
2005-12-02,40,81.96
2005-12-09,40,81.84
2005-12-16,45,80.85
2005-12-23,40,82.46
2005-12-30,42,79.88
2006-01-06,44,87.81
2006-01-13,44,89.84
2006-01-20,45,91
2006-01-27,48,91.21
2006-02-03,53,91.45
2006-02-10,51,87
2006-02-17,44,90.04
2006-02-24,53,92.38
2006-03-03,49,95
2006-03-10,50,90.12
2006-03-17,43,95.08
2006-03-24,48,93.8
2006-03-31,51,92.65
2006-04-07,50,95.13
2006-04-21,66,107.01
2006-04-28,59,102.74
2006-05-05,51,104.47
2006-05-12,62,102.3
2006-05-19,63,94.06
2006-05-26,58,97.74
2006-06-02,60,100.9
2006-06-09,50,96.93
2006-06-16,50,96.73
2006-06-23,51,96.71
2006-06-30,47,102.55
2006-07-07,45,102.62
2006-07-14,49,103.14
2006-07-21,54,99.56
2006-07-28,50,106.6
2006-08-04,51,105.24
2006-08-11,49,105.18
2006-08-18,51,52.42
2006-08-25,49,53.41
2006-09-01,54,51.48
2006-09-08,44,46.79
2006-09-15,43,44.05
2006-09-22,52,45.23
2006-09-29,46,48.11
2006-10-06,45,45.59
2006-10-13,43,46.67
2006-10-20,44,47.02
2006-10-27,42,47.68
2006-11-03,52,47.26
2006-11-10,42,48.65
2006-11-17,52,47.49
2006-11-24,40,47.94
2006-12-01,41,50.41
2006-12-08,44,49.51
2006-12-15,42,51.92
2006-12-22,41,49.13
2006-12-29,40,48.83
2007-01-05,43,45.45
2007-01-12,40,44.4
2007-01-19,44,44.75
2007-01-26,41,45.64
2007-02-02,44,47.29
2007-02-09,43,46.52
2007-02-16,40,47.52
2007-02-23,40,48.25
2007-03-02,42,45.9
2007-03-09,42,46.33
2007-03-16,44,45.75
2007-03-23,43,48.28
2007-03-30,42,49.31
2007-04-13,49,51.27
2007-04-20,46,51.71
2007-04-27,42,51.17
2007-05-04,45,51.65
2007-05-11,45,51.93
2007-05-18,53,54.67
2007-05-25,47,54.96
2007-06-01,47,56.33
2007-06-08,46,56.94
2007-06-15,39,59.31
2007-06-22,45,58.8
2007-06-29,47,57.88
2007-07-06,48,59.77
2007-07-13,43,63.6
2007-07-20,46,62.1
2007-07-27,53,56.9
2007-08-03,51,55.26
2007-08-10,50,55.64
2007-08-17,52,54.33
2007-08-24,45,56.73
2007-08-31,48,56.69
2007-09-07,44,59.03
2007-09-14,43,61.11
2007-09-21,46,64.41
2007-09-28,43,64.08
2007-10-05,48,66.41
2007-10-12,44,69.21
2007-10-19,49,66.71
2007-10-26,46,70.77
2007-11-02,49,68.74
2007-11-09,47,70.78
2007-11-16,44,68.5
2007-11-23,47,72.1
2007-11-30,49,69.77
2007-12-07,50,72.3
2007-12-14,47,71
2007-12-21,44,75.83
2007-12-28,41,78.1
2008-01-04,41,77.76
2008-01-11,44,72.72
2008-01-18,47,68.04
2008-01-25,47,64.81
2008-02-01,45,69.2
2008-02-08,49,66.68
2008-02-15,48,71.72
2008-02-22,48,73.57
2008-02-29,47,77.37
2008-03-07,45,74.29
2008-03-14,48,75.27
2008-03-28,47,73.22
2008-04-04,49,76.75
2008-04-11,49,77.23
2008-04-18,52,82.86
2008-04-25,52,86.87
2008-05-02,48,83.74
2008-05-09,54,87.85
2008-05-16,50,94.99
2008-05-23,49,93.34
2008-05-30,45,91.93
2008-06-06,48,92.7
2008-06-13,44,88.07
2008-06-20,47,85.64
2008-06-27,46,88.45
2008-07-11,51,84.05
2008-07-18,49,77.59
2008-07-25,53,75.71
2008-08-01,51,79.31
2008-08-08,50,76.09
2008-08-15,49,75.71
2008-08-22,53,81.78
2008-08-29,46,79.36
2008-09-05,43,73.27
2008-09-12,47,72.46
2008-09-19,42,80.5
2008-09-26,44,77.33
2008-10-03,46,61.53
2008-10-10,46,43.9
2008-10-17,51,46.5
2008-10-24,51,45.69
2008-10-31,46,55.54
2008-11-07,50,52.46
2008-11-14,51,48.19
2008-11-21,51,47.01
2008-11-28,43,54.14
2008-12-05,45,46.19
2008-12-12,45,55.12
2008-12-19,41,56.55
2008-12-26,44,54.14
2009-01-02,42,62.16
2009-01-09,46,56.3
2009-01-16,45,53.53
2009-01-23,44,55.54
2009-01-30,48,54.55
2009-02-06,45,56.77
2009-02-13,43,56.58
2009-02-20,42,50.06
2009-02-27,46,51.87
2009-03-06,50,50.54
2009-03-13,46,54.69
2009-03-20,42,56.74
2009-03-27,44,57.96
2009-04-03,47,60.39
2009-04-17,53,59.64
2009-04-24,46,55.87
2009-05-01,50,58.47
2009-05-08,50,65.32
2009-05-15,49,60.03
2009-05-22,46,62.03
2009-05-29,46,67.11
2009-06-05,45,68.56
2009-06-12,41,68.97
2009-06-19,42,64.52
2009-06-26,45,64.3
2009-07-10,42,60.75
2009-07-17,48,67.75
2009-07-24,43,72.43
2009-07-31,43,71.34
2009-08-07,48,70.06
2009-08-14,44,70.33
2009-08-21,42,74.78
2009-08-28,45,74.52
2009-09-04,46,72.73
2009-09-11,46,76.97
2009-09-18,46,77.15
2009-09-25,44,77.03
2009-10-02,47,74.33
2009-10-09,46,79.54
2009-10-16,46,82.4
2009-10-23,48,82.15
2009-10-30,48,75.88
2009-11-06,44,80.88
2009-11-13,39,82.45
2009-11-20,41,79.99
2009-11-27,37,81.2
2009-12-04,38,78.65
2009-12-11,40,76
2009-12-18,37,79.98
2010-01-08,38,83.72
2010-01-15,43,78.92
2010-01-22,43,76.1
2010-01-29,39,78.34
2010-02-05,41,76.71
2010-02-12,42,79.8
2010-02-19,40,81.51
2010-02-26,43,79.85
2010-03-05,39,81.94
2010-03-12,40,81.84
2010-03-19,41,82.58
2010-03-26,43,81.73
2010-04-09,45,86.56
2010-04-16,45,85.06
2010-04-23,41,87.48
2010-04-30,44,88.66
2010-05-07,43,80.61
2010-05-14,44,81.96
2010-05-21,43,79.41
2010-05-28,41,82.51
2010-06-04,44,78.42
2010-06-11,45,85.01
2010-06-18,39,86.98
2010-06-25,42,81.73
2010-07-02,42,76.37
2010-07-09,45,81.11
2010-07-16,45,79.38
2010-07-23,48,82.14
2010-07-30,48,77.93
2010-08-06,47,76.33
2010-08-13,48,75.39
2010-08-20,53,75.06
2010-08-27,51,75.42
2010-09-03,55,78.32
2010-09-10,50,78.2
2010-09-17,51,76.2
2010-09-24,51,76.3
2010-10-01,55,80.77
2010-10-08,51,83.18
2010-10-15,51,84.94
2010-10-22,53,79.58
2010-10-29,50,78.63
2010-11-05,51,84.23
2010-11-12,53,87.46
2010-11-19,45,88.19
2010-11-26,44,87.65
2010-12-03,45,91.74
2010-12-10,45,93.04
2010-12-17,47,95.2
2010-12-31,43,98.1
2011-01-07,49,96.19
2011-01-14,53,97.32
2011-01-21,50,97.97
2011-01-28,47,93.81
2011-02-04,48,97.51
2011-02-11,52,99.74
2011-02-18,53,107.37
2011-02-25,55,103.1
2011-03-04,54,103.15
2011-03-11,48,98.75
2011-03-18,47,98.33
2011-03-25,52,100.85
2011-04-01,51,104.3
2011-04-08,52,103.72
2011-04-15,57,98.76
2011-04-29,52,114.29
2011-05-06,51,106.42
2011-05-13,59,102.36
2011-05-20,54,100.4
2011-05-27,51,106.57
2011-06-03,51,104.2
2011-06-10,50,103.39
2011-06-17,51,102.19
2011-06-24,52,98.46
2011-07-01,54,105.52
2011-07-08,51,106.27
2011-07-15,52,105.34
2011-07-22,49,107.88
2011-07-29,52,98.18
2011-08-05,52,87.34
2011-08-12,53,85.12
2011-08-19,53,80.91
2011-08-26,54,82.09
2011-09-02,51,83.41
2011-09-09,52,80.54
2011-09-16,52,83.32
2011-09-23,52,72.26
2011-09-30,52,71.5
2011-10-07,52,77.25
2011-10-14,50,85.42
2011-10-21,53,86.74
2011-10-28,53,97.77
2011-11-04,50,97.64
2011-11-11,53,99.81
2011-11-18,53,94.32
2011-11-25,50,86.69
2011-12-02,54,95.92
2011-12-09,50,94.4
2011-12-16,53,89.27
2011-12-23,48,94.62
2011-12-30,50,93.7
2012-01-06,54,95.77
2012-01-13,58,97.62
2012-01-20,55,100.37
2012-01-27,54,100.25
2012-02-03,55,102.63
2012-02-10,56,102.7
2012-02-17,55,103.92
2012-02-24,59,103.86
2012-03-02,55,104.36
2012-03-09,56,100.7
2012-03-16,55,100.58
2012-03-23,57,97.62
2012-03-30,55,95.23
2012-04-13,54,88.57
2012-04-20,55,88.61
2012-04-27,56,91.74
2012-05-04,57,87.88
2012-05-11,56,83.76
2012-05-18,56,79.65
2012-05-25,54,81.02
2012-06-01,52,78.57
2012-06-08,52,85.05
2012-06-15,51,85.24
2012-06-22,54,79.49
2012-06-29,51,85.77
2012-07-06,51,85.25
2012-07-13,55,85.33
2012-07-20,54,87.2
2012-07-27,57,88.62
2012-08-03,51,88.57
2012-08-10,53,91.4
2012-08-17,54,88.71
2012-08-24,56,87.9
2012-08-31,54,85.01
2012-09-07,52,87.15
2012-09-14,54,91.95
2012-09-21,54,87.39
2012-09-28,50,86.06
2012-10-05,51,85.01
2012-10-12,48,81.93
2012-10-19,51,84.35
2012-10-26,48,80.44
2012-11-02,50,78.33
2012-11-09,45,76.65
2012-11-16,46,73.81
2012-11-23,46,76.17
2012-11-30,49,75.21
2012-12-07,48,75.37
2012-12-14,50,76.17
2012-12-21,43,78.14
2012-12-28,43,75.38
2013-01-04,47,79.84
2013-01-11,49,83.08
2013-01-18,51,82.58
2013-01-25,51,84.06
2013-02-01,51,87.68
2013-02-08,48,88.36
2013-02-15,46,84.71
2013-02-22,48,83.61
2013-03-01,50,82.65
2013-03-08,51,82.4
2013-03-15,53,83.67
2013-03-22,48,78.66
2013-04-05,52,81.85
2013-04-12,52,83.39
2013-04-19,52,79.61
2013-04-26,53,86.66
2013-05-03,53,90.76
2013-05-10,57,89.17
2013-05-17,55,92.84
2013-05-24,51,90.78
2013-05-31,50,92.07
2013-06-07,50,93.12
2013-06-14,51,91.89
2013-06-21,52,89.92
2013-06-28,47,89.23
2013-07-05,49,90.83
2013-07-12,50,90.22
2013-07-19,52,92.09
2013-07-26,50,90.75
2013-08-02,51,88.92
2013-08-09,50,88.28
2013-08-16,52,86.51
2013-08-23,51,88.17
2013-08-30,55,88.21
2013-09-06,48,89
2013-09-13,50,89.49
2013-09-20,52,91.56
2013-09-27,56,94.46
2013-10-04,49,95.41
2013-10-11,55,95.49
2013-10-18,54,98.29
2013-10-25,54,96.88
2013-11-01,53,95.65
2013-11-08,53,96.33
2013-11-15,53,97.54
2013-11-22,53,99.37
2013-11-29,47,94.96
2013-12-06,50,92.65
2013-12-13,50,91.11
2013-12-20,44,92.8
2013-12-27,41,94.85
2014-01-03,45,93.52
2014-01-10,52,93.85
2014-01-17,49,90.57
2014-01-24,49,88
2014-01-31,49,87.57
2014-02-07,48,90.59
2014-02-14,55,95.76
2014-02-21,55,95.39
2014-02-28,54,96.52
2014-03-07,50,97.13
2014-03-14,51,96.52
2014-03-21,54,94.07
2014-03-28,54,95.55
2014-04-04,55,94.55
2014-04-11,52,93.33
2014-04-25,70,96.37
