Date,PFE,Price
2004-01-09,38,
2004-01-16,37,
2004-01-23,44,
2004-01-30,22,
2004-02-06,37,38.85
2004-02-13,47,37.38
2004-02-20,36,37.27
2004-02-27,50,36.65
2004-03-05,57,37.17
2004-03-12,65,35.29
2004-03-19,31,33.95
2004-03-26,22,34.29
2004-04-02,33,36.00
2004-04-09,26,
2004-04-16,34,37.62
2004-04-23,39,36.42
2004-04-30,45,35.76
2004-05-07,29,36.36
2004-05-14,25,35.60
2004-05-21,37,34.81
2004-05-28,34,35.34
2004-06-04,30,35.62
2004-06-11,27,
2004-06-18,21,35.43
2004-06-25,31,33.82
2004-07-02,21,33.94
2004-07-09,36,34.00
2004-07-16,32,32.38
2004-07-23,25,32.30
2004-07-30,27,31.96
2004-08-06,23,31.18
2004-08-13,31,31.15
2004-08-20,26,31.74
2004-08-27,30,32.65
2004-09-03,31,32.55
2004-09-10,24,31.86
2004-09-17,29,31.72
2004-09-24,25,29.66
2004-10-01,30,30.97
2004-10-08,34,29.80
2004-10-15,34,28.50
2004-10-22,28,27.74
2004-10-29,34,28.95
2004-11-05,25,28.79
2004-11-12,19,27.45
2004-11-19,40,27.23
2004-11-26,33,27.16
2004-12-03,40,27.89
2004-12-10,36,27.09
2004-12-17,30,25.75
2004-12-24,45,
2004-12-31,42,26.89
2005-01-07,35,26.30
2005-01-14,32,25.25
2005-01-21,37,24.48
2005-01-28,32,24.35
2005-02-04,32,24.23
2005-02-11,38,25.15
2005-02-18,35,26.80
2005-02-25,38,26.86
2005-03-04,33,26.85
2005-03-11,31,26.36
2005-03-18,27,25.83
2005-03-25,25,
2005-04-01,30,26.15
2005-04-08,55,26.60
2005-04-15,37,27.71
2005-04-22,40,27.22
2005-04-29,34,27.17
2005-05-06,32,27.61
2005-05-13,39,27.86
2005-05-20,38,28.58
2005-05-27,53,28.35
2005-06-03,27,27.96
2005-06-10,37,27.68
2005-06-17,38,28.78
2005-06-24,44,28.52
2005-07-01,41,27.10
2005-07-08,31,27.14
2005-07-15,42,27.57
2005-07-22,34,26.50
2005-07-29,40,26.50
2005-08-05,41,26.25
2005-08-12,37,26.16
2005-08-19,48,25.55
2005-08-26,43,24.89
2005-09-02,35,25.33
2005-09-09,45,26.33
2005-09-16,42,25.90
2005-09-23,29,24.87
2005-09-30,44,24.97
2005-10-07,47,24.39
2005-10-14,41,24.32
2005-10-21,63,21.25
2005-10-28,52,21.50
2005-11-04,54,22.26
2005-11-11,49,22.43
2005-11-18,50,21.60
2005-11-25,41,21.67
2005-12-02,57,21.30
2005-12-09,47,20.60
2005-12-16,64,22.58
2005-12-23,71,23.96
2005-12-30,47,23.32
2006-01-06,55,24.85
2006-01-13,44,24.67
2006-01-20,49,24.71
2006-01-27,62,25.99
2006-02-03,55,25.28
2006-02-10,60,25.68
2006-02-17,54,25.82
2006-02-24,41,26.37
2006-03-03,51,26.34
2006-03-10,47,26.08
2006-03-17,37,26.39
2006-03-24,37,26.02
2006-03-31,38,24.92
2006-04-07,37,24.69
2006-04-14,38,
2006-04-21,37,24.87
2006-04-28,31,25.33
2006-05-05,43,25.41
2006-05-12,43,24.50
2006-05-19,36,23.82
2006-05-26,34,24.00
2006-06-02,32,24.19
2006-06-09,37,23.53
2006-06-16,32,23.43
2006-06-23,39,22.64
2006-06-30,34,23.47
2006-07-07,32,23.68
2006-07-14,33,22.42
2006-07-21,38,23.83
2006-07-28,37,26.11
2006-08-04,47,25.98
2006-08-11,48,25.82
2006-08-18,44,27.05
2006-08-25,40,27.23
2006-09-01,36,27.96
2006-09-08,38,27.59
2006-09-15,39,28.04
2006-09-22,38,28.16
2006-09-29,37,28.36
2006-10-06,47,27.90
2006-10-13,38,27.59
2006-10-20,42,27.68
2006-10-27,35,27.22
2006-11-03,42,26.55
2006-11-10,36,25.71
2006-11-17,33,27.21
2006-11-24,26,26.89
2006-12-01,39,27.86
2006-12-08,100,25.17
2006-12-15,46,25.64
2006-12-22,53,25.97
2006-12-29,29,25.90
2007-01-05,36,26.30
2007-01-12,41,26.64
2007-01-19,36,27.22
2007-01-26,47,26.29
2007-02-02,40,26.80
2007-02-09,37,26.38
2007-02-16,37,26.30
2007-02-23,36,25.62
2007-03-02,42,24.79
2007-03-09,30,25.41
2007-03-16,36,24.99
2007-03-23,34,25.66
2007-03-30,29,25.26
2007-04-06,24,
2007-04-13,29,26.67
2007-04-20,38,26.97
2007-04-27,39,26.61
2007-05-04,38,27.08
2007-05-11,36,27.04
2007-05-18,32,27.44
2007-05-25,32,27.53
2007-06-01,26,27.68
2007-06-08,29,26.52
2007-06-15,32,26.47
2007-06-22,31,25.38
2007-06-29,31,25.57
2007-07-06,26,25.92
2007-07-13,32,25.91
2007-07-20,37,24.90
2007-07-27,35,23.79
2007-08-03,30,23.51
2007-08-10,31,23.99
2007-08-17,30,23.94
2007-08-24,32,24.74
2007-08-31,24,24.84
2007-09-07,24,24.25
2007-09-14,23,24.29
2007-09-21,28,24.59
2007-09-28,31,24.43
2007-10-05,28,25.58
2007-10-12,25,25.26
2007-10-19,31,24.07
2007-10-26,32,24.31
2007-11-02,27,23.67
2007-11-09,24,22.83
2007-11-16,31,23.39
2007-11-23,26,22.98
2007-11-30,35,23.76
2007-12-07,29,24.40
2007-12-14,28,23.10
2007-12-21,28,23.24
2007-12-28,19,22.90
2008-01-04,21,22.83
2008-01-11,30,24.02
2008-01-18,31,22.50
2008-01-25,32,22.61
2008-02-01,32,23.59
2008-02-08,34,22.30
2008-02-15,28,22.33
2008-02-22,25,22.50
2008-02-29,29,22.28
2008-03-07,30,21.35
2008-03-14,28,20.64
2008-03-21,26,
2008-03-28,27,20.50
2008-04-04,27,21.35
2008-04-11,26,20.45
2008-04-18,29,20.47
2008-04-25,28,20.43
2008-05-02,26,20.61
2008-05-09,29,19.79
2008-05-16,30,20.03
2008-05-23,29,19.53
2008-05-30,30,19.36
2008-06-06,34,17.96
2008-06-13,33,17.99
2008-06-20,35,17.33
2008-06-27,31,17.28
2008-07-04,25,
2008-07-11,29,17.81
2008-07-18,29,18.32
2008-07-25,35,18.89
2008-08-01,25,18.60
2008-08-08,31,19.84
2008-08-15,22,19.97
2008-08-22,24,19.75
2008-08-29,23,19.11
2008-09-05,24,18.51
2008-09-12,27,18.62
2008-09-19,31,18.55
2008-09-26,26,18.66
2008-10-03,31,19.00
2008-10-10,37,15.14
2008-10-17,39,16.91
2008-10-24,36,16.57
2008-10-31,37,17.71
2008-11-07,30,16.86
2008-11-14,34,16.28
2008-11-21,34,15.67
2008-11-28,25,16.43
2008-12-05,27,16.55
2008-12-12,28,16.92
2008-12-19,27,17.30
2008-12-26,19,17.10
2009-01-02,27,18.27
2009-01-09,33,17.44
2009-01-16,31,17.50
2009-01-23,34,17.45
2009-01-30,52,14.58
2009-02-06,32,14.84
2009-02-13,31,14.58
2009-02-20,30,13.71
2009-02-27,31,12.31
2009-03-06,32,12.73
2009-03-13,34,14.54
2009-03-20,25,13.63
2009-03-27,28,14.04
2009-04-03,27,13.55
2009-04-10,27,
2009-04-17,29,14.16
2009-04-24,29,13.17
2009-05-01,30,13.58
2009-05-08,34,14.40
2009-05-15,37,15.01
2009-05-22,35,14.96
2009-05-29,26,15.19
2009-06-05,30,14.51
2009-06-12,28,14.76
2009-06-19,29,15.00
2009-06-26,26,15.19
2009-07-03,23,
2009-07-10,20,14.20
2009-07-17,23,14.96
2009-07-24,25,16.48
2009-07-31,26,15.93
2009-08-07,23,15.96
2009-08-14,24,15.77
2009-08-21,29,16.64
2009-08-28,23,16.81
2009-09-04,29,16.39
2009-09-11,19,16.25
2009-09-18,23,16.51
2009-09-25,20,16.40
2009-10-02,25,16.15
2009-10-09,23,16.92
2009-10-16,28,17.77
2009-10-23,29,17.25
2009-10-30,22,17.03
2009-11-06,25,16.96
2009-11-13,24,17.59
2009-11-20,26,18.36
2009-11-27,25,18.25
2009-12-04,25,18.49
2009-12-11,23,18.30
2009-12-18,24,18.30
2009-12-25,19,
2010-01-01,18,
2010-01-08,23,18.68
2010-01-15,25,19.49
2010-01-22,24,18.96
2010-01-29,28,18.66
2010-02-05,28,17.96
2010-02-12,23,17.80
2010-02-19,21,17.99
2010-02-26,20,17.55
2010-03-05,24,17.48
2010-03-12,29,17.08
2010-03-19,21,16.91
2010-03-26,27,17.14
2010-04-02,22,
2010-04-09,27,17.25
2010-04-16,26,16.80
2010-04-23,26,16.91
2010-04-30,25,16.72
2010-05-07,28,16.46
2010-05-14,26,16.20
2010-05-21,28,15.40
2010-05-28,26,15.23
2010-06-04,24,14.76
2010-06-11,23,15.46
2010-06-18,22,15.21
2010-06-25,26,14.64
2010-07-02,21,14.14
2010-07-09,18,14.77
2010-07-16,22,14.56
2010-07-23,23,14.58
2010-07-30,20,15.00
2010-08-06,25,16.24
2010-08-13,24,16.08
2010-08-20,21,15.92
2010-08-27,19,16.09
2010-09-03,21,16.46
2010-09-10,17,16.99
2010-09-17,21,17.06
2010-09-24,20,17.40
2010-10-01,24,17.18
2010-10-08,24,17.46
2010-10-15,22,17.75
2010-10-22,26,17.50
2010-10-29,24,17.42
2010-11-05,24,17.18
2010-11-12,26,16.85
2010-11-19,19,16.80
2010-11-26,19,16.49
2010-12-03,20,16.72
2010-12-10,26,17.02
2010-12-17,24,17.03
2010-12-24,21,
2010-12-31,19,17.51
2011-01-07,23,18.34
2011-01-14,19,18.34
2011-01-21,23,18.36
2011-01-28,23,18.15
2011-02-04,26,19.30
2011-02-11,23,18.83
2011-02-18,24,19.19
2011-02-25,20,18.86
2011-03-04,20,19.66
2011-03-11,19,19.47
2011-03-18,22,20.18
2011-03-25,22,20.35
2011-04-01,26,20.38
2011-04-08,21,20.46
2011-04-15,23,20.53
2011-04-22,22,
2011-04-29,22,20.97
2011-05-06,23,20.55
2011-05-13,21,20.92
2011-05-20,24,20.69
2011-05-27,22,20.93
2011-06-03,21,20.84
2011-06-10,25,20.11
2011-06-17,22,20.26
2011-06-24,20,20.08
2011-07-01,21,20.75
2011-07-08,18,20.16
2011-07-15,18,19.75
2011-07-22,16,20.07
2011-07-29,17,19.25
2011-08-05,23,17.49
2011-08-12,25,17.86
2011-08-19,21,17.67
2011-08-26,19,18.21
2011-09-02,18,18.46
2011-09-09,17,18.28
2011-09-16,20,18.15
2011-09-23,20,17.45
2011-09-30,23,17.68
2011-10-07,22,18.44
2011-10-14,20,19.04
2011-10-21,22,19.06
2011-10-28,19,19.82
2011-11-04,20,19.66
2011-11-11,21,19.99
2011-11-18,18,19.53
2011-11-25,19,18.45
2011-12-02,22,19.89
2011-12-09,22,20.56
2011-12-16,21,21.03
