Date,du Pont,Price
2004-01-09,61,
2004-01-16,57,
2004-01-23,74,
2004-01-30,75,
2004-02-06,82,44.45
2004-02-13,65,44.46
2004-02-20,79,45.28
2004-02-27,57,45.09
2004-03-05,72,44.64
2004-03-12,80,42.30
2004-03-19,72,41.55
2004-03-26,61,41.74
2004-04-02,78,43.71
2004-04-09,91,
2004-04-16,57,44.98
2004-04-23,80,44.65
2004-04-30,76,42.95
2004-05-07,72,42.00
2004-05-14,83,41.69
2004-05-21,71,41.99
2004-05-28,93,43.20
2004-06-04,93,42.82
2004-06-11,79,
2004-06-18,83,44.09
2004-06-25,72,43.76
2004-07-02,88,43.62
2004-07-09,87,43.09
2004-07-16,80,42.50
2004-07-23,72,42.28
2004-07-30,100,42.87
2004-08-06,67,41.55
2004-08-13,65,40.21
2004-08-20,67,41.70
2004-08-27,60,42.55
2004-09-03,72,42.66
2004-09-10,70,43.30
2004-09-17,68,42.66
2004-09-24,68,41.78
2004-10-01,60,43.15
2004-10-08,74,43.46
2004-10-15,72,42.76
2004-10-22,74,42.02
2004-10-29,61,42.87
2004-11-05,66,44.18
2004-11-12,71,44.50
2004-11-19,68,44.88
2004-11-26,58,45.46
2004-12-03,67,45.73
2004-12-10,54,45.98
2004-12-17,73,47.75
2004-12-24,60,
2004-12-31,44,49.05
2005-01-07,55,47.37
2005-01-14,72,47.07
2005-01-21,63,46.71
2005-01-28,62,47.23
2005-02-04,52,48.71
2005-02-11,72,51.10
2005-02-18,75,53.95
2005-02-25,62,53.96
2005-03-04,66,54.55
2005-03-11,89,53.47
2005-03-18,79,52.14
2005-03-25,88,
2005-04-01,73,50.83
2005-04-08,78,50.70
2005-04-15,68,46.55
2005-04-22,74,48.10
2005-04-29,71,47.11
2005-05-06,83,48.05
2005-05-13,81,46.24
2005-05-20,87,46.97
2005-05-27,78,46.87
2005-06-03,88,46.10
2005-06-10,86,47.25
2005-06-17,86,46.94
2005-06-24,77,44.68
2005-07-01,89,42.83
2005-07-08,83,43.50
2005-07-15,77,44.06
2005-07-22,76,44.20
2005-07-29,87,42.68
2005-08-05,75,42.71
2005-08-12,81,41.35
2005-08-19,68,40.73
2005-08-26,62,39.74
2005-09-02,72,38.85
2005-09-09,72,39.84
2005-09-16,71,40.51
2005-09-23,75,38.78
2005-09-30,70,39.17
2005-10-07,64,37.88
2005-10-14,70,38.00
2005-10-21,72,38.64
2005-10-28,66,42.00
2005-11-04,60,43.31
2005-11-11,61,42.50
2005-11-18,57,42.45
2005-11-25,57,43.15
2005-12-02,67,43.16
2005-12-09,60,42.86
2005-12-16,54,42.50
2005-12-23,52,43.01
2005-12-30,43,42.50
2006-01-06,57,42.92
2006-01-13,64,40.07
2006-01-20,76,39.52
2006-01-27,65,39.83
2006-02-03,66,38.90
2006-02-10,61,40.69
2006-02-17,68,41.51
2006-02-24,68,40.32
2006-03-03,72,41.00
2006-03-10,68,40.90
2006-03-17,67,42.56
2006-03-24,78,42.55
2006-03-31,60,42.21
2006-04-07,70,42.70
2006-04-14,84,
2006-04-21,69,44.61
2006-04-28,69,44.10
2006-05-05,75,45.15
2006-05-12,87,44.19
2006-05-19,75,42.81
2006-05-26,79,42.56
2006-06-02,78,43.30
2006-06-09,68,40.66
2006-06-16,69,40.84
2006-06-23,70,41.81
2006-06-30,72,41.60
2006-07-07,72,40.54
2006-07-14,71,39.67
2006-07-21,79,40.01
2006-07-28,88,40.14
2006-08-04,81,39.64
2006-08-11,68,39.07
2006-08-18,66,40.33
2006-08-25,72,39.25
2006-09-01,65,40.48
2006-09-08,60,40.00
2006-09-15,67,42.25
2006-09-22,66,42.32
2006-09-29,60,42.84
2006-10-06,62,44.95
2006-10-13,66,45.08
2006-10-20,58,44.97
2006-10-27,68,45.55
2006-11-03,56,45.08
2006-11-10,54,47.30
2006-11-17,57,47.26
2006-11-24,61,48.43
2006-12-01,54,46.45
2006-12-08,53,46.90
2006-12-15,56,48.75
2006-12-22,46,48.57
2006-12-29,44,48.71
2007-01-05,46,48.05
2007-01-12,63,49.73
2007-01-19,62,50.84
