Date,Boeing,Price
2004-01-09,47,
2004-01-16,46,
2004-01-23,50,
2004-01-30,47,
2004-02-06,45,44.35
2004-02-13,44,44.45
2004-02-20,41,44.34
2004-02-27,49,43.37
2004-03-05,39,42.72
2004-03-12,42,40.30
2004-03-19,40,39.43
2004-03-26,40,39.35
2004-04-02,43,41.84
2004-04-09,50,
2004-04-16,44,41.50
2004-04-23,46,42.45
2004-04-30,52,42.69
2004-05-07,46,43.40
2004-05-14,45,43.44
2004-05-21,47,43.40
2004-05-28,45,45.80
2004-06-04,45,46.90
2004-06-11,47,
2004-06-18,46,49.80
2004-06-25,44,51.30
2004-07-02,42,49.52
2004-07-09,43,50.04
2004-07-16,49,49.13
2004-07-23,51,47.06
2004-07-30,50,50.75
2004-08-06,48,48.33
2004-08-13,44,49.72
2004-08-20,41,50.46
2004-08-27,46,51.99
2004-09-03,45,53.10
2004-09-10,44,54.15
2004-09-17,43,55.15
2004-09-24,45,53.14
2004-10-01,42,52.48
2004-10-08,45,50.10
2004-10-15,42,50.19
2004-10-22,39,49.51
2004-10-29,41,49.90
2004-11-05,36,51.15
2004-11-12,42,53.93
2004-11-19,44,53.77
2004-11-26,35,54.02
2004-12-03,42,55.26
2004-12-10,39,52.42
2004-12-17,39,53.10
2004-12-24,38,
2004-12-31,39,51.77
2005-01-07,40,50.31
2005-01-14,46,50.91
2005-01-21,64,50.07
2005-01-28,48,49.92
2005-02-04,47,52.58
2005-02-11,45,54.14
2005-02-18,55,52.78
2005-02-25,46,54.99
2005-03-04,44,58.38
2005-03-11,64,57.49
2005-03-18,46,57.16
2005-03-25,45,
2005-04-01,42,58.78
2005-04-08,39,58.60
2005-04-15,43,57.00
2005-04-22,42,57.88
2005-04-29,78,59.52
2005-05-06,52,61.01
2005-05-13,46,59.50
2005-05-20,43,61.90
2005-05-27,42,63.02
2005-06-03,44,64.66
2005-06-10,44,64.65
2005-06-17,55,64.62
2005-06-24,47,60.59
2005-07-01,46,64.68
2005-07-08,39,65.07
2005-07-15,44,64.75
2005-07-22,42,66.20
2005-07-29,43,66.01
2005-08-05,43,66.19
2005-08-12,47,66.54
2005-08-19,60,67.15
2005-08-26,46,66.31
2005-09-02,43,64.34
2005-09-09,47,65.40
2005-09-16,43,64.80
2005-09-23,41,63.20
2005-09-30,41,67.95
2005-10-07,46,67.30
2005-10-14,40,67.50
2005-10-21,37,66.02
2005-10-28,41,65.64
2005-11-04,41,65.28
2005-11-11,50,65.35
2005-11-18,49,66.95
2005-11-25,41,69.06
2005-12-02,37,69.44
2005-12-09,41,69.65
2005-12-16,46,70.75
2005-12-23,41,71.49
2005-12-30,37,70.24
2006-01-06,39,69.35
2006-01-13,40,69.48
2006-01-20,38,66.50
2006-01-27,37,68.56
2006-02-03,39,70.87
2006-02-10,36,72.53
2006-02-17,36,72.96
2006-02-24,37,74.31
2006-03-03,38,73.39
2006-03-10,41,74.79
2006-03-17,37,77.85
2006-03-24,39,78.73
2006-03-31,39,77.93
2006-04-07,37,79.57
2006-04-14,38,
2006-04-21,40,86.46
2006-04-28,43,83.45
2006-05-05,40,88.47
2006-05-12,39,87.01
2006-05-19,44,84.61
2006-05-26,38,83.50
2006-06-02,37,83.80
2006-06-09,40,80.50
2006-06-16,40,85.54
2006-06-23,41,83.39
2006-06-30,42,81.91
2006-07-07,39,79.99
2006-07-14,40,77.25
2006-07-21,52,79.08
2006-07-28,41,78.91
2006-08-04,40,79.49
2006-08-11,39,75.96
2006-08-18,40,77.62
2006-08-25,41,73.93
2006-09-01,38,75.43
2006-09-08,37,72.80
2006-09-15,39,75.01
2006-09-22,39,77.25
2006-09-29,41,78.85
2006-10-06,53,83.68
2006-10-13,45,82.39
2006-10-20,41,81.74
2006-10-27,37,79.74
2006-11-03,38,79.97
2006-11-10,41,85.62
2006-11-17,37,89.52
2006-11-24,34,89.77
2006-12-01,37,89.55
2006-12-08,40,90.13
2006-12-15,34,90.70
2006-12-22,33,88.76
2006-12-29,32,88.84
2007-01-05,39,89.15
2007-01-12,37,88.13
2007-01-19,36,88.63
2007-01-26,38,85.43
2007-02-02,38,90.05
2007-02-09,38,90.00
2007-02-16,37,90.94
2007-02-23,39,90.28
2007-03-02,37,87.03
2007-03-09,38,89.51
2007-03-16,36,90.00
2007-03-23,42,90.98
2007-03-30,37,88.91
2007-04-06,36,
2007-04-13,35,91.03
2007-04-20,35,93.29
2007-04-27,38,94.02
2007-05-04,40,93.61
2007-05-11,38,93.40
2007-05-18,35,96.63
2007-05-25,40,98.25
2007-06-01,37,99.83
2007-06-08,38,98.19
2007-06-15,37,98.15
2007-06-22,44,95.92
2007-06-29,38,96.16
2007-07-06,42,98.88
2007-07-13,100,101.88
2007-07-20,46,103.86
2007-07-27,43,103.71
2007-08-03,39,104.24
2007-08-10,39,98.44
2007-08-17,37,95.93
2007-08-24,37,98.47
2007-08-31,37,96.70
2007-09-07,37,94.84
2007-09-14,35,99.35
2007-09-21,38,102.59
2007-09-28,34,104.99
2007-10-05,35,102.25
2007-10-12,39,96.69
2007-10-19,38,93.90
2007-10-26,35,96.02
2007-11-02,35,97.76
2007-11-09,32,94.21
