Date,buy American Express,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,53.06
2004-02-13,0,53.65
2004-02-20,0,53.16
2004-02-27,0,53.42
2004-03-05,0,52.77
2004-03-12,0,52.12
2004-03-19,0,51.08
2004-03-26,0,50.03
2004-04-02,0,52.43
2004-04-09,0,
2004-04-16,0,50.58
2004-04-23,0,50.27
2004-04-30,0,48.95
2004-05-07,0,48.49
2004-05-14,0,48.86
2004-05-21,0,49.63
2004-05-28,0,50.70
2004-06-04,0,50.98
2004-06-11,0,
2004-06-18,0,51.96
2004-06-25,0,51.35
2004-07-02,0,51.24
2004-07-09,0,50.01
2004-07-16,0,48.73
2004-07-23,0,48.11
2004-07-30,0,50.25
2004-08-06,0,49.34
2004-08-13,0,49.35
2004-08-20,0,50.00
2004-08-27,0,50.00
2004-09-03,0,50.26
2004-09-10,0,51.33
2004-09-17,0,51.40
2004-09-24,0,51.21
2004-10-01,0,51.65
2004-10-08,0,52.25
2004-10-15,0,52.50
2004-10-22,0,51.73
2004-10-29,0,53.07
2004-11-05,0,55.12
2004-11-12,0,55.63
2004-11-19,0,55.70
2004-11-26,59,56.11
2004-12-03,56,56.25
2004-12-10,64,55.18
2004-12-17,75,55.91
2004-12-24,52,
2004-12-31,0,56.37
2005-01-07,0,53.76
2005-01-14,0,52.72
2005-01-21,0,51.93
2005-01-28,0,52.80
2005-02-04,0,55.82
2005-02-11,0,55.19
2005-02-18,0,54.13
2005-02-25,0,54.58
2005-03-04,0,54.95
2005-03-11,0,53.54
2005-03-18,0,52.40
2005-03-25,0,
2005-04-01,0,50.90
2005-04-08,0,51.54
2005-04-15,0,50.72
2005-04-22,0,49.81
2005-04-29,0,52.70
2005-05-06,0,53.00
2005-05-13,0,51.75
2005-05-20,0,53.06
2005-05-27,0,53.25
2005-06-03,39,54.18
2005-06-10,36,54.71
2005-06-17,36,54.83
2005-06-24,36,53.61
2005-07-01,36,53.54
2005-07-08,0,53.93
2005-07-15,0,53.76
2005-07-22,0,54.57
2005-07-29,0,55.00
2005-08-05,0,55.81
2005-08-12,0,56.67
2005-08-19,42,56.10
2005-08-26,35,55.01
2005-09-02,35,55.36
2005-09-09,35,58.19
2005-09-16,35,59.46
2005-09-23,35,56.90
2005-09-30,36,57.44
2005-10-07,38,49.82
2005-10-14,39,47.95
2005-10-21,29,47.15
2005-10-28,29,49.54
2005-11-04,29,49.40
2005-11-11,30,50.45
2005-11-18,31,49.91
2005-11-25,32,52.62
2005-12-02,52,51.61
2005-12-09,72,51.15
2005-12-16,82,51.93
2005-12-23,74,52.31
2005-12-30,35,51.46
2006-01-06,35,52.68
2006-01-13,26,53.44
2006-01-20,27,51.40
2006-01-27,27,53.30
2006-02-03,28,52.33
2006-02-10,0,53.00
2006-02-17,0,54.45
2006-02-24,0,54.87
2006-03-03,0,53.75
2006-03-10,0,54.23
2006-03-17,0,54.65
2006-03-24,0,53.18
2006-03-31,25,52.55
2006-04-07,25,51.70
2006-04-14,25,
2006-04-21,32,52.25
2006-04-28,39,53.81
2006-05-05,24,53.75
2006-05-12,23,52.89
2006-05-19,30,52.23
2006-05-26,23,54.41
2006-06-02,23,54.72
2006-06-09,23,53.46
2006-06-16,26,52.92
2006-06-23,37,52.59
2006-06-30,30,53.22
2006-07-07,24,51.98
2006-07-14,33,51.27
2006-07-21,23,50.62
2006-07-28,23,52.19
2006-08-04,30,52.21
2006-08-11,36,51.80
2006-08-18,37,53.26
2006-08-25,24,52.92
2006-09-01,22,52.55
2006-09-08,22,52.62
2006-09-15,22,53.75
2006-09-22,22,54.11
2006-09-29,22,56.08
2006-10-06,25,56.59
2006-10-13,27,58.02
2006-10-20,25,58.04
2006-10-27,19,57.27
2006-11-03,21,57.06
2006-11-10,31,58.86
2006-11-17,29,59.84
2006-11-24,28,59.90
2006-12-01,35,58.55
2006-12-08,64,59.83
2006-12-15,65,61.64
2006-12-22,62,60.85
2006-12-29,50,60.67
2007-01-05,32,59.13
2007-01-12,27,59.01
2007-01-19,23,58.09
2007-01-26,23,57.85
2007-02-02,29,58.16
2007-02-09,21,57.53
2007-02-16,26,59.02
2007-02-23,23,58.02
2007-03-02,28,55.44
2007-03-09,19,56.90
2007-03-16,16,55.55
2007-03-23,25,57.43
2007-03-30,17,56.40
2007-04-06,20,
2007-04-13,19,57.36
2007-04-20,20,61.00
2007-04-27,20,62.14
2007-05-04,28,63.39
2007-05-11,21,62.97
2007-05-18,35,63.96
2007-05-25,21,63.63
2007-06-01,25,65.07
2007-06-08,41,63.04
2007-06-15,31,63.77
2007-06-22,20,61.79
2007-06-29,27,61.18
2007-07-06,32,61.51
2007-07-13,21,62.83
2007-07-20,37,64.51
2007-07-27,25,58.55
2007-08-03,30,57.49
2007-08-10,31,60.78
2007-08-17,27,58.89
2007-08-24,21,60.89
2007-08-31,35,58.62
2007-09-07,21,57.75
2007-09-14,30,58.94
2007-09-21,37,59.28
2007-09-28,27,59.37
2007-10-05,26,61.10
2007-10-12,34,63.23
2007-10-19,25,57.11
2007-10-26,22,60.67
2007-11-02,19,58.42
2007-11-09,26,56.49
2007-11-16,28,58.67
2007-11-23,49,55.63
2007-11-30,47,58.98
2007-12-07,47,56.96
2007-12-14,56,52.29
2007-12-21,74,51.95
2007-12-28,60,50.84
2008-01-04,34,49.14
2008-01-11,28,44.00
2008-01-18,29,43.61
2008-01-25,25,45.44
2008-02-01,28,49.60
2008-02-08,13,44.98
2008-02-15,34,45.11
2008-02-22,35,45.06
2008-02-29,32,42.30
2008-03-07,22,41.53
2008-03-14,39,41.01
2008-03-21,26,
2008-03-28,27,43.15
2008-04-04,31,46.11
2008-04-11,27,43.39
2008-04-18,24,45.53
2008-04-25,23,47.77
2008-05-02,31,50.40
2008-05-09,34,48.96
2008-05-16,26,48.68
2008-05-23,30,45.45
2008-05-30,25,46.35
2008-06-06,22,44.65
2008-06-13,33,44.66
2008-06-20,23,41.18
2008-06-27,31,38.04
2008-07-04,25,
2008-07-11,37,39.21
2008-07-18,37,42.19
2008-07-25,36,36.62
2008-08-01,37,37.19
2008-08-08,30,37.81
2008-08-15,31,39.07
2008-08-22,24,38.79
2008-08-29,26,39.68
2008-09-05,23,39.40
2008-09-12,35,38.95
2008-09-19,29,40.40
2008-09-26,33,39.50
2008-10-03,31,30.87
2008-10-10,33,23.15
2008-10-17,22,23.33
2008-10-24,21,24.05
2008-10-31,30,27.50
2008-11-07,32,25.31
2008-11-14,36,19.99
2008-11-21,29,18.69
2008-11-28,37,23.31
2008-12-05,47,21.78
2008-12-12,61,20.34
2008-12-19,59,19.43
2008-12-26,72,17.91
2009-01-02,40,19.33
2009-01-09,46,19.23
2009-01-16,41,17.01
2009-01-23,24,16.00
2009-01-30,43,16.73
2009-02-06,29,17.93
2009-02-13,28,15.74
2009-02-20,29,12.97
2009-02-27,38,12.06
2009-03-06,26,10.26
2009-03-13,43,13.09
2009-03-20,30,12.26
2009-03-27,28,14.45
2009-04-03,34,15.33
2009-04-10,29,
2009-04-17,34,21.81
2009-04-24,25,25.30
2009-05-01,26,24.29
2009-05-08,33,28.40
2009-05-15,35,24.23
2009-05-22,31,23.40
2009-05-29,32,24.85
2009-06-05,24,24.95
2009-06-12,25,25.16
2009-06-19,27,24.64
2009-06-26,33,23.76
2009-07-03,33,
2009-07-10,31,23.22
2009-07-17,30,28.03
2009-07-24,40,29.51
2009-07-31,34,28.33
2009-08-07,26,32.69
2009-08-14,38,31.72
2009-08-21,35,32.85
2009-08-28,39,34.24
2009-09-04,28,32.84
2009-09-11,25,34.17
2009-09-18,20,34.77
2009-09-25,28,33.07
2009-10-02,33,32.49
2009-10-09,33,34.94
2009-10-16,28,34.95
2009-10-23,33,34.58
2009-10-30,29,34.84
2009-11-06,41,37.21
2009-11-13,40,40.35
2009-11-20,40,40.93
2009-11-27,44,40.84
2009-12-04,58,39.30
2009-12-11,59,40.73
2009-12-18,85,40.51
2009-12-25,100,
2010-01-01,56,
2010-01-08,45,41.95
2010-01-15,29,42.39
2010-01-22,29,38.59
2010-01-29,37,37.66
2010-02-05,29,37.85
2010-02-12,35,38.42
2010-02-19,36,39.06
2010-02-26,42,38.19
2010-03-05,26,40.20
2010-03-12,40,40.76
2010-03-19,31,40.33
2010-03-26,28,41.12
2010-04-02,43,
2010-04-09,35,43.88
2010-04-16,42,45.10
2010-04-23,33,48.05
2010-04-30,38,46.12
2010-05-07,37,40.60
2010-05-14,41,40.64
2010-05-21,36,39.82
2010-05-28,28,39.87
2010-06-04,35,38.41
2010-06-11,39,40.13
2010-06-18,42,42.03
2010-06-25,33,42.67
2010-07-02,34,39.42
2010-07-09,27,42.58
2010-07-16,30,41.38
2010-07-23,35,44.79
2010-07-30,37,44.64
2010-08-06,32,43.50
2010-08-13,39,41.73
2010-08-20,30,40.76
2010-08-27,39,40.91
2010-09-03,32,41.80
2010-09-10,33,40.19
2010-09-17,32,41.37
2010-09-24,32,43.13
2010-10-01,38,41.78
2010-10-08,28,37.99
2010-10-15,32,39.09
2010-10-22,30,39.03
2010-10-29,31,41.46
2010-11-05,33,44.07
2010-11-12,30,42.70
2010-11-19,38,42.75
2010-11-26,48,42.27
2010-12-03,54,44.88
2010-12-10,48,46.26
2010-12-17,67,44.01
2010-12-24,76,
2010-12-31,55,42.92
2011-01-07,39,44.36
2011-01-14,38,46.25
2011-01-21,48,46.00
2011-01-28,30,43.86
2011-02-04,29,43.82
2011-02-11,32,46.75
2011-02-18,37,45.53
2011-02-25,27,43.53
2011-03-04,36,43.72
2011-03-11,32,44.28
2011-03-18,25,44.17
2011-03-25,36,45.59
2011-04-01,33,45.36
2011-04-08,34,46.28
2011-04-15,34,46.25
2011-04-22,36,
2011-04-29,36,49.08
2011-05-06,36,50.20
2011-05-13,36,49.49
2011-05-20,34,51.19
2011-05-27,34,51.13
2011-06-03,29,49.28
2011-06-10,34,47.74
2011-06-17,36,48.50
2011-06-24,39,48.34
2011-07-01,38,52.34
2011-07-08,29,53.07
2011-07-15,38,51.81
2011-07-22,36,52.24
2011-07-29,31,50.04
2011-08-05,37,47.21
2011-08-12,30,44.89
2011-08-19,37,44.47
2011-08-26,37,48.48
2011-09-02,34,48.51
2011-09-09,29,47.28
2011-09-16,40,50.12
2011-09-23,37,46.45
2011-09-30,33,44.90
2011-10-07,30,43.43
2011-10-14,34,46.10
2011-10-21,28,48.46
2011-10-28,30,52.10
2011-11-04,32,51.18
2011-11-11,36,50.37
2011-11-18,42,46.88
2011-11-25,53,45.00
2011-12-02,49,48.23
2011-12-09,49,48.80
2011-12-16,56,46.88
2011-12-23,64,47.95
2011-12-30,59,47.17
2012-01-06,41,48.27
2012-01-13,35,49.76
2012-01-20,38,50.04
2012-01-27,35,49.85
2012-02-03,34,52.25
2012-02-10,37,51.81
2012-02-17,31,52.86
2012-02-24,31,53.33
2012-03-02,34,52.99
2012-03-09,37,53.20
2012-03-16,29,56.55
2012-03-23,29,57.25
2012-03-30,34,57.86
2012-04-06,26,
2012-04-13,34,57.28
2012-04-20,39,57.45
2012-04-27,31,60.17
2012-05-04,36,60.10
2012-05-11,29,59.64
2012-05-18,34,55.40
2012-05-25,30,55.81
2012-06-01,31,53.43
2012-06-08,30,55.86
2012-06-15,37,56.28
2012-06-22,34,56.79
2012-06-29,38,58.21
2012-07-06,37,58.63
2012-07-13,35,57.93
2012-07-20,32,55.81
2012-07-27,37,58.53
2012-08-03,33,57.61
2012-08-10,31,55.85
2012-08-17,36,57.59
2012-08-24,36,57.49
2012-08-31,30,58.30
2012-09-07,36,57.73
2012-09-14,35,59.27
2012-09-21,29,57.86
2012-09-28,40,56.86
2012-10-05,35,58.56
2012-10-12,32,57.89
2012-10-19,28,56.86
2012-10-26,24,55.75
2012-11-02,33,56.71
2012-11-09,39,55.83
2012-11-16,33,54.30
2012-11-23,53,56.51
2012-11-30,49,55.90
2012-12-07,45,56.61
2012-12-14,57,56.65
2012-12-21,61,57.65
2012-12-28,65,56.67
2013-01-04,44,59.61
2013-01-11,36,61.24
2013-01-18,31,59.78
2013-01-25,36,59.50
2013-02-01,35,59.91
2013-02-08,32,61.80
2013-02-15,27,61.69
2013-02-22,31,62.57
2013-03-01,29,62.37
2013-03-08,37,64.70
2013-03-15,36,66.09
2013-03-22,29,66.22
2013-03-29,37,
2013-04-05,27,65.30
2013-04-12,28,65.68
2013-04-19,32,67.24
2013-04-26,25,67.75
2013-05-03,30,70.23
2013-05-10,32,70.08
2013-05-17,31,73.32
2013-05-24,32,75.27
2013-05-31,35,75.71
2013-06-07,31,78.04
2013-06-14,35,72.97
2013-06-21,33,73.31
2013-06-28,35,74.76
2013-07-05,37,76.31
2013-07-12,32,78.33
2013-07-19,34,74.06
2013-07-26,33,75.34
2013-08-02,38,75.69
2013-08-09,33,75.50
2013-08-16,36,75.17
2013-08-23,36,73.65
2013-08-30,34,71.91
2013-09-06,38,73.35
2013-09-13,33,75.30
2013-09-20,30,77.32
2013-09-27,29,75.89
2013-10-04,32,74.31
2013-10-11,34,75.40
2013-10-18,33,80.52
2013-10-25,28,82.61
2013-11-01,33,82.16
2013-11-08,39,81.78
2013-11-15,40,82.80
2013-11-22,40,83.85
2013-11-29,54,85.80
2013-12-06,58,85.93
2013-12-13,56,83.68
2013-12-20,55,87.57
2013-12-27,66,89.19
2014-01-03,58,89.74
2014-01-10,38,88.55
2014-01-17,39,90.97
2014-01-24,34,86.95
2014-01-31,34,85.02
2014-02-07,39,87.00
2014-02-14,32,89.00
2014-02-21,36,88.75
2014-02-28,32,91.28
2014-03-07,32,93.86
2014-03-14,38,90.17
2014-03-21,34,91.52
2014-03-28,29,90.46
2014-04-04,40,89.17
2014-04-11,30,84.54
2014-04-18,30,
2014-04-25,35,87.03
2014-05-02,32,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
