Date,Johnson & Johnson,Price
2004-01-09,29,
2004-01-16,31,
2004-01-23,31,
2004-01-30,30,
2004-02-06,30,54.15
2004-02-13,32,54.23
2004-02-20,31,53.30
2004-02-27,33,53.91
2004-03-05,30,53.13
2004-03-12,29,50.71
2004-03-19,30,50.05
2004-03-26,29,50.13
2004-04-02,31,51.18
2004-04-09,32,
2004-04-16,33,54.13
2004-04-23,30,53.68
2004-04-30,31,54.03
2004-05-07,31,55.30
2004-05-14,30,54.52
2004-05-21,31,54.94
2004-05-28,30,55.71
2004-06-04,29,56.38
2004-06-11,30,
2004-06-18,100,55.25
2004-06-25,56,54.50
2004-07-02,31,55.35
2004-07-09,29,54.99
2004-07-16,32,56.80
2004-07-23,36,55.74
2004-07-30,31,55.27
2004-08-06,30,54.60
2004-08-13,31,55.54
2004-08-20,29,57.04
2004-08-27,31,57.71
2004-09-03,29,57.85
2004-09-10,29,57.57
2004-09-17,30,58.52
2004-09-24,30,56.55
2004-10-01,29,57.00
2004-10-08,29,55.32
2004-10-15,29,56.58
2004-10-22,29,57.29
2004-10-29,29,58.38
2004-11-05,29,59.18
2004-11-12,29,61.00
2004-11-19,30,60.54
2004-11-26,25,60.45
2004-12-03,27,61.91
2004-12-10,28,60.25
2004-12-17,28,63.58
2004-12-24,25,
2004-12-31,26,63.42
2005-01-07,29,62.61
2005-01-14,31,62.70
2005-01-21,32,61.85
2005-01-28,33,64.62
2005-02-04,31,66.24
2005-02-11,33,66.60
2005-02-18,33,65.43
2005-02-25,33,66.22
2005-03-04,35,67.74
2005-03-11,36,67.60
2005-03-18,35,67.25
2005-03-25,36,
2005-04-01,35,66.85
2005-04-08,34,68.64
2005-04-15,34,69.40
2005-04-22,35,68.49
2005-04-29,34,68.63
2005-05-06,36,68.21
2005-05-13,34,67.10
2005-05-20,32,67.20
2005-05-27,33,67.43
2005-06-03,32,66.44
2005-06-10,32,66.48
2005-06-17,32,66.56
2005-06-24,31,65.58
2005-07-01,33,64.95
2005-07-08,30,64.28
2005-07-15,33,65.03
2005-07-22,32,64.32
2005-07-29,36,63.96
2005-08-05,34,63.54
2005-08-12,35,63.56
2005-08-19,34,63.57
2005-08-26,33,61.94
2005-09-02,31,62.90
2005-09-09,31,64.73
2005-09-16,32,65.18
2005-09-23,33,63.99
2005-09-30,31,63.28
2005-10-07,30,61.34
2005-10-14,32,63.70
2005-10-21,31,64.07
2005-10-28,31,62.95
2005-11-04,30,60.88
2005-11-11,29,60.92
2005-11-18,30,62.55
2005-11-25,26,62.15
2005-12-02,30,61.21
2005-12-09,29,60.10
2005-12-16,29,60.86
2005-12-23,27,61.11
2005-12-30,28,60.10
2006-01-06,29,62.60
2006-01-13,31,61.82
2006-01-20,32,60.80
2006-01-27,32,58.71
2006-02-03,33,57.38
2006-02-10,33,58.39
2006-02-17,36,59.07
2006-02-24,37,57.76
2006-03-03,34,57.47
2006-03-10,34,59.04
2006-03-17,34,60.34
2006-03-24,35,60.39
2006-03-31,33,59.22
2006-04-07,33,57.83
2006-04-14,32,
2006-04-21,32,58.37
2006-04-28,32,58.61
2006-05-05,34,58.70
2006-05-12,31,58.83
2006-05-19,30,59.90
2006-05-26,29,60.69
2006-06-02,29,60.74
2006-06-09,30,61.38
2006-06-16,29,61.68
2006-06-23,27,61.32
2006-06-30,28,59.92
2006-07-07,25,60.62
2006-07-14,28,60.46
2006-07-21,29,61.73
2006-07-28,29,62.92
2006-08-04,28,63.53
2006-08-11,28,63.47
2006-08-18,29,64.42
2006-08-25,27,64.67
2006-09-01,26,64.72
2006-09-08,26,63.59
2006-09-15,28,63.79
2006-09-22,27,63.96
2006-09-29,26,64.94
2006-10-06,26,65.06
2006-10-13,26,64.58
2006-10-20,25,68.62
2006-10-27,26,68.17
2006-11-03,26,67.81
2006-11-10,25,66.29
2006-11-17,25,67.24
2006-11-24,22,65.85
2006-12-01,25,65.97
2006-12-08,24,65.95
2006-12-15,27,66.29
2006-12-22,24,65.65
2006-12-29,23,66.02
2007-01-05,27,66.62
2007-01-12,25,66.64
