Date,Nike,Price
2004-01-09,41,
2004-01-16,43,
2004-01-23,41,
2004-01-30,43,
2004-02-06,43,71.06
2004-02-13,43,72.32
2004-02-20,44,71.66
2004-02-27,46,73.25
2004-03-05,50,74.83
2004-03-12,49,74.80
2004-03-19,50,76.87
2004-03-26,53,76.25
2004-04-02,63,76.64
2004-04-09,59,
2004-04-16,59,75.91
2004-04-23,58,75.17
2004-04-30,58,71.95
2004-05-07,57,66.57
2004-05-14,55,67.69
2004-05-21,54,67.48
2004-05-28,56,71.15
2004-06-04,54,69.28
2004-06-11,56,
2004-06-18,58,71.62
2004-06-25,57,75.31
2004-07-02,57,75.31
2004-07-09,56,74.49
2004-07-16,56,73.50
2004-07-23,53,70.27
2004-07-30,55,72.71
2004-08-06,53,69.31
2004-08-13,53,69.69
2004-08-20,56,74.26
2004-08-27,56,75.95
2004-09-03,57,76.81
2004-09-10,54,75.65
2004-09-17,50,76.56
2004-09-24,51,79.70
2004-10-01,50,79.88
2004-10-08,52,79.09
2004-10-15,51,78.10
2004-10-22,52,79.11
2004-10-29,50,81.31
2004-11-05,48,86.12
2004-11-12,52,86.40
2004-11-19,54,82.50
2004-11-26,54,85.09
2004-12-03,57,86.72
2004-12-10,56,87.00
2004-12-17,56,91.70
2004-12-24,53,
2004-12-31,49,90.69
2005-01-07,45,87.70
2005-01-14,49,88.95
2005-01-21,47,86.30
2005-01-28,51,86.49
2005-02-04,55,87.04
2005-02-11,60,84.65
2005-02-18,56,85.51
2005-02-25,56,87.25
2005-03-04,58,87.60
2005-03-11,57,86.60
2005-03-18,58,85.40
2005-03-25,62,
2005-04-01,59,83.00
2005-04-08,59,82.31
2005-04-15,58,75.86
2005-04-22,59,77.82
2005-04-29,60,76.81
2005-05-06,60,77.78
2005-05-13,57,76.45
2005-05-20,57,82.09
2005-05-27,55,82.43
2005-06-03,56,83.75
2005-06-10,53,85.96
2005-06-17,54,88.38
2005-06-24,54,89.35
2005-07-01,54,86.01
2005-07-08,52,86.24
2005-07-15,53,88.50
2005-07-22,52,86.63
2005-07-29,55,83.80
2005-08-05,53,85.03
2005-08-12,54,81.58
2005-08-19,57,80.34
2005-08-26,55,79.72
2005-09-02,53,77.02
2005-09-09,51,78.52
2005-09-16,50,78.46
2005-09-23,51,81.27
2005-09-30,52,81.68
2005-10-07,51,82.77
2005-10-14,52,81.70
2005-10-21,50,83.48
2005-10-28,52,82.80
2005-11-04,50,87.80
2005-11-11,56,86.92
2005-11-18,58,87.70
2005-11-25,60,88.21
2005-12-02,58,87.60
2005-12-09,56,85.90
2005-12-16,56,88.50
2005-12-23,53,87.00
2005-12-30,51,86.79
2006-01-06,47,85.80
2006-01-13,48,86.20
2006-01-20,48,84.20
2006-01-27,52,83.15
2006-02-03,51,83.69
2006-02-10,51,84.47
2006-02-17,56,84.90
2006-02-24,58,87.20
2006-03-03,60,86.30
2006-03-10,58,84.99
2006-03-17,58,85.42
2006-03-24,58,85.96
2006-03-31,64,85.10
2006-04-07,75,83.63
2006-04-14,74,
2006-04-21,73,83.02
2006-04-28,76,81.84
2006-05-05,75,81.55
2006-05-12,72,81.50
2006-05-19,71,78.70
2006-05-26,74,81.01
2006-06-02,70,81.79
2006-06-09,71,81.13
2006-06-16,69,83.15
2006-06-23,67,84.36
2006-06-30,60,81.00
2006-07-07,59,79.08
2006-07-14,57,78.58
2006-07-21,55,80.06
2006-07-28,55,79.90
2006-08-04,56,78.67
2006-08-11,57,76.51
2006-08-18,56,76.71
2006-08-25,57,76.77
2006-09-01,58,81.14
2006-09-08,55,82.05
2006-09-15,58,82.97
2006-09-22,55,86.36
2006-09-29,54,87.62
2006-10-06,54,88.15
2006-10-13,52,89.60
2006-10-20,50,88.60
2006-10-27,52,91.86
2006-11-03,50,92.57
2006-11-10,50,94.07
2006-11-17,51,95.58
2006-11-24,50,96.73
2006-12-01,51,97.60
2006-12-08,52,97.04
2006-12-15,53,96.05
2006-12-22,52,99.94
2006-12-29,52,99.03
2007-01-05,46,98.83
2007-01-12,46,99.76
2007-01-19,45,99.94
2007-01-26,47,95.20
2007-02-02,45,100.20
2007-02-09,46,103.60
2007-02-16,47,106.30
2007-02-23,49,108.04
2007-03-02,47,103.86
2007-03-09,49,105.85
2007-03-16,51,107.47
2007-03-23,49,109.05
2007-03-30,51,106.26
2007-04-06,51,
2007-04-13,50,53.65
2007-04-20,50,53.53
2007-04-27,51,54.12
2007-05-04,52,53.29
2007-05-11,50,53.03
2007-05-18,50,53.25
2007-05-25,48,54.28
2007-06-01,49,56.69
2007-06-08,50,52.96
2007-06-15,49,53.42
2007-06-22,47,52.95
2007-06-29,49,58.29
2007-07-06,49,59.67
2007-07-13,51,59.01
2007-07-20,50,58.52
2007-07-27,51,55.44
2007-08-03,51,56.50
2007-08-10,52,55.78
2007-08-17,54,54.47
2007-08-24,54,54.12
2007-08-31,54,56.34
2007-09-07,54,54.70
2007-09-14,53,57.23
2007-09-21,50,57.26
2007-09-28,50,58.66
2007-10-05,50,60.35
2007-10-12,51,63.15
2007-10-19,48,63.33
2007-10-26,47,64.61
2007-11-02,48,63.87
2007-11-09,47,62.21
2007-11-16,50,62.64
2007-11-23,55,63.75
2007-11-30,58,65.65
2007-12-07,59,65.40
2007-12-14,51,64.32
2007-12-21,52,66.27
2007-12-28,53,64.31
2008-01-04,48,61.74
2008-01-11,49,60.70
2008-01-18,49,56.50
2008-01-25,49,56.00
2008-02-01,49,62.51
2008-02-08,51,60.64
2008-02-15,51,62.29
2008-02-22,51,60.59
2008-02-29,53,60.20
2008-03-07,52,58.24
2008-03-14,52,59.96
2008-03-21,56,
2008-03-28,53,65.86
2008-04-04,55,68.51
2008-04-11,54,66.69
2008-04-18,56,67.89
2008-04-25,55,68.74
2008-05-02,58,67.66
2008-05-09,55,64.87
2008-05-16,54,67.53
2008-05-23,54,64.77
2008-05-30,55,68.37
2008-06-06,53,67.93
2008-06-13,55,68.99
2008-06-20,56,66.73
2008-06-27,55,60.34
2008-07-04,54,
2008-07-11,55,56.26
2008-07-18,55,58.20
2008-07-25,57,58.17
2008-08-01,55,59.40
2008-08-08,58,62.95
2008-08-15,62,62.29
2008-08-22,61,61.11
2008-08-29,62,60.61
2008-09-05,62,58.82
2008-09-12,52,61.92
2008-09-19,51,63.70
2008-09-26,53,67.79
2008-10-03,52,63.25
2008-10-10,49,54.53
2008-10-17,49,57.48
2008-10-24,49,47.79
2008-10-31,48,57.63
2008-11-07,46,49.41
2008-11-14,50,46.53
2008-11-21,50,47.88
2008-11-28,55,53.25
2008-12-05,55,53.34
2008-12-12,56,49.37
2008-12-19,55,51.26
2008-12-26,54,49.76
2009-01-02,51,53.06
2009-01-09,49,49.61
2009-01-16,47,46.80
2009-01-23,48,45.68
2009-01-30,49,45.25
2009-02-06,48,48.68
2009-02-13,49,43.43
2009-02-20,50,42.93
2009-02-27,52,41.53
2009-03-06,53,39.94
2009-03-13,55,44.67
2009-03-20,57,45.02
2009-03-27,55,46.84
2009-04-03,57,51.87
2009-04-10,55,
2009-04-17,54,54.61
2009-04-24,54,54.73
2009-05-01,53,52.92
2009-05-08,53,54.42
2009-05-15,53,49.75
2009-05-22,54,52.41
2009-05-29,52,57.05
2009-06-05,54,58.29
2009-06-12,53,56.61
2009-06-19,54,56.70
2009-06-26,52,50.84
2009-07-03,51,
2009-07-10,56,51.30
2009-07-17,53,52.44
2009-07-24,52,52.17
2009-07-31,54,56.64
2009-08-07,56,58.07
2009-08-14,56,56.86
2009-08-21,56,55.65
2009-08-28,57,56.18
2009-09-04,59,54.23
2009-09-11,58,54.99
2009-09-18,57,58.59
2009-09-25,54,58.64
2009-10-02,53,62.02
2009-10-09,53,63.59
2009-10-16,52,65.10
2009-10-23,53,64.17
2009-10-30,49,62.18
2009-11-06,48,64.56
2009-11-13,51,64.42
2009-11-20,51,63.92
2009-11-27,55,65.05
2009-12-04,56,64.30
2009-12-11,57,63.86
2009-12-18,59,64.42
2009-12-25,55,
2010-01-01,51,
2010-01-08,49,65.72
2010-01-15,47,64.39
2010-01-22,49,62.98
2010-01-29,48,63.75
2010-02-05,50,61.70
2010-02-12,50,62.49
2010-02-19,51,64.35
2010-02-26,53,67.60
2010-03-05,55,68.32
2010-03-12,53,69.90
2010-03-19,54,73.52
2010-03-26,56,73.89
2010-04-02,57,
2010-04-09,61,75.18
2010-04-16,57,75.17
2010-04-23,55,77.90
2010-04-30,54,75.91
2010-05-07,55,70.61
2010-05-14,53,73.74
2010-05-21,59,71.39
2010-05-28,63,72.38
2010-06-04,57,70.77
2010-06-11,56,72.33
2010-06-18,58,74.94
2010-06-25,54,70.12
2010-07-02,53,67.86
2010-07-09,54,70.15
2010-07-16,55,68.96
2010-07-23,54,72.74
2010-07-30,55,73.64
2010-08-06,57,73.96
2010-08-13,58,70.58
2010-08-20,58,71.26
2010-08-27,57,70.94
2010-09-03,59,74.25
2010-09-10,58,73.75
2010-09-17,53,77.26
2010-09-24,53,79.57
2010-10-01,54,80.25
2010-10-08,53,82.04
2010-10-15,52,82.00
2010-10-22,51,81.92
2010-10-29,54,81.44
2010-11-05,53,84.11
2010-11-12,52,82.62
2010-11-19,56,85.81
2010-11-26,58,85.96
2010-12-03,58,87.53
2010-12-10,57,87.80
2010-12-17,56,90.05
2010-12-24,54,
2010-12-31,51,85.42
2011-01-07,51,83.53
2011-01-14,52,84.07
2011-01-21,54,82.30
2011-01-28,51,81.46
2011-02-04,52,85.74
2011-02-11,53,86.21
2011-02-18,54,88.82
2011-02-25,55,87.98
2011-03-04,55,89.88
2011-03-11,54,87.17
2011-03-18,55,77.59
2011-03-25,61,76.66
2011-04-01,59,76.53
2011-04-08,60,77.39
2011-04-15,60,78.73
2011-04-22,58,
2011-04-29,57,82.32
2011-05-06,55,82.02
2011-05-13,55,86.26
