Date,JPM,Price
2004-01-09,20,
2004-01-16,41,
2004-01-23,27,
2004-01-30,26,
2004-02-06,29,39.73
2004-02-13,30,40.16
2004-02-20,38,40.57
2004-02-27,31,41.02
2004-03-05,20,43.01
2004-03-12,32,41.52
2004-03-19,16,41.33
2004-03-26,22,41.25
2004-04-02,28,41.53
2004-04-09,26,
2004-04-16,28,39.26
2004-04-23,29,38.30
2004-04-30,27,37.60
2004-05-07,24,36.48
2004-05-14,24,35.66
2004-05-21,21,36.08
2004-05-28,22,36.84
2004-06-04,23,37.28
2004-06-11,24,
2004-06-18,27,37.23
2004-06-25,19,37.99
2004-07-02,28,38.08
2004-07-09,40,36.83
2004-07-16,17,35.87
2004-07-23,25,36.53
2004-07-30,29,37.33
2004-08-06,27,36.09
2004-08-13,14,36.87
2004-08-20,29,38.65
2004-08-27,17,39.72
2004-09-03,21,39.85
2004-09-10,18,39.80
2004-09-17,25,39.65
2004-09-24,32,39.75
2004-10-01,17,40.34
2004-10-08,21,39.65
2004-10-15,21,38.74
2004-10-22,23,37.47
2004-10-29,29,38.60
2004-11-05,21,39.35
2004-11-12,18,39.17
2004-11-19,20,37.42
2004-11-26,23,37.69
2004-12-03,32,38.06
2004-12-10,23,37.63
2004-12-17,20,38.52
2004-12-24,23,
2004-12-31,24,39.01
2005-01-07,21,38.40
2005-01-14,21,37.81
2005-01-21,22,36.85
2005-01-28,18,37.00
2005-02-04,20,37.69
2005-02-11,24,37.48
2005-02-18,22,36.51
2005-02-25,27,36.97
2005-03-04,23,37.51
2005-03-11,24,36.11
2005-03-18,22,36.01
2005-03-25,32,
2005-04-01,25,34.25
2005-04-08,29,34.50
2005-04-15,31,33.93
2005-04-22,29,34.87
2005-04-29,19,35.49
2005-05-06,22,35.61
2005-05-13,32,34.46
2005-05-20,20,36.06
2005-05-27,26,35.80
2005-06-03,32,35.55
2005-06-10,21,35.43
2005-06-17,22,36.08
2005-06-24,34,35.57
2005-07-01,23,35.06
2005-07-08,29,34.81
2005-07-15,21,35.86
2005-07-22,28,35.60
2005-07-29,23,35.14
2005-08-05,30,35.25
2005-08-12,28,34.31
2005-08-19,20,34.54
2005-08-26,18,33.65
2005-09-02,28,34.11
2005-09-09,26,34.82
2005-09-16,25,34.99
2005-09-23,32,34.07
2005-09-30,31,33.93
2005-10-07,35,33.90
2005-10-14,27,34.08
2005-10-21,38,35.13
2005-10-28,29,36.44
2005-11-04,34,37.31
2005-11-11,31,38.26
2005-11-18,31,38.03
2005-11-25,29,38.86
2005-12-02,34,38.99
2005-12-09,43,39.12
2005-12-16,33,39.79
2005-12-23,44,40.20
2005-12-30,31,39.69
2006-01-06,39,40.02
2006-01-13,45,39.92
2006-01-20,45,38.05
2006-01-27,45,39.75
2006-02-03,29,39.53
2006-02-10,34,39.92
2006-02-17,34,40.78
2006-02-24,38,41.66
2006-03-03,37,41.59
2006-03-10,34,41.13
2006-03-17,44,41.40
2006-03-24,43,42.10
2006-03-31,34,41.64
2006-04-07,39,41.70
2006-04-14,43,
2006-04-21,40,42.50
2006-04-28,37,45.38
2006-05-05,43,46.65
2006-05-12,48,44.32
2006-05-19,36,42.75
2006-05-26,40,43.23
2006-06-02,37,43.81
2006-06-09,33,42.10
2006-06-16,22,40.16
2006-06-23,28,40.87
2006-06-30,26,42.00
2006-07-07,33,42.41
2006-07-14,38,40.89
2006-07-21,40,43.15
2006-07-28,38,45.48
2006-08-04,37,45.12
2006-08-11,24,43.93
