Date,buy GE,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,86,
2004-01-30,0,
2004-02-06,0,33.18
2004-02-13,0,32.72
2004-02-20,0,32.70
2004-02-27,0,32.52
2004-03-05,0,32.77
2004-03-12,0,30.60
2004-03-19,0,30.14
2004-03-26,0,30.10
2004-04-02,65,31.06
2004-04-09,65,
2004-04-16,66,31.23
2004-04-23,67,30.69
2004-04-30,68,29.95
2004-05-07,69,30.00
2004-05-14,68,30.16
2004-05-21,68,30.65
2004-05-28,73,31.12
2004-06-04,77,31.23
2004-06-11,82,
2004-06-18,86,32.58
2004-06-25,0,32.18
2004-07-02,0,31.67
2004-07-09,0,32.17
2004-07-16,0,33.09
2004-07-23,0,32.52
2004-07-30,0,33.25
2004-08-06,0,31.52
2004-08-13,0,31.89
2004-08-20,73,32.65
2004-08-27,58,32.77
2004-09-03,58,32.84
2004-09-10,69,33.88
2004-09-17,60,34.22
2004-09-24,0,33.41
2004-10-01,0,33.97
2004-10-08,0,33.74
2004-10-15,0,33.55
2004-10-22,0,32.95
2004-10-29,71,34.12
2004-11-05,51,35.19
2004-11-12,51,36.25
2004-11-19,51,36.27
2004-11-26,51,35.44
2004-12-03,52,35.83
2004-12-10,53,36.69
2004-12-17,54,36.75
2004-12-24,64,
2004-12-31,68,36.50
2005-01-07,54,36.00
2005-01-14,54,35.52
2005-01-21,54,35.13
2005-01-28,53,35.75
2005-02-04,52,36.25
2005-02-11,46,36.23
2005-02-18,46,35.88
2005-02-25,46,35.62
2005-03-04,46,36.12
2005-03-11,46,35.82
2005-03-18,42,35.88
2005-03-25,68,
2005-04-01,44,35.47
2005-04-08,45,35.74
2005-04-15,46,35.75
2005-04-22,47,36.10
2005-04-29,48,36.20
2005-05-06,72,35.85
2005-05-13,58,35.70
2005-05-20,41,37.00
2005-05-27,41,36.88
2005-06-03,39,36.70
2005-06-10,39,36.63
2005-06-17,48,36.50
2005-06-24,54,34.78
2005-07-01,45,34.74
2005-07-08,45,34.99
2005-07-15,49,35.53
2005-07-22,57,35.07
2005-07-29,65,34.50
2005-08-05,73,33.81
2005-08-12,68,34.25
2005-08-19,52,33.95
2005-08-26,72,33.38
2005-09-02,56,33.33
2005-09-09,37,33.98
2005-09-16,38,34.47
2005-09-23,50,33.40
2005-09-30,47,33.67
2005-10-07,38,34.22
2005-10-14,38,34.34
2005-10-21,53,33.73
2005-10-28,43,34.05
2005-11-04,40,34.02
2005-11-11,42,34.65
2005-11-18,54,35.75
2005-11-25,46,36.20
2005-12-02,46,35.50
2005-12-09,37,35.53
2005-12-16,67,36.06
2005-12-23,42,35.42
2005-12-30,55,35.05
2006-01-06,42,35.47
2006-01-13,36,35.10
2006-01-20,57,33.37
2006-01-27,40,32.95
2006-02-03,31,32.85
2006-02-10,39,33.28
2006-02-17,35,33.61
2006-02-24,78,33.14
2006-03-03,52,33.06
2006-03-10,43,33.65
2006-03-17,37,34.51
2006-03-24,34,33.95
2006-03-31,44,34.78
2006-04-07,50,34.03
2006-04-14,39,
2006-04-21,43,33.97
2006-04-28,47,34.59
2006-05-05,44,35.16
2006-05-12,47,34.28
2006-05-19,46,34.16
2006-05-26,36,34.33
2006-06-02,61,34.66
2006-06-09,47,34.07
2006-06-16,47,33.93
2006-06-23,47,33.16
2006-06-30,52,32.96
2006-07-07,54,33.30
2006-07-14,37,32.11
2006-07-21,64,32.25
2006-07-28,45,33.02
2006-08-04,54,32.80
2006-08-11,66,32.50
2006-08-18,41,34.00
2006-08-25,42,33.84
2006-09-01,28,34.14
2006-09-08,45,34.01
2006-09-15,30,34.85
2006-09-22,34,34.40
2006-09-29,49,35.30
2006-10-06,43,36.14
2006-10-13,42,35.98
2006-10-20,37,35.47
2006-10-27,67,35.21
2006-11-03,47,34.77
2006-11-10,33,35.17
2006-11-17,32,36.25
2006-11-24,35,35.69
2006-12-01,52,35.28
2006-12-08,42,35.27
2006-12-15,45,37.36
2006-12-22,54,37.57
2006-12-29,52,37.21
2007-01-05,42,37.56
2007-01-12,57,37.89
2007-01-19,39,36.95
2007-01-26,65,36.07
2007-02-02,53,36.27
2007-02-09,50,35.53
2007-02-16,38,35.87
2007-02-23,48,35.10
2007-03-02,38,34.87
2007-03-09,28,34.32
2007-03-16,41,34.36
2007-03-23,31,35.82
2007-03-30,38,35.36
2007-04-06,41,
2007-04-13,36,35.38
2007-04-20,34,35.13
2007-04-27,48,36.84
2007-05-04,31,37.15
2007-05-11,52,36.97
2007-05-18,62,36.96
2007-05-25,82,37.56
2007-06-01,45,37.45
2007-06-08,59,37.32
2007-06-15,70,38.12
2007-06-22,56,38.24
2007-06-29,47,38.28
2007-07-06,44,38.48
2007-07-13,67,39.50
2007-07-20,40,40.12
2007-07-27,70,38.79
2007-08-03,74,38.06
2007-08-10,35,38.23
2007-08-17,63,38.45
2007-08-24,52,39.41
2007-08-31,57,38.87
2007-09-07,35,38.75
2007-09-14,46,40.35
2007-09-21,48,41.25
2007-09-28,30,41.40
2007-10-05,45,41.77
2007-10-12,64,41.03
2007-10-19,56,40.04
2007-10-26,37,40.38
2007-11-02,59,40.33
2007-11-09,47,38.38
2007-11-16,47,38.65
2007-11-23,52,37.67
2007-11-30,50,38.29
2007-12-07,54,37.23
2007-12-14,36,36.91
2007-12-21,64,37.14
2007-12-28,64,37.34
2008-01-04,60,36.04
2008-01-11,46,35.17
2008-01-18,57,34.31
2008-01-25,41,34.00
2008-02-01,57,36.16
2008-02-08,50,33.84
2008-02-15,63,34.37
2008-02-22,41,33.55
2008-02-29,42,33.14
2008-03-07,40,32.23
2008-03-14,56,33.82
2008-03-21,39,
2008-03-28,53,36.61
2008-04-04,67,37.56
2008-04-11,46,32.05
2008-04-18,61,32.69
2008-04-25,57,33.33
2008-05-02,51,33.34
2008-05-09,47,32.27
2008-05-16,48,32.13
2008-05-23,61,30.43
2008-05-30,50,30.72
2008-06-06,85,30.02
2008-06-13,69,29.15
2008-06-20,69,27.38
2008-06-27,85,26.26
2008-07-04,62,
2008-07-11,69,27.66
2008-07-18,65,28.00
2008-07-25,60,28.71
2008-08-01,65,28.21
2008-08-08,65,29.64
2008-08-15,60,29.80
2008-08-22,41,29.12
2008-08-29,53,28.10
2008-09-05,55,27.88
2008-09-12,45,26.75
2008-09-19,54,26.62
2008-09-26,59,25.25
2008-10-03,86,21.57
2008-10-10,98,21.50
2008-10-17,78,19.63
2008-10-24,69,17.83
2008-10-31,50,19.51
2008-11-07,55,18.86
2008-11-14,71,16.02
2008-11-21,75,14.03
2008-11-28,71,17.17
2008-12-05,62,17.85
2008-12-12,52,17.11
2008-12-19,46,16.50
2008-12-26,51,15.97
2009-01-02,71,17.07
2009-01-09,73,16.00
2009-01-16,74,13.96
2009-01-23,53,12.03
2009-01-30,61,12.13
2009-02-06,51,11.10
2009-02-13,51,11.44
2009-02-20,63,9.38
2009-02-27,79,8.51
2009-03-06,100,7.06
2009-03-13,84,9.62
2009-03-20,84,9.54
2009-03-27,58,10.78
2009-04-03,64,10.94
2009-04-10,61,
2009-04-17,56,12.39
2009-04-24,65,12.11
2009-05-01,59,12.69
2009-05-08,63,14.53
2009-05-15,54,12.86
2009-05-22,67,13.10
2009-05-29,59,13.48
2009-06-05,62,13.54
2009-06-12,48,13.51
2009-06-19,52,12.10
2009-06-26,59,11.75
2009-07-03,45,
2009-07-10,51,10.78
2009-07-17,55,11.65
2009-07-24,63,12.03
2009-07-31,72,13.40
2009-08-07,57,14.70
2009-08-14,57,13.92
2009-08-21,68,14.21
2009-08-28,50,14.08
2009-09-04,66,13.87
2009-09-11,52,14.67
2009-09-18,56,16.50
2009-09-25,46,16.37
2009-10-02,57,15.36
2009-10-09,53,16.18
2009-10-16,54,16.08
2009-10-23,46,15.20
2009-10-30,54,14.26
2009-11-06,55,15.33
2009-11-13,61,15.66
2009-11-20,57,15.59
2009-11-27,83,15.94
2009-12-04,74,16.20
2009-12-11,68,15.92
2009-12-18,53,15.59
2009-12-25,44,
2010-01-01,67,
2010-01-08,61,16.60
2010-01-15,58,16.44
2010-01-22,53,16.11
2010-01-29,47,16.08
2010-02-05,51,15.79
2010-02-12,59,15.55
2010-02-19,63,16.17
2010-02-26,55,16.06
2010-03-05,61,16.35
2010-03-12,56,17.04
2010-03-19,50,18.07
2010-03-26,46,18.34
2010-04-02,49,
2010-04-09,47,18.52
2010-04-16,50,18.97
2010-04-23,56,19.07
2010-04-30,42,18.86
2010-05-07,52,16.88
2010-05-14,50,17.64
2010-05-21,41,16.42
2010-05-28,42,16.35
2010-06-04,65,15.71
2010-06-11,49,15.56
2010-06-18,51,15.95
2010-06-25,53,14.91
2010-07-02,63,13.88
2010-07-09,64,14.95
2010-07-16,54,14.55
2010-07-23,50,15.71
2010-07-30,45,16.12
2010-08-06,57,16.45
2010-08-13,57,15.38
2010-08-20,53,15.03
2010-08-27,41,14.71
2010-09-03,44,15.39
2010-09-10,53,15.98
2010-09-17,43,16.29
2010-09-24,42,16.66
2010-10-01,41,16.36
2010-10-08,48,17.12
2010-10-15,51,16.30
2010-10-22,47,16.06
2010-10-29,55,16.02
2010-11-05,46,16.73
2010-11-12,65,16.25
2010-11-19,59,16.22
2010-11-26,71,15.80
2010-12-03,65,16.78
2010-12-10,65,17.72
2010-12-17,52,17.70
2010-12-24,50,
2010-12-31,71,18.29
2011-01-07,63,18.43
2011-01-14,52,18.82
2011-01-21,47,19.74
2011-01-28,65,20.20
2011-02-04,60,20.56
2011-02-11,58,21.33
2011-02-18,49,21.44
2011-02-25,49,20.82
2011-03-04,53,20.37
2011-03-11,47,20.36
2011-03-18,45,19.25
2011-03-25,53,19.75
2011-04-01,56,20.34
2011-04-08,57,20.19
2011-04-15,49,20.04
2011-04-22,47,
2011-04-29,51,20.45
2011-05-06,54,20.01
2011-05-13,51,19.89
2011-05-20,60,19.62
2011-05-27,50,19.44
2011-06-03,54,18.82
2011-06-10,47,18.32
2011-06-17,41,18.49
2011-06-24,50,17.97
2011-07-01,50,19.20
2011-07-08,59,18.99
2011-07-15,49,18.41
2011-07-22,47,19.04
2011-07-29,52,17.91
2011-08-05,60,16.51
2011-08-12,58,15.88
2011-08-19,52,15.09
2011-08-26,42,15.54
2011-09-02,46,15.76
2011-09-09,56,15.09
2011-09-16,53,16.33
2011-09-23,47,15.21
2011-09-30,43,15.22
2011-10-07,53,15.50
2011-10-14,48,16.60
2011-10-21,44,16.31
2011-10-28,53,17.25
2011-11-04,45,16.39
2011-11-11,50,16.30
2011-11-18,55,15.65
2011-11-25,63,14.70
2011-12-02,55,16.09
2011-12-09,48,16.84
2011-12-16,56,17.01
2011-12-23,49,18.23
2011-12-30,61,17.91
2012-01-06,52,18.65
2012-01-13,48,18.84
2012-01-20,52,19.15
2012-01-27,59,19.03
2012-02-03,55,19.02
2012-02-10,49,18.88
2012-02-17,41,19.28
2012-02-24,67,19.24
2012-03-02,55,18.97
2012-03-09,50,19.04
2012-03-16,51,20.20
2012-03-23,49,19.78
2012-03-30,48,20.07
2012-04-06,61,
2012-04-13,51,18.88
2012-04-20,35,19.36
2012-04-27,43,19.78
2012-05-04,54,19.34
2012-05-11,41,19.01
2012-05-18,47,18.95
2012-05-25,42,19.20
2012-06-01,44,18.54
2012-06-08,42,19.20
2012-06-15,45,20.00
2012-06-22,46,19.81
2012-06-29,49,20.84
2012-07-06,52,20.00
2012-07-13,59,19.77
2012-07-20,46,19.87
2012-07-27,56,20.92
2012-08-03,57,20.96
2012-08-10,52,21.10
2012-08-17,51,21.00
2012-08-24,55,20.80
2012-08-31,47,20.71
2012-09-07,47,21.59
2012-09-14,50,22.11
2012-09-21,54,22.53
2012-09-28,49,22.71
2012-10-05,49,23.12
2012-10-12,42,22.48
2012-10-19,40,22.03
2012-10-26,43,21.11
2012-11-02,38,21.31
2012-11-09,41,21.00
2012-11-16,61,20.15
2012-11-23,58,21.04
2012-11-30,49,21.13
2012-12-07,50,21.46
2012-12-14,50,21.62
2012-12-21,51,20.88
2012-12-28,55,20.44
2013-01-04,58,21.20
2013-01-11,49,21.13
2013-01-18,47,22.04
2013-01-25,44,22.29
2013-02-01,50,22.62
2013-02-08,39,22.50
2013-02-15,41,23.29
2013-02-22,38,23.39
2013-03-01,42,23.19
2013-03-08,39,23.77
2013-03-15,44,23.44
2013-03-22,39,23.37
2013-03-29,45,
2013-04-05,41,22.93
2013-04-12,46,23.46
2013-04-19,39,21.75
2013-04-26,41,22.21
2013-05-03,43,22.57
2013-05-10,49,22.90
2013-05-17,48,23.46
2013-05-24,47,23.53
2013-05-31,47,23.32
2013-06-07,43,23.86
2013-06-14,43,23.52
2013-06-21,39,23.36
2013-06-28,44,23.19
2013-07-05,49,23.24
2013-07-12,48,23.76
2013-07-19,46,24.72
2013-07-26,48,24.65
2013-08-02,48,24.70
2013-08-09,43,24.25
2013-08-16,44,23.95
2013-08-23,40,23.78
2013-08-30,36,23.14
2013-09-06,43,23.16
2013-09-13,40,23.78
2013-09-20,45,24.01
2013-09-27,42,24.05
2013-10-04,43,24.05
2013-10-11,41,24.40
2013-10-18,50,25.55
2013-10-25,44,25.88
2013-11-01,44,26.54
2013-11-08,51,27.05
2013-11-15,51,27.20
2013-11-22,49,27.08
2013-11-29,52,26.66
2013-12-06,49,26.94
2013-12-13,45,26.84
2013-12-20,49,27.36
2013-12-27,55,27.83
2014-01-03,58,27.48
2014-01-10,44,26.96
2014-01-17,49,26.58
2014-01-24,48,24.95
2014-01-31,47,25.13
2014-02-07,41,25.19
2014-02-14,50,25.74
2014-02-21,39,24.94
2014-02-28,47,25.47
2014-03-07,36,26.13
2014-03-14,43,25.11
2014-03-21,35,25.40
2014-03-28,41,25.88
2014-04-04,40,26.02
2014-04-11,42,25.43
2014-04-18,39,
2014-04-25,61,26.60
2014-05-02,57,
