Date,Intel,Price
2004-01-09,91,
2004-01-16,89,
2004-01-23,86,
2004-01-30,89,
2004-02-06,90,30.88
2004-02-13,88,30.14
2004-02-20,93,30.00
2004-02-27,89,29.20
2004-03-05,86,28.95
2004-03-12,82,27.69
2004-03-19,83,26.49
2004-03-26,83,27.38
2004-04-02,81,28.12
2004-04-09,83,
2004-04-16,81,26.45
2004-04-23,79,27.53
2004-04-30,79,25.73
2004-05-07,78,26.47
2004-05-14,78,27.04
2004-05-21,78,27.55
2004-05-28,78,28.55
2004-06-04,77,28.14
2004-06-11,81,
2004-06-18,79,27.64
2004-06-25,85,27.78
2004-07-02,82,26.33
2004-07-09,81,26.57
2004-07-16,84,22.73
2004-07-23,83,22.67
2004-07-30,86,24.38
2004-08-06,86,22.77
2004-08-13,86,21.56
2004-08-20,85,21.62
2004-08-27,84,22.02
2004-09-03,91,20.05
2004-09-10,92,20.57
2004-09-17,87,20.59
2004-09-24,87,20.13
2004-10-01,84,20.85
2004-10-08,84,20.55
2004-10-15,86,20.61
2004-10-22,85,21.30
2004-10-29,84,22.26
2004-11-05,81,23.36
2004-11-12,80,23.69
2004-11-19,78,24.16
2004-11-26,84,23.21
2004-12-03,83,23.91
2004-12-10,82,22.56
2004-12-17,80,22.77
2004-12-24,83,
2004-12-31,89,23.39
2005-01-07,79,22.80
2005-01-14,84,23.02
2005-01-21,81,22.42
2005-01-28,79,22.24
2005-02-04,77,23.00
2005-02-11,77,24.17
2005-02-18,77,24.02
2005-02-25,80,24.09
2005-03-04,80,24.68
2005-03-11,78,24.20
2005-03-18,76,23.41
2005-03-25,76,
2005-04-01,72,23.01
2005-04-08,71,23.29
2005-04-15,70,22.12
2005-04-22,72,23.24
2005-04-29,70,23.52
2005-05-06,73,24.49
2005-05-13,71,25.12
2005-05-20,69,26.35
2005-05-27,73,27.39
2005-06-03,72,27.33
2005-06-10,96,26.98
2005-06-17,86,27.12
2005-06-24,76,26.10
2005-07-01,74,26.21
2005-07-08,73,27.28
2005-07-15,76,28.30
2005-07-22,74,26.75
2005-07-29,75,27.14
2005-08-05,74,26.77
2005-08-12,77,26.31
2005-08-19,80,25.65
2005-08-26,78,25.41
2005-09-02,75,25.28
2005-09-09,75,25.25
2005-09-16,74,24.81
2005-09-23,75,24.38
2005-09-30,74,24.65
2005-10-07,72,23.82
2005-10-14,73,23.23
2005-10-21,75,23.15
2005-10-28,74,23.33
2005-11-04,70,23.99
2005-11-11,70,25.13
2005-11-18,75,25.30
2005-11-25,76,26.81
2005-12-02,72,27.43
2005-12-09,77,26.08
2005-12-16,72,26.38
2005-12-23,72,25.97
2005-12-30,83,24.96
2006-01-06,82,26.31
2006-01-13,100,25.79
2006-01-20,93,21.76
2006-01-27,84,21.67
2006-02-03,81,20.74
2006-02-10,80,21.29
2006-02-17,78,20.61
2006-02-24,81,20.36
2006-03-03,84,20.32
2006-03-10,87,19.85
2006-03-17,83,19.54
2006-03-24,79,19.60
2006-03-31,80,19.46
2006-04-07,80,19.24
2006-04-14,80,
2006-04-21,77,19.06
2006-04-28,76,19.98
2006-05-05,74,19.51
2006-05-12,74,19.04
2006-05-19,76,18.36
2006-05-26,75,18.22
2006-06-02,75,18.23
2006-06-09,78,17.16
2006-06-16,77,18.30
2006-06-23,76,18.00
2006-06-30,76,19.00
2006-07-07,76,18.56
2006-07-14,82,17.88
