Date,sell Nike,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,71.06
2004-02-13,0,72.32
2004-02-20,0,71.66
2004-02-27,0,73.25
2004-03-05,0,74.83
2004-03-12,0,74.80
2004-03-19,0,76.87
2004-03-26,0,76.25
2004-04-02,0,76.64
2004-04-09,0,
2004-04-16,0,75.91
2004-04-23,0,75.17
2004-04-30,0,71.95
2004-05-07,0,66.57
2004-05-14,0,67.69
2004-05-21,0,67.48
2004-05-28,0,71.15
2004-06-04,0,69.28
2004-06-11,0,
2004-06-18,0,71.62
2004-06-25,0,75.31
2004-07-02,0,75.31
2004-07-09,0,74.49
2004-07-16,0,73.50
2004-07-23,0,70.27
2004-07-30,0,72.71
2004-08-06,0,69.31
2004-08-13,0,69.69
2004-08-20,0,74.26
2004-08-27,0,75.95
2004-09-03,0,76.81
2004-09-10,0,75.65
2004-09-17,0,76.56
2004-09-24,0,79.70
2004-10-01,0,79.88
2004-10-08,0,79.09
2004-10-15,0,78.10
2004-10-22,0,79.11
2004-10-29,0,81.31
2004-11-05,0,86.12
2004-11-12,0,86.40
2004-11-19,0,82.50
2004-11-26,0,85.09
2004-12-03,0,86.72
2004-12-10,0,87.00
2004-12-17,0,91.70
2004-12-24,0,
2004-12-31,0,90.69
2005-01-07,0,87.70
2005-01-14,0,88.95
2005-01-21,0,86.30
2005-01-28,0,86.49
2005-02-04,0,87.04
2005-02-11,0,84.65
2005-02-18,0,85.51
2005-02-25,0,87.25
2005-03-04,0,87.60
2005-03-11,0,86.60
2005-03-18,0,85.40
2005-03-25,0,
2005-04-01,0,83.00
2005-04-08,0,82.31
2005-04-15,0,75.86
2005-04-22,0,77.82
2005-04-29,0,76.81
2005-05-06,0,77.78
2005-05-13,0,76.45
2005-05-20,0,82.09
2005-05-27,0,82.43
2005-06-03,0,83.75
2005-06-10,0,85.96
2005-06-17,0,88.38
2005-06-24,0,89.35
2005-07-01,0,86.01
2005-07-08,0,86.24
2005-07-15,0,88.50
2005-07-22,0,86.63
2005-07-29,0,83.80
2005-08-05,0,85.03
2005-08-12,0,81.58
2005-08-19,0,80.34
2005-08-26,0,79.72
2005-09-02,0,77.02
2005-09-09,0,78.52
2005-09-16,0,78.46
2005-09-23,0,81.27
2005-09-30,0,81.68
2005-10-07,0,82.77
2005-10-14,0,81.70
2005-10-21,0,83.48
2005-10-28,0,82.80
2005-11-04,0,87.80
2005-11-11,0,86.92
2005-11-18,0,87.70
2005-11-25,0,88.21
2005-12-02,0,87.60
2005-12-09,0,85.90
2005-12-16,0,88.50
2005-12-23,0,87.00
2005-12-30,0,86.79
2006-01-06,0,85.80
2006-01-13,0,86.20
2006-01-20,0,84.20
2006-01-27,0,83.15
2006-02-03,0,83.69
2006-02-10,0,84.47
2006-02-17,0,84.90
2006-02-24,0,87.20
2006-03-03,0,86.30
2006-03-10,0,84.99
2006-03-17,0,85.42
2006-03-24,0,85.96
2006-03-31,0,85.10
2006-04-07,0,83.63
2006-04-14,0,
2006-04-21,0,83.02
2006-04-28,0,81.84
2006-05-05,0,81.55
2006-05-12,0,81.50
2006-05-19,0,78.70
2006-05-26,0,81.01
2006-06-02,0,81.79
2006-06-09,0,81.13
2006-06-16,0,83.15
2006-06-23,0,84.36
2006-06-30,0,81.00
2006-07-07,0,79.08
2006-07-14,0,78.58
2006-07-21,0,80.06
2006-07-28,0,79.90
2006-08-04,0,78.67
2006-08-11,0,76.51
2006-08-18,0,76.71
2006-08-25,60,76.77
2006-09-01,0,81.14
2006-09-08,0,82.05
2006-09-15,0,82.97
2006-09-22,0,86.36
2006-09-29,0,87.62
2006-10-06,0,88.15
2006-10-13,0,89.60
2006-10-20,0,88.60
2006-10-27,0,91.86
2006-11-03,57,92.57
2006-11-10,49,94.07
2006-11-17,49,95.58
2006-11-24,49,96.73
2006-12-01,49,97.60
2006-12-08,49,97.04
2006-12-15,0,96.05
2006-12-22,0,99.94
2006-12-29,0,99.03
2007-01-05,0,98.83
2007-01-12,0,99.76
2007-01-19,0,99.94
2007-01-26,0,95.20
2007-02-02,0,100.20
2007-02-09,0,103.60
2007-02-16,0,106.30
2007-02-23,0,108.04
2007-03-02,0,103.86
2007-03-09,0,105.85
2007-03-16,0,107.47
2007-03-23,0,109.05
2007-03-30,0,106.26
2007-04-06,0,
2007-04-13,0,53.65
2007-04-20,0,53.53
2007-04-27,0,54.12
2007-05-04,0,53.29
2007-05-11,0,53.03
2007-05-18,0,53.25
2007-05-25,0,54.28
2007-06-01,0,56.69
2007-06-08,0,52.96
2007-06-15,0,53.42
2007-06-22,0,52.95
2007-06-29,0,58.29
2007-07-06,0,59.67
2007-07-13,0,59.01
2007-07-20,43,58.52
2007-07-27,47,55.44
2007-08-03,50,56.50
2007-08-10,37,55.78
2007-08-17,37,54.47
2007-08-24,37,54.12
2007-08-31,47,56.34
2007-09-07,35,54.70
2007-09-14,35,57.23
2007-09-21,35,57.26
2007-09-28,41,58.66
2007-10-05,34,60.35
2007-10-12,34,63.15
2007-10-19,32,63.33
2007-10-26,32,64.61
2007-11-02,35,63.87
2007-11-09,38,62.21
2007-11-16,34,62.64
2007-11-23,41,63.75
2007-11-30,48,65.65
2007-12-07,51,65.40
2007-12-14,34,64.32
2007-12-21,36,66.27
2007-12-28,36,64.31
2008-01-04,36,61.74
2008-01-11,40,60.70
2008-01-18,35,56.50
2008-01-25,35,56.00
2008-02-01,49,62.51
2008-02-08,33,60.64
2008-02-15,32,62.29
2008-02-22,28,60.59
2008-02-29,28,60.20
2008-03-07,33,58.24
2008-03-14,39,59.96
2008-03-21,33,
2008-03-28,28,65.86
2008-04-04,31,68.51
2008-04-11,33,66.69
2008-04-18,33,67.89
2008-04-25,33,68.74
2008-05-02,33,67.66
2008-05-09,33,64.87
2008-05-16,33,67.53
2008-05-23,38,64.77
2008-05-30,43,68.37
2008-06-06,29,67.93
2008-06-13,41,68.99
2008-06-20,37,66.73
2008-06-27,37,60.34
2008-07-04,43,
2008-07-11,50,56.26
2008-07-18,42,58.20
2008-07-25,45,58.17
2008-08-01,30,59.40
2008-08-08,37,62.95
2008-08-15,72,62.29
2008-08-22,41,61.11
2008-08-29,53,60.61
2008-09-05,41,58.82
2008-09-12,38,61.92
2008-09-19,43,63.70
2008-09-26,35,67.79
2008-10-03,27,63.25
2008-10-10,35,54.53
2008-10-17,43,57.48
2008-10-24,35,47.79
2008-10-31,40,57.63
2008-11-07,24,49.41
2008-11-14,25,46.53
2008-11-21,39,47.88
2008-11-28,37,53.25
2008-12-05,43,53.34
2008-12-12,30,49.37
2008-12-19,30,51.26
2008-12-26,43,49.76
2009-01-02,28,53.06
2009-01-09,27,49.61
2009-01-16,33,46.80
2009-01-23,26,45.68
2009-01-30,24,45.25
2009-02-06,38,48.68
2009-02-13,32,43.43
2009-02-20,34,42.93
2009-02-27,42,41.53
2009-03-06,40,39.94
2009-03-13,35,44.67
2009-03-20,40,45.02
2009-03-27,31,46.84
2009-04-03,35,51.87
2009-04-10,31,
2009-04-17,30,54.61
2009-04-24,31,54.73
2009-05-01,33,52.92
2009-05-08,33,54.42
2009-05-15,34,49.75
2009-05-22,30,52.41
2009-05-29,43,57.05
2009-06-05,46,58.29
2009-06-12,40,56.61
2009-06-19,30,56.70
2009-06-26,37,50.84
2009-07-03,20,
2009-07-10,29,51.30
2009-07-17,43,52.44
2009-07-24,41,52.17
2009-07-31,31,56.64
2009-08-07,52,58.07
2009-08-14,47,56.86
2009-08-21,45,55.65
2009-08-28,33,56.18
2009-09-04,44,54.23
2009-09-11,45,54.99
2009-09-18,37,58.59
2009-09-25,47,58.64
2009-10-02,38,62.02
2009-10-09,38,63.59
2009-10-16,49,65.10
2009-10-23,23,64.17
2009-10-30,30,62.18
2009-11-06,23,64.56
2009-11-13,31,64.42
2009-11-20,24,63.92
2009-11-27,30,65.05
2009-12-04,46,64.30
2009-12-11,33,63.86
2009-12-18,33,64.42
2009-12-25,52,
2010-01-01,38,
2010-01-08,17,65.72
2010-01-15,28,64.39
2010-01-22,34,62.98
2010-01-29,28,63.75
2010-02-05,30,61.70
2010-02-12,40,62.49
2010-02-19,53,64.35
2010-02-26,31,67.60
2010-03-05,41,68.32
2010-03-12,34,69.90
2010-03-19,38,73.52
2010-03-26,35,73.89
2010-04-02,38,
2010-04-09,31,75.18
2010-04-16,41,75.17
2010-04-23,33,77.90
2010-04-30,43,75.91
2010-05-07,29,70.61
2010-05-14,27,73.74
2010-05-21,34,71.39
2010-05-28,37,72.38
2010-06-04,33,70.77
2010-06-11,24,72.33
2010-06-18,31,74.94
2010-06-25,41,70.12
2010-07-02,23,67.86
2010-07-09,33,70.15
2010-07-16,32,68.96
2010-07-23,56,72.74
2010-07-30,38,73.64
2010-08-06,48,73.96
2010-08-13,52,70.58
2010-08-20,46,71.26
2010-08-27,52,70.94
2010-09-03,37,74.25
2010-09-10,33,73.75
2010-09-17,32,77.26
2010-09-24,32,79.57
2010-10-01,42,80.25
2010-10-08,30,82.04
2010-10-15,26,82.00
2010-10-22,28,81.92
2010-10-29,45,81.44
2010-11-05,46,84.11
2010-11-12,30,82.62
2010-11-19,29,85.81
2010-11-26,30,85.96
2010-12-03,45,87.53
2010-12-10,37,87.80
2010-12-17,40,90.05
2010-12-24,49,
2010-12-31,27,85.42
2011-01-07,29,83.53
2011-01-14,32,84.07
2011-01-21,35,82.30
2011-01-28,31,81.46
2011-02-04,37,85.74
2011-02-11,40,86.21
2011-02-18,48,88.82
2011-02-25,40,87.98
2011-03-04,34,89.88
2011-03-11,34,87.17
2011-03-18,47,77.59
2011-03-25,34,76.66
2011-04-01,38,76.53
2011-04-08,42,77.39
2011-04-15,56,78.73
2011-04-22,39,
2011-04-29,48,82.32
2011-05-06,39,82.02
2011-05-13,28,86.26
2011-05-20,40,85.05
2011-05-27,38,84.62
2011-06-03,31,80.36
2011-06-10,38,79.66
2011-06-17,32,81.11
2011-06-24,34,81.18
2011-07-01,52,91.82
2011-07-08,36,93.24
2011-07-15,43,91.70
2011-07-22,38,91.71
2011-07-29,48,90.15
2011-08-05,47,83.87
2011-08-12,50,84.24
2011-08-19,66,78.58
2011-08-26,52,86.29
2011-09-02,46,84.04
2011-09-09,42,82.50
2011-09-16,41,89.77
2011-09-23,31,88.64
2011-09-30,37,85.51
2011-10-07,37,88.15
2011-10-14,49,92.97
2011-10-21,38,94.35
2011-10-28,36,96.75
2011-11-04,27,94.38
2011-11-11,38,96.15
2011-11-18,39,92.75
2011-11-25,49,90.28
2011-12-02,44,96.25
2011-12-09,50,97.68
2011-12-16,47,93.67
2011-12-23,34,96.90
2011-12-30,67,96.37
2012-01-06,42,97.99
2012-01-13,33,98.30
2012-01-20,45,101.76
2012-01-27,45,102.11
2012-02-03,48,103.50
2012-02-10,42,105.41
2012-02-17,61,106.68
2012-02-24,77,106.29
2012-03-02,51,108.74
2012-03-09,57,109.98
2012-03-16,51,111.22
2012-03-23,54,107.42
2012-03-30,47,108.44
2012-04-06,50,
2012-04-13,55,109.17
2012-04-20,55,110.77
2012-04-27,52,110.64
2012-05-04,53,111.81
2012-05-11,47,108.26
2012-05-18,56,105.44
2012-05-25,53,108.79
2012-06-01,60,104.60
2012-06-08,70,108.64
2012-06-15,58,101.75
2012-06-22,50,99.40
2012-06-29,52,87.78
2012-07-06,48,91.38
2012-07-13,63,93.97
2012-07-20,76,93.08
2012-07-27,72,97.03
2012-08-03,57,94.57
2012-08-10,69,94.50
2012-08-17,78,96.26
2012-08-24,72,96.86
2012-08-31,72,97.36
2012-09-07,72,99.29
2012-09-14,59,96.64
2012-09-21,67,96.52
2012-09-28,51,94.91
2012-10-05,51,95.22
2012-10-12,60,94.42
2012-10-19,51,96.45
2012-10-26,65,91.15
2012-11-02,41,94.54
2012-11-09,60,92.31
2012-11-16,40,92.59
2012-11-23,50,96.75
2012-11-30,73,97.48
2012-12-07,50,98.59
2012-12-14,55,96.91
2012-12-21,77,105.10
2012-12-28,91,50.99
2013-01-04,53,52.88
2013-01-11,63,53.10
2013-01-18,56,53.29
2013-01-25,70,55.55
2013-02-01,62,53.70
2013-02-08,64,54.59
2013-02-15,61,54.95
2013-02-22,68,54.47
2013-03-01,48,54.82
2013-03-08,50,54.69
2013-03-15,48,54.78
2013-03-22,58,59.53
2013-03-29,66,
2013-04-05,57,58.97
2013-04-12,58,60.58
2013-04-19,69,60.92
2013-04-26,68,61.89
2013-05-03,57,64.55
2013-05-10,56,64.76
2013-05-17,64,65.32
2013-05-24,55,62.79
2013-05-31,63,61.66
2013-06-07,58,62.75
2013-06-14,65,61.89
2013-06-21,53,60.57
2013-06-28,53,63.68
2013-07-05,46,63.64
2013-07-12,68,63.67
2013-07-19,54,63.35
2013-07-26,83,62.53
2013-08-02,83,66.30
2013-08-09,73,66.31
2013-08-16,100,63.65
2013-08-23,62,64.21
2013-08-30,56,62.82
2013-09-06,65,64.98
2013-09-13,59,67.91
2013-09-20,54,69.37
2013-09-27,45,73.64
2013-10-04,60,72.14
2013-10-11,49,73.46
2013-10-18,58,75.93
2013-10-25,45,75.70
2013-11-01,45,76.06
2013-11-08,47,77.12
2013-11-15,60,79.22
2013-11-22,61,78.87
2013-11-29,64,79.14
2013-12-06,71,79.86
2013-12-13,69,76.40
2013-12-20,86,77.34
2013-12-27,89,78.16
2014-01-03,72,78.03
2014-01-10,58,76.92
2014-01-17,64,73.39
2014-01-24,56,71.65
2014-01-31,50,72.85
2014-02-07,66,72.69
2014-02-14,80,75.07
2014-02-21,76,76.48
2014-02-28,72,78.30
2014-03-07,61,79.46
2014-03-14,59,78.32
2014-03-21,67,75.21
2014-03-28,60,73.54
2014-04-04,67,72.84
2014-04-11,71,71.25
2014-04-18,63,
2014-04-25,55,72.70
2014-05-02,61,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
