Date,Goldman Sachs,Price
2004-01-09,19,
2004-01-16,27,
2004-01-23,26,
2004-01-30,23,
2004-02-06,23,101.34
2004-02-13,27,105.85
2004-02-20,24,106.52
2004-02-27,25,105.87
2004-03-05,23,109.05
2004-03-12,18,104.93
2004-03-19,23,102.66
2004-03-26,21,103.75
2004-04-02,21,105.95
2004-04-09,21,
2004-04-16,23,103.36
2004-04-23,23,100.41
2004-04-30,21,96.75
2004-05-07,24,93.04
2004-05-14,22,94.01
2004-05-21,19,91.74
2004-05-28,19,93.91
2004-06-04,18,91.52
2004-06-11,16,
2004-06-18,22,89.18
2004-06-25,20,94.55
2004-07-02,21,93.61
2004-07-09,22,90.05
2004-07-16,21,87.25
2004-07-23,18,87.55
2004-07-30,22,88.19
2004-08-06,23,84.55
2004-08-13,24,84.25
2004-08-20,21,87.81
2004-08-27,19,90.48
2004-09-03,17,90.20
2004-09-10,23,93.13
2004-09-17,23,92.05
2004-09-24,21,93.48
2004-10-01,23,93.92
2004-10-08,21,94.24
2004-10-15,22,94.16
2004-10-22,23,92.70
2004-10-29,21,98.38
2004-11-05,17,100.85
2004-11-12,23,104.66
2004-11-19,22,103.04
2004-11-26,22,104.84
2004-12-03,21,106.47
2004-12-10,21,109.40
2004-12-17,19,103.75
2004-12-24,19,
2004-12-31,17,104.04
2005-01-07,19,104.78
2005-01-14,22,104.22
2005-01-21,22,103.33
2005-01-28,22,106.12
2005-02-04,22,110.02
2005-02-11,22,112.77
2005-02-18,25,109.00
2005-02-25,21,110.10
2005-03-04,22,111.53
2005-03-11,21,109.55
2005-03-18,22,109.98
2005-03-25,21,
2005-04-01,22,109.30
2005-04-08,22,112.93
2005-04-15,20,106.49
2005-04-22,21,104.19
2005-04-29,17,106.79
2005-05-06,19,104.68
2005-05-13,20,97.82
2005-05-20,18,101.08
2005-05-27,20,95.50
2005-06-03,20,97.30
2005-06-10,23,99.05
2005-06-17,23,103.80
2005-06-24,20,103.67
2005-07-01,19,102.71
2005-07-08,18,105.65
2005-07-15,21,108.50
2005-07-22,21,109.13
2005-07-29,21,107.48
2005-08-05,20,109.70
2005-08-12,21,113.65
2005-08-19,19,111.27
2005-08-26,19,109.75
2005-09-02,19,113.21
2005-09-09,21,116.17
2005-09-16,20,118.40
2005-09-23,23,119.47
2005-09-30,22,121.58
2005-10-07,21,117.57
2005-10-14,19,114.55
2005-10-21,22,118.77
2005-10-28,23,124.56
2005-11-04,22,130.96
2005-11-11,23,130.00
2005-11-18,22,131.58
2005-11-25,20,134.12
2005-12-02,26,131.08
2005-12-09,22,129.66
2005-12-16,20,126.50
2005-12-23,21,128.11
