Date,WalMart,Price
2004-01-09,11,
2004-01-16,10,
2004-01-23,10,
2004-01-30,10,
2004-02-06,10,57.58
2004-02-13,10,56.32
2004-02-20,10,59.43
2004-02-27,10,59.56
2004-03-05,10,60.24
2004-03-12,11,58.48
2004-03-19,10,58.60
2004-03-26,11,59.41
2004-04-02,11,58.60
2004-04-09,12,
2004-04-16,11,58.44
2004-04-23,11,58.97
2004-04-30,12,57.00
2004-05-07,11,53.90
2004-05-14,11,55.06
2004-05-21,11,55.09
2004-05-28,12,55.73
2004-06-04,11,56.59
2004-06-11,12,
2004-06-18,12,55.62
2004-06-25,12,52.51
2004-07-02,11,51.93
2004-07-09,12,51.76
2004-07-16,12,52.65
2004-07-23,12,53.16
2004-07-30,12,53.01
2004-08-06,12,51.33
2004-08-13,13,53.40
2004-08-20,12,54.65
2004-08-27,12,53.56
2004-09-03,12,53.25
2004-09-10,11,53.45
2004-09-17,12,52.48
2004-09-24,12,52.81
2004-10-01,12,53.13
2004-10-08,12,52.85
2004-10-15,12,52.53
2004-10-22,11,51.99
2004-10-29,12,53.92
2004-11-05,12,56.47
2004-11-12,14,56.85
2004-11-19,16,55.25
2004-11-26,19,55.32
2004-12-03,20,52.93
2004-12-10,21,52.71
2004-12-17,22,52.02
2004-12-24,22,
2004-12-31,18,52.82
2005-01-07,14,53.99
2005-01-14,12,53.99
2005-01-21,12,53.01
2005-01-28,12,52.43
2005-02-04,12,53.46
2005-02-11,13,52.10
2005-02-18,12,52.72
2005-02-25,12,51.49
2005-03-04,11,53.10
2005-03-11,12,51.60
2005-03-18,12,51.45
2005-03-25,13,
2005-04-01,13,48.99
2005-04-08,12,48.57
2005-04-15,12,47.70
2005-04-22,12,46.81
2005-04-29,13,47.14
2005-05-06,14,48.96
2005-05-13,12,47.13
2005-05-20,13,47.18
2005-05-27,13,47.27
2005-06-03,14,47.35
2005-06-10,14,47.98
2005-06-17,14,48.93
2005-06-24,14,47.37
2005-07-01,15,48.28
2005-07-08,13,49.90
2005-07-15,15,50.25
2005-07-22,15,49.54
2005-07-29,15,49.35
2005-08-05,15,49.32
2005-08-12,15,48.70
2005-08-19,15,46.58
2005-08-26,15,45.70
2005-09-02,14,44.55
2005-09-09,14,45.89
2005-09-16,13,43.87
2005-09-23,13,43.20
2005-09-30,14,43.82
2005-10-07,14,44.03
2005-10-14,14,45.04
2005-10-21,14,45.72
2005-10-28,16,45.50
2005-11-04,17,47.69
2005-11-11,17,49.00
2005-11-18,20,49.50
2005-11-25,30,50.49
2005-12-02,25,47.97
2005-12-09,25,48.08
2005-12-16,26,49.27
2005-12-23,26,48.34
2005-12-30,22,46.80
2006-01-06,17,45.88
2006-01-13,14,45.40
2006-01-20,14,45.00
2006-01-27,14,45.84
2006-02-03,14,45.49
2006-02-10,14,45.75
2006-02-17,13,46.10
2006-02-24,14,45.45
2006-03-03,13,45.33
2006-03-10,14,45.33
2006-03-17,13,46.69
2006-03-24,14,48.19
2006-03-31,14,47.24
2006-04-07,15,46.02
2006-04-14,15,
2006-04-21,15,45.82
2006-04-28,14,45.03
2006-05-05,15,47.25
2006-05-12,15,46.54
2006-05-19,15,47.32
2006-05-26,15,49.65
2006-06-02,16,47.83
2006-06-09,16,47.13
2006-06-16,16,48.31
2006-06-23,15,47.94
2006-06-30,16,48.17
2006-07-07,16,46.00
2006-07-14,17,43.05
2006-07-21,18,43.72
2006-07-28,18,44.46
2006-08-04,18,44.87
2006-08-11,18,44.69
2006-08-18,18,44.49
2006-08-25,17,43.88
2006-09-01,16,45.45
2006-09-08,16,46.72
2006-09-15,16,48.22
2006-09-22,17,48.29
2006-09-29,17,49.32
2006-10-06,17,48.32
2006-10-13,17,48.46
2006-10-20,18,49.37
2006-10-27,19,50.73
2006-11-03,19,47.53
2006-11-10,22,46.47
2006-11-17,26,47.50
2006-11-24,35,47.90
2006-12-01,30,45.87
2006-12-08,30,46.35
2006-12-15,31,46.45
2006-12-22,30,45.54
2006-12-29,29,46.18
2007-01-05,20,47.39
2007-01-12,16,47.98
2007-01-19,16,48.31
2007-01-26,16,47.67
2007-02-02,16,48.08
2007-02-09,16,47.97
2007-02-16,16,48.48
2007-02-23,16,49.57
2007-03-02,15,47.81
2007-03-09,16,47.42
2007-03-16,15,46.21
2007-03-23,15,47.91
2007-03-30,16,46.95
2007-04-06,17,
2007-04-13,17,47.41
2007-04-20,16,49.76
2007-04-27,16,48.34
2007-05-04,17,48.27
2007-05-11,17,47.78
2007-05-18,16,47.27
2007-05-25,17,46.91
2007-06-01,17,49.47
2007-06-08,18,50.08
2007-06-15,18,49.34
2007-06-22,17,47.83
2007-06-29,18,48.11
2007-07-06,18,48.39
2007-07-13,19,49.15
2007-07-20,20,48.06
2007-07-27,19,45.94
2007-08-03,20,45.52
2007-08-10,20,46.07
2007-08-17,20,43.49
2007-08-24,19,43.74
2007-08-31,19,43.63
2007-09-07,17,42.39
2007-09-14,17,43.32
2007-09-21,17,44.23
2007-09-28,18,43.65
2007-10-05,18,45.37
2007-10-12,18,47.06
2007-10-19,18,44.98
2007-10-26,19,44.64
2007-11-02,21,44.19
2007-11-09,22,42.90
2007-11-16,25,46.34
2007-11-23,40,45.73
2007-11-30,33,47.90
2007-12-07,32,49.02
2007-12-14,33,47.63
2007-12-21,34,48.21
2007-12-28,32,48.08
2008-01-04,22,45.72
2008-01-11,18,47.72
2008-01-18,17,47.58
2008-01-25,17,48.09
2008-02-01,17,51.18
2008-02-08,18,48.76
2008-02-15,18,49.44
2008-02-22,17,49.97
2008-02-29,16,49.59
2008-03-07,17,49.90
2008-03-14,17,49.82
2008-03-21,18,
2008-03-28,18,52.12
2008-04-04,17,54.40
2008-04-11,17,54.80
2008-04-18,18,56.31
2008-04-25,18,57.65
2008-05-02,19,57.50
2008-05-09,20,57.18
