Date,United Technologies,Price
2004-01-09,67,
2004-01-16,87,
2004-01-23,94,
2004-01-30,77,
2004-02-06,93,94.32
2004-02-13,66,94.63
2004-02-20,100,96.62
2004-02-27,83,92.11
2004-03-05,56,89.90
2004-03-12,68,87.35
2004-03-19,75,85.40
2004-03-26,72,86.30
2004-04-02,84,87.74
2004-04-09,61,
2004-04-16,91,88.72
2004-04-23,91,88.93
2004-04-30,46,86.26
2004-05-07,65,85.18
2004-05-14,63,83.25
2004-05-21,45,81.56
2004-05-28,54,84.61
2004-06-04,73,85.75
2004-06-11,76,
2004-06-18,52,89.95
2004-06-25,52,89.25
2004-07-02,44,89.49
2004-07-09,72,89.76
2004-07-16,32,90.79
2004-07-23,79,92.09
2004-07-30,54,93.50
2004-08-06,72,90.05
2004-08-13,60,90.92
2004-08-20,76,94.02
2004-08-27,63,93.41
2004-09-03,55,94.29
2004-09-10,47,94.42
2004-09-17,42,95.65
2004-09-24,49,92.14
2004-10-01,53,94.83
2004-10-08,62,92.43
2004-10-15,79,91.67
2004-10-22,89,91.00
2004-10-29,70,92.82
2004-11-05,63,97.25
2004-11-12,40,97.75
2004-11-19,56,97.26
2004-11-26,42,97.13
2004-12-03,32,98.43
2004-12-10,49,101.03
2004-12-17,66,103.90
2004-12-24,40,
2004-12-31,45,103.35
2005-01-07,63,100.02
2005-01-14,49,100.94
2005-01-21,64,100.08
2005-01-28,74,102.00
2005-02-04,57,101.72
2005-02-11,65,101.40
2005-02-18,57,100.91
2005-02-25,83,101.02
2005-03-04,70,100.74
2005-03-11,49,101.36
2005-03-18,66,103.75
2005-03-25,72,
2005-04-01,43,100.94
2005-04-08,59,100.81
2005-04-15,63,97.55
2005-04-22,71,101.56
2005-04-29,69,101.72
2005-05-06,96,102.03
2005-05-13,87,101.10
2005-05-20,58,105.15
2005-05-27,57,107.88
2005-06-03,73,106.25
2005-06-10,51,104.93
2005-06-17,71,53.14
2005-06-24,57,52.12
2005-07-01,61,51.38
2005-07-08,46,51.54
2005-07-15,43,51.71
2005-07-22,67,51.14
2005-07-29,59,50.70
2005-08-05,52,49.37
2005-08-12,63,51.78
2005-08-19,75,51.74
2005-08-26,40,50.29
2005-09-02,49,50.60
2005-09-09,51,51.44
2005-09-16,55,51.38
2005-09-23,49,51.70
2005-09-30,55,51.84
2005-10-07,45,50.15
2005-10-14,46,51.63
2005-10-21,48,50.91
2005-10-28,52,51.38
2005-11-04,43,51.63
2005-11-11,39,53.45
2005-11-18,55,53.54
2005-11-25,39,54.31
2005-12-02,63,54.99
2005-12-09,50,55.42
2005-12-16,53,58.03
2005-12-23,39,57.28
2005-12-30,33,55.91
2006-01-06,44,56.16
2006-01-13,42,55.66
2006-01-20,58,55.01
2006-01-27,67,58.75
2006-02-03,44,57.18
2006-02-10,44,57.13
2006-02-17,42,58.00
2006-02-24,44,58.89
2006-03-03,56,57.86
2006-03-10,44,57.82
2006-03-17,48,58.80
2006-03-24,42,59.28
2006-03-31,47,57.97
2006-04-07,39,57.62
2006-04-14,50,
2006-04-21,56,64.22
2006-04-28,46,62.81
2006-05-05,46,64.91
2006-05-12,46,64.90
2006-05-19,56,62.70
2006-05-26,41,62.60
2006-06-02,47,63.03
2006-06-09,46,60.05
2006-06-16,44,61.75
2006-06-23,36,62.28
2006-06-30,39,63.42
2006-07-07,46,63.10
2006-07-14,48,58.81
2006-07-21,63,59.96
