Date,buy Johnson & Johnson,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,54.15
2004-02-13,0,54.23
2004-02-20,0,53.30
2004-02-27,0,53.91
2004-03-05,0,53.13
2004-03-12,0,50.71
2004-03-19,0,50.05
2004-03-26,0,50.13
2004-04-02,0,51.18
2004-04-09,0,
2004-04-16,0,54.13
2004-04-23,0,53.68
2004-04-30,0,54.03
2004-05-07,0,55.30
2004-05-14,0,54.52
2004-05-21,0,54.94
2004-05-28,0,55.71
2004-06-04,0,56.38
2004-06-11,0,
2004-06-18,0,55.25
2004-06-25,0,54.50
2004-07-02,0,55.35
2004-07-09,0,54.99
2004-07-16,0,56.80
2004-07-23,0,55.74
2004-07-30,0,55.27
2004-08-06,0,54.60
2004-08-13,0,55.54
2004-08-20,0,57.04
2004-08-27,0,57.71
2004-09-03,0,57.85
2004-09-10,0,57.57
2004-09-17,50,58.52
2004-09-24,63,56.55
2004-10-01,0,57.00
2004-10-08,0,55.32
2004-10-15,0,56.58
2004-10-22,0,57.29
2004-10-29,0,58.38
2004-11-05,0,59.18
2004-11-12,0,61.00
2004-11-19,0,60.54
2004-11-26,0,60.45
2004-12-03,0,61.91
2004-12-10,49,60.25
2004-12-17,0,63.58
2004-12-24,0,
2004-12-31,0,63.42
2005-01-07,0,62.61
2005-01-14,0,62.70
2005-01-21,45,61.85
2005-01-28,0,64.62
2005-02-04,0,66.24
2005-02-11,0,66.60
2005-02-18,0,65.43
2005-02-25,0,66.22
2005-03-04,44,67.74
2005-03-11,0,67.60
2005-03-18,0,67.25
2005-03-25,0,
2005-04-01,0,66.85
2005-04-08,0,68.64
2005-04-15,0,69.40
2005-04-22,49,68.49
2005-04-29,0,68.63
2005-05-06,0,68.21
2005-05-13,0,67.10
2005-05-20,0,67.20
2005-05-27,0,67.43
2005-06-03,0,66.44
2005-06-10,0,66.48
2005-06-17,0,66.56
2005-06-24,38,65.58
2005-07-01,44,64.95
2005-07-08,51,64.28
2005-07-15,57,65.03
2005-07-22,41,64.32
2005-07-29,45,63.96
2005-08-05,49,63.54
2005-08-12,40,63.56
2005-08-19,47,63.57
2005-08-26,40,61.94
2005-09-02,40,62.90
2005-09-09,40,64.73
2005-09-16,42,65.18
2005-09-23,41,63.99
2005-09-30,41,63.28
2005-10-07,41,61.34
2005-10-14,41,63.70
2005-10-21,30,64.07
2005-10-28,42,62.95
2005-11-04,36,60.88
2005-11-11,35,60.92
2005-11-18,41,62.55
2005-11-25,47,62.15
2005-12-02,54,61.21
2005-12-09,47,60.10
2005-12-16,47,60.86
2005-12-23,45,61.11
2005-12-30,48,60.10
2006-01-06,51,62.60
2006-01-13,36,61.82
2006-01-20,39,60.80
2006-01-27,29,58.71
2006-02-03,29,57.38
2006-02-10,33,58.39
2006-02-17,28,59.07
2006-02-24,41,57.76
2006-03-03,24,57.47
2006-03-10,24,59.04
2006-03-17,44,60.34
2006-03-24,36,60.39
2006-03-31,31,59.22
2006-04-07,31,57.83
2006-04-14,39,
2006-04-21,27,58.37
2006-04-28,36,58.61
2006-05-05,25,58.70
2006-05-12,36,58.83
2006-05-19,28,59.90
2006-05-26,27,60.69
2006-06-02,27,60.74
2006-06-09,33,61.38
2006-06-16,27,61.68
2006-06-23,31,61.32
2006-06-30,24,59.92
2006-07-07,27,60.62
2006-07-14,27,60.46
2006-07-21,27,61.73
2006-07-28,36,62.92
2006-08-04,40,63.53
2006-08-11,29,63.47
2006-08-18,29,64.42
2006-08-25,29,64.67
2006-09-01,33,64.72
2006-09-08,32,63.59
2006-09-15,32,63.79
2006-09-22,29,63.96
2006-09-29,21,64.94
2006-10-06,21,65.06
2006-10-13,30,64.58
2006-10-20,26,68.62
2006-10-27,22,68.17
2006-11-03,26,67.81
2006-11-10,28,66.29
2006-11-17,30,67.24
2006-11-24,31,65.85
2006-12-01,39,65.97
2006-12-08,33,65.95
2006-12-15,26,66.29
2006-12-22,24,65.65
2006-12-29,38,66.02
2007-01-05,45,66.62
2007-01-12,21,66.64
2007-01-19,36,67.76
2007-01-26,25,66.07
2007-02-02,25,66.58
2007-02-09,28,65.60
2007-02-16,27,65.51
2007-02-23,34,64.15
2007-03-02,21,61.95
2007-03-09,25,62.14
2007-03-16,16,60.51
2007-03-23,19,60.51
2007-03-30,21,60.26
2007-04-06,19,
2007-04-13,26,62.35
2007-04-20,22,65.12
2007-04-27,27,64.17
2007-05-04,36,64.48
2007-05-11,23,62.27
2007-05-18,36,63.42
2007-05-25,27,63.19
2007-06-01,29,63.41
2007-06-08,22,62.13
2007-06-15,30,62.77
2007-06-22,25,60.73
2007-06-29,22,61.62
2007-07-06,25,62.13
2007-07-13,26,63.43
2007-07-20,27,61.79
2007-07-27,23,59.77
2007-08-03,26,60.55
2007-08-10,36,61.15
2007-08-17,36,62.02
2007-08-24,39,61.88
2007-08-31,23,61.79
2007-09-07,30,61.68
2007-09-14,20,63.20
2007-09-21,35,65.12
2007-09-28,24,65.70
2007-10-05,27,66.25
2007-10-12,36,65.94
2007-10-19,38,64.23
2007-10-26,31,64.30
2007-11-02,26,64.78
2007-11-09,30,65.16
2007-11-16,24,67.75
2007-11-23,51,66.88
2007-11-30,35,67.74
2007-12-07,36,67.68
2007-12-14,35,67.59
2007-12-21,28,68.03
2007-12-28,24,67.38
2008-01-04,38,65.84
2008-01-11,26,67.88
2008-01-18,35,66.29
2008-01-25,31,62.46
2008-02-01,45,63.36
2008-02-08,43,62.03
2008-02-15,39,62.90
2008-02-22,26,63.18
2008-02-29,41,61.96
2008-03-07,34,61.51
2008-03-14,41,62.65
2008-03-21,37,
2008-03-28,35,64.18
2008-04-04,32,65.73
2008-04-11,32,66.00
2008-04-18,28,66.51
2008-04-25,24,67.31
2008-05-02,35,68.26
2008-05-09,31,66.55
2008-05-16,33,66.68
2008-05-23,31,64.92
2008-05-30,25,66.74
2008-06-06,35,65.76
2008-06-13,41,66.27
2008-06-20,35,64.06
2008-06-27,27,63.57
2008-07-04,32,
2008-07-11,40,66.26
2008-07-18,36,67.82
2008-07-25,35,69.03
2008-08-01,44,68.10
2008-08-08,45,71.55
2008-08-15,31,71.33
2008-08-22,63,71.42
2008-08-29,52,70.43
2008-09-05,43,70.67
2008-09-12,42,70.59
2008-09-19,40,69.99
2008-09-26,35,69.40
2008-10-03,31,66.16
2008-10-10,37,55.85
2008-10-17,30,62.65
2008-10-24,40,60.79
2008-10-31,29,61.34
2008-11-07,25,60.22
2008-11-14,30,60.05
2008-11-21,31,58.35
2008-11-28,37,58.58
2008-12-05,58,58.23
2008-12-12,51,57.25
2008-12-19,44,58.84
2008-12-26,61,58.56
2009-01-02,42,60.65
2009-01-09,44,59.05
2009-01-16,37,57.44
2009-01-23,28,55.97
2009-01-30,34,57.69
2009-02-06,36,58.51
2009-02-13,41,57.10
2009-02-20,33,54.65
2009-02-27,40,50.00
2009-03-06,39,47.97
2009-03-13,31,50.64
2009-03-20,33,51.67
2009-03-27,39,52.83
2009-04-03,44,52.15
2009-04-10,33,
2009-04-17,44,53.05
2009-04-24,24,50.92
2009-05-01,39,52.59
2009-05-08,43,54.98
2009-05-15,38,55.41
2009-05-22,33,54.77
2009-05-29,35,55.16
2009-06-05,28,55.93
2009-06-12,39,56.06
2009-06-19,37,56.09
2009-06-26,29,56.60
2009-07-03,24,
2009-07-10,40,56.93
2009-07-17,44,59.23
2009-07-24,40,61.51
2009-07-31,39,60.89
2009-08-07,38,59.90
2009-08-14,40,60.08
2009-08-21,31,61.03
2009-08-28,39,60.29
2009-09-04,42,60.32
2009-09-11,35,60.42
2009-09-18,40,60.78
2009-09-25,40,60.62
2009-10-02,36,59.73
2009-10-09,41,61.74
2009-10-16,36,60.46
2009-10-23,66,60.54
2009-10-30,48,59.05
2009-11-06,41,60.30
2009-11-13,36,61.43
2009-11-20,46,62.31
2009-11-27,57,62.89
2009-12-04,44,64.36
2009-12-11,44,64.85
2009-12-18,38,64.37
2009-12-25,47,
2010-01-01,41,
2010-01-08,64,64.21
2010-01-15,47,64.56
2010-01-22,38,63.20
2010-01-29,39,62.86
2010-02-05,45,62.64
2010-02-12,43,62.72
2010-02-19,38,63.81
2010-02-26,35,63.00
2010-03-05,37,64.04
2010-03-12,33,64.18
2010-03-19,34,65.11
2010-03-26,40,64.38
2010-04-02,38,
2010-04-09,51,65.14
2010-04-16,42,65.02
2010-04-23,38,65.04
2010-04-30,40,64.30
2010-05-07,38,63.31
2010-05-14,36,63.97
2010-05-21,44,60.88
2010-05-28,34,58.30
2010-06-04,48,58.01
2010-06-11,42,58.46
2010-06-18,36,59.18
2010-06-25,35,58.70
2010-07-02,37,59.08
2010-07-09,32,60.54
2010-07-16,41,59.44
2010-07-23,51,57.63
2010-07-30,41,58.09
2010-08-06,50,59.96
2010-08-13,38,58.15
2010-08-20,36,58.74
2010-08-27,37,57.60
2010-09-03,32,58.93
2010-09-10,42,59.98
2010-09-17,49,61.57
2010-09-24,48,62.14
2010-10-01,45,61.75
2010-10-08,41,63.23
2010-10-15,48,63.57
2010-10-22,39,63.81
2010-10-29,42,63.74
2010-11-05,37,64.65
2010-11-12,49,63.67
2010-11-19,59,63.83
2010-11-26,58,62.30
2010-12-03,70,62.56
2010-12-10,51,61.91
2010-12-17,52,62.54
2010-12-24,57,
2010-12-31,51,61.85
2011-01-07,43,62.60
2011-01-14,48,62.55
2011-01-21,46,62.66
2011-01-28,51,60.01
2011-02-04,49,60.84
2011-02-11,44,60.70
2011-02-18,48,61.11
2011-02-25,44,59.64
2011-03-04,45,61.06
2011-03-11,37,59.69
2011-03-18,38,58.57
2011-03-25,46,58.98
2011-04-01,46,59.49
2011-04-08,42,59.46
2011-04-15,51,60.56
2011-04-22,51,
2011-04-29,50,65.72
2011-05-06,47,65.27
2011-05-13,45,66.62
2011-05-20,33,65.69
2011-05-27,43,66.77
2011-06-03,36,66.09
2011-06-10,38,66.09
2011-06-17,37,66.29
2011-06-24,32,65.06
2011-07-01,41,67.30
2011-07-08,36,67.57
2011-07-15,39,67.45
2011-07-22,44,66.72
2011-07-29,49,64.79
2011-08-05,46,62.71
2011-08-12,44,63.36
2011-08-19,46,63.14
2011-08-26,45,64.28
2011-09-02,43,64.07
2011-09-09,45,63.64
2011-09-16,43,64.59
2011-09-23,46,61.59
2011-09-30,47,63.69
2011-10-07,46,63.13
2011-10-14,41,64.72
2011-10-21,40,63.78
2011-10-28,49,65.60
2011-11-04,38,64.12
2011-11-11,44,65.25
2011-11-18,45,63.85
2011-11-25,51,61.27
2011-12-02,61,63.47
2011-12-09,54,64.53
2011-12-16,50,64.30
2011-12-23,48,65.98
2011-12-30,50,65.58
2012-01-06,51,64.83
2012-01-13,45,65.26
2012-01-20,46,65.27
2012-01-27,41,65.56
2012-02-03,48,65.64
2012-02-10,46,64.60
2012-02-17,43,64.99
2012-02-24,42,64.46
2012-03-02,51,64.77
2012-03-09,46,64.74
2012-03-16,40,65.12
2012-03-23,51,64.55
2012-03-30,51,65.96
2012-04-06,39,
2012-04-13,27,63.54
2012-04-20,35,63.71
2012-04-27,41,64.84
2012-05-04,42,64.74
2012-05-11,42,64.34
2012-05-18,40,63.35
2012-05-25,39,62.51
2012-06-01,41,61.78
2012-06-08,41,62.98
2012-06-15,34,66.01
2012-06-22,44,66.63
2012-06-29,31,67.56
2012-07-06,39,67.64
2012-07-13,33,68.61
2012-07-20,42,68.63
2012-07-27,41,69.52
2012-08-03,46,69.12
2012-08-10,45,68.64
2012-08-17,52,67.80
2012-08-24,47,67.60
2012-08-31,46,67.43
2012-09-07,37,67.88
2012-09-14,36,68.47
2012-09-21,41,69.06
2012-09-28,34,68.91
2012-10-05,38,69.65
2012-10-12,40,67.97
2012-10-19,43,71.86
2012-10-26,37,70.90
2012-11-02,38,70.90
2012-11-09,47,69.87
2012-11-16,37,69.19
2012-11-23,53,69.56
2012-11-30,51,69.73
2012-12-07,41,70.45
2012-12-14,44,70.69
2012-12-21,47,70.27
2012-12-28,51,69.48
2013-01-04,44,71.55
2013-01-11,37,72.35
2013-01-18,38,73.23
2013-01-25,37,73.92
2013-02-01,41,74.18
2013-02-08,34,75.48
2013-02-15,34,76.16
2013-02-22,36,76.25
2013-03-01,34,76.70
2013-03-08,33,78.19
2013-03-15,34,79.19
2013-03-22,41,79.74
2013-03-29,37,
2013-04-05,32,82.04
2013-04-12,37,82.74
2013-04-19,34,84.49
2013-04-26,30,85.12
2013-05-03,32,85.75
2013-05-10,33,85.76
2013-05-17,41,88.09
2013-05-24,34,86.82
2013-05-31,33,84.18
2013-06-07,33,84.91
2013-06-14,36,84.91
2013-06-21,30,83.20
2013-06-28,37,85.86
2013-07-05,42,87.87
2013-07-12,35,89.99
2013-07-19,43,92.23
2013-07-26,35,92.83
2013-08-02,40,94.39
2013-08-09,41,92.36
2013-08-16,37,89.37
2013-08-23,34,88.41
2013-08-30,32,86.41
2013-09-06,48,87.16
2013-09-13,36,88.57
2013-09-20,34,89.68
2013-09-27,36,86.73
2013-10-04,32,87.31
2013-10-11,37,89.45
2013-10-18,37,91.63
2013-10-25,33,92.09
2013-11-01,37,93.37
2013-11-08,34,94.05
2013-11-15,38,94.39
2013-11-22,41,95.25
2013-11-29,45,94.66
2013-12-06,45,94.44
2013-12-13,40,91.35
2013-12-20,46,92.09
2013-12-27,39,92.35
2014-01-03,44,91.85
2014-01-10,34,94.74
2014-01-17,37,95.06
2014-01-24,35,90.61
2014-01-31,31,88.47
2014-02-07,39,90.04
2014-02-14,34,92.76
2014-02-21,36,91.52
2014-02-28,33,92.12
2014-03-07,32,93.32
2014-03-14,30,92.81
2014-03-21,27,95.93
2014-03-28,36,97.44
2014-04-04,32,98.42
2014-04-11,34,96.87
2014-04-18,35,
2014-04-25,34,99.79
2014-05-02,100,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
