Date,MMM,Price
2004-01-09,38,
2004-01-16,45,
2004-01-23,43,
2004-01-30,40,
2004-02-06,43,79.81
2004-02-13,51,79.68
2004-02-20,46,79.70
2004-02-27,41,78.02
2004-03-05,41,78.66
2004-03-12,44,76.22
2004-03-19,40,79.76
2004-03-26,49,79.98
2004-04-02,41,81.78
2004-04-09,40,
2004-04-16,44,83.73
2004-04-23,44,87.90
2004-04-30,42,86.48
2004-05-07,45,84.43
2004-05-14,43,83.81
2004-05-21,44,82.92
2004-05-28,44,84.56
2004-06-04,48,84.86
2004-06-11,39,
2004-06-18,36,87.09
2004-06-25,38,88.66
2004-07-02,46,87.50
2004-07-09,39,87.65
2004-07-16,41,87.84
2004-07-23,43,82.62
2004-07-30,47,82.36
2004-08-06,42,79.87
2004-08-13,45,77.66
2004-08-20,41,80.27
2004-08-27,46,81.48
2004-09-03,43,83.94
2004-09-10,44,84.69
2004-09-17,39,82.32
2004-09-24,39,78.68
2004-10-01,39,79.69
2004-10-08,40,79.26
2004-10-15,33,77.98
2004-10-22,36,75.88
2004-10-29,40,77.57
2004-11-05,38,81.40
2004-11-12,37,82.68
2004-11-19,37,80.95
2004-11-26,34,80.16
2004-12-03,40,81.08
2004-12-10,36,78.80
2004-12-17,38,80.62
2004-12-24,40,
2004-12-31,35,82.07
2005-01-07,39,82.30
2005-01-14,40,83.97
2005-01-21,41,81.27
2005-01-28,48,83.25
2005-02-04,44,84.08
2005-02-11,44,84.04
2005-02-18,35,85.55
2005-02-25,39,84.60
2005-03-04,36,86.46
2005-03-11,40,85.63
2005-03-18,39,86.16
2005-03-25,41,
2005-04-01,35,85.12
2005-04-08,37,84.55
2005-04-15,41,80.86
2005-04-22,47,77.06
2005-04-29,49,76.47
2005-05-06,40,77.33
2005-05-13,39,75.61
2005-05-20,43,77.06
2005-05-27,44,76.98
2005-06-03,40,76.00
2005-06-10,45,75.79
2005-06-17,44,76.92
2005-06-24,47,75.48
2005-07-01,41,73.00
2005-07-08,46,75.00
2005-07-15,42,75.45
2005-07-22,44,74.71
2005-07-29,37,75.00
2005-08-05,41,72.99
2005-08-12,38,71.94
2005-08-19,36,72.07
2005-08-26,42,70.99
2005-09-02,45,71.50
2005-09-09,43,73.52
2005-09-16,43,73.35
2005-09-23,47,72.55
2005-09-30,44,73.36
2005-10-07,47,71.73
2005-10-14,42,70.72
2005-10-21,42,74.89
2005-10-28,43,76.24
2005-11-04,44,75.13
2005-11-11,44,77.55
2005-11-18,40,78.16
2005-11-25,40,78.32
2005-12-02,34,79.40
2005-12-09,41,77.86
2005-12-16,41,77.09
2005-12-23,38,78.60
2005-12-30,36,77.50
2006-01-06,36,78.63
2006-01-13,36,77.50
2006-01-20,35,75.24
2006-01-27,42,72.65
2006-02-03,35,71.10
2006-02-10,46,72.61
2006-02-17,39,73.77
2006-02-24,43,73.91
2006-03-03,39,72.88
2006-03-10,43,72.32
2006-03-17,37,74.79
2006-03-24,36,76.80
2006-03-31,37,75.69
2006-04-07,41,81.03
2006-04-14,43,
2006-04-21,45,85.06
2006-04-28,45,85.43
2006-05-05,47,87.30
2006-05-12,41,86.57
2006-05-19,42,84.31
2006-05-26,40,83.87
2006-06-02,43,84.78
2006-06-09,37,80.57
2006-06-16,52,80.51
2006-06-23,41,79.92
2006-06-30,41,80.77
2006-07-07,40,74.10
2006-07-14,41,71.22
2006-07-21,41,70.72
2006-07-28,43,70.52
2006-08-04,41,69.45
2006-08-11,43,68.53
2006-08-18,46,71.21
2006-08-25,41,69.92
2006-09-01,45,71.72
2006-09-08,37,71.51
2006-09-15,38,74.14
2006-09-22,40,73.07
2006-09-29,39,74.42
2006-10-06,39,75.95
2006-10-13,39,75.40
2006-10-20,38,78.47
2006-10-27,39,78.95
2006-11-03,39,78.58
2006-11-10,39,79.19
2006-11-17,39,81.40
2006-11-24,40,81.15
2006-12-01,37,79.98
2006-12-08,39,78.56
2006-12-15,38,78.31
2006-12-22,39,78.35
2006-12-29,39,77.93
2007-01-05,35,77.42
2007-01-12,39,79.36
2007-01-19,37,79.25
2007-01-26,39,78.69
2007-02-02,41,73.87
2007-02-09,35,74.54
2007-02-16,37,76.84
2007-02-23,39,76.21
2007-03-02,37,73.01
2007-03-09,37,74.73
2007-03-16,40,75.28
2007-03-23,36,77.97
2007-03-30,38,76.43
2007-04-06,42,
2007-04-13,37,76.72
2007-04-20,49,77.75
2007-04-27,46,81.55
2007-05-04,41,84.21
2007-05-11,41,85.55
2007-05-18,41,86.90
2007-05-25,43,87.35
2007-06-01,42,88.43
2007-06-08,42,85.94
2007-06-15,41,87.67
2007-06-22,38,86.43
2007-06-29,41,86.79
2007-07-06,41,88.11
2007-07-13,40,90.22
2007-07-20,39,90.21
2007-07-27,45,90.05
2007-08-03,38,87.56
2007-08-10,44,85.97
2007-08-17,41,87.83
2007-08-24,38,89.15
2007-08-31,40,90.99
2007-09-07,35,88.92
2007-09-14,36,89.02
2007-09-21,38,91.68
2007-09-28,38,93.58
2007-10-05,40,95.85
2007-10-12,39,94.17
2007-10-19,40,86.62
2007-10-26,37,86.13
2007-11-02,41,84.89
2007-11-09,38,79.51
2007-11-16,40,81.57
2007-11-23,44,82.75
2007-11-30,41,83.26
2007-12-07,47,86.19
2007-12-14,39,85.93
2007-12-21,36,86.05
2007-12-28,37,85.09
2008-01-04,35,81.76
2008-01-11,38,77.58
2008-01-18,41,74.91
2008-01-25,40,75.51
2008-02-01,37,81.21
2008-02-08,38,78.56
2008-02-15,37,79.95
2008-02-22,38,79.67
2008-02-29,40,78.40
2008-03-07,38,76.51
2008-03-14,34,77.53
2008-03-21,39,
2008-03-28,38,77.95
2008-04-04,43,80.52
2008-04-11,43,78.47
2008-04-18,40,82.90
2008-04-25,41,77.82
2008-05-02,40,78.55
2008-05-09,40,76.32
2008-05-16,38,78.66
2008-05-23,38,75.81
2008-05-30,38,77.56
2008-06-06,40,74.86
2008-06-13,39,76.12
2008-06-20,38,73.02
2008-06-27,40,69.51
2008-07-04,38,
2008-07-11,40,68.72
2008-07-18,39,68.94
2008-07-25,40,70.95
2008-08-01,43,70.15
2008-08-08,38,73.48
2008-08-15,41,73.49
2008-08-22,36,72.28
2008-08-29,41,71.60
2008-09-05,34,69.19
2008-09-12,39,70.15
2008-09-19,40,72.68
2008-09-26,38,69.45
2008-10-03,38,64.60
2008-10-10,43,54.26
2008-10-17,39,56.49
2008-10-24,40,59.61
2008-10-31,38,64.30
2008-11-07,37,64.83
2008-11-14,40,63.06
2008-11-21,41,61.30
2008-11-28,39,66.93
2008-12-05,43,59.85
2008-12-12,48,56.04
2008-12-19,40,56.62
2008-12-26,42,55.74
2009-01-02,41,59.19
2009-01-09,40,57.74
2009-01-16,40,56.42
2009-01-23,41,52.90
2009-01-30,41,53.79
2009-02-06,40,52.39
2009-02-13,44,49.42
2009-02-20,41,47.25
2009-02-27,42,45.46
2009-03-06,43,41.83
2009-03-13,41,48.00
2009-03-20,39,45.93
2009-03-27,40,50.33
2009-04-03,43,52.11
2009-04-10,40,
2009-04-17,39,53.81
2009-04-24,42,57.00
2009-05-01,42,57.88
2009-05-08,40,60.09
2009-05-15,41,57.92
2009-05-22,40,56.07
2009-05-29,38,57.10
2009-06-05,40,60.94
