Date,Coca-Cola,Price
2004-01-09,73,
2004-01-16,79,
2004-01-23,82,
2004-01-30,78,
2004-02-06,77,50.99
2004-02-13,81,51.14
2004-02-20,85,50.94
2004-02-27,81,49.96
2004-03-05,100,50.10
2004-03-12,95,48.45
2004-03-19,81,48.78
2004-03-26,88,48.78
2004-04-02,88,50.93
2004-04-09,78,
2004-04-16,81,51.93
2004-04-23,97,51.05
2004-04-30,95,50.57
2004-05-07,88,50.74
2004-05-14,96,50.00
2004-05-21,89,49.38
2004-05-28,90,51.35
2004-06-04,91,52.27
2004-06-11,77,
2004-06-18,76,51.39
2004-06-25,70,50.10
2004-07-02,61,50.53
2004-07-09,69,51.02
2004-07-16,76,50.58
2004-07-23,69,45.17
2004-07-30,69,43.86
2004-08-06,69,43.50
2004-08-13,69,44.37
2004-08-20,72,44.21
2004-08-27,71,44.72
2004-09-03,60,45.49
2004-09-10,73,42.96
2004-09-17,83,40.30
2004-09-24,76,39.99
2004-10-01,73,40.31
2004-10-08,76,40.00
2004-10-15,76,39.20
2004-10-22,84,38.90
2004-10-29,80,40.66
2004-11-05,77,41.40
2004-11-12,74,40.79
2004-11-19,76,39.73
2004-11-26,79,39.86
2004-12-03,85,40.71
2004-12-10,96,40.53
2004-12-17,82,40.95
2004-12-24,72,
2004-12-31,46,41.64
2005-01-07,63,41.16
2005-01-14,68,40.97
2005-01-21,60,40.91
2005-01-28,72,41.49
2005-02-04,74,42.47
2005-02-11,68,42.76
2005-02-18,76,42.96
2005-02-25,72,43.02
2005-03-04,67,43.64
2005-03-11,82,42.48
2005-03-18,71,41.46
2005-03-25,69,
2005-04-01,73,41.38
2005-04-08,78,42.10
2005-04-15,74,41.29
2005-04-22,88,42.13
2005-04-29,86,43.44
2005-05-06,90,44.19
2005-05-13,90,44.11
2005-05-20,91,45.05
2005-05-27,97,44.93
2005-06-03,98,44.23
2005-06-10,90,43.95
2005-06-17,86,44.05
2005-06-24,83,42.20
2005-07-01,78,42.21
2005-07-08,71,42.73
2005-07-15,67,43.08
2005-07-22,68,44.03
2005-07-29,70,43.76
2005-08-05,64,44.06
2005-08-12,63,43.58
2005-08-19,65,44.39
2005-08-26,61,43.57
2005-09-02,61,43.90
2005-09-09,69,44.05
2005-09-16,73,43.40
2005-09-23,70,42.35
2005-09-30,70,43.19
2005-10-07,70,42.20
2005-10-14,70,42.07
2005-10-21,70,41.93
2005-10-28,77,42.83
2005-11-04,77,42.30
2005-11-11,81,42.76
2005-11-18,85,42.20
2005-11-25,81,42.80
2005-12-02,82,42.82
2005-12-09,83,41.51
2005-12-16,78,41.21
2005-12-23,62,41.15
2005-12-30,49,40.31
2006-01-06,56,41.41
2006-01-13,67,41.31
2006-01-20,63,40.09
2006-01-27,59,41.97
2006-02-03,62,40.88
2006-02-10,66,41.16
2006-02-17,68,41.79
2006-02-24,71,42.23
2006-03-03,61,41.80
2006-03-10,73,42.77
2006-03-17,66,42.79
2006-03-24,70,42.66
2006-03-31,63,41.87
2006-04-07,69,41.35
2006-04-14,66,
2006-04-21,66,41.85
2006-04-28,74,41.96
2006-05-05,73,42.71
2006-05-12,77,43.18
2006-05-19,66,43.65
2006-05-26,70,44.49
2006-06-02,77,43.89
2006-06-09,71,43.55
2006-06-16,63,43.21
2006-06-23,64,42.75
2006-06-30,54,43.02
2006-07-07,59,43.18
2006-07-14,58,42.65
2006-07-21,56,43.90
2006-07-28,62,44.52
2006-08-04,58,43.85
2006-08-11,58,43.76
2006-08-18,54,44.31
2006-08-25,54,44.52
2006-09-01,59,45.07
2006-09-08,55,44.60
2006-09-15,66,44.60
2006-09-22,61,43.99
2006-09-29,63,44.68
2006-10-06,60,44.76
2006-10-13,58,44.02
2006-10-20,67,46.75
2006-10-27,63,46.87
2006-11-03,62,46.50
2006-11-10,59,46.47
2006-11-17,64,47.26
2006-11-24,67,46.92
2006-12-01,64,46.57
2006-12-08,67,48.91
2006-12-15,60,48.93
2006-12-22,57,48.38
2006-12-29,39,48.25
2007-01-05,48,48.26
2007-01-12,52,48.55
2007-01-19,50,48.26
2007-01-26,56,47.83
2007-02-02,55,48.24
2007-02-09,55,47.76
2007-02-16,54,47.87
2007-02-23,56,47.26
2007-03-02,56,45.89
2007-03-09,60,47.57
2007-03-16,57,47.21
2007-03-23,60,48.05
2007-03-30,63,48.00
2007-04-06,55,
2007-04-13,58,49.88
2007-04-20,71,52.09
2007-04-27,68,52.06
2007-05-04,64,53.21
2007-05-11,67,52.69
2007-05-18,68,52.63
2007-05-25,75,51.89
2007-06-01,72,52.80
2007-06-08,65,51.67
2007-06-15,57,51.58
2007-06-22,56,51.62
2007-06-29,59,52.31
2007-07-06,55,52.60
2007-07-13,58,53.11
2007-07-20,56,53.21
2007-07-27,58,52.28
2007-08-03,59,53.28
2007-08-10,59,54.98
2007-08-17,63,54.45
2007-08-24,61,54.00
