Date,buy T,Price
2004-01-09,37,
2004-01-16,27,
2004-01-23,34,
2004-01-30,41,
2004-02-06,36,26.02
2004-02-13,39,25.05
2004-02-20,29,23.88
2004-02-27,38,24.01
2004-03-05,31,25.02
2004-03-12,31,24.36
2004-03-19,31,24.62
2004-03-26,29,23.92
2004-04-02,29,24.87
2004-04-09,34,
2004-04-16,35,24.17
2004-04-23,35,25.42
2004-04-30,36,24.90
2004-05-07,35,24.74
2004-05-14,50,24.50
2004-05-21,32,24.33
2004-05-28,29,23.70
2004-06-04,19,23.93
2004-06-11,38,
2004-06-18,39,24.60
2004-06-25,29,23.80
2004-07-02,48,24.11
2004-07-09,35,23.59
2004-07-16,34,23.10
2004-07-23,46,24.22
2004-07-30,35,25.34
2004-08-06,33,24.85
2004-08-13,38,25.06
2004-08-20,36,25.57
2004-08-27,37,25.84
2004-09-03,24,26.20
2004-09-10,31,26.57
2004-09-17,31,26.48
2004-09-24,40,26.05
2004-10-01,36,26.32
2004-10-08,28,26.83
2004-10-15,41,26.68
2004-10-22,39,25.24
2004-10-29,31,25.26
2004-11-05,32,26.25
2004-11-12,23,26.67
2004-11-19,52,25.89
2004-11-26,58,25.48
2004-12-03,32,25.81
2004-12-10,35,25.31
2004-12-17,42,25.70
2004-12-24,32,
2004-12-31,37,25.77
2005-01-07,14,25.08
2005-01-14,34,24.41
2005-01-21,39,24.58
2005-01-28,35,23.62
2005-02-04,24,24.60
2005-02-11,36,24.26
2005-02-18,33,24.18
2005-02-25,31,24.21
2005-03-04,34,24.49
2005-03-11,30,24.00
2005-03-18,25,23.35
2005-03-25,27,
2005-04-01,32,23.66
2005-04-08,22,23.75
2005-04-15,32,23.00
2005-04-22,21,23.20
2005-04-29,43,23.80
2005-05-06,39,23.62
2005-05-13,37,23.08
2005-05-20,47,23.63
2005-05-27,39,23.67
2005-06-03,33,23.34
2005-06-10,36,23.63
2005-06-17,33,24.02
2005-06-24,34,23.50
2005-07-01,36,23.93
2005-07-08,30,23.57
2005-07-15,47,24.12
2005-07-22,33,23.72
2005-07-29,38,24.45
2005-08-05,42,24.61
2005-08-12,30,24.46
2005-08-19,39,24.14
2005-08-26,39,23.71
2005-09-02,28,23.87
2005-09-09,48,24.05
2005-09-16,31,24.23
2005-09-23,47,23.77
2005-09-30,31,23.97
2005-10-07,41,22.75
2005-10-14,32,22.20
2005-10-21,25,23.00
2005-10-28,36,23.89
2005-11-04,29,23.66
2005-11-11,27,23.95
2005-11-18,25,24.38
2005-11-25,30,24.77
2005-12-02,34,25.07
2005-12-09,41,24.90
2005-12-16,36,24.96
2005-12-23,42,24.63
2005-12-30,50,24.49
2006-01-06,29,24.93
2006-01-13,32,24.99
2006-01-20,32,24.71
2006-01-27,28,25.89
2006-02-03,29,26.79
2006-02-10,29,27.48
