Date,IBM,Price
2004-01-09,98,
2004-01-16,96,
2004-01-23,96,
2004-01-30,98,
2004-02-06,100,98.94
2004-02-13,96,99.71
2004-02-20,100,97.31
2004-02-27,100,96.50
2004-03-05,98,96.45
2004-03-12,89,93.30
2004-03-19,94,91.62
2004-03-26,88,92.77
2004-04-02,95,94.20
2004-04-09,97,
2004-04-16,94,92.28
2004-04-23,88,91.28
2004-04-30,88,88.17
2004-05-07,87,88.19
2004-05-14,92,86.41
2004-05-21,89,87.13
2004-05-28,87,88.59
2004-06-04,91,87.56
2004-06-11,91,
2004-06-18,90,90.06
2004-06-25,91,89.55
2004-07-02,90,87.04
2004-07-09,92,83.89
2004-07-16,93,84.28
2004-07-23,94,84.85
2004-07-30,93,87.07
2004-08-06,92,83.48
2004-08-13,91,83.91
2004-08-20,91,85.25
2004-08-27,96,84.94
2004-09-03,93,84.39
2004-09-10,96,86.76
2004-09-17,95,85.74
2004-09-24,91,84.43
2004-10-01,90,86.72
2004-10-08,91,86.71
2004-10-15,90,84.85
2004-10-22,92,87.39
2004-10-29,87,89.75
2004-11-05,84,93.28
2004-11-12,82,95.32
2004-11-19,84,94.45
2004-11-26,81,94.72
2004-12-03,88,97.08
2004-12-10,98,96.67
2004-12-17,88,96.20
2004-12-24,80,
2004-12-31,75,98.58
2005-01-07,78,95.78
2005-01-14,83,94.10
2005-01-21,86,92.38
2005-01-28,82,92.89
2005-02-04,80,94.51
2005-02-11,79,93.30
2005-02-18,81,93.27
2005-02-25,82,92.80
2005-03-04,82,92.37
2005-03-11,81,91.51
2005-03-18,81,89.28
2005-03-25,77,
2005-04-01,76,90.44
2005-04-08,77,87.60
2005-04-15,80,76.70
2005-04-22,77,74.21
2005-04-29,77,76.38
2005-05-06,76,75.26
2005-05-13,76,73.16
2005-05-20,75,76.41
2005-05-27,80,77.10
2005-06-03,76,75.79
2005-06-10,79,74.77
2005-06-17,76,76.39
2005-06-24,76,74.01
2005-07-01,75,74.67
2005-07-08,74,79.30
2005-07-15,76,82.38
2005-07-22,76,84.44
2005-07-29,75,83.46
2005-08-05,74,83.36
2005-08-12,72,82.19
2005-08-19,72,82.76
2005-08-26,72,80.38
2005-09-02,73,79.46
2005-09-09,70,81.44
2005-09-16,73,80.33
2005-09-23,71,78.00
2005-09-30,72,80.22
2005-10-07,69,80.50
2005-10-14,72,82.35
2005-10-21,71,83.33
2005-10-28,70,81.42
2005-11-04,65,83.00
2005-11-11,67,84.55
2005-11-18,69,87.77
2005-11-25,67,88.80
2005-12-02,65,88.65
2005-12-09,66,86.97
2005-12-16,68,83.37
2005-12-23,64,83.48
2005-12-30,61,82.20
2006-01-06,64,84.95
2006-01-13,67,83.17
2006-01-20,66,81.36
2006-01-27,64,81.02
2006-02-03,62,79.97
2006-02-10,65,81.33
2006-02-17,65,80.71
2006-02-24,65,80.10
2006-03-03,64,79.96
2006-03-10,65,81.57
2006-03-17,64,83.30
2006-03-24,62,83.36
2006-03-31,62,82.47
2006-04-07,63,82.48
2006-04-14,60,
2006-04-21,59,81.66
2006-04-28,60,82.34
2006-05-05,53,83.28
2006-05-12,59,82.39
2006-05-19,58,80.28
2006-05-26,58,80.75
2006-06-02,57,79.52
2006-06-09,57,77.63
2006-06-16,57,77.95
2006-06-23,57,77.10
2006-06-30,55,76.82
2006-07-07,53,76.42
2006-07-14,57,73.57
2006-07-21,59,74.86
2006-07-28,57,76.96
