Date,buy 3M,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,79.81
2004-02-13,0,79.68
2004-02-20,0,79.70
2004-02-27,0,78.02
2004-03-05,0,78.66
2004-03-12,0,76.22
2004-03-19,0,79.76
2004-03-26,0,79.98
2004-04-02,0,81.78
2004-04-09,0,
2004-04-16,0,83.73
2004-04-23,0,87.90
2004-04-30,0,86.48
2004-05-07,0,84.43
2004-05-14,0,83.81
2004-05-21,0,82.92
2004-05-28,0,84.56
2004-06-04,0,84.86
2004-06-11,0,
2004-06-18,0,87.09
2004-06-25,0,88.66
2004-07-02,0,87.50
2004-07-09,0,87.65
2004-07-16,0,87.84
2004-07-23,0,82.62
2004-07-30,0,82.36
2004-08-06,0,79.87
2004-08-13,0,77.66
2004-08-20,0,80.27
2004-08-27,0,81.48
2004-09-03,0,83.94
2004-09-10,0,84.69
2004-09-17,0,82.32
2004-09-24,0,78.68
2004-10-01,0,79.69
2004-10-08,0,79.26
2004-10-15,0,77.98
2004-10-22,0,75.88
2004-10-29,0,77.57
2004-11-05,0,81.40
2004-11-12,0,82.68
2004-11-19,0,80.95
2004-11-26,0,80.16
2004-12-03,0,81.08
2004-12-10,0,78.80
2004-12-17,0,80.62
2004-12-24,0,
2004-12-31,0,82.07
2005-01-07,0,82.30
2005-01-14,0,83.97
2005-01-21,0,81.27
2005-01-28,0,83.25
2005-02-04,0,84.08
2005-02-11,0,84.04
2005-02-18,0,85.55
2005-02-25,0,84.60
2005-03-04,0,86.46
2005-03-11,0,85.63
2005-03-18,0,86.16
2005-03-25,0,
2005-04-01,0,85.12
2005-04-08,0,84.55
2005-04-15,0,80.86
2005-04-22,0,77.06
2005-04-29,0,76.47
2005-05-06,0,77.33
2005-05-13,0,75.61
2005-05-20,0,77.06
2005-05-27,0,76.98
2005-06-03,0,76.00
2005-06-10,0,75.79
2005-06-17,0,76.92
2005-06-24,0,75.48
2005-07-01,0,73.00
2005-07-08,0,75.00
2005-07-15,0,75.45
2005-07-22,0,74.71
2005-07-29,0,75.00
2005-08-05,0,72.99
2005-08-12,0,71.94
2005-08-19,0,72.07
2005-08-26,0,70.99
2005-09-02,0,71.50
2005-09-09,0,73.52
2005-09-16,0,73.35
2005-09-23,0,72.55
2005-09-30,0,73.36
2005-10-07,0,71.73
2005-10-14,0,70.72
2005-10-21,0,74.89
2005-10-28,0,76.24
2005-11-04,0,75.13
2005-11-11,0,77.55
2005-11-18,0,78.16
2005-11-25,0,78.32
2005-12-02,65,79.40
2005-12-09,66,77.86
2005-12-16,0,77.09
2005-12-23,0,78.60
2005-12-30,0,77.50
2006-01-06,0,78.63
2006-01-13,0,77.50
2006-01-20,0,75.24
2006-01-27,0,72.65
2006-02-03,60,71.10
2006-02-10,0,72.61
2006-02-17,0,73.77
2006-02-24,0,73.91
2006-03-03,0,72.88
2006-03-10,0,72.32
2006-03-17,0,74.79
2006-03-24,0,76.80
2006-03-31,0,75.69
2006-04-07,0,81.03
2006-04-14,0,
2006-04-21,0,85.06
2006-04-28,0,85.43
2006-05-05,0,87.30
2006-05-12,0,86.57
2006-05-19,0,84.31
2006-05-26,0,83.87
2006-06-02,0,84.78
2006-06-09,0,80.57
2006-06-16,0,80.51
2006-06-23,0,79.92
2006-06-30,0,80.77
2006-07-07,0,74.10
2006-07-14,0,71.22
2006-07-21,0,70.72
2006-07-28,0,70.52
2006-08-04,0,69.45
2006-08-11,0,68.53
2006-08-18,0,71.21
2006-08-25,0,69.92
2006-09-01,55,71.72
2006-09-08,0,71.51
2006-09-15,0,74.14
2006-09-22,0,73.07
2006-09-29,0,74.42
2006-10-06,0,75.95
2006-10-13,0,75.40
2006-10-20,0,78.47
2006-10-27,0,78.95
2006-11-03,0,78.58
2006-11-10,0,79.19
2006-11-17,0,81.40
2006-11-24,0,81.15
2006-12-01,0,79.98
2006-12-08,0,78.56
2006-12-15,0,78.31
2006-12-22,46,78.35
2006-12-29,44,77.93
2007-01-05,44,77.42
2007-01-12,44,79.36
2007-01-19,38,79.25
2007-01-26,38,78.69
2007-02-02,38,73.87
2007-02-09,38,74.54
2007-02-16,0,76.84
2007-02-23,0,76.21
2007-03-02,0,73.01
2007-03-09,0,74.73
2007-03-16,0,75.28
2007-03-23,0,77.97
2007-03-30,48,76.43
2007-04-06,0,
2007-04-13,0,76.72
2007-04-20,0,77.75
2007-04-27,0,81.55
2007-05-04,0,84.21
2007-05-11,37,85.55
2007-05-18,37,86.90
2007-05-25,37,87.35
2007-06-01,37,88.43
2007-06-08,37,85.94
2007-06-15,0,87.67
2007-06-22,0,86.43
2007-06-29,0,86.79
2007-07-06,0,88.11
2007-07-13,0,90.22
2007-07-20,0,90.21
2007-07-27,0,90.05
2007-08-03,40,87.56
2007-08-10,50,85.97
2007-08-17,43,87.83
2007-08-24,33,89.15
2007-08-31,33,90.99
2007-09-07,33,88.92
2007-09-14,33,89.02
2007-09-21,33,91.68
2007-09-28,29,93.58
2007-10-05,30,95.85
2007-10-12,30,94.17
2007-10-19,32,86.62
2007-10-26,34,86.13
2007-11-02,37,84.89
2007-11-09,28,79.51
2007-11-16,30,81.57
2007-11-23,32,82.75
2007-11-30,34,83.26
2007-12-07,36,86.19
2007-12-14,34,85.93
2007-12-21,34,86.05
2007-12-28,34,85.09
2008-01-04,34,81.76
2008-01-11,31,77.58
2008-01-18,31,74.91
2008-01-25,25,75.51
2008-02-01,25,81.21
2008-02-08,27,78.56
2008-02-15,28,79.95
2008-02-22,30,79.67
2008-02-29,27,78.40
2008-03-07,29,76.51
2008-03-14,27,77.53
2008-03-21,27,
2008-03-28,27,77.95
2008-04-04,33,80.52
2008-04-11,38,78.47
2008-04-18,24,82.90
2008-04-25,27,77.82
2008-05-02,37,78.55
2008-05-09,27,76.32
2008-05-16,28,78.66
2008-05-23,29,75.81
2008-05-30,31,77.56
2008-06-06,35,74.86
2008-06-13,38,76.12
2008-06-20,31,73.02
2008-06-27,27,69.51
2008-07-04,38,
2008-07-11,49,68.72
2008-07-18,37,68.94
2008-07-25,27,70.95
2008-08-01,26,70.15
2008-08-08,34,73.48
2008-08-15,42,73.49
2008-08-22,24,72.28
2008-08-29,35,71.60
2008-09-05,22,69.19
2008-09-12,22,70.15
2008-09-19,37,72.68
2008-09-26,48,69.45
2008-10-03,37,64.60
2008-10-10,36,54.26
2008-10-17,27,56.49
2008-10-24,31,59.61
2008-10-31,26,64.30
2008-11-07,32,64.83
2008-11-14,38,63.06
2008-11-21,36,61.30
2008-11-28,30,66.93
2008-12-05,24,59.85
2008-12-12,32,56.04
2008-12-19,40,56.62
2008-12-26,29,55.74
2009-01-02,29,59.19
2009-01-09,29,57.74
2009-01-16,30,56.42
2009-01-23,30,52.90
2009-01-30,26,53.79
2009-02-06,26,52.39
2009-02-13,26,49.42
2009-02-20,46,47.25
2009-02-27,28,45.46
2009-03-06,29,41.83
2009-03-13,31,48.00
2009-03-20,33,45.93
2009-03-27,37,50.33
2009-04-03,25,52.11
2009-04-10,23,
2009-04-17,24,53.81
2009-04-24,27,57.00
2009-05-01,100,57.88
2009-05-08,41,60.09
2009-05-15,53,57.92
2009-05-22,58,56.07
2009-05-29,32,57.10
2009-06-05,42,60.94
2009-06-12,31,61.00
2009-06-19,38,59.37
2009-06-26,46,59.26
2009-07-03,30,
2009-07-10,46,59.79
2009-07-17,21,62.92
2009-07-24,32,69.42
2009-07-31,34,70.52
2009-08-07,25,72.90
2009-08-14,46,71.32
2009-08-21,28,72.64
2009-08-28,36,71.92
2009-09-04,30,71.35
2009-09-11,30,74.00
2009-09-18,52,74.62
2009-09-25,34,73.80
2009-10-02,27,71.93
2009-10-09,27,74.73
2009-10-16,31,76.02
2009-10-23,34,77.82
2009-10-30,35,73.57
2009-11-06,42,75.41
2009-11-13,34,77.32
2009-11-20,42,76.64
2009-11-27,51,76.75
2009-12-04,45,78.24
2009-12-11,36,81.75
2009-12-18,44,80.97
2009-12-25,23,
2010-01-01,25,
2010-01-08,29,84.32
2010-01-15,44,83.37
2010-01-22,35,81.48
2010-01-29,29,80.49
2010-02-05,42,78.54
2010-02-12,33,79.18
2010-02-19,38,81.52
2010-02-26,31,80.15
2010-03-05,29,82.44
2010-03-12,45,81.38
2010-03-19,34,81.96
2010-03-26,29,81.00
2010-04-02,30,
2010-04-09,39,83.49
2010-04-16,33,83.76
2010-04-23,41,86.58
2010-04-30,52,88.67
2010-05-07,32,82.63
2010-05-14,45,84.68
2010-05-21,41,80.70
2010-05-28,30,79.31
2010-06-04,40,76.10
2010-06-11,36,78.30
2010-06-18,51,81.18
2010-06-25,35,78.90
2010-07-02,43,77.67
2010-07-09,34,82.16
2010-07-16,52,80.95
2010-07-23,48,86.17
2010-07-30,32,85.54
2010-08-06,47,87.29
2010-08-13,40,84.01
2010-08-20,40,80.66
2010-08-27,49,81.00
2010-09-03,46,83.48
2010-09-10,30,83.94
2010-09-17,28,86.07
2010-09-24,34,86.96
2010-10-01,27,87.62
2010-10-08,37,89.16
2010-10-15,34,89.14
2010-10-22,41,90.44
2010-10-29,41,84.22
2010-11-05,44,86.34
2010-11-12,39,86.24
2010-11-19,35,85.01
2010-11-26,36,84.40
2010-12-03,33,86.94
2010-12-10,30,84.32
2010-12-17,35,86.37
2010-12-24,40,
2010-12-31,32,86.30
2011-01-07,40,86.23
2011-01-14,25,88.10
2011-01-21,35,89.29
2011-01-28,29,87.44
2011-02-04,38,88.29
2011-02-11,41,91.80
2011-02-18,40,92.96
2011-02-25,33,90.25
2011-03-04,33,92.19
2011-03-11,31,91.61
2011-03-18,40,88.98
2011-03-25,24,92.27
2011-04-01,38,93.13
2011-04-08,47,93.22
2011-04-15,39,92.82
2011-04-22,37,
2011-04-29,26,97.21
2011-05-06,30,95.60
2011-05-13,35,96.01
2011-05-20,32,93.56
2011-05-27,35,93.47
2011-06-03,39,90.70
2011-06-10,56,90.73
2011-06-17,37,91.78
2011-06-24,42,90.89
2011-07-01,27,96.67
2011-07-08,33,97.62
2011-07-15,35,95.47
2011-07-22,38,95.38
2011-07-29,44,87.14
2011-08-05,41,82.75
2011-08-12,43,82.54
2011-08-19,31,76.87
2011-08-26,47,80.01
2011-09-02,37,79.35
2011-09-09,29,76.65
2011-09-16,28,80.53
2011-09-23,34,73.99
2011-09-30,35,71.79
2011-10-07,23,73.82
2011-10-14,26,78.89
2011-10-21,20,80.48
2011-10-28,44,81.00
2011-11-04,38,79.30
2011-11-11,36,82.29
2011-11-18,27,80.54
2011-11-25,28,76.13
2011-12-02,46,79.76
2011-12-09,37,82.20
2011-12-16,32,78.87
2011-12-23,40,82.20
2011-12-30,33,81.73
2012-01-06,35,83.37
2012-01-13,38,83.60
2012-01-20,28,85.65
2012-01-27,38,87.46
2012-02-03,28,87.73
2012-02-10,41,87.14
2012-02-17,35,87.56
2012-02-24,40,88.20
2012-03-02,38,87.52
2012-03-09,31,86.80
2012-03-16,34,89.56
2012-03-23,28,88.46
2012-03-30,33,89.21
2012-04-06,33,
2012-04-13,31,85.69
2012-04-20,53,87.48
2012-04-27,29,89.36
2012-05-04,42,88.67
2012-05-11,48,86.73
2012-05-18,37,83.51
2012-05-25,43,84.78
2012-06-01,43,82.85
2012-06-08,40,86.00
2012-06-15,30,87.44
2012-06-22,51,86.83
2012-06-29,33,89.60
2012-07-06,38,88.99
2012-07-13,43,87.59
2012-07-20,37,89.99
2012-07-27,43,91.71
2012-08-03,47,91.70
2012-08-10,45,92.29
2012-08-17,36,94.24
2012-08-24,31,92.83
2012-08-31,41,92.60
2012-09-07,50,92.82
2012-09-14,40,93.98
2012-09-21,32,93.21
2012-09-28,34,92.42
2012-10-05,34,94.96
2012-10-12,33,92.75
2012-10-19,30,92.94
2012-10-26,42,88.03
2012-11-02,38,88.97
2012-11-09,39,88.81
2012-11-16,42,88.50
2012-11-23,40,90.28
2012-11-30,38,90.95
2012-12-07,28,91.51
2012-12-14,35,92.28
2012-12-21,42,93.10
2012-12-28,35,91.78
2013-01-04,30,95.37
2013-01-11,42,96.28
2013-01-18,43,98.74
2013-01-25,39,100.59
2013-02-01,32,101.56
2013-02-08,43,102.66
2013-02-15,32,103.23
2013-02-22,39,103.54
2013-03-01,37,103.77
2013-03-08,38,105.71
2013-03-15,39,106.40
2013-03-22,33,106.42
2013-03-29,42,
2013-04-05,34,105.78
2013-04-12,43,107.68
2013-04-19,35,105.71
2013-04-26,43,103.79
2013-05-03,38,107.83
2013-05-10,49,110.48
2013-05-17,36,111.39
2013-05-24,33,110.27
2013-05-31,51,110.27
2013-06-07,40,111.11
2013-06-14,34,111.03
2013-06-21,86,109.59
2013-06-28,50,109.35
2013-07-05,35,111.54
2013-07-12,40,115.14
2013-07-19,41,116.19
2013-07-26,45,116.91
2013-08-02,35,118.26
2013-08-09,47,118.31
2013-08-16,53,115.90
2013-08-23,42,114.40
2013-08-30,44,113.58
2013-09-06,44,115.04
2013-09-13,40,118.60
2013-09-20,31,120.01
2013-09-27,33,120.22
2013-10-04,36,119.40
2013-10-11,47,120.72
2013-10-18,33,122.84
2013-10-25,38,124.42
2013-11-01,35,125.90
2013-11-08,37,127.99
2013-11-15,37,129.85
2013-11-22,31,131.02
2013-11-29,32,133.51
2013-12-06,38,128.61
2013-12-13,30,126.43
2013-12-20,35,136.72
2013-12-27,25,139.35
2014-01-03,36,138.45
2014-01-10,38,136.18
2014-01-17,43,137.31
2014-01-24,38,130.22
2014-01-31,34,128.19
2014-02-07,30,130.33
2014-02-14,40,132.12
2014-02-21,38,131.57
2014-02-28,38,134.73
2014-03-07,40,134.11
2014-03-14,39,129.83
2014-03-21,42,133.12
2014-03-28,34,134.20
2014-04-04,38,135.86
2014-04-11,34,132.39
2014-04-18,40,
2014-04-25,37,136.56
2014-05-02,33,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
