Date,MSFT,Price
2004-01-09,10,
2004-01-16,12,
2004-01-23,19,
2004-01-30,20,
2004-02-06,15,27.08
2004-02-13,22,26.59
2004-02-20,16,26.57
2004-02-27,15,26.53
2004-03-05,19,26.35
2004-03-12,18,25.38
2004-03-19,18,24.63
2004-03-26,15,25.03
2004-04-02,26,25.85
2004-04-09,17,
2004-04-16,15,25.16
2004-04-23,15,27.54
2004-04-30,16,26.13
2004-05-07,17,25.78
2004-05-14,16,25.86
2004-05-21,13,25.89
2004-05-28,15,26.23
2004-06-04,15,25.95
2004-06-11,14,
2004-06-18,18,28.35
2004-06-25,26,28.57
2004-07-02,22,28.57
2004-07-09,23,27.86
2004-07-16,17,27.48
2004-07-23,53,28.03
2004-07-30,29,28.49
2004-08-06,19,27.14
2004-08-13,24,27.02
2004-08-20,21,27.20
2004-08-27,20,27.46
2004-09-03,16,27.11
2004-09-10,18,27.49
2004-09-17,21,27.51
2004-09-24,15,27.29
2004-10-01,19,28.25
2004-10-08,17,27.99
2004-10-15,15,27.99
2004-10-22,21,27.74
2004-10-29,21,27.97
2004-11-05,21,29.31
2004-11-12,36,29.97
2004-11-19,28,26.86
2004-11-26,18,26.60
2004-12-03,24,27.23
2004-12-10,19,27.08
2004-12-17,17,26.96
2004-12-24,17,
2004-12-31,16,26.72
2005-01-07,18,26.67
2005-01-14,22,26.12
2005-01-21,13,25.65
2005-01-28,21,26.18
2005-02-04,17,26.32
2005-02-11,19,25.97
2005-02-18,19,25.48
2005-02-25,12,25.25
2005-03-04,22,25.17
2005-03-11,16,25.09
2005-03-18,20,24.31
2005-03-25,13,
2005-04-01,21,24.12
2005-04-08,61,24.94
2005-04-15,30,24.46
2005-04-22,23,24.98
2005-04-29,38,25.30
2005-05-06,28,25.22
2005-05-13,29,25.30
2005-05-20,28,25.74
2005-05-27,44,26.07
2005-06-03,31,25.43
2005-06-10,31,25.43
2005-06-17,24,25.04
2005-06-24,34,25.04
2005-07-01,31,24.71
2005-07-08,33,25.09
2005-07-15,35,25.79
2005-07-22,51,25.68
2005-07-29,44,25.61
2005-08-05,54,27.76
2005-08-12,53,27.05
2005-08-19,50,26.72
2005-08-26,38,26.97
2005-09-02,43,27.02
2005-09-09,35,26.58
2005-09-16,39,26.07
2005-09-23,45,25.27
2005-09-30,41,25.73
2005-10-07,43,24.59
2005-10-14,47,24.67
2005-10-21,49,24.78
2005-10-28,60,25.53
2005-11-04,60,26.66
2005-11-11,57,27.28
2005-11-18,62,28.07
2005-11-25,71,27.76
2005-12-02,62,28.01
2005-12-09,48,27.71
2005-12-16,56,26.90
2005-12-23,46,26.64
2005-12-30,41,26.15
2006-01-06,50,26.91
2006-01-13,53,27.19
2006-01-20,46,26.41
2006-01-27,60,27.79
2006-02-03,63,27.54
2006-02-10,42,26.69
2006-02-17,48,26.70
2006-02-24,38,26.63
2006-03-03,47,26.93
2006-03-10,49,27.17
2006-03-17,43,27.50
2006-03-24,65,27.01
2006-03-31,45,27.21
2006-04-07,45,27.25
2006-04-14,35,
2006-04-21,34,27.15
2006-04-28,73,24.15
2006-05-05,100,23.80
2006-05-12,70,23.17
2006-05-19,65,22.56
2006-05-26,59,23.72
2006-06-02,61,22.76
2006-06-09,61,21.92
2006-06-16,83,22.10
2006-06-23,48,22.50
2006-06-30,49,23.30
2006-07-07,44,23.30
2006-07-14,58,22.29
2006-07-21,69,23.87
2006-07-28,62,24.25
2006-08-04,49,24.29
2006-08-11,48,24.43
2006-08-18,55,25.79
2006-08-25,56,25.85
2006-09-01,42,25.84
2006-09-08,38,25.60
2006-09-15,43,26.85
2006-09-22,44,26.66
2006-09-29,44,27.35
2006-10-06,51,27.87
2006-10-13,50,28.37
2006-10-20,58,28.43
2006-10-27,63,28.34
2006-11-03,49,28.73
2006-11-10,63,29.24
2006-11-17,53,29.40
2006-11-24,46,29.76
2006-12-01,53,29.12
2006-12-08,44,29.40
2006-12-15,43,30.19
2006-12-22,43,29.64
2006-12-29,41,29.86
2007-01-05,42,29.64
2007-01-12,50,31.21
2007-01-19,47,31.11
2007-01-26,61,30.60
2007-02-02,66,30.19
2007-02-09,51,28.98
2007-02-16,52,28.74
2007-02-23,45,28.90
2007-03-02,50,27.76
2007-03-09,41,27.29
2007-03-16,39,27.33
2007-03-23,34,28.02
2007-03-30,34,27.87
2007-04-06,35,
2007-04-13,32,28.61
2007-04-20,37,29.02
2007-04-27,64,30.12
2007-05-04,61,30.56
2007-05-11,44,30.89
2007-05-18,46,30.83
2007-05-25,37,30.48
