Date,Home Depot,Price
2004-01-09,49,
2004-01-16,44,
2004-01-23,48,
2004-01-30,47,
2004-02-06,42,36.33
2004-02-13,44,36.17
2004-02-20,48,35.70
2004-02-27,47,36.31
2004-03-05,47,37.45
2004-03-12,51,36.09
2004-03-19,50,36.68
2004-03-26,53,36.93
2004-04-02,55,36.68
2004-04-09,57,
2004-04-16,54,36.20
2004-04-23,58,36.49
2004-04-30,61,35.19
2004-05-07,59,33.00
2004-05-14,58,33.80
2004-05-21,59,34.47
2004-05-28,63,35.92
2004-06-04,59,35.33
2004-06-11,59,
2004-06-18,60,35.37
2004-06-25,57,35.25
2004-07-02,61,34.69
2004-07-09,68,34.37
2004-07-16,62,33.92
2004-07-23,63,33.00
2004-07-30,62,33.72
2004-08-06,64,32.90
2004-08-13,59,33.14
2004-08-20,57,36.36
2004-08-27,57,36.59
2004-09-03,56,37.48
2004-09-10,59,37.54
2004-09-17,55,38.31
2004-09-24,52,38.43
2004-10-01,52,39.25
2004-10-08,49,39.02
2004-10-15,50,39.81
2004-10-22,47,39.17
2004-10-29,46,41.08
2004-11-05,46,42.29
2004-11-12,52,43.22
2004-11-19,53,42.70
2004-11-26,49,43.37
2004-12-03,54,41.79
2004-12-10,53,42.64
2004-12-17,53,42.01
2004-12-24,51,
2004-12-31,60,42.74
2005-01-07,54,41.42
2005-01-14,51,41.90
2005-01-21,51,40.90
2005-01-28,47,40.41
2005-02-04,48,42.42
2005-02-11,47,42.81
2005-02-18,48,42.02
2005-02-25,51,40.58
2005-03-04,50,40.09
2005-03-11,52,39.42
2005-03-18,51,38.88
2005-03-25,57,
2005-04-01,59,37.60
2005-04-08,60,37.48
2005-04-15,58,36.11
2005-04-22,59,36.02
2005-04-29,60,35.37
2005-05-06,63,37.16
2005-05-13,61,36.29
2005-05-20,62,39.63
2005-05-27,66,39.97
2005-06-03,64,39.72
2005-06-10,67,39.50
2005-06-17,66,40.20
2005-06-24,64,38.24
2005-07-01,66,39.49
2005-07-08,64,40.08
2005-07-15,67,41.61
2005-07-22,67,43.47
2005-07-29,65,43.51
2005-08-05,64,40.95
2005-08-12,64,41.28
2005-08-19,63,40.37
2005-08-26,61,39.81
2005-09-02,58,40.33
2005-09-09,56,41.22
2005-09-16,54,39.90
2005-09-23,55,38.53
2005-09-30,57,38.14
2005-10-07,57,37.80
2005-10-14,59,38.41
2005-10-21,54,39.65
2005-10-28,56,40.52
2005-11-04,57,41.36
2005-11-11,55,41.91
2005-11-18,57,42.44
2005-11-25,56,42.42
2005-12-02,63,41.67
2005-12-09,61,41.02
2005-12-16,56,42.50
2005-12-23,56,41.59
2005-12-30,59,40.48
2006-01-06,58,40.38
2006-01-13,53,41.91
2006-01-20,52,40.17
2006-01-27,52,40.00
2006-02-03,51,39.82
2006-02-10,50,39.22
2006-02-17,50,41.86
2006-02-24,55,41.63
2006-03-03,53,42.20
2006-03-10,54,41.25
2006-03-17,56,42.90
2006-03-24,58,43.12
2006-03-31,61,42.30
2006-04-07,63,42.10
2006-04-14,68,
2006-04-21,70,40.28
2006-04-28,67,39.93
2006-05-05,69,41.29
2006-05-12,67,40.00
2006-05-19,63,38.94
2006-05-26,69,38.67
2006-06-02,74,38.00
2006-06-09,68,36.95
2006-06-16,72,36.91
2006-06-23,68,36.41
2006-06-30,72,35.79
2006-07-07,74,35.37
2006-07-14,69,33.84
2006-07-21,74,33.85
2006-07-28,73,34.59
2006-08-04,72,34.71
2006-08-11,70,33.27
2006-08-18,68,34.77
2006-08-25,62,33.48
2006-09-01,62,34.64
2006-09-08,62,34.28
2006-09-15,59,37.22
2006-09-22,56,35.96
2006-09-29,56,36.27
2006-10-06,56,37.14
2006-10-13,56,36.90
2006-10-20,55,35.99
2006-10-27,56,37.07
2006-11-03,56,37.20
2006-11-10,55,36.64
2006-11-17,56,38.28
2006-11-24,59,37.72
2006-12-01,64,38.97
2006-12-08,60,38.80
2006-12-15,58,39.89
2006-12-22,57,38.89
2006-12-29,63,40.16
2007-01-05,67,39.79
