Date,buy IBM,Price
2004-01-09,37,
2004-01-16,41,
2004-01-23,53,
2004-01-30,37,
2004-02-06,39,98.94
2004-02-13,40,99.71
2004-02-20,58,97.31
2004-02-27,52,96.50
2004-03-05,56,96.45
2004-03-12,40,93.30
2004-03-19,40,91.62
2004-03-26,37,92.77
2004-04-02,37,94.20
2004-04-09,40,
2004-04-16,40,92.28
2004-04-23,41,91.28
2004-04-30,39,88.17
2004-05-07,41,88.19
2004-05-14,23,86.41
2004-05-21,57,87.13
2004-05-28,28,88.59
2004-06-04,31,87.56
2004-06-11,33,
2004-06-18,66,90.06
2004-06-25,31,89.55
2004-07-02,37,87.04
2004-07-09,42,83.89
2004-07-16,37,84.28
2004-07-23,26,84.85
2004-07-30,32,87.07
2004-08-06,45,83.48
2004-08-13,29,83.91
2004-08-20,48,85.25
2004-08-27,47,84.94
2004-09-03,35,84.39
2004-09-10,42,86.76
2004-09-17,31,85.74
2004-09-24,33,84.43
2004-10-01,39,86.72
2004-10-08,39,86.71
2004-10-15,25,84.85
2004-10-22,30,87.39
2004-10-29,24,89.75
2004-11-05,24,93.28
2004-11-12,33,95.32
2004-11-19,42,94.45
2004-11-26,42,94.72
2004-12-03,34,97.08
2004-12-10,65,96.67
2004-12-17,34,96.20
2004-12-24,31,
2004-12-31,53,98.58
2005-01-07,45,95.78
2005-01-14,32,94.10
2005-01-21,31,92.38
2005-01-28,37,92.89
2005-02-04,32,94.51
2005-02-11,40,93.30
2005-02-18,32,93.27
2005-02-25,32,92.80
2005-03-04,27,92.37
2005-03-11,56,91.51
2005-03-18,27,89.28
2005-03-25,37,
2005-04-01,26,90.44
2005-04-08,36,87.60
2005-04-15,22,76.70
2005-04-22,25,74.21
2005-04-29,25,76.38
2005-05-06,41,75.26
2005-05-13,30,73.16
2005-05-20,34,76.41
2005-05-27,25,77.10
2005-06-03,25,75.79
2005-06-10,47,74.77
2005-06-17,22,76.39
2005-06-24,32,74.01
2005-07-01,30,74.67
2005-07-08,21,79.30
2005-07-15,22,82.38
2005-07-22,27,84.44
2005-07-29,47,83.46
2005-08-05,33,83.36
2005-08-12,31,82.19
2005-08-19,32,82.76
2005-08-26,38,80.38
2005-09-02,29,79.46
2005-09-09,38,81.44
2005-09-16,20,80.33
2005-09-23,34,78.00
2005-09-30,28,80.22
2005-10-07,33,80.50
2005-10-14,24,82.35
2005-10-21,30,83.33
2005-10-28,24,81.42
2005-11-04,36,83.00
2005-11-11,28,84.55
2005-11-18,21,87.77
2005-11-25,30,88.80
2005-12-02,33,88.65
2005-12-09,28,86.97
2005-12-16,24,83.37
2005-12-23,37,83.48
2005-12-30,23,82.20
2006-01-06,20,84.95
2006-01-13,32,83.17
2006-01-20,26,81.36
2006-01-27,24,81.02
2006-02-03,35,79.97
2006-02-10,27,81.33
2006-02-17,27,80.71
2006-02-24,24,80.10
2006-03-03,26,79.96
2006-03-10,24,81.57
2006-03-17,18,83.30
2006-03-24,21,83.36
2006-03-31,19,82.47
2006-04-07,22,82.48
2006-04-14,17,
2006-04-21,27,81.66
2006-04-28,21,82.34
2006-05-05,19,83.28
2006-05-12,29,82.39
2006-05-19,21,80.28
2006-05-26,27,80.75
2006-06-02,23,79.52
2006-06-09,22,77.63
2006-06-16,23,77.95
2006-06-23,18,77.10
2006-06-30,21,76.82
2006-07-07,22,76.42
2006-07-14,21,73.57
2006-07-21,22,74.86
2006-07-28,20,76.96
2006-08-04,35,75.91
2006-08-11,37,75.48
2006-08-18,23,79.90
2006-08-25,29,79.88
2006-09-01,25,81.41
2006-09-08,23,80.66
2006-09-15,33,82.94
2006-09-22,27,81.21
2006-09-29,19,81.94
2006-10-06,22,83.14
2006-10-13,22,86.08
2006-10-20,21,90.48
2006-10-27,28,90.76
2006-11-03,21,91.41
2006-11-10,16,91.76
2006-11-17,18,93.81
2006-11-24,24,93.35
2006-12-01,12,91.25
2006-12-08,27,93.86
2006-12-15,26,95.30
2006-12-22,18,95.25
2006-12-29,23,97.15
2007-01-05,20,97.42
2007-01-12,21,99.34
2007-01-19,21,96.17
2007-01-26,27,97.45
2007-02-02,26,99.17
2007-02-09,23,98.55
2007-02-16,22,98.99
2007-02-23,18,97.73
2007-03-02,16,90.90
2007-03-09,16,93.28
2007-03-16,20,93.25
2007-03-23,13,95.03
2007-03-30,15,94.26
2007-04-06,20,
2007-04-13,25,94.93
2007-04-20,22,94.58
2007-04-27,22,101.17
2007-05-04,18,102.96
2007-05-11,21,105.98
2007-05-18,18,107.99
2007-05-25,23,105.18
2007-06-01,28,106.54
2007-06-08,20,103.07
2007-06-15,21,105.09
2007-06-22,22,104.44
2007-06-29,25,105.25
2007-07-06,16,109.03
2007-07-13,24,108.60
2007-07-20,21,114.81
2007-07-27,20,115.62
2007-08-03,23,111.89
2007-08-10,23,112.64
2007-08-17,26,110.90
2007-08-24,20,113.24
2007-08-31,21,116.69
2007-09-07,18,115.55
