Date,3M,Price
2004-01-09,86,
2004-01-16,90,
2004-01-23,87,
2004-01-30,84,
2004-02-06,92,79.81
2004-02-13,83,79.68
2004-02-20,83,79.70
2004-02-27,81,78.02
2004-03-05,89,78.66
2004-03-12,80,76.22
2004-03-19,85,79.76
2004-03-26,66,79.98
2004-04-02,88,81.78
2004-04-09,84,
2004-04-16,89,83.73
2004-04-23,100,87.90
2004-04-30,82,86.48
2004-05-07,84,84.43
2004-05-14,83,83.81
2004-05-21,79,82.92
2004-05-28,79,84.56
2004-06-04,79,84.86
2004-06-11,82,
2004-06-18,76,87.09
2004-06-25,83,88.66
2004-07-02,85,87.50
2004-07-09,79,87.65
2004-07-16,83,87.84
2004-07-23,90,82.62
2004-07-30,94,82.36
2004-08-06,86,79.87
2004-08-13,83,77.66
2004-08-20,89,80.27
2004-08-27,89,81.48
2004-09-03,82,83.94
2004-09-10,86,84.69
2004-09-17,78,82.32
2004-09-24,84,78.68
2004-10-01,81,79.69
2004-10-08,77,79.26
2004-10-15,77,77.98
2004-10-22,84,75.88
2004-10-29,85,77.57
2004-11-05,80,81.40
2004-11-12,70,82.68
2004-11-19,83,80.95
2004-11-26,78,80.16
2004-12-03,73,81.08
2004-12-10,75,78.80
2004-12-17,71,80.62
2004-12-24,68,
2004-12-31,61,82.07
2005-01-07,72,82.30
2005-01-14,79,83.97
2005-01-21,80,81.27
2005-01-28,80,83.25
2005-02-04,75,84.08
2005-02-11,70,84.04
2005-02-18,79,85.55
2005-02-25,82,84.60
2005-03-04,81,86.46
2005-03-11,74,85.63
2005-03-18,78,86.16
2005-03-25,75,
2005-04-01,70,85.12
2005-04-08,74,84.55
2005-04-15,83,80.86
2005-04-22,75,77.06
2005-04-29,74,76.47
2005-05-06,72,77.33
2005-05-13,77,75.61
2005-05-20,74,77.06
2005-05-27,74,76.98
2005-06-03,75,76.00
2005-06-10,76,75.79
2005-06-17,75,76.92
2005-06-24,85,75.48
2005-07-01,79,73.00
2005-07-08,77,75.00
2005-07-15,81,75.45
2005-07-22,85,74.71
2005-07-29,80,75.00
2005-08-05,77,72.99
2005-08-12,76,71.94
2005-08-19,74,72.07
2005-08-26,76,70.99
2005-09-02,75,71.50
2005-09-09,72,73.52
2005-09-16,76,73.35
2005-09-23,76,72.55
2005-09-30,74,73.36
2005-10-07,72,71.73
2005-10-14,77,70.72
2005-10-21,79,74.89
2005-10-28,77,76.24
2005-11-04,72,75.13
2005-11-11,72,77.55
2005-11-18,77,78.16
2005-11-25,72,78.32
2005-12-02,76,79.40
2005-12-09,76,77.86
2005-12-16,70,77.09
2005-12-23,63,78.60
2005-12-30,50,77.50
2006-01-06,62,78.63
2006-01-13,70,77.50
2006-01-20,69,75.24
2006-01-27,75,72.65
2006-02-03,71,71.10
2006-02-10,72,72.61
2006-02-17,71,73.77
2006-02-24,73,73.91
2006-03-03,71,72.88
2006-03-10,68,72.32
2006-03-17,73,74.79
2006-03-24,71,76.80
2006-03-31,66,75.69
2006-04-07,77,81.03
2006-04-14,72,
2006-04-21,70,85.06
2006-04-28,71,85.43
2006-05-05,69,87.30
2006-05-12,72,86.57
2006-05-19,72,84.31
2006-05-26,71,83.87
2006-06-02,71,84.78
2006-06-09,72,80.57
2006-06-16,75,80.51
2006-06-23,71,79.92
2006-06-30,67,80.77
2006-07-07,70,74.10
2006-07-14,73,71.22
2006-07-21,71,70.72
2006-07-28,69,70.52
2006-08-04,69,69.45
2006-08-11,74,68.53
2006-08-18,69,71.21
2006-08-25,72,69.92
2006-09-01,69,71.72
2006-09-08,68,71.51
2006-09-15,67,74.14
2006-09-22,73,73.07
2006-09-29,68,74.42
2006-10-06,68,75.95
2006-10-13,69,75.40
2006-10-20,65,78.47
2006-10-27,68,78.95
2006-11-03,63,78.58
2006-11-10,67,79.19
2006-11-17,67,81.40
2006-11-24,60,81.15
2006-12-01,61,79.98
2006-12-08,63,78.56
2006-12-15,56,78.31
2006-12-22,55,78.35
2006-12-29,46,77.93
2007-01-05,54,77.42
2007-01-12,61,79.36
2007-01-19,60,79.25
2007-01-26,64,78.69
2007-02-02,67,73.87
2007-02-09,62,74.54
2007-02-16,61,76.84
2007-02-23,62,76.21
2007-03-02,59,73.01
2007-03-09,63,74.73
2007-03-16,64,75.28
2007-03-23,63,77.97
2007-03-30,65,76.43
2007-04-06,59,
2007-04-13,60,76.72
2007-04-20,65,77.75
2007-04-27,65,81.55
2007-05-04,58,84.21
2007-05-11,66,85.55
2007-05-18,61,86.90
2007-05-25,65,87.35
2007-06-01,61,88.43
2007-06-08,61,85.94
2007-06-15,63,87.67
2007-06-22,63,86.43
2007-06-29,62,86.79
2007-07-06,60,88.11
2007-07-13,65,90.22
2007-07-20,63,90.21
2007-07-27,66,90.05
2007-08-03,65,87.56
2007-08-10,64,85.97
2007-08-17,59,87.83
2007-08-24,65,89.15
2007-08-31,63,90.99
