Date,Verizon,Price
2004-01-09,35,
2004-01-16,32,
2004-01-23,34,
2004-01-30,32,
2004-02-06,33,37.15
2004-02-13,31,37.65
2004-02-20,33,37.18
2004-02-27,34,38.33
2004-03-05,34,38.98
2004-03-12,33,37.91
2004-03-19,32,37.47
2004-03-26,30,36.02
2004-04-02,33,37.24
2004-04-09,35,
2004-04-16,32,36.75
2004-04-23,33,37.54
2004-04-30,33,37.74
2004-05-07,34,36.78
2004-05-14,33,36.36
2004-05-21,36,35.77
2004-05-28,35,34.58
2004-06-04,35,34.96
2004-06-11,38,
2004-06-18,40,36.17
2004-06-25,40,35.77
2004-07-02,39,36.07
2004-07-09,38,35.44
2004-07-16,41,34.60
2004-07-23,44,35.32
2004-07-30,42,38.54
2004-08-06,44,38.35
2004-08-13,43,39.07
2004-08-20,44,39.60
2004-08-27,42,38.96
2004-09-03,39,40.06
2004-09-10,37,40.34
2004-09-17,37,40.57
2004-09-24,37,40.31
2004-10-01,37,40.04
2004-10-08,36,40.73
2004-10-15,36,40.87
2004-10-22,35,38.97
2004-10-29,36,39.10
2004-11-05,34,41.01
2004-11-12,32,42.22
2004-11-19,35,41.10
2004-11-26,31,41.03
2004-12-03,37,42.02
2004-12-10,37,40.80
2004-12-17,38,40.90
2004-12-24,37,
2004-12-31,41,40.51
2005-01-07,39,39.41
2005-01-14,37,36.84
2005-01-21,36,36.50
2005-01-28,36,35.68
2005-02-04,37,36.85
2005-02-11,36,36.31
2005-02-18,38,35.31
2005-02-25,36,36.20
2005-03-04,36,36.42
2005-03-11,35,36.07
2005-03-18,36,35.15
2005-03-25,40,
2005-04-01,38,35.19
2005-04-08,34,35.07
2005-04-15,35,34.15
2005-04-22,36,34.06
2005-04-29,37,35.80
2005-05-06,42,34.56
2005-05-13,37,34.09
2005-05-20,38,35.20
2005-05-27,40,35.46
2005-06-03,38,35.17
2005-06-10,39,34.85
2005-06-17,43,35.03
2005-06-24,43,34.47
2005-07-01,44,34.57
2005-07-08,41,34.40
2005-07-15,45,34.69
2005-07-22,46,34.17
2005-07-29,45,34.23
2005-08-05,48,33.32
2005-08-12,49,33.05
2005-08-19,50,33.07
2005-08-26,48,32.60
2005-09-02,48,32.48
2005-09-09,44,32.73
2005-09-16,44,32.81
2005-09-23,44,32.16
2005-09-30,42,32.69
2005-10-07,43,30.59
2005-10-14,44,29.90
2005-10-21,41,29.52
2005-10-28,42,31.70
2005-11-04,42,30.90
2005-11-11,40,31.40
2005-11-18,41,31.70
2005-11-25,37,31.98
2005-12-02,46,31.87
2005-12-09,47,31.08
2005-12-16,45,30.49
2005-12-23,47,30.48
2005-12-30,51,30.12
2006-01-06,50,31.35
2006-01-13,47,32.18
2006-01-20,44,30.94
2006-01-27,45,32.14
2006-02-03,44,31.61
2006-02-10,43,33.18
2006-02-17,43,34.78
2006-02-24,45,33.81
2006-03-03,44,33.58
2006-03-10,43,34.19
2006-03-17,42,34.41
2006-03-24,43,34.97
2006-03-31,42,34.06
2006-04-07,46,33.79
2006-04-14,45,
2006-04-21,44,32.52
2006-04-28,43,33.03
2006-05-05,47,33.02
2006-05-12,46,31.79
2006-05-19,45,30.90
2006-05-26,44,31.49
2006-06-02,45,31.94
2006-06-09,50,31.50
2006-06-16,50,32.54
2006-06-23,52,32.83
2006-06-30,52,33.49
2006-07-07,48,32.71
2006-07-14,52,31.62
2006-07-21,54,31.87
2006-07-28,54,33.73
2006-08-04,60,33.77
2006-08-11,58,34.07
2006-08-18,57,34.42
2006-08-25,53,34.70
2006-09-01,52,35.57
2006-09-08,49,35.40
2006-09-15,49,35.81
2006-09-22,48,37.10
2006-09-29,48,37.13
2006-10-06,46,36.80
2006-10-13,46,37.05
2006-10-20,46,37.80
2006-10-27,47,38.84
2006-11-03,46,36.70
2006-11-10,45,35.59
2006-11-17,47,36.04
2006-11-24,42,34.75
2006-12-01,51,34.64
2006-12-08,49,35.31
2006-12-15,50,36.48
2006-12-22,52,36.55
2006-12-29,54,37.24
2007-01-05,51,37.38
2007-01-12,49,37.33
2007-01-19,46,37.25
2007-01-26,45,37.83
2007-02-02,46,38.17
2007-02-09,44,37.70
2007-02-16,44,38.50
2007-02-23,47,38.41
2007-03-02,44,36.48
2007-03-09,44,36.45
2007-03-16,45,36.32
2007-03-23,43,38.12
2007-03-30,43,37.92
2007-04-06,46,
2007-04-13,46,37.39
2007-04-20,44,37.91
2007-04-27,43,37.89
2007-05-04,47,40.66
2007-05-11,44,41.35
2007-05-18,46,42.59
2007-05-25,43,42.50
2007-06-01,44,43.01
2007-06-08,48,43.07
2007-06-15,46,42.99
2007-06-22,46,41.63
2007-06-29,51,41.17
2007-07-06,48,41.55
2007-07-13,50,41.76
2007-07-20,52,42.28
2007-07-27,52,42.00
2007-08-03,51,42.75
2007-08-10,50,41.33
2007-08-17,52,40.80
2007-08-24,50,42.64
2007-08-31,48,41.88
2007-09-07,45,41.34
2007-09-14,46,42.52
2007-09-21,45,44.38
2007-09-28,44,44.28
2007-10-05,50,45.22
2007-10-12,44,45.53
2007-10-19,45,44.27
2007-10-26,45,45.60
2007-11-02,47,44.38
2007-11-09,45,42.77
2007-11-16,46,43.69
2007-11-23,51,42.64
2007-11-30,60,43.21
2007-12-07,56,45.30
2007-12-14,49,44.37
2007-12-21,50,44.32
2007-12-28,53,44.62
2008-01-04,53,42.60
2008-01-11,50,42.50
2008-01-18,46,39.09
2008-01-25,44,37.76
2008-02-01,46,38.75
2008-02-08,46,36.42
2008-02-15,45,37.83
2008-02-22,46,36.20
2008-02-29,44,36.32
2008-03-07,44,35.08
2008-03-14,43,33.82
2008-03-21,45,
2008-03-28,42,35.85
2008-04-04,44,37.34
2008-04-11,41,35.59
2008-04-18,41,36.03
2008-04-25,41,37.04
2008-05-02,47,39.59
2008-05-09,44,37.91
2008-05-16,47,38.77
2008-05-23,45,37.08
2008-05-30,44,38.47
2008-06-06,48,38.23
2008-06-13,50,37.33
2008-06-20,48,35.38
2008-06-27,51,34.28
2008-07-04,48,
2008-07-11,52,34.92
2008-07-18,53,35.45
2008-07-25,55,34.45
2008-08-01,56,34.00
2008-08-08,55,34.59
2008-08-15,53,34.96
2008-08-22,51,35.29
2008-08-29,51,35.12
2008-09-05,47,34.08
2008-09-12,49,34.49
2008-09-19,49,33.30
2008-09-26,48,32.18
2008-10-03,48,31.24
2008-10-10,46,26.77
2008-10-17,46,27.19
2008-10-24,46,25.08
2008-10-31,46,29.67
2008-11-07,47,30.05
2008-11-14,53,30.00
2008-11-21,54,28.47
2008-11-28,50,32.65
2008-12-05,54,33.19
2008-12-12,52,32.80
2008-12-19,50,33.19
2008-12-26,52,33.19
2009-01-02,57,34.64
2009-01-09,52,32.16
2009-01-16,49,29.96
2009-01-23,48,30.44
2009-01-30,49,29.87
2009-02-06,49,31.72
2009-02-13,48,29.56
2009-02-20,51,28.81
2009-02-27,51,28.53
2009-03-06,49,27.28
2009-03-13,48,28.40
2009-03-20,49,29.61
2009-03-27,44,30.62
2009-04-03,48,32.79
