Date,Travelers,Price
2004-01-09,40,
2004-01-16,41,
2004-01-23,39,
2004-01-30,44,
2004-02-06,40,42.78
2004-02-13,40,43.22
2004-02-20,42,43.06
2004-02-27,38,42.74
2004-03-05,39,42.24
2004-03-12,36,40.63
2004-03-19,43,40.17
2004-03-26,32,39.74
2004-04-02,48,42.13
2004-04-09,46,
2004-04-16,44,42.70
2004-04-23,48,42.60
2004-04-30,40,40.67
2004-05-07,44,40.23
2004-05-14,46,40.23
2004-05-21,45,39.76
2004-05-28,42,39.68
2004-06-04,47,40.46
2004-06-11,44,
2004-06-18,42,41.27
2004-06-25,47,41.59
2004-07-02,44,39.61
2004-07-09,44,38.72
2004-07-16,52,38.30
2004-07-23,49,35.66
2004-07-30,46,37.07
2004-08-06,48,33.86
2004-08-13,46,32.94
2004-08-20,46,34.73
2004-08-27,41,34.75
2004-09-03,41,34.32
2004-09-10,34,33.69
2004-09-17,41,35.18
2004-09-24,39,34.32
2004-10-01,41,33.51
2004-10-08,35,33.85
2004-10-15,41,31.94
2004-10-22,35,31.13
2004-10-29,42,33.96
2004-11-05,34,36.31
2004-11-12,35,36.54
2004-11-19,33,35.71
2004-11-26,26,36.42
2004-12-03,35,37.23
2004-12-10,39,36.85
2004-12-17,33,37.19
2004-12-24,35,
2004-12-31,32,37.07
2005-01-07,39,36.98
2005-01-14,37,37.49
2005-01-21,40,36.20
2005-01-28,36,36.90
2005-02-04,54,38.67
2005-02-11,38,39.40
2005-02-18,37,38.14
2005-02-25,40,38.82
2005-03-04,38,38.24
2005-03-11,37,37.89
2005-03-18,39,36.96
2005-03-25,36,
2005-04-01,39,35.36
2005-04-08,37,35.28
2005-04-15,38,34.10
2005-04-22,39,34.45
2005-04-29,36,35.80
2005-05-06,44,37.92
2005-05-13,45,37.27
2005-05-20,43,37.40
2005-05-27,41,38.15
2005-06-03,42,38.38
2005-06-10,35,39.15
2005-06-17,46,38.89
2005-06-24,47,38.16
2005-07-01,39,39.60
2005-07-08,40,40.03
2005-07-15,48,41.46
2005-07-22,46,41.09
2005-07-29,45,44.02
2005-08-05,44,44.01
2005-08-12,47,44.40
2005-08-19,41,44.34
2005-08-26,35,44.74
2005-09-02,41,42.44
2005-09-09,42,41.86
2005-09-16,38,43.50
2005-09-23,41,42.75
2005-09-30,36,44.87
2005-10-07,36,42.47
2005-10-14,35,42.33
2005-10-21,38,42.30
2005-10-28,35,44.46
2005-11-04,36,45.72
2005-11-11,33,46.02
2005-11-18,33,46.45
2005-11-25,28,46.31
2005-12-02,36,46.50
2005-12-09,35,45.39
2005-12-16,32,44.78
2005-12-23,32,45.33
2005-12-30,34,44.67
2006-01-06,37,47.21
2006-01-13,40,47.25
2006-01-20,33,45.01
2006-01-27,35,46.54
2006-02-03,34,44.79
2006-02-10,34,43.63
2006-02-17,32,43.03
2006-02-24,40,42.55
2006-03-03,35,42.87
2006-03-10,37,42.32
2006-03-17,38,41.55
2006-03-24,39,41.46
2006-03-31,37,41.79
2006-04-07,39,41.29
2006-04-14,38,
2006-04-21,38,42.71
2006-04-28,39,44.03
2006-05-05,39,45.76
2006-05-12,35,44.72
2006-05-19,37,44.65
2006-05-26,37,43.81
2006-06-02,42,43.80
2006-06-09,43,43.10
2006-06-16,39,43.88
2006-06-23,38,44.15
2006-06-30,43,44.58
2006-07-07,38,44.10
2006-07-14,42,43.56
2006-07-21,40,44.22
2006-07-28,44,46.14
2006-08-04,38,44.49
2006-08-11,38,42.62
2006-08-18,38,44.50
2006-08-25,37,43.66
2006-09-01,36,44.30
2006-09-08,33,45.05
2006-09-15,33,45.96
2006-09-22,33,46.20
2006-09-29,35,46.89
2006-10-06,29,47.64
2006-10-13,33,49.09
2006-10-20,37,48.39
2006-10-27,33,49.92
2006-11-03,33,51.14
2006-11-10,31,52.91
2006-11-17,32,52.12
2006-11-24,28,51.13
2006-12-01,31,51.25
2006-12-08,33,52.32
2006-12-15,29,53.56
2006-12-22,32,53.55
2006-12-29,31,53.69
2007-01-05,35,52.41
2007-01-12,31,51.06
2007-01-19,33,51.37
2007-01-26,33,50.66
2007-02-02,33,52.43
2007-02-09,31,52.49
2007-02-16,34,52.73
2007-02-23,34,53.00
2007-03-02,35,50.58
2007-03-09,35,51.68
2007-03-16,36,50.35
2007-03-23,36,52.49
2007-03-30,34,51.77
2007-04-06,38,
2007-04-13,39,53.19
2007-04-20,35,53.96
2007-04-27,37,53.67
