Date,sell Johnson & Johnson,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,54.15
2004-02-13,0,54.23
2004-02-20,0,53.30
2004-02-27,0,53.91
2004-03-05,0,53.13
2004-03-12,0,50.71
2004-03-19,0,50.05
2004-03-26,0,50.13
2004-04-02,0,51.18
2004-04-09,0,
2004-04-16,0,54.13
2004-04-23,0,53.68
2004-04-30,0,54.03
2004-05-07,0,55.30
2004-05-14,0,54.52
2004-05-21,0,54.94
2004-05-28,0,55.71
2004-06-04,0,56.38
2004-06-11,0,
2004-06-18,0,55.25
2004-06-25,0,54.50
2004-07-02,0,55.35
2004-07-09,0,54.99
2004-07-16,0,56.80
2004-07-23,0,55.74
2004-07-30,0,55.27
2004-08-06,0,54.60
2004-08-13,0,55.54
2004-08-20,0,57.04
2004-08-27,0,57.71
2004-09-03,0,57.85
2004-09-10,0,57.57
2004-09-17,0,58.52
2004-09-24,0,56.55
2004-10-01,0,57.00
2004-10-08,0,55.32
2004-10-15,0,56.58
2004-10-22,0,57.29
2004-10-29,0,58.38
2004-11-05,0,59.18
2004-11-12,0,61.00
2004-11-19,0,60.54
2004-11-26,0,60.45
2004-12-03,0,61.91
2004-12-10,0,60.25
2004-12-17,0,63.58
2004-12-24,0,
2004-12-31,0,63.42
2005-01-07,0,62.61
2005-01-14,0,62.70
2005-01-21,0,61.85
2005-01-28,0,64.62
2005-02-04,0,66.24
2005-02-11,0,66.60
2005-02-18,0,65.43
2005-02-25,0,66.22
2005-03-04,0,67.74
2005-03-11,0,67.60
2005-03-18,0,67.25
2005-03-25,0,
2005-04-01,0,66.85
2005-04-08,0,68.64
2005-04-15,0,69.40
2005-04-22,0,68.49
2005-04-29,0,68.63
2005-05-06,0,68.21
2005-05-13,0,67.10
2005-05-20,0,67.20
2005-05-27,0,67.43
2005-06-03,0,66.44
2005-06-10,0,66.48
2005-06-17,0,66.56
2005-06-24,0,65.58
2005-07-01,0,64.95
2005-07-08,0,64.28
2005-07-15,0,65.03
2005-07-22,0,64.32
2005-07-29,0,63.96
2005-08-05,0,63.54
2005-08-12,0,63.56
2005-08-19,0,63.57
2005-08-26,0,61.94
2005-09-02,0,62.90
2005-09-09,0,64.73
2005-09-16,0,65.18
2005-09-23,0,63.99
2005-09-30,0,63.28
2005-10-07,0,61.34
2005-10-14,0,63.70
2005-10-21,0,64.07
2005-10-28,0,62.95
2005-11-04,0,60.88
2005-11-11,0,60.92
2005-11-18,0,62.55
2005-11-25,0,62.15
2005-12-02,0,61.21
2005-12-09,0,60.10
2005-12-16,0,60.86
2005-12-23,0,61.11
2005-12-30,0,60.10
2006-01-06,0,62.60
2006-01-13,0,61.82
2006-01-20,0,60.80
2006-01-27,0,58.71
2006-02-03,0,57.38
2006-02-10,0,58.39
2006-02-17,0,59.07
2006-02-24,0,57.76
2006-03-03,0,57.47
2006-03-10,0,59.04
2006-03-17,0,60.34
2006-03-24,0,60.39
2006-03-31,0,59.22
2006-04-07,0,57.83
2006-04-14,0,
2006-04-21,0,58.37
2006-04-28,0,58.61
2006-05-05,0,58.70
2006-05-12,0,58.83
2006-05-19,0,59.90
2006-05-26,0,60.69
2006-06-02,0,60.74
2006-06-09,0,61.38
2006-06-16,0,61.68
2006-06-23,0,61.32
2006-06-30,0,59.92
2006-07-07,0,60.62
2006-07-14,0,60.46
2006-07-21,0,61.73
2006-07-28,0,62.92
2006-08-04,0,63.53
2006-08-11,0,63.47
2006-08-18,0,64.42
2006-08-25,0,64.67
2006-09-01,0,64.72
2006-09-08,0,63.59
2006-09-15,0,63.79
2006-09-22,0,63.96
2006-09-29,0,64.94
2006-10-06,0,65.06
2006-10-13,0,64.58
2006-10-20,0,68.62
2006-10-27,0,68.17
2006-11-03,0,67.81
2006-11-10,0,66.29
2006-11-17,0,67.24
2006-11-24,0,65.85
2006-12-01,0,65.97
2006-12-08,0,65.95
2006-12-15,0,66.29
2006-12-22,0,65.65
2006-12-29,0,66.02
2007-01-05,0,66.62
2007-01-12,0,66.64
2007-01-19,0,67.76
2007-01-26,0,66.07
2007-02-02,0,66.58
2007-02-09,0,65.60
2007-02-16,0,65.51
2007-02-23,0,64.15
2007-03-02,0,61.95
2007-03-09,0,62.14
2007-03-16,0,60.51
2007-03-23,0,60.51
2007-03-30,0,60.26
2007-04-06,0,
2007-04-13,0,62.35
2007-04-20,0,65.12
2007-04-27,0,64.17
2007-05-04,0,64.48
2007-05-11,0,62.27
2007-05-18,0,63.42
2007-05-25,0,63.19
2007-06-01,0,63.41
2007-06-08,0,62.13
2007-06-15,0,62.77
2007-06-22,0,60.73
2007-06-29,0,61.62
2007-07-06,0,62.13
2007-07-13,0,63.43
2007-07-20,0,61.79
2007-07-27,0,59.77
2007-08-03,0,60.55
2007-08-10,0,61.15
2007-08-17,0,62.02
2007-08-24,0,61.88
2007-08-31,0,61.79
2007-09-07,0,61.68
2007-09-14,0,63.20
2007-09-21,0,65.12
2007-09-28,0,65.70
2007-10-05,0,66.25
2007-10-12,0,65.94
2007-10-19,0,64.23
2007-10-26,0,64.30
2007-11-02,0,64.78
2007-11-09,0,65.16
2007-11-16,0,67.75
2007-11-23,0,66.88
2007-11-30,0,67.74
2007-12-07,0,67.68
2007-12-14,0,67.59
2007-12-21,0,68.03
2007-12-28,0,67.38
2008-01-04,0,65.84
2008-01-11,0,67.88
2008-01-18,0,66.29
2008-01-25,0,62.46
2008-02-01,0,63.36
2008-02-08,0,62.03
2008-02-15,0,62.90
2008-02-22,0,63.18
2008-02-29,0,61.96
2008-03-07,0,61.51
2008-03-14,0,62.65
2008-03-21,0,
2008-03-28,0,64.18
2008-04-04,0,65.73
2008-04-11,0,66.00
2008-04-18,0,66.51
2008-04-25,0,67.31
2008-05-02,0,68.26
2008-05-09,0,66.55
2008-05-16,0,66.68
2008-05-23,0,64.92
2008-05-30,0,66.74
2008-06-06,0,65.76
2008-06-13,0,66.27
2008-06-20,0,64.06
2008-06-27,0,63.57
2008-07-04,0,
2008-07-11,0,66.26
2008-07-18,0,67.82
2008-07-25,0,69.03
2008-08-01,0,68.10
2008-08-08,0,71.55
2008-08-15,43,71.33
2008-08-22,44,71.42
2008-08-29,44,70.43
2008-09-05,41,70.67
2008-09-12,41,70.59
2008-09-19,41,69.99
2008-09-26,0,69.40
2008-10-03,0,66.16
2008-10-10,0,55.85
2008-10-17,0,62.65
2008-10-24,0,60.79
2008-10-31,0,61.34
2008-11-07,0,60.22
2008-11-14,38,60.05
2008-11-21,0,58.35
2008-11-28,0,58.58
2008-12-05,0,58.23
2008-12-12,0,57.25
2008-12-19,0,58.84
2008-12-26,0,58.56
2009-01-02,0,60.65
2009-01-09,34,59.05
2009-01-16,33,57.44
2009-01-23,42,55.97
2009-01-30,0,57.69
2009-02-06,0,58.51
2009-02-13,0,57.10
2009-02-20,0,54.65
2009-02-27,0,50.00
2009-03-06,0,47.97
2009-03-13,0,50.64
2009-03-20,0,51.67
2009-03-27,31,52.83
2009-04-03,31,52.15
2009-04-10,31,
2009-04-17,31,53.05
2009-04-24,31,50.92
2009-05-01,31,52.59
2009-05-08,0,54.98
2009-05-15,0,55.41
2009-05-22,0,54.77
2009-05-29,0,55.16
2009-06-05,0,55.93
2009-06-12,0,56.06
2009-06-19,36,56.09
2009-06-26,0,56.60
2009-07-03,0,
2009-07-10,0,56.93
2009-07-17,0,59.23
2009-07-24,0,61.51
2009-07-31,34,60.89
2009-08-07,0,59.90
2009-08-14,0,60.08
2009-08-21,0,61.03
2009-08-28,0,60.29
2009-09-04,0,60.32
2009-09-11,0,60.42
2009-09-18,36,60.78
2009-09-25,31,60.62
2009-10-02,44,59.73
2009-10-09,41,61.74
2009-10-16,34,60.46
2009-10-23,34,60.54
2009-10-30,34,59.05
2009-11-06,31,60.30
2009-11-13,28,61.43
2009-11-20,28,62.31
2009-11-27,28,62.89
2009-12-04,28,64.36
2009-12-11,38,64.85
2009-12-18,47,64.37
2009-12-25,25,
2010-01-01,25,
2010-01-08,25,64.21
2010-01-15,29,64.56
2010-01-22,24,63.20
2010-01-29,24,62.86
2010-02-05,24,62.64
2010-02-12,31,62.72
2010-02-19,24,63.81
2010-02-26,25,63.00
2010-03-05,26,64.04
2010-03-12,27,64.18
2010-03-19,28,65.11
2010-03-26,28,64.38
2010-04-02,33,
2010-04-09,37,65.14
2010-04-16,47,65.02
2010-04-23,31,65.04
2010-04-30,31,64.30
2010-05-07,26,63.31
2010-05-14,39,63.97
2010-05-21,24,60.88
2010-05-28,24,58.30
2010-06-04,24,58.01
2010-06-11,24,58.46
2010-06-18,25,59.18
2010-06-25,25,58.70
2010-07-02,25,59.08
2010-07-09,23,60.54
2010-07-16,26,59.44
2010-07-23,28,57.63
2010-07-30,32,58.09
2010-08-06,32,59.96
2010-08-13,39,58.15
2010-08-20,31,58.74
2010-08-27,31,57.60
2010-09-03,34,58.93
2010-09-10,22,59.98
2010-09-17,32,61.57
2010-09-24,38,62.14
2010-10-01,25,61.75
2010-10-08,27,63.23
2010-10-15,29,63.57
2010-10-22,42,63.81
2010-10-29,28,63.74
2010-11-05,28,64.65
2010-11-12,28,63.67
2010-11-19,20,63.83
2010-11-26,25,62.30
2010-12-03,33,62.56
2010-12-10,21,61.91
2010-12-17,21,62.54
2010-12-24,26,
2010-12-31,29,61.85
2011-01-07,31,62.60
2011-01-14,35,62.55
2011-01-21,33,62.66
2011-01-28,24,60.01
2011-02-04,24,60.84
2011-02-11,24,60.70
2011-02-18,23,61.11
2011-02-25,28,59.64
2011-03-04,32,61.06
2011-03-11,37,59.69
2011-03-18,28,58.57
2011-03-25,28,58.98
2011-04-01,35,59.49
2011-04-08,29,59.46
2011-04-15,25,60.56
2011-04-22,30,
2011-04-29,28,65.72
2011-05-06,20,65.27
2011-05-13,37,66.62
2011-05-20,38,65.69
2011-05-27,39,66.77
2011-06-03,40,66.09
2011-06-10,17,66.09
2011-06-17,23,66.29
2011-06-24,35,65.06
2011-07-01,25,67.30
2011-07-08,29,67.57
2011-07-15,25,67.45
2011-07-22,33,66.72
2011-07-29,30,64.79
2011-08-05,34,62.71
2011-08-12,40,63.36
2011-08-19,17,63.14
2011-08-26,30,64.28
2011-09-02,23,64.07
2011-09-09,21,63.64
2011-09-16,21,64.59
2011-09-23,26,61.59
2011-09-30,21,63.69
2011-10-07,27,63.13
2011-10-14,27,64.72
2011-10-21,38,63.78
2011-10-28,39,65.60
2011-11-04,34,64.12
2011-11-11,40,65.25
2011-11-18,32,63.85
2011-11-25,18,61.27
2011-12-02,29,63.47
2011-12-09,27,64.53
2011-12-16,27,64.30
2011-12-23,32,65.98
2011-12-30,20,65.58
2012-01-06,17,64.83
2012-01-13,29,65.26
2012-01-20,33,65.27
2012-01-27,20,65.56
2012-02-03,31,65.64
2012-02-10,21,64.60
2012-02-17,15,64.99
2012-02-24,35,64.46
2012-03-02,17,64.77
2012-03-09,23,64.74
2012-03-16,26,65.12
2012-03-23,27,64.55
2012-03-30,32,65.96
2012-04-06,28,
2012-04-13,15,63.54
2012-04-20,28,63.71
2012-04-27,27,64.84
2012-05-04,18,64.74
2012-05-11,30,64.34
2012-05-18,34,63.35
2012-05-25,29,62.51
2012-06-01,21,61.78
2012-06-08,34,62.98
2012-06-15,23,66.01
2012-06-22,26,66.63
2012-06-29,25,67.56
2012-07-06,31,67.64
2012-07-13,23,68.61
2012-07-20,29,68.63
2012-07-27,38,69.52
2012-08-03,35,69.12
2012-08-10,39,68.64
2012-08-17,100,67.80
2012-08-24,28,67.60
2012-08-31,22,67.43
2012-09-07,40,67.88
2012-09-14,32,68.47
2012-09-21,42,69.06
2012-09-28,31,68.91
2012-10-05,27,69.65
2012-10-12,20,67.97
2012-10-19,21,71.86
2012-10-26,19,70.90
2012-11-02,32,70.90
2012-11-09,25,69.87
2012-11-16,25,69.19
2012-11-23,22,69.56
2012-11-30,24,69.73
2012-12-07,31,70.45
2012-12-14,23,70.69
2012-12-21,22,70.27
2012-12-28,25,69.48
2013-01-04,21,71.55
2013-01-11,21,72.35
2013-01-18,29,73.23
2013-01-25,21,73.92
2013-02-01,25,74.18
2013-02-08,28,75.48
2013-02-15,23,76.16
2013-02-22,24,76.25
2013-03-01,34,76.70
2013-03-08,30,78.19
2013-03-15,31,79.19
2013-03-22,25,79.74
2013-03-29,30,
2013-04-05,22,82.04
2013-04-12,33,82.74
2013-04-19,33,84.49
2013-04-26,24,85.12
2013-05-03,29,85.75
2013-05-10,21,85.76
2013-05-17,29,88.09
2013-05-24,30,86.82
2013-05-31,29,84.18
2013-06-07,37,84.91
2013-06-14,28,84.91
2013-06-21,29,83.20
2013-06-28,22,85.86
2013-07-05,23,87.87
2013-07-12,27,89.99
2013-07-19,20,92.23
2013-07-26,33,92.83
2013-08-02,27,94.39
2013-08-09,18,92.36
2013-08-16,37,89.37
2013-08-23,21,88.41
2013-08-30,23,86.41
2013-09-06,27,87.16
2013-09-13,28,88.57
2013-09-20,20,89.68
2013-09-27,37,86.73
2013-10-04,25,87.31
2013-10-11,33,89.45
2013-10-18,25,91.63
2013-10-25,24,92.09
2013-11-01,29,93.37
2013-11-08,28,94.05
2013-11-15,28,94.39
2013-11-22,28,95.25
2013-11-29,23,94.66
2013-12-06,21,94.44
2013-12-13,27,91.35
2013-12-20,25,92.09
2013-12-27,25,92.35
2014-01-03,34,91.85
2014-01-10,24,94.74
2014-01-17,18,95.06
2014-01-24,31,90.61
2014-01-31,27,88.47
2014-02-07,27,90.04
2014-02-14,30,92.76
2014-02-21,18,91.52
2014-02-28,32,92.12
2014-03-07,26,93.32
2014-03-14,23,92.81
2014-03-21,16,95.93
2014-03-28,21,97.44
2014-04-04,29,98.42
2014-04-11,26,96.87
2014-04-18,23,
2014-04-25,31,99.79
2014-05-02,36,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
