Date,MRK,Price
2004-01-09,30,
2004-01-16,28,
2004-01-23,28,
2004-01-30,28,
2004-02-06,23,48.76
2004-02-13,26,48.88
2004-02-20,27,48.31
2004-02-27,28,48.08
2004-03-05,21,48.10
2004-03-12,21,45.15
2004-03-19,21,43.77
2004-03-26,27,44.00
2004-04-02,32,45.06
2004-04-09,35,
2004-04-16,36,47.08
2004-04-23,37,46.76
2004-04-30,20,47.00
2004-05-07,28,47.71
2004-05-14,21,46.45
2004-05-21,19,46.59
2004-05-28,19,47.30
2004-06-04,26,48.20
2004-06-11,24,
2004-06-18,23,48.36
2004-06-25,20,47.00
2004-07-02,21,46.86
2004-07-09,23,45.86
2004-07-16,24,44.80
2004-07-23,26,45.16
2004-07-30,35,45.35
2004-08-06,26,43.60
2004-08-13,28,44.59
2004-08-20,30,46.08
2004-08-27,33,45.15
2004-09-03,26,45.48
2004-09-10,26,45.77
2004-09-17,19,44.97
2004-09-24,41,44.10
2004-10-01,79,33.31
2004-10-08,56,30.34
2004-10-15,49,30.50
2004-10-22,47,30.56
2004-10-29,31,31.31
2004-11-05,57,26.21
2004-11-12,36,26.45
2004-11-19,40,27.12
2004-11-26,37,27.70
2004-12-03,29,28.68
2004-12-10,37,28.74
2004-12-17,36,31.59
2004-12-24,33,
2004-12-31,30,32.14
2005-01-07,32,31.13
2005-01-14,30,30.87
2005-01-21,29,30.36
2005-01-28,37,28.02
2005-02-04,44,28.35
2005-02-11,34,29.21
2005-02-18,34,32.61
2005-02-25,51,31.90
2005-03-04,34,31.68
2005-03-11,26,32.16
2005-03-18,38,32.04
2005-03-25,27,
2005-04-01,24,32.31
2005-04-08,39,33.33
2005-04-15,30,34.80
2005-04-22,47,34.20
2005-04-29,31,33.90
2005-05-06,44,34.16
2005-05-13,38,33.46
2005-05-20,35,32.62
2005-05-27,35,32.45
2005-06-03,31,32.09
2005-06-10,35,31.39
2005-06-17,33,32.22
2005-06-24,26,30.55
2005-07-01,32,31.06
2005-07-08,51,31.00
2005-07-15,26,31.91
2005-07-22,53,31.14
2005-07-29,32,31.06
2005-08-05,77,30.66
2005-08-12,37,30.55
2005-08-19,65,28.06
2005-08-26,100,27.66
2005-09-02,36,28.83
2005-09-09,46,29.31
2005-09-16,46,28.90
2005-09-23,39,27.62
2005-09-30,46,27.21
2005-10-07,60,25.85
2005-10-14,55,27.16
2005-10-21,54,26.18
2005-10-28,40,27.54
2005-11-04,61,29.22
2005-11-11,55,30.03
2005-11-18,51,30.42
2005-11-25,41,30.98
2005-12-02,64,29.97
2005-12-09,53,29.13
2005-12-16,52,30.01
2005-12-23,60,32.20
2005-12-30,50,31.81
2006-01-06,63,33.12
2006-01-13,58,33.47
2006-01-20,45,33.25
2006-01-27,39,34.70
2006-02-03,58,34.39
2006-02-10,54,34.31
2006-02-17,60,36.05
2006-02-24,57,35.10
2006-03-03,48,35.19
2006-03-10,35,34.76
2006-03-17,42,35.64
2006-03-24,47,36.05
2006-03-31,66,35.23
2006-04-07,58,34.47
2006-04-14,48,
2006-04-21,47,34.74
2006-04-28,38,34.42
2006-05-05,46,34.48
2006-05-12,33,34.29
2006-05-19,48,34.42
2006-05-26,45,34.56
2006-06-02,35,33.95
2006-06-09,39,33.81
2006-06-16,43,34.41
2006-06-23,38,34.94
2006-06-30,39,36.43
2006-07-07,30,36.97
2006-07-14,27,36.15
2006-07-21,44,37.36
2006-07-28,53,41.12
2006-08-04,44,41.35
2006-08-11,42,40.60
2006-08-18,49,39.52
2006-08-25,51,40.44
2006-09-01,37,40.96
2006-09-08,45,41.06
2006-09-15,35,41.10
2006-09-22,49,42.04
2006-09-29,29,41.90
2006-10-06,45,41.86
2006-10-13,38,43.20
2006-10-20,46,45.64
2006-10-27,44,46.09
2006-11-03,32,45.10
2006-11-10,51,43.12
2006-11-17,43,45.06
2006-11-24,36,44.18
2006-12-01,39,45.06
2006-12-08,47,43.93
2006-12-15,40,44.00
2006-12-22,33,42.83
2006-12-29,35,43.60
2007-01-05,38,44.30
2007-01-12,34,44.79
2007-01-19,37,45.60
2007-01-26,50,45.99
2007-02-02,54,44.73
2007-02-09,39,43.82
2007-02-16,34,44.28
2007-02-23,34,42.94
2007-03-02,67,44.19
2007-03-09,60,44.61
2007-03-16,40,43.09
2007-03-23,36,44.45
2007-03-30,40,44.17
2007-04-06,42,
2007-04-13,66,50.21
2007-04-20,61,51.49
2007-04-27,54,51.86
2007-05-04,51,51.92
2007-05-11,45,52.00
2007-05-18,43,53.25
2007-05-25,54,53.70
2007-06-01,36,52.14
2007-06-08,37,50.14
2007-06-15,36,50.73
2007-06-22,35,48.55
2007-06-29,35,49.80
2007-07-06,39,49.46
2007-07-13,29,50.85
2007-07-20,36,49.02
2007-07-27,47,50.12
2007-08-03,43,50.29
2007-08-10,35,50.88
2007-08-17,37,49.62
2007-08-24,36,50.82
2007-08-31,39,50.17
2007-09-07,35,49.57
2007-09-14,29,49.54
2007-09-21,41,51.82
2007-09-28,41,51.69
2007-10-05,35,53.51
2007-10-12,41,53.51
2007-10-19,35,53.11
2007-10-26,44,57.58
2007-11-02,46,56.04
2007-11-09,56,55.90
2007-11-16,41,58.38
2007-11-23,49,57.66
2007-11-30,46,59.36
2007-12-07,43,60.67
2007-12-14,49,59.57
2007-12-21,39,59.15
2007-12-28,28,58.71
2008-01-04,42,56.85
2008-01-11,50,60.55
2008-01-18,58,53.32
2008-01-25,51,47.79
2008-02-01,47,45.98
2008-02-08,54,44.53
2008-02-15,40,47.53
2008-02-22,66,46.07
2008-02-29,36,44.30
2008-03-07,34,41.75
2008-03-14,39,40.97
2008-03-21,39,
2008-03-28,43,44.51
2008-04-04,62,40.00
2008-04-11,55,41.14
2008-04-18,50,39.76
2008-04-25,46,40.72
2008-05-02,62,39.37
2008-05-09,45,38.99
2008-05-16,43,40.00
2008-05-23,45,38.74
2008-05-30,34,38.96
2008-06-06,39,37.49
2008-06-13,42,35.53
2008-06-20,43,35.13
2008-06-27,40,36.98
2008-07-04,37,
2008-07-11,40,36.75
2008-07-18,40,37.68
2008-07-25,58,32.68
2008-08-01,58,33.26
2008-08-08,46,35.95
2008-08-15,48,36.16
2008-08-22,39,35.27
2008-08-29,35,35.67
2008-09-05,30,34.30
2008-09-12,37,33.82
2008-09-19,41,31.84
2008-09-26,43,32.12
2008-10-03,41,31.78
2008-10-10,42,26.23
2008-10-17,41,28.50
2008-10-24,50,27.35
2008-10-31,43,30.95
