Date,Caterpillar,Price
2004-01-09,68,
2004-01-16,71,
2004-01-23,72,
2004-01-30,70,
2004-02-06,74,78.50
2004-02-13,68,77.42
2004-02-20,77,76.82
2004-02-27,82,75.75
2004-03-05,79,76.37
2004-03-12,79,74.93
2004-03-19,71,76.30
2004-03-26,78,77.44
2004-04-02,88,81.20
2004-04-09,70,
2004-04-16,88,81.97
2004-04-23,94,81.96
2004-04-30,84,77.73
2004-05-07,79,77.12
2004-05-14,77,75.69
2004-05-21,84,73.03
2004-05-28,85,75.35
2004-06-04,82,75.50
2004-06-11,87,
2004-06-18,77,74.42
2004-06-25,87,78.15
2004-07-02,85,76.72
2004-07-09,77,77.08
2004-07-16,82,77.81
2004-07-23,80,73.22
2004-07-30,83,73.49
2004-08-06,89,70.25
2004-08-13,85,71.75
2004-08-20,86,72.24
2004-08-27,84,73.70
2004-09-03,91,73.56
2004-09-10,90,75.10
2004-09-17,91,76.12
2004-09-24,85,74.76
2004-10-01,98,80.60
2004-10-08,95,79.50
2004-10-15,85,81.09
2004-10-22,88,77.34
2004-10-29,80,80.54
2004-11-05,82,87.17
2004-11-12,74,89.97
2004-11-19,88,90.18
2004-11-26,85,92.80
2004-12-03,86,90.92
2004-12-10,79,91.62
2004-12-17,68,94.24
2004-12-24,60,
2004-12-31,59,97.51
2005-01-07,68,93.38
2005-01-14,79,93.69
2005-01-21,75,89.23
2005-01-28,72,87.46
2005-02-04,70,91.90
2005-02-11,74,92.78
2005-02-18,75,90.84
2005-02-25,79,94.82
2005-03-04,73,99.96
2005-03-11,76,99.00
2005-03-18,74,96.40
2005-03-25,79,
2005-04-01,75,90.15
2005-04-08,86,90.69
2005-04-15,90,83.46
2005-04-22,80,89.81
2005-04-29,78,88.05
2005-05-06,91,90.16
2005-05-13,80,89.00
2005-05-20,83,93.63
2005-05-27,77,94.31
2005-06-03,74,93.97
2005-06-10,85,97.02
2005-06-17,74,100.20
2005-06-24,80,96.86
2005-07-01,76,95.93
2005-07-08,69,98.70
2005-07-15,74,50.67
2005-07-22,83,52.41
2005-07-29,86,53.91
2005-08-05,78,53.61
2005-08-12,78,54.80
2005-08-19,78,54.82
2005-08-26,89,53.49
2005-09-02,78,58.25
2005-09-09,78,58.86
2005-09-16,87,57.72
2005-09-23,91,58.92
2005-09-30,85,58.75
2005-10-07,90,56.62
2005-10-14,83,54.74
2005-10-21,81,48.92
2005-10-28,96,51.07
2005-11-04,75,53.55
2005-11-11,78,54.87
2005-11-18,80,57.28
2005-11-25,76,57.95
2005-12-02,77,58.81
2005-12-09,83,58.09
2005-12-16,75,59.64
2005-12-23,66,58.51
2005-12-30,61,57.77
2006-01-06,69,60.45
2006-01-13,66,62.33
2006-01-20,71,60.78
2006-01-27,76,67.53
2006-02-03,74,68.13
2006-02-10,69,68.75
2006-02-17,73,72.05
2006-02-24,71,72.70
2006-03-03,74,74.61
2006-03-10,74,70.95
2006-03-17,73,76.23
2006-03-24,74,75.50
2006-03-31,77,71.81
2006-04-07,74,74.92
2006-04-14,77,
2006-04-21,77,77.87
2006-04-28,80,75.74
2006-05-05,82,79.98
2006-05-12,77,77.81
2006-05-19,80,72.78
2006-05-26,79,74.42
2006-06-02,87,72.81
2006-06-09,78,67.52
2006-06-16,76,70.55
2006-06-23,68,72.14
2006-06-30,72,74.48
2006-07-07,68,72.58
2006-07-14,70,69.19
2006-07-21,73,68.35
2006-07-28,82,71.21
2006-08-04,85,73.10
2006-08-11,74,67.03
2006-08-18,75,68.31
2006-08-25,81,65.99
2006-09-01,76,67.27
2006-09-08,78,67.32
2006-09-15,79,65.43
2006-09-22,79,62.77
2006-09-29,79,65.80
2006-10-06,78,68.05
2006-10-13,83,69.08
2006-10-20,76,59.00
2006-10-27,76,61.27
2006-11-03,79,60.43
2006-11-10,75,59.60
2006-11-17,73,60.94
2006-11-24,67,62.87
2006-12-01,74,61.19
2006-12-08,73,63.40
2006-12-15,70,61.82
2006-12-22,60,60.59
2006-12-29,53,61.33
2007-01-05,57,60.22
2007-01-12,63,59.74
2007-01-19,65,59.37
2007-01-26,71,61.09
2007-02-02,72,65.25
2007-02-09,70,64.80
2007-02-16,74,67.67
2007-02-23,70,67.26
2007-03-02,69,63.04
2007-03-09,71,64.40
2007-03-16,69,63.16
2007-03-23,71,66.88
2007-03-30,72,67.03
2007-04-06,72,
2007-04-13,72,66.79
2007-04-20,76,71.82
2007-04-27,75,73.76
2007-05-04,76,73.10
2007-05-11,74,74.88
2007-05-18,72,74.77
2007-05-25,73,75.71
2007-06-01,77,78.14
2007-06-08,76,78.52
2007-06-15,76,81.11
2007-06-22,71,80.90
2007-06-29,69,78.30
2007-07-06,68,78.81
2007-07-13,69,85.13
2007-07-20,75,83.20
2007-07-27,71,76.02
2007-08-03,71,78.96
2007-08-10,69,77.55
2007-08-17,72,72.64
2007-08-24,72,76.32
2007-08-31,74,75.77
2007-09-07,73,73.44
2007-09-14,77,73.16
2007-09-21,74,78.16
2007-09-28,75,78.43
2007-10-05,78,80.33
2007-10-12,73,80.30
2007-10-19,76,73.57
2007-10-26,74,75.04
2007-11-02,72,74.76
2007-11-09,74,70.41
2007-11-16,69,69.44
2007-11-23,69,68.63
2007-11-30,71,71.90
2007-12-07,66,74.20
2007-12-14,70,73.39
2007-12-21,62,72.73
2007-12-28,54,73.16
2008-01-04,54,68.53
2008-01-11,68,66.01
2008-01-18,61,62.81
2008-01-25,64,65.93
2008-02-01,64,71.76
2008-02-08,70,68.01
2008-02-15,70,69.95
2008-02-22,72,71.18
2008-02-29,71,72.33
2008-03-07,66,69.84
2008-03-14,73,74.79
2008-03-21,69,
2008-03-28,71,77.09
2008-04-04,72,77.83
2008-04-11,76,74.80
2008-04-18,76,85.28
2008-04-25,83,82.25
2008-05-02,74,82.80
2008-05-09,76,81.76
2008-05-16,74,83.70
2008-05-23,69,81.55
2008-05-30,68,82.64
2008-06-06,70,79.99
2008-06-13,70,81.50
2008-06-20,74,79.08
2008-06-27,68,73.75
2008-07-04,67,
2008-07-11,68,69.81
2008-07-18,68,70.89
2008-07-25,72,70.48
2008-08-01,69,68.14
2008-08-08,71,70.90
2008-08-15,71,70.35
2008-08-22,71,70.27
2008-08-29,78,70.73
2008-09-05,76,64.07
2008-09-12,81,65.46
2008-09-19,79,66.49
2008-09-26,82,64.13
2008-10-03,80,51.21
2008-10-10,80,43.13
2008-10-17,75,39.32
2008-10-24,74,33.30
2008-10-31,77,38.20
2008-11-07,71,38.45
2008-11-14,71,36.96
2008-11-21,69,34.67
2008-11-28,67,40.99
2008-12-05,69,38.26
2008-12-12,70,42.08
2008-12-19,66,42.69
2008-12-26,57,42.72
2009-01-02,56,46.91
2009-01-09,67,43.20
2009-01-16,66,39.55
2009-01-23,62,35.66
2009-01-30,96,30.85
2009-02-06,70,33.28
2009-02-13,76,30.94
2009-02-20,67,26.66
2009-02-27,64,24.61
2009-03-06,70,23.23
2009-03-13,68,26.78
2009-03-20,100,27.07
2009-03-27,73,30.35
2009-04-03,77,32.15
2009-04-10,73,
2009-04-17,75,32.29
2009-04-24,82,33.63
2009-05-01,77,37.26
2009-05-08,75,39.64
2009-05-15,78,35.74
2009-05-22,77,34.31
2009-05-29,69,35.46
2009-06-05,74,38.47
2009-06-12,76,37.73
2009-06-19,68,33.65
2009-06-26,66,34.56
2009-07-03,65,
2009-07-10,64,30.53
2009-07-17,65,33.99
2009-07-24,70,42.00
2009-07-31,71,44.06
2009-08-07,73,47.78
2009-08-14,74,46.00
2009-08-21,78,47.30
2009-08-28,80,46.71
2009-09-04,78,46.11
2009-09-11,82,48.53
2009-09-18,80,53.42
2009-09-25,83,51.20
2009-10-02,76,48.83
2009-10-09,87,53.64
2009-10-16,80,54.57
2009-10-23,83,57.60
2009-10-30,80,55.06
2009-11-06,76,57.60
2009-11-13,75,58.78
2009-11-20,74,57.95
2009-11-27,74,57.45
2009-12-04,72,58.30
2009-12-11,72,57.51
