Date,American Express,Price
2004-01-09,73,
2004-01-16,73,
2004-01-23,72,
2004-01-30,65,
2004-02-06,69,53.06
2004-02-13,70,53.65
2004-02-20,79,53.16
2004-02-27,69,53.42
2004-03-05,78,52.77
2004-03-12,71,52.12
2004-03-19,69,51.08
2004-03-26,66,50.03
2004-04-02,71,52.43
2004-04-09,74,
2004-04-16,72,50.58
2004-04-23,72,50.27
2004-04-30,70,48.95
2004-05-07,68,48.49
2004-05-14,69,48.86
2004-05-21,73,49.63
2004-05-28,76,50.70
2004-06-04,79,50.98
2004-06-11,79,
2004-06-18,78,51.96
2004-06-25,79,51.35
2004-07-02,77,51.24
2004-07-09,83,50.01
2004-07-16,76,48.73
2004-07-23,78,48.11
2004-07-30,79,50.25
2004-08-06,82,49.34
2004-08-13,78,49.35
2004-08-20,75,50.00
2004-08-27,73,50.00
2004-09-03,71,50.26
2004-09-10,72,51.33
2004-09-17,69,51.40
2004-09-24,73,51.21
2004-10-01,77,51.65
2004-10-08,72,52.25
2004-10-15,70,52.50
2004-10-22,65,51.73
2004-10-29,69,53.07
2004-11-05,69,55.12
2004-11-12,72,55.63
2004-11-19,77,55.70
2004-11-26,76,56.11
2004-12-03,92,56.25
2004-12-10,89,55.18
2004-12-17,96,55.91
2004-12-24,99,
2004-12-31,78,56.37
2005-01-07,79,53.76
2005-01-14,73,52.72
2005-01-21,70,51.93
2005-01-28,71,52.80
2005-02-04,72,55.82
2005-02-11,70,55.19
2005-02-18,69,54.13
2005-02-25,69,54.58
2005-03-04,73,54.95
2005-03-11,70,53.54
2005-03-18,68,52.40
2005-03-25,64,
2005-04-01,69,50.90
2005-04-08,61,51.54
2005-04-15,69,50.72
2005-04-22,70,49.81
2005-04-29,67,52.70
2005-05-06,74,53.00
2005-05-13,70,51.75
2005-05-20,72,53.06
2005-05-27,73,53.25
2005-06-03,70,54.18
2005-06-10,75,54.71
2005-06-17,74,54.83
2005-06-24,77,53.61
2005-07-01,78,53.54
2005-07-08,75,53.93
2005-07-15,82,53.76
2005-07-22,81,54.57
2005-07-29,78,55.00
2005-08-05,84,55.81
2005-08-12,77,56.67
2005-08-19,76,56.10
2005-08-26,74,55.01
2005-09-02,75,55.36
