Date,sell WalMart,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,57.58
2004-02-13,0,56.32
2004-02-20,0,59.43
2004-02-27,0,59.56
2004-03-05,0,60.24
2004-03-12,0,58.48
2004-03-19,0,58.60
2004-03-26,0,59.41
2004-04-02,0,58.60
2004-04-09,0,
2004-04-16,0,58.44
2004-04-23,0,58.97
2004-04-30,0,57.00
2004-05-07,0,53.90
2004-05-14,0,55.06
2004-05-21,0,55.09
2004-05-28,0,55.73
2004-06-04,0,56.59
2004-06-11,0,
2004-06-18,0,55.62
2004-06-25,0,52.51
2004-07-02,0,51.93
2004-07-09,0,51.76
2004-07-16,0,52.65
2004-07-23,0,53.16
2004-07-30,0,53.01
2004-08-06,0,51.33
2004-08-13,0,53.40
2004-08-20,0,54.65
2004-08-27,0,53.56
2004-09-03,0,53.25
2004-09-10,0,53.45
2004-09-17,0,52.48
2004-09-24,0,52.81
2004-10-01,0,53.13
2004-10-08,0,52.85
2004-10-15,0,52.53
2004-10-22,0,51.99
2004-10-29,0,53.92
2004-11-05,0,56.47
2004-11-12,0,56.85
2004-11-19,0,55.25
2004-11-26,0,55.32
2004-12-03,0,52.93
2004-12-10,0,52.71
2004-12-17,0,52.02
2004-12-24,0,
2004-12-31,0,52.82
2005-01-07,0,53.99
2005-01-14,0,53.99
2005-01-21,0,53.01
2005-01-28,0,52.43
2005-02-04,0,53.46
2005-02-11,0,52.10
2005-02-18,0,52.72
2005-02-25,0,51.49
2005-03-04,0,53.10
2005-03-11,0,51.60
2005-03-18,0,51.45
2005-03-25,0,
2005-04-01,0,48.99
2005-04-08,0,48.57
2005-04-15,0,47.70
2005-04-22,0,46.81
2005-04-29,0,47.14
2005-05-06,0,48.96
2005-05-13,0,47.13
2005-05-20,0,47.18
2005-05-27,0,47.27
2005-06-03,0,47.35
2005-06-10,0,47.98
2005-06-17,0,48.93
2005-06-24,0,47.37
2005-07-01,0,48.28
2005-07-08,0,49.90
2005-07-15,0,50.25
2005-07-22,0,49.54
2005-07-29,0,49.35
2005-08-05,0,49.32
2005-08-12,0,48.70
2005-08-19,0,46.58
2005-08-26,0,45.70
2005-09-02,0,44.55
2005-09-09,0,45.89
2005-09-16,11,43.87
2005-09-23,0,43.20
2005-09-30,0,43.82
2005-10-07,0,44.03
2005-10-14,0,45.04
2005-10-21,0,45.72
2005-10-28,0,45.50
2005-11-04,0,47.69
2005-11-11,0,49.00
2005-11-18,0,49.50
2005-11-25,10,50.49
2005-12-02,10,47.97
2005-12-09,12,48.08
2005-12-16,14,49.27
2005-12-23,13,48.34
2005-12-30,11,46.80
2006-01-06,11,45.88
2006-01-13,11,45.40
2006-01-20,11,45.00
2006-01-27,10,45.84
2006-02-03,10,45.49
2006-02-10,10,45.75
2006-02-17,10,46.10
2006-02-24,10,45.45
2006-03-03,10,45.33
2006-03-10,9,45.33
2006-03-17,9,46.69
2006-03-24,9,48.19
2006-03-31,12,47.24
2006-04-07,8,46.02
2006-04-14,9,
2006-04-21,9,45.82
2006-04-28,9,45.03
2006-05-05,10,47.25
2006-05-12,10,46.54
2006-05-19,10,47.32
2006-05-26,10,49.65
2006-06-02,10,47.83
2006-06-09,10,47.13
2006-06-16,0,48.31
2006-06-23,0,47.94
2006-06-30,0,48.17
2006-07-07,0,46.00
2006-07-14,0,43.05
2006-07-21,12,43.72
2006-07-28,9,44.46
2006-08-04,10,44.87
2006-08-11,10,44.69
2006-08-18,10,44.49
2006-08-25,9,43.88
2006-09-01,9,45.45
2006-09-08,9,46.72
2006-09-15,10,48.22
2006-09-22,11,48.29
2006-09-29,10,49.32
2006-10-06,8,48.32
2006-10-13,8,48.46
2006-10-20,7,49.37
2006-10-27,14,50.73
2006-11-03,8,47.53
2006-11-10,10,46.47
2006-11-17,7,47.50
2006-11-24,13,47.90
2006-12-01,10,45.87
2006-12-08,10,46.35
2006-12-15,16,46.45
2006-12-22,14,45.54
2006-12-29,11,46.18
2007-01-05,9,47.39
2007-01-12,10,47.98
2007-01-19,9,48.31
2007-01-26,12,47.67
2007-02-02,7,48.08
2007-02-09,7,47.97
2007-02-16,7,48.48
2007-02-23,9,49.57
2007-03-02,5,47.81
2007-03-09,10,47.42
2007-03-16,8,46.21
2007-03-23,7,47.91
2007-03-30,6,46.95
2007-04-06,8,
2007-04-13,6,47.41
2007-04-20,9,49.76
2007-04-27,8,48.34
2007-05-04,9,48.27
2007-05-11,10,47.78
2007-05-18,11,47.27
2007-05-25,9,46.91
2007-06-01,10,49.47
2007-06-08,13,50.08
2007-06-15,12,49.34
2007-06-22,10,47.83
2007-06-29,8,48.11
2007-07-06,9,48.39
2007-07-13,12,49.15
2007-07-20,16,48.06
2007-07-27,12,45.94
2007-08-03,7,45.52
2007-08-10,11,46.07
2007-08-17,8,43.49
2007-08-24,10,43.74
2007-08-31,10,43.63
2007-09-07,11,42.39
2007-09-14,14,43.32
2007-09-21,11,44.23
2007-09-28,11,43.65
2007-10-05,9,45.37
2007-10-12,10,47.06
2007-10-19,10,44.98
2007-10-26,9,44.64
2007-11-02,12,44.19
2007-11-09,13,42.90
2007-11-16,12,46.34
2007-11-23,18,45.73
2007-11-30,14,47.90
2007-12-07,14,49.02
2007-12-14,16,47.63
2007-12-21,15,48.21
2007-12-28,15,48.08
2008-01-04,13,45.72
2008-01-11,13,47.72
2008-01-18,10,47.58
2008-01-25,11,48.09
2008-02-01,13,51.18
2008-02-08,12,48.76
2008-02-15,10,49.44
2008-02-22,9,49.97
2008-02-29,10,49.59
2008-03-07,12,49.90
2008-03-14,9,49.82
2008-03-21,11,
2008-03-28,11,52.12
2008-04-04,11,54.40
2008-04-11,11,54.80
2008-04-18,10,56.31
2008-04-25,14,57.65
2008-05-02,12,57.50
2008-05-09,14,57.18
2008-05-16,13,57.04
2008-05-23,16,55.75
2008-05-30,12,57.74
2008-06-06,12,58.37
2008-06-13,12,59.18
2008-06-20,13,56.26
2008-06-27,15,56.30
2008-07-04,14,
2008-07-11,16,56.29
2008-07-18,18,57.92
2008-07-25,16,56.83
2008-08-01,16,57.75
2008-08-08,17,57.86
2008-08-15,16,59.37
2008-08-22,16,59.44
2008-08-29,13,59.07
2008-09-05,15,60.74
2008-09-12,12,62.41
2008-09-19,16,59.70
2008-09-26,15,60.71
2008-10-03,16,59.73
2008-10-10,18,50.95
2008-10-17,16,53.77
2008-10-24,14,51.40
2008-10-31,13,55.81
2008-11-07,18,54.39
2008-11-14,15,52.71
2008-11-21,16,52.92
2008-11-28,23,55.88
2008-12-05,22,58.21
2008-12-12,28,54.63
2008-12-19,25,55.74
2008-12-26,32,55.35
2009-01-02,29,57.18
2009-01-09,15,51.58
2009-01-16,19,51.56
2009-01-23,17,48.35
2009-01-30,19,47.12
2009-02-06,18,49.63
2009-02-13,16,46.53
2009-02-20,15,50.02
2009-02-27,19,49.24
2009-03-06,19,48.91
2009-03-13,16,49.19
2009-03-20,21,49.59
2009-03-27,15,52.57
2009-04-03,20,53.80
2009-04-10,19,
2009-04-17,20,50.20
2009-04-24,21,47.87
2009-05-01,19,50.05
2009-05-08,19,50.14
2009-05-15,17,48.15
2009-05-22,20,49.25
2009-05-29,20,49.74
2009-06-05,18,51.07
2009-06-12,21,49.84
2009-06-19,26,48.17
2009-06-26,21,48.63
2009-07-03,23,
2009-07-10,21,47.57
2009-07-17,20,48.49
2009-07-24,24,48.94
2009-07-31,23,49.88
2009-08-07,29,49.29
2009-08-14,24,51.79
2009-08-21,28,51.36
2009-08-28,27,51.13
2009-09-04,24,51.68
2009-09-11,24,50.72
2009-09-18,20,50.11
2009-09-25,24,49.47
2009-10-02,24,49.08
2009-10-09,23,49.97
2009-10-16,21,51.22
2009-10-23,24,50.44
2009-10-30,36,49.68
2009-11-06,28,51.25
2009-11-13,28,53.20
2009-11-20,30,54.28
2009-11-27,27,54.63
2009-12-04,29,54.24
2009-12-11,30,54.65
2009-12-18,35,52.85
2009-12-25,43,
2010-01-01,37,
2010-01-08,25,53.33
2010-01-15,25,53.68
2010-01-22,25,52.94
2010-01-29,28,53.43
2010-02-05,25,53.45
2010-02-12,27,52.90
2010-02-19,24,53.49
2010-02-26,21,54.07
2010-03-05,25,54.14
2010-03-12,22,53.90
2010-03-19,22,55.34
2010-03-26,24,55.51
2010-04-02,24,
2010-04-09,25,55.07
2010-04-16,23,54.11
2010-04-23,24,54.53
2010-04-30,28,53.64
2010-05-07,25,52.40
2010-05-14,23,52.12
2010-05-21,28,51.37
2010-05-28,33,50.56
2010-06-04,29,50.40
2010-06-11,27,50.86
2010-06-18,34,51.55
2010-06-25,34,48.80
2010-07-02,39,48.00
2010-07-09,35,49.43
2010-07-16,34,49.67
2010-07-23,37,51.67
2010-07-30,35,51.19
2010-08-06,39,51.79
2010-08-13,32,50.40
2010-08-20,40,50.22
2010-08-27,36,51.00
2010-09-03,32,52.04
2010-09-10,33,51.97
2010-09-17,28,53.01
2010-09-24,28,54.08
2010-10-01,27,53.36
2010-10-08,33,54.41
2010-10-15,30,53.35
2010-10-22,33,54.06
2010-10-29,39,54.17
2010-11-05,36,55.20
2010-11-12,34,54.13
2010-11-19,36,54.39
2010-11-26,47,53.74
2010-12-03,39,54.62
2010-12-10,40,54.28
2010-12-17,43,54.41
2010-12-24,57,
2010-12-31,44,53.93
2011-01-07,33,54.08
2011-01-14,32,54.81
2011-01-21,35,55.73
2011-01-28,32,56.70
2011-02-04,33,56.03
2011-02-11,32,55.69
2011-02-18,33,55.38
2011-02-25,35,51.75
2011-03-04,36,52.07
2011-03-11,38,52.59
2011-03-18,33,51.52
2011-03-25,32,52.35
2011-04-01,33,52.13
2011-04-08,39,52.54
2011-04-15,35,53.55
2011-04-22,39,
2011-04-29,37,54.98
2011-05-06,37,55.02
2011-05-13,35,55.72
2011-05-20,36,55.29
2011-05-27,36,54.70
2011-06-03,39,53.66
2011-06-10,39,52.72
2011-06-17,38,52.82
2011-06-24,42,52.41
2011-07-01,43,53.51
2011-07-08,39,54.08
2011-07-15,40,53.63
2011-07-22,41,54.52
2011-07-29,41,52.71
2011-08-05,44,50.85
2011-08-12,38,49.75
2011-08-19,46,52.30
2011-08-26,40,52.90
2011-09-02,35,52.03
2011-09-09,32,51.36
2011-09-16,41,52.65
2011-09-23,37,50.80
2011-09-30,34,51.90
2011-10-07,37,53.70
2011-10-14,38,55.46
2011-10-21,38,56.92
2011-10-28,41,57.15
2011-11-04,40,57.50
2011-11-11,44,59.20
2011-11-18,41,57.23
2011-11-25,51,56.89
2011-12-02,44,58.09
2011-12-09,44,58.32
2011-12-16,46,58.27
2011-12-23,66,59.99
2011-12-30,55,59.76
2012-01-06,47,59.00
2012-01-13,40,59.54
2012-01-20,38,61.01
2012-01-27,35,60.71
2012-02-03,42,62.03
2012-02-10,40,61.90
2012-02-17,39,62.48
2012-02-24,42,58.79
2012-03-02,37,59.01
2012-03-09,45,60.08
2012-03-16,44,60.84
2012-03-23,42,60.75
2012-03-30,37,61.20
2012-04-06,46,
2012-04-13,47,59.77
2012-04-20,42,62.45
2012-04-27,43,59.03
2012-05-04,48,58.70
2012-05-11,44,59.42
2012-05-18,42,62.43
2012-05-25,44,65.31
2012-06-01,51,65.55
2012-06-08,51,68.22
2012-06-15,51,67.75
2012-06-22,53,67.30
2012-06-29,54,69.72
2012-07-06,54,71.36
2012-07-13,54,73.18
2012-07-20,55,72.25
2012-07-27,54,74.52
2012-08-03,58,74.55
2012-08-10,60,73.68
2012-08-17,59,71.99
2012-08-24,58,72.11
2012-08-31,53,72.60
2012-09-07,50,73.82
2012-09-14,57,74.50
2012-09-21,55,74.45
2012-09-28,56,73.80
2012-10-05,48,75.13
2012-10-12,56,75.81
2012-10-19,52,75.62
2012-10-26,58,75.11
2012-11-02,55,72.77
2012-11-09,57,72.31
2012-11-16,57,68.03
2012-11-23,72,70.20
2012-11-30,61,72.02
2012-12-07,58,72.29
2012-12-14,62,68.75
2012-12-21,86,68.65
2012-12-28,87,67.61
2013-01-04,66,69.06
2013-01-11,59,68.63
2013-01-18,56,69.20
2013-01-25,54,69.00
2013-02-01,54,70.49
2013-02-08,52,71.48
2013-02-15,55,69.30
2013-02-22,52,70.40
2013-03-01,52,71.74
2013-03-08,53,73.03
2013-03-15,54,72.50
2013-03-22,53,74.28
2013-03-29,51,
2013-04-05,56,76.39
2013-04-12,50,78.56
2013-04-19,50,78.29
2013-04-26,54,79.04
2013-05-03,50,79.25
2013-05-10,54,78.89
2013-05-17,52,77.87
2013-05-24,52,77.31
2013-05-31,57,74.84
2013-06-07,58,76.33
2013-06-14,57,74.87
2013-06-21,56,73.51
2013-06-28,62,74.49
2013-07-05,67,75.21
2013-07-12,63,77.63
2013-07-19,63,78.08
2013-07-26,63,78.00
2013-08-02,59,78.75
2013-08-09,63,76.90
2013-08-16,65,74.11
2013-08-23,65,73.44
2013-08-30,55,72.98
2013-09-06,68,72.59
2013-09-13,63,74.36
2013-09-20,58,75.83
2013-09-27,52,74.36
2013-10-04,56,72.80
2013-10-11,55,74.82
2013-10-18,55,75.71
2013-10-25,57,76.08
2013-11-01,63,77.07
2013-11-08,55,77.96
2013-11-15,62,79.22
2013-11-22,64,79.81
2013-11-29,80,81.01
2013-12-06,66,79.94
2013-12-13,63,78.08
2013-12-20,82,77.43
2013-12-27,100,78.47
2014-01-03,72,78.65
2014-01-10,58,78.04
2014-01-17,54,76.19
2014-01-24,55,74.42
2014-01-31,55,74.68
2014-02-07,51,73.75
2014-02-14,61,75.79
2014-02-21,54,73.12
2014-02-28,52,74.70
2014-03-07,55,74.58
2014-03-14,52,74.28
2014-03-21,50,76.10
2014-03-28,56,76.01
2014-04-04,55,77.31
2014-04-11,51,76.50
2014-04-18,62,
2014-04-25,60,78.62
2014-05-02,58,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
