"Date","FTR","Price"
2004-02-06,85,12.27
2004-02-13,62,12.33
2004-02-20,78,12.45
2004-02-27,55,13.18
2004-03-05,69,12.87
2004-03-12,47,12.71
2004-03-19,47,12.72
2004-03-26,48,12.61
2004-04-02,49,12.94
2004-04-16,36,12.91
2004-04-23,36,13.25
2004-04-30,66,13.04
2004-05-07,45,13.2
2004-05-14,38,13
2004-05-21,68,12.79
2004-05-28,76,12.7
2004-06-04,49,12.67
2004-06-18,55,12.96
2004-06-25,51,12.56
2004-07-02,85,13.11
2004-07-09,55,13.11
2004-07-16,100,14.53
2004-07-23,75,14.3
2004-07-30,95,14.4
2004-08-06,67,13.81
2004-08-13,71,14.29
2004-08-20,70,12.55
2004-08-27,62,12.66
2004-09-03,64,12.63
2004-09-10,94,12.65
2004-09-17,88,13.08
2004-09-24,62,13.38
2004-10-01,46,13.36
2004-10-08,39,13.29
2004-10-15,43,13.37
2004-10-22,49,13.48
2004-10-29,54,13.4
2004-11-05,54,13.9
2004-11-12,76,14.32
2004-11-19,88,14.09
2004-11-26,42,14.35
2004-12-03,49,14.54
2004-12-10,35,14.1
2004-12-17,69,13.75
2004-12-31,65,13.79
2005-01-07,46,13.85
2005-01-14,76,13.64
2005-01-21,48,13.23
2005-01-28,53,13.36
2005-02-04,84,13.65
2005-02-11,70,13.41
2005-02-18,71,13.06
2005-02-25,61,13.36
2005-03-04,80,13.21
2005-03-11,68,13.06
2005-03-18,72,12.59
2005-04-01,76,12.95
2005-04-08,83,12.73
2005-04-15,67,12.31
2005-04-22,61,12.39
2005-04-29,64,12.75
2005-05-06,53,12.86
2005-05-13,76,12.67
2005-05-20,76,13.05
2005-05-27,57,13.58
2005-06-03,58,13.39
2005-06-10,84,13.3
2005-06-17,72,13.53
2005-06-24,53,13.09
2005-07-01,66,13.45
2005-07-08,53,13.16
2005-07-15,35,13.4
2005-07-22,50,13.23
2005-07-29,79,13.14
2005-08-05,62,13.56
2005-08-12,69,13.56
2005-08-19,54,13.8
2005-08-26,65,13.46
2005-09-02,63,13.64
2005-09-09,64,13.61
2005-09-16,53,13.7
2005-09-23,65,13.32
2005-09-30,42,13.55
2005-10-07,51,13.05
2005-10-14,53,12.36
2005-10-21,46,12.24
2005-10-28,63,12.16
2005-11-04,56,12.71
2005-11-11,62,12.56
2005-11-18,67,12.71
2005-11-25,47,12.86
2005-12-02,55,12.54
2005-12-09,51,12.69
2005-12-16,56,12.85
2005-12-23,55,12.49
2005-12-30,78,12.23
2006-01-06,55,12.37
2006-01-13,62,12.33
2006-01-20,73,12.14
2006-01-27,58,12.35
2006-02-03,45,12.26
2006-02-10,54,12.33
2006-02-17,52,12.83
2006-02-24,50,13.2
2006-03-03,59,13.55
2006-03-10,58,13.64
2006-03-17,59,13.55
2006-03-24,51,13.69
2006-03-31,57,13.27
2006-04-07,67,13.22
2006-04-21,60,13.58
2006-04-28,63,13.28
2006-05-05,60,13.17
2006-05-12,81,13.17
2006-05-19,60,12.68
2006-05-26,67,12.77
