Date,Chevron Corporation,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,85.42
2004-02-13,0,86.52
2004-02-20,0,86.61
2004-02-27,0,88.35
2004-03-05,0,90.22
2004-03-12,0,88.45
2004-03-19,0,88.20
2004-03-26,0,85.34
2004-04-02,0,88.03
2004-04-09,0,
2004-04-16,0,91.73
2004-04-23,0,91.69
2004-04-30,0,91.50
2004-05-07,0,91.65
2004-05-14,0,92.69
2004-05-21,0,89.61
2004-05-28,0,90.40
2004-06-04,0,90.20
2004-06-11,0,
2004-06-18,0,93.42
2004-06-25,0,93.39
2004-07-02,0,93.25
2004-07-09,0,93.95
2004-07-16,0,95.40
2004-07-23,0,93.70
2004-07-30,0,95.65
2004-08-06,0,93.82
2004-08-13,0,95.60
2004-08-20,0,94.18
2004-08-27,0,95.25
2004-09-03,0,99.77
2004-09-10,0,100.05
2004-09-17,0,51.94
2004-09-24,0,52.83
2004-10-01,0,53.92
2004-10-08,0,55.29
2004-10-15,0,53.40
2004-10-22,0,53.34
2004-10-29,0,53.06
2004-11-05,0,54.53
2004-11-12,0,54.57
2004-11-19,0,53.90
2004-11-26,0,54.84
2004-12-03,0,52.59
2004-12-10,0,52.60
2004-12-17,0,51.72
2004-12-24,0,
2004-12-31,0,52.51
2005-01-07,0,51.15
2005-01-14,0,52.30
2005-01-21,0,51.98
2005-01-28,0,53.72
2005-02-04,0,56.74
2005-02-11,0,58.16
2005-02-18,0,59.73
2005-02-25,0,61.94
2005-03-04,0,61.71
2005-03-11,0,58.30
2005-03-18,0,60.38
2005-03-25,0,
2005-04-01,0,59.31
2005-04-08,0,56.69
2005-04-15,0,52.21
2005-04-22,0,53.87
2005-04-29,0,52.00
2005-05-06,0,52.74
2005-05-13,0,51.28
2005-05-20,0,51.72
2005-05-27,0,54.58
2005-06-03,0,55.06
2005-06-10,0,56.30
2005-06-17,0,58.97
2005-06-24,0,56.69
2005-07-01,0,56.97
2005-07-08,0,57.36
2005-07-15,0,56.67
2005-07-22,0,57.79
2005-07-29,0,58.01
2005-08-05,0,60.34
2005-08-12,0,62.28
2005-08-19,0,59.92
2005-08-26,0,59.38
2005-09-02,0,62.30
2005-09-09,0,63.81
2005-09-16,0,63.38
2005-09-23,0,63.27
2005-09-30,0,64.73
2005-10-07,0,61.00
2005-10-14,0,59.48
2005-10-21,0,56.30
2005-10-28,0,57.38
2005-11-04,0,58.01
2005-11-11,0,56.63
2005-11-18,0,58.11
2005-11-25,0,58.54
2005-12-02,0,59.18
2005-12-09,0,58.82
2005-12-16,0,57.51
2005-12-23,0,57.13
2005-12-30,0,56.77
2006-01-06,0,59.25
2006-01-13,0,60.36
2006-01-20,0,61.12
2006-01-27,0,60.38
2006-02-03,0,57.50
2006-02-10,0,56.61
2006-02-17,0,57.17
2006-02-24,0,57.65
2006-03-03,0,56.97
2006-03-10,0,54.08
2006-03-17,0,57.18
2006-03-24,0,57.57
2006-03-31,0,57.97
2006-04-07,0,58.65
2006-04-14,0,
2006-04-21,0,61.48
2006-04-28,0,61.02
2006-05-05,0,62.35
2006-05-12,0,61.38
2006-05-19,0,58.47
2006-05-26,0,59.83
2006-06-02,0,60.75
2006-06-09,0,57.53
2006-06-16,0,58.71
2006-06-23,0,58.71
2006-06-30,0,62.06
2006-07-07,0,63.68
2006-07-14,0,66.38
2006-07-21,0,64.45
2006-07-28,0,66.05
2006-08-04,0,65.66
2006-08-11,0,67.85
2006-08-18,0,67.26
2006-08-25,0,66.77
2006-09-01,0,64.83
2006-09-08,0,64.22
2006-09-15,0,61.79
2006-09-22,0,61.94
2006-09-29,0,64.86
2006-10-06,0,63.66
2006-10-13,0,64.20
2006-10-20,0,65.28
2006-10-27,0,67.68
2006-11-03,0,68.91
2006-11-10,0,69.54
2006-11-17,94,69.10
2006-11-24,0,68.84
2006-12-01,0,73.11
2006-12-08,0,72.83
2006-12-15,0,75.38
2006-12-22,0,72.73
2006-12-29,0,73.53
2007-01-05,0,70.55
2007-01-12,0,70.35
2007-01-19,0,72.32
2007-01-26,0,71.50
2007-02-02,0,74.04
2007-02-09,0,73.32
2007-02-16,0,70.81
2007-02-23,0,71.07
2007-03-02,88,66.79
2007-03-09,79,68.47
2007-03-16,79,68.08
2007-03-23,79,73.70
2007-03-30,79,73.96
2007-04-06,79,
2007-04-13,0,77.01
2007-04-20,0,78.45
2007-04-27,0,78.08
2007-05-04,0,79.30
2007-05-11,0,80.04
2007-05-18,0,82.85
2007-05-25,0,81.13
2007-06-01,0,82.23
2007-06-08,0,80.69
2007-06-15,0,83.17
2007-06-22,81,81.55
2007-06-29,66,84.24
2007-07-06,76,87.68
2007-07-13,87,93.33
2007-07-20,0,92.12
2007-07-27,0,85.20
2007-08-03,0,81.02
2007-08-10,0,83.42
2007-08-17,0,84.36
2007-08-24,0,87.22
2007-08-31,0,87.76
2007-09-07,0,87.65
2007-09-14,60,90.65
2007-09-21,60,94.84
2007-09-28,73,93.58
2007-10-05,87,92.32
2007-10-12,100,91.41
2007-10-19,61,89.27
2007-10-26,61,91.65
2007-11-02,55,88.48
2007-11-09,55,87.26
2007-11-16,55,85.98
2007-11-23,59,86.67
2007-11-30,62,87.77
2007-12-07,66,90.96
2007-12-14,69,92.02
2007-12-21,61,94.04
2007-12-28,61,94.86
2008-01-04,61,93.35
2008-01-11,61,90.67
2008-01-18,61,83.46
2008-01-25,50,81.82
2008-02-01,70,82.49
2008-02-08,52,79.26
2008-02-15,50,83.60
2008-02-22,60,85.42
2008-02-29,59,86.66
2008-03-07,58,85.26
2008-03-14,63,85.34
2008-03-21,68,
2008-03-28,73,84.50
2008-04-04,63,88.05
2008-04-11,58,88.80
2008-04-18,58,93.18
2008-04-25,58,92.69
2008-05-02,55,95.32
2008-05-09,58,97.39
2008-05-16,62,100.38
2008-05-23,52,100.73
2008-05-30,52,99.15
2008-06-06,60,99.50
2008-06-13,67,99.40
2008-06-20,48,96.62
2008-06-27,48,97.80
2008-07-04,48,
2008-07-11,49,92.25
2008-07-18,54,86.05
2008-07-25,59,82.56
2008-08-01,49,84.31
2008-08-08,49,84.40
2008-08-15,50,84.25
2008-08-22,46,88.10
2008-08-29,46,86.32
2008-09-05,49,80.22
2008-09-12,65,84.24
2008-09-19,61,87.80
2008-09-26,51,86.95
2008-10-03,56,79.38
2008-10-10,55,57.83
2008-10-17,54,62.35
2008-10-24,45,63.91
2008-10-31,62,74.60
2008-11-07,71,73.46
2008-11-14,68,72.68
2008-11-21,68,70.49
2008-11-28,64,79.01
2008-12-05,61,74.42
2008-12-12,61,79.00
2008-12-19,57,70.85
2008-12-26,59,70.35
2009-01-02,61,76.52
2009-01-09,63,72.82
2009-01-16,65,71.74
2009-01-23,37,70.82
2009-01-30,41,70.52
2009-02-06,44,74.90
2009-02-13,69,69.73
2009-02-20,40,65.07
2009-02-27,62,60.71
2009-03-06,54,58.27
2009-03-13,53,62.91
2009-03-20,51,64.71
2009-03-27,44,68.90
2009-04-03,44,70.48
2009-04-10,46,
2009-04-17,44,66.01
2009-04-24,39,66.60
2009-05-01,51,66.87
2009-05-08,43,70.38
2009-05-15,42,65.88
2009-05-22,66,64.44
2009-05-29,49,66.67
2009-06-05,38,69.37
2009-06-12,69,72.67
2009-06-19,58,68.06
2009-06-26,57,65.95
2009-07-03,57,
2009-07-10,57,61.40
2009-07-17,43,65.12
2009-07-24,43,68.43
2009-07-31,45,69.47
2009-08-07,47,69.50
2009-08-14,35,68.63
2009-08-21,46,69.73
2009-08-28,64,70.68
2009-09-04,46,68.96
2009-09-11,52,70.75
2009-09-18,54,72.64
2009-09-25,58,70.66
2009-10-02,32,68.14
2009-10-09,47,72.76
2009-10-16,44,76.81
2009-10-23,68,76.68
2009-10-30,45,76.54
2009-11-06,36,77.53
2009-11-13,36,77.94
2009-11-20,39,76.77
2009-11-27,52,78.17
2009-12-04,65,78.07
2009-12-11,57,77.76
2009-12-18,30,76.90
2009-12-25,40,
2010-01-01,49,
2010-01-08,58,79.47
2010-01-15,45,79.23
2010-01-22,53,74.59
2010-01-29,55,72.12
2010-02-05,39,71.18
2010-02-12,52,71.01
2010-02-19,65,74.05
2010-02-26,53,72.30
2010-03-05,38,74.30
2010-03-12,35,73.72
2010-03-19,52,74.98
2010-03-26,65,74.43
2010-04-02,57,
2010-04-09,34,79.50
2010-04-16,38,80.75
2010-04-23,46,82.67
2010-04-30,61,81.44
2010-05-07,33,77.10
2010-05-14,45,77.83
2010-05-21,39,74.48
2010-05-28,45,73.87
2010-06-04,40,71.28
2010-06-11,36,74.06
2010-06-18,34,75.52
2010-06-25,39,70.06
2010-07-02,51,67.31
2010-07-09,30,71.84
2010-07-16,29,71.50
2010-07-23,29,73.52
2010-07-30,45,76.21
2010-08-06,43,78.73
2010-08-13,47,77.40
2010-08-20,43,75.05
2010-08-27,33,74.93
2010-09-03,32,78.00
2010-09-10,39,78.82
2010-09-17,46,78.46
2010-09-24,46,80.12
2010-10-01,54,81.95
2010-10-08,38,83.94
2010-10-15,62,83.61
2010-10-22,26,84.55
2010-10-29,51,82.60
2010-11-05,34,84.98
2010-11-12,57,85.44
2010-11-19,25,83.94
2010-11-26,46,82.05
2010-12-03,40,84.89
2010-12-10,45,87.03
2010-12-17,36,88.49
2010-12-24,25,
2010-12-31,32,91.25
2011-01-07,38,91.19
2011-01-14,49,92.83
2011-01-21,40,93.78
2011-01-28,33,93.37
2011-02-04,46,97.11
2011-02-11,35,96.45
2011-02-18,33,98.72
2011-02-25,45,102.10
2011-03-04,20,103.75
2011-03-11,37,99.93
2011-03-18,41,102.80
2011-03-25,45,106.78
2011-04-01,39,108.32
2011-04-08,29,109.66
2011-04-15,51,106.24
2011-04-22,45,
2011-04-29,32,109.44
2011-05-06,56,102.88
2011-05-13,37,102.39
2011-05-20,34,102.57
2011-05-27,35,103.21
2011-06-03,42,101.00
2011-06-10,26,99.67
2011-06-17,27,99.17
2011-06-24,29,97.90
2011-07-01,45,104.09
2011-07-08,31,105.89
2011-07-15,37,106.19
2011-07-22,32,108.97
2011-07-29,47,104.02
2011-08-05,22,97.61
2011-08-12,28,95.86
2011-08-19,46,93.29
2011-08-26,39,96.85
2011-09-02,33,96.41
2011-09-09,24,95.19
2011-09-16,35,99.63
2011-09-23,26,90.01
2011-09-30,24,92.59
2011-10-07,25,94.40
2011-10-14,39,100.47
2011-10-21,34,105.53
2011-10-28,45,109.64
2011-11-04,18,106.43
2011-11-11,20,107.05
2011-11-18,23,97.88
2011-11-25,30,92.29
2011-12-02,31,101.69
2011-12-09,36,104.25
2011-12-16,24,100.86
2011-12-23,35,107.50
2011-12-30,30,106.40
2012-01-06,30,108.31
2012-01-13,51,106.09
2012-01-20,29,106.89
2012-01-27,39,103.96
2012-02-03,23,105.50
2012-02-10,29,105.28
2012-02-17,36,106.66
2012-02-24,52,109.08
2012-03-02,28,109.61
2012-03-09,26,109.57
2012-03-16,32,110.28
2012-03-23,39,106.36
2012-03-30,53,107.21
2012-04-06,33,
2012-04-13,34,100.78
2012-04-20,46,102.52
2012-04-27,45,106.20
2012-05-04,20,103.72
2012-05-11,35,102.69
2012-05-18,27,98.46
2012-05-25,61,98.86
2012-06-01,46,96.41
2012-06-08,44,100.84
2012-06-15,31,104.33
2012-06-22,38,100.44
2012-06-29,41,105.50
2012-07-06,27,105.07
2012-07-13,32,106.01
2012-07-20,33,109.19
2012-07-27,51,109.26
2012-08-03,34,111.12
2012-08-10,29,113.55
2012-08-17,33,112.66
2012-08-24,42,112.01
2012-08-31,45,112.16
2012-09-07,40,114.00
2012-09-14,41,117.25
2012-09-21,31,117.80
2012-09-28,45,116.56
2012-10-05,28,117.50
2012-10-12,26,112.07
2012-10-19,29,113.38
2012-10-26,42,111.18
2012-11-02,42,108.37
2012-11-09,33,105.84
2012-11-16,20,102.40
2012-11-23,37,105.47
2012-11-30,25,105.69
2012-12-07,36,106.99
2012-12-14,31,107.82
2012-12-21,30,109.71
2012-12-28,17,106.45
2013-01-04,17,110.50
2013-01-11,23,111.73
2013-01-18,22,115.24
2013-01-25,28,116.20
2013-02-01,29,116.50
2013-02-08,42,115.64
2013-02-15,27,114.96
2013-02-22,36,115.96
2013-03-01,38,116.90
2013-03-08,47,118.57
2013-03-15,37,119.68
2013-03-22,32,121.18
2013-03-29,47,
2013-04-05,17,117.52
2013-04-12,38,119.94
2013-04-19,35,115.90
2013-04-26,37,120.04
2013-05-03,42,123.49
2013-05-10,39,123.23
2013-05-17,29,123.42
2013-05-24,32,125.45
2013-05-31,29,122.75
2013-06-07,24,121.70
2013-06-14,31,120.28
2013-06-21,31,118.93
2013-06-28,26,118.34
2013-07-05,25,120.51
2013-07-12,27,124.06
2013-07-19,23,126.91
2013-07-26,36,127.56
2013-08-02,24,124.95
2013-08-09,34,122.50
2013-08-16,21,119.88
2013-08-23,28,119.53
2013-08-30,38,120.43
2013-09-06,18,121.21
2013-09-13,30,124.14
2013-09-20,40,124.92
2013-09-27,34,122.64
2013-10-04,25,118.13
2013-10-11,26,117.67
2013-10-18,23,119.65
2013-10-25,30,120.59
2013-11-01,31,118.01
2013-11-08,26,121.19
2013-11-15,25,120.06
2013-11-22,27,124.03
2013-11-29,24,122.44
2013-12-06,36,122.29
2013-12-13,34,119.90
2013-12-20,21,122.78
2013-12-27,16,125.23
2014-01-03,23,124.35
2014-01-10,26,121.01
2014-01-17,34,119.29
2014-01-24,41,116.29
2014-01-31,37,111.63
2014-02-07,41,112.05
2014-02-14,37,113.48
2014-02-21,34,112.68
2014-02-28,40,115.33
2014-03-07,36,115.08
2014-03-14,28,114.10
2014-03-21,25,115.63
2014-03-28,27,118.50
2014-04-04,29,118.80
2014-04-11,32,117.03
2014-04-18,21,
2014-04-25,29,123.99
2014-05-02,0,
