Date,"AT&T, Inc.",Price
2004-01-09,63,
2004-01-16,65,
2004-01-23,65,
2004-01-30,63,
2004-02-06,78,26.02
2004-02-13,66,25.05
2004-02-20,64,23.88
2004-02-27,65,24.01
2004-03-05,66,25.02
2004-03-12,65,24.36
2004-03-19,65,24.62
2004-03-26,64,23.92
2004-04-02,66,24.87
2004-04-09,66,
2004-04-16,63,24.17
2004-04-23,66,25.42
2004-04-30,67,24.90
2004-05-07,65,24.74
2004-05-14,64,24.50
2004-05-21,65,24.33
2004-05-28,64,23.70
2004-06-04,62,23.93
2004-06-11,63,
2004-06-18,63,24.60
2004-06-25,65,23.80
2004-07-02,63,24.11
2004-07-09,62,23.59
2004-07-16,65,23.10
2004-07-23,65,24.22
2004-07-30,66,25.34
2004-08-06,67,24.85
2004-08-13,67,25.06
2004-08-20,67,25.57
2004-08-27,64,25.84
2004-09-03,66,26.20
2004-09-10,64,26.57
2004-09-17,65,26.48
2004-09-24,63,26.05
2004-10-01,65,26.32
2004-10-08,67,26.83
2004-10-15,65,26.68
2004-10-22,64,25.24
2004-10-29,66,25.26
2004-11-05,65,26.25
2004-11-12,64,26.67
2004-11-19,65,25.89
2004-11-26,61,25.48
2004-12-03,65,25.81
2004-12-10,67,25.31
2004-12-17,63,25.70
2004-12-24,59,
2004-12-31,59,25.77
2005-01-07,66,25.08
2005-01-14,65,24.41
2005-01-21,67,24.58
2005-01-28,64,23.62
2005-02-04,66,24.60
2005-02-11,69,24.26
2005-02-18,67,24.18
2005-02-25,66,24.21
2005-03-04,67,24.49
2005-03-11,67,24.00
2005-03-18,65,23.35
2005-03-25,67,
2005-04-01,63,23.66
2005-04-08,66,23.75
2005-04-15,66,23.00
2005-04-22,67,23.20
2005-04-29,68,23.80
2005-05-06,68,23.62
2005-05-13,65,23.08
2005-05-20,66,23.63
2005-05-27,64,23.67
2005-06-03,62,23.34
2005-06-10,64,23.63
2005-06-17,67,24.02
2005-06-24,67,23.50
2005-07-01,65,23.93
2005-07-08,66,23.57
2005-07-15,67,24.12
2005-07-22,67,23.72
2005-07-29,67,24.45
2005-08-05,68,24.61
2005-08-12,68,24.46
2005-08-19,68,24.14
2005-08-26,65,23.71
2005-09-02,65,23.87
2005-09-09,63,24.05
2005-09-16,66,24.23
2005-09-23,68,23.77
2005-09-30,67,23.97
2005-10-07,66,22.75
2005-10-14,67,22.20
2005-10-21,68,23.00
2005-10-28,67,23.89
2005-11-04,67,23.66
2005-11-11,68,23.95
2005-11-18,68,24.38
2005-11-25,63,24.77
2005-12-02,68,25.07
2005-12-09,66,24.90
2005-12-16,65,24.96
2005-12-23,62,24.63
2005-12-30,63,24.49
2006-01-06,67,24.93
2006-01-13,69,24.99
2006-01-20,71,24.71
2006-01-27,71,25.89
2006-02-03,72,26.79
2006-02-10,72,27.48
2006-02-17,72,28.28
2006-02-24,79,27.57
2006-03-03,77,27.99
2006-03-10,73,27.23
2006-03-17,72,27.00
2006-03-24,72,27.37
2006-03-31,71,27.04
2006-04-07,71,26.16
2006-04-14,73,
2006-04-21,74,25.35
2006-04-28,74,26.21
2006-05-05,75,25.97
2006-05-12,72,25.62
2006-05-19,71,25.28
2006-05-26,70,26.23
2006-06-02,69,26.73
2006-06-09,69,26.62
2006-06-16,69,27.79
2006-06-23,69,27.37
2006-06-30,69,27.89
2006-07-07,66,27.74
2006-07-14,70,26.58
2006-07-21,71,27.34
2006-07-28,72,30.06
2006-08-04,73,30.97
2006-08-11,70,30.22
2006-08-18,71,30.51
2006-08-25,69,30.63
2006-09-01,69,31.61
2006-09-08,69,31.35
2006-09-15,70,31.86
2006-09-22,68,32.90
2006-09-29,68,32.56
2006-10-06,69,31.78
2006-10-13,69,33.60
2006-10-20,69,34.44
2006-10-27,66,34.22
2006-11-03,68,33.72
2006-11-10,70,33.05
2006-11-17,67,33.20
2006-11-24,62,32.67
2006-12-01,64,34.00
2006-12-08,66,34.97
2006-12-15,64,35.66
2006-12-22,64,34.98
2006-12-29,65,35.75
2007-01-05,70,33.96
2007-01-12,69,34.73
2007-01-19,68,35.07
2007-01-26,68,36.40
2007-02-02,68,38.12
2007-02-09,67,36.90
2007-02-16,67,37.48
2007-02-23,67,37.00
2007-03-02,67,36.44
2007-03-09,69,36.55
2007-03-16,65,36.98
2007-03-23,69,38.88
2007-03-30,67,39.43
2007-04-06,68,
2007-04-13,68,38.84
2007-04-20,70,39.87
2007-04-27,69,38.64
2007-05-04,70,39.48
2007-05-11,68,39.59
2007-05-18,70,41.10
2007-05-25,69,40.76
2007-06-01,69,40.53
2007-06-08,70,40.26
2007-06-15,68,40.28
2007-06-22,68,38.85
2007-06-29,70,41.50
2007-07-06,70,40.66
2007-07-13,72,40.40
2007-07-20,73,39.06
2007-07-27,69,39.24
2007-08-03,70,39.45
2007-08-10,72,38.87
2007-08-17,71,39.05
2007-08-24,69,40.36
2007-08-31,69,39.87
2007-09-07,67,38.73
2007-09-14,71,40.44
2007-09-21,71,42.53
2007-09-28,71,42.31
2007-10-05,69,42.14
2007-10-12,71,42.29
2007-10-19,69,41.37
2007-10-26,69,41.46
2007-11-02,70,40.42
2007-11-09,71,39.20
2007-11-16,68,39.55
2007-11-23,73,37.63
2007-11-30,77,38.21
2007-12-07,81,38.47
2007-12-14,70,41.14
2007-12-21,69,41.48
2007-12-28,66,42.44
2008-01-04,73,40.89
2008-01-11,73,38.20
2008-01-18,71,36.11
2008-01-25,71,35.26
2008-02-01,73,38.28
2008-02-08,73,36.37
2008-02-15,76,37.88
2008-02-22,72,34.98
2008-02-29,74,34.83
2008-03-07,74,35.01
2008-03-14,73,35.03
2008-03-21,71,
2008-03-28,73,37.66
2008-04-04,76,38.48
2008-04-11,73,37.30
2008-04-18,72,37.51
2008-04-25,76,38.58
2008-05-02,75,40.13
2008-05-09,74,38.59
2008-05-16,73,40.07
